l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,groupcol,aggcol
F,F,R,COLLECT COD,1,Manufacturer#2,5-LOW,3,BUILDING,MAIL,4,0.01,0,1,Brand#23,6,2,34
F,F,A,COLLECT COD,2,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,REG AIR,3,0.03,0.04,21,Brand#41,21,3,4
F,F,R,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,FOB,1,0.02,0.1,16,Brand#45,21,3,45
F,F,A,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,SHIP,2,0.04,0.02,5,Brand#44,21,3,50
F,F,A,COLLECT COD,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,MAIL,3,0.01,0.09,1,Brand#54,3,4,40
F,F,R,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,HOUSEHOLD,RAIL,6,0.05,0.03,15,Brand#44,3,4,32
F,F,A,NONE,1,Manufacturer#4,2-HIGH,1,HOUSEHOLD,TRUCK,1,0.01,0.06,24,Brand#41,3,4,41
F,F,A,NONE,0,Manufacturer#1,2-HIGH,1,HOUSEHOLD,TRUCK,2,0.08,0.05,16,Brand#11,3,4,32
F,F,A,NONE,4,Manufacturer#5,2-HIGH,1,HOUSEHOLD,REG AIR,7,0.02,0.05,4,Brand#54,3,4,45
F,F,R,COLLECT COD,4,Manufacturer#1,2-HIGH,1,HOUSEHOLD,SHIP,5,0.02,0.01,4,Brand#15,3,4,18
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,1,HOUSEHOLD,MAIL,4,0.08,0.08,21,Brand#42,3,4,15
F,F,R,DELIVER IN PERSON,4,Manufacturer#1,3-MEDIUM,2,MACHINERY,FOB,1,0.05,0.01,11,Brand#15,12,5,21
F,F,A,COLLECT COD,4,Manufacturer#2,2-HIGH,1,BUILDING,RAIL,6,0.08,0.1,4,Brand#23,1,6,18
F,F,A,COLLECT COD,2,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,7,0.03,0.03,18,Brand#52,1,6,9
F,F,R,NONE,0,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,4,0.03,0.05,0,Brand#32,1,6,49
F,F,A,COLLECT COD,0,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,3,0.01,0.1,16,Brand#54,1,6,46
F,F,A,TAKE BACK RETURN,4,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,5,0.02,0.06,20,Brand#53,1,6,43
F,F,R,COLLECT COD,2,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,2,0.05,0.07,12,Brand#35,1,6,47
F,F,A,NONE,4,Manufacturer#5,2-HIGH,1,BUILDING,TRUCK,1,0.02,0.01,4,Brand#55,1,6,33
O,O,N,COLLECT COD,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,RAIL,7,0.04,0.01,18,Brand#14,1,7,33
O,O,N,NONE,0,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,TRUCK,5,0.05,0.06,0,Brand#42,1,7,47
O,O,N,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,1,AUTOMOBILE,REG AIR,4,0,0.1,18,Brand#23,1,7,37
O,O,N,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,SHIP,2,0.04,0,21,Brand#43,1,7,2
O,O,N,NONE,2,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,1,0.08,0.06,8,Brand#34,1,7,39
O,O,N,TAKE BACK RETURN,3,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,AIR,6,0.06,0.1,6,Brand#13,1,7,43
O,O,N,NONE,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,MAIL,3,0.05,0.06,18,Brand#11,1,7,30
O,O,N,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,1,HOUSEHOLD,SHIP,1,0.03,0.08,0,Brand#52,3,8,49
O,O,N,NONE,2,Manufacturer#3,1-URGENT,1,HOUSEHOLD,REG AIR,5,0.07,0.09,9,Brand#34,3,8,44
O,O,N,COLLECT COD,0,Manufacturer#2,1-URGENT,1,HOUSEHOLD,FOB,2,0.06,0.1,15,Brand#22,3,8,3
O,O,N,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,SHIP,6,0.03,0.07,21,Brand#12,3,8,2
O,O,N,COLLECT COD,4,Manufacturer#3,1-URGENT,1,HOUSEHOLD,FOB,3,0.07,0.02,4,Brand#35,3,8,34
O,O,N,COLLECT COD,2,Manufacturer#3,1-URGENT,1,HOUSEHOLD,RAIL,4,0.02,0,9,Brand#35,3,8,8
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,4,BUILDING,FOB,3,0.07,0.05,13,Brand#21,4,9,9
F,F,R,COLLECT COD,0,Manufacturer#2,3-MEDIUM,4,BUILDING,MAIL,1,0.04,0.04,0,Brand#23,4,9,1
F,F,A,COLLECT COD,0,Manufacturer#1,3-MEDIUM,4,BUILDING,TRUCK,2,0.05,0.05,16,Brand#14,4,9,38
F,F,A,DELIVER IN PERSON,2,Manufacturer#5,3-MEDIUM,0,AUTOMOBILE,TRUCK,1,0.07,0.04,9,Brand#51,15,10,7
F,F,R,NONE,0,Manufacturer#5,1-URGENT,3,AUTOMOBILE,TRUCK,1,0.06,0.04,14,Brand#54,22,11,37
F,F,A,NONE,3,Manufacturer#5,3-MEDIUM,3,MACHINERY,TRUCK,2,0.04,0.03,7,Brand#52,22,12,15
F,F,R,TAKE BACK RETURN,4,Manufacturer#3,3-MEDIUM,3,MACHINERY,RAIL,1,0.04,0.01,11,Brand#32,22,12,29
F,F,R,NONE,0,Manufacturer#3,3-MEDIUM,3,MACHINERY,TRUCK,3,0.06,0.08,14,Brand#32,22,12,40
O,O,N,COLLECT COD,0,Manufacturer#3,1-URGENT,3,MACHINERY,REG AIR,1,0.03,0.1,15,Brand#33,19,13,25
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,1-URGENT,3,MACHINERY,RAIL,5,0.08,0.03,24,Brand#41,19,13,25
O,O,N,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,3,MACHINERY,TRUCK,4,0.03,0.07,1,Brand#35,19,13,36
O,O,N,COLLECT COD,3,Manufacturer#2,1-URGENT,3,MACHINERY,REG AIR,3,0.06,0.08,6,Brand#21,19,13,3
O,O,N,COLLECT COD,0,Manufacturer#1,1-URGENT,3,MACHINERY,SHIP,2,0.02,0.01,14,Brand#12,19,13,36
F,F,R,TAKE BACK RETURN,0,Manufacturer#3,3-MEDIUM,2,BUILDING,MAIL,3,0.08,0.02,5,Brand#34,12,14,26
F,F,A,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,2,BUILDING,RAIL,1,0.02,0.09,24,Brand#25,12,14,12
F,F,A,TAKE BACK RETURN,0,Manufacturer#1,3-MEDIUM,2,BUILDING,REG AIR,2,0.01,0.08,0,Brand#13,12,14,12
O,O,N,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,1,AUTOMOBILE,REG AIR,2,0.08,0,18,Brand#54,3,15,27
O,O,N,COLLECT COD,2,Manufacturer#1,5-LOW,1,AUTOMOBILE,REG AIR,1,0.01,0.1,18,Brand#11,3,15,13
O,O,N,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,1,AUTOMOBILE,SHIP,5,0.05,0.05,9,Brand#34,3,15,26
O,O,N,NONE,0,Manufacturer#4,5-LOW,1,AUTOMOBILE,AIR,3,0.02,0.07,16,Brand#42,3,15,19
O,O,N,COLLECT COD,0,Manufacturer#5,5-LOW,1,AUTOMOBILE,AIR,4,0.01,0.1,14,Brand#55,3,15,11
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,1-URGENT,3,HOUSEHOLD,MAIL,4,0.06,0.04,18,Brand#45,19,16,38
F,F,A,TAKE BACK RETURN,0,Manufacturer#3,1-URGENT,3,HOUSEHOLD,FOB,3,0.06,0.05,14,Brand#33,19,16,2
F,F,R,DELIVER IN PERSON,0,Manufacturer#2,1-URGENT,3,HOUSEHOLD,AIR,7,0.02,0.1,14,Brand#22,19,16,43
F,F,R,NONE,2,Manufacturer#4,1-URGENT,3,HOUSEHOLD,SHIP,6,0.04,0.07,12,Brand#45,19,16,4
F,F,A,NONE,2,Manufacturer#2,1-URGENT,3,HOUSEHOLD,AIR,2,0.03,0.08,8,Brand#21,19,16,37
F,F,R,NONE,0,Manufacturer#3,1-URGENT,3,HOUSEHOLD,REG AIR,1,0.08,0.07,16,Brand#33,19,16,33
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,3,HOUSEHOLD,TRUCK,5,0.07,0.03,24,Brand#32,19,16,13
O,P,N,COLLECT COD,0,Manufacturer#4,2-HIGH,2,AUTOMOBILE,RAIL,3,0.02,0.01,16,Brand#45,21,17,26
O,P,N,COLLECT COD,2,Manufacturer#2,2-HIGH,2,AUTOMOBILE,RAIL,1,0.04,0.08,8,Brand#24,21,17,34
O,P,N,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,2,AUTOMOBILE,AIR,5,0,0.02,3,Brand#55,21,17,36
O,P,N,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,2,AUTOMOBILE,FOB,4,0.02,0.05,16,Brand#55,21,17,35
F,P,A,TAKE BACK RETURN,3,Manufacturer#4,2-HIGH,2,AUTOMOBILE,SHIP,2,0.01,0.05,19,Brand#43,21,17,7
F,F,A,NONE,0,Manufacturer#1,5-LOW,0,FURNITURE,FOB,1,0,0.08,16,Brand#13,5,18,49
F,F,R,COLLECT COD,2,Manufacturer#5,5-LOW,0,FURNITURE,REG AIR,3,0.07,0.08,21,Brand#55,5,18,31
F,F,A,COLLECT COD,3,Manufacturer#3,5-LOW,0,FURNITURE,FOB,2,0.07,0.1,23,Brand#31,5,18,37
F,F,A,DELIVER IN PERSON,3,Manufacturer#1,2-HIGH,4,BUILDING,RAIL,1,0.06,0.07,19,Brand#14,20,19,14
F,F,R,NONE,3,Manufacturer#5,2-HIGH,4,BUILDING,AIR,2,0.04,0.06,7,Brand#51,20,19,19
F,F,A,COLLECT COD,0,Manufacturer#1,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,1,0.01,0.05,14,Brand#15,21,20,8
F,F,R,COLLECT COD,2,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,AIR,3,0.07,0.02,9,Brand#52,2,21,34
F,F,R,COLLECT COD,1,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,TRUCK,7,0.03,0,2,Brand#11,2,21,12
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,RAIL,6,0.02,0,21,Brand#41,2,21,42
F,F,R,NONE,1,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,SHIP,1,0.02,0.01,3,Brand#11,2,21,42
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,5,0.05,0.02,16,Brand#34,2,21,35
F,F,A,TAKE BACK RETURN,0,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,AIR,2,0.08,0.04,0,Brand#55,2,21,34
F,F,A,COLLECT COD,2,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,RAIL,4,0.03,0.06,8,Brand#35,2,21,6
O,O,N,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,4,BUILDING,RAIL,4,0.08,0.01,9,Brand#53,10,22,8
O,O,N,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,4,BUILDING,REG AIR,2,0.04,0.05,16,Brand#51,10,22,24
O,O,N,NONE,3,Manufacturer#5,5-LOW,4,BUILDING,MAIL,7,0.05,0.04,6,Brand#52,10,22,50
O,O,N,COLLECT COD,4,Manufacturer#3,5-LOW,4,BUILDING,RAIL,6,0.02,0.05,4,Brand#31,10,22,3
O,O,N,NONE,3,Manufacturer#1,5-LOW,4,BUILDING,SHIP,3,0.02,0.07,7,Brand#11,10,22,36
O,O,N,NONE,3,Manufacturer#5,5-LOW,4,BUILDING,MAIL,5,0.06,0.08,19,Brand#53,10,22,27
O,O,N,DELIVER IN PERSON,0,Manufacturer#3,5-LOW,4,BUILDING,RAIL,1,0.04,0.09,5,Brand#34,10,22,11
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,3,HOUSEHOLD,RAIL,4,0.01,0.09,18,Brand#43,7,23,11
F,F,A,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,3,HOUSEHOLD,MAIL,1,0.01,0.05,24,Brand#24,7,23,5
F,F,A,DELIVER IN PERSON,3,Manufacturer#4,2-HIGH,3,HOUSEHOLD,TRUCK,6,0.01,0.03,19,Brand#45,7,23,30
F,F,A,COLLECT COD,0,Manufacturer#2,2-HIGH,3,HOUSEHOLD,AIR,3,0.03,0.04,0,Brand#25,7,23,16
F,F,R,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,3,HOUSEHOLD,TRUCK,2,0.06,0,17,Brand#21,7,23,17
F,F,R,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,3,HOUSEHOLD,SHIP,5,0.01,0,24,Brand#54,7,23,7
O,O,N,TAKE BACK RETURN,0,Manufacturer#5,1-URGENT,1,BUILDING,AIR,3,0.04,0.08,5,Brand#54,3,24,23
O,O,N,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,1,BUILDING,SHIP,4,0.08,0.06,15,Brand#25,3,24,34
O,O,N,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,BUILDING,FOB,1,0.08,0.09,18,Brand#13,3,24,36
O,O,N,DELIVER IN PERSON,0,Manufacturer#2,1-URGENT,1,BUILDING,MAIL,6,0.01,0.01,0,Brand#23,3,24,37
O,O,N,DELIVER IN PERSON,2,Manufacturer#2,1-URGENT,1,BUILDING,FOB,2,0.03,0.02,8,Brand#25,3,24,3
O,O,N,DELIVER IN PERSON,4,Manufacturer#4,1-URGENT,1,BUILDING,TRUCK,5,0.06,0.1,4,Brand#41,3,24,47
F,F,A,COLLECT COD,4,Manufacturer#5,3-MEDIUM,1,MACHINERY,RAIL,1,0.05,0.08,10,Brand#53,17,25,7
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,1,MACHINERY,RAIL,2,0.05,0.1,4,Brand#22,17,25,31
F,F,R,NONE,2,Manufacturer#5,3-MEDIUM,1,MACHINERY,RAIL,4,0.05,0.1,8,Brand#52,17,25,38
F,F,R,TAKE BACK RETURN,4,Manufacturer#5,3-MEDIUM,1,MACHINERY,MAIL,5,0.08,0.03,11,Brand#53,17,25,2
F,F,A,DELIVER IN PERSON,3,Manufacturer#2,3-MEDIUM,1,MACHINERY,MAIL,3,0.08,0,22,Brand#25,17,25,23
O,O,N,NONE,1,Manufacturer#5,3-MEDIUM,1,MACHINERY,SHIP,1,0.03,0.05,24,Brand#54,1,26,13
F,F,R,NONE,0,Manufacturer#3,1-URGENT,0,HOUSEHOLD,RAIL,3,0.03,0.01,14,Brand#32,5,27,46
F,F,A,TAKE BACK RETURN,0,Manufacturer#4,1-URGENT,0,HOUSEHOLD,TRUCK,2,0,0.07,0,Brand#41,5,27,34
F,F,A,NONE,2,Manufacturer#1,1-URGENT,0,HOUSEHOLD,TRUCK,1,0,0.09,12,Brand#14,5,27,20
F,F,R,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,0,HOUSEHOLD,SHIP,4,0.08,0.06,14,Brand#54,5,27,31
O,O,N,COLLECT COD,2,Manufacturer#4,2-HIGH,0,BUILDING,SHIP,4,0.07,0,18,Brand#44,16,28,24
O,O,N,TAKE BACK RETURN,0,Manufacturer#1,2-HIGH,0,BUILDING,REG AIR,6,0.08,0.09,0,Brand#13,16,28,27
O,O,N,DELIVER IN PERSON,2,Manufacturer#1,2-HIGH,0,BUILDING,REG AIR,2,0,0.04,12,Brand#12,16,28,19
O,O,N,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,0,BUILDING,SHIP,3,0.03,0.04,13,Brand#14,16,28,43
O,O,N,TAKE BACK RETURN,4,Manufacturer#2,2-HIGH,0,BUILDING,TRUCK,5,0.05,0.02,4,Brand#22,16,28,3
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,0,BUILDING,SHIP,1,0.01,0.1,1,Brand#43,16,28,36
F,F,R,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,2,MACHINERY,TRUCK,1,0.07,0.05,19,Brand#52,9,29,12
F,F,R,TAKE BACK RETURN,1,Manufacturer#3,5-LOW,2,MACHINERY,SHIP,5,0.04,0.06,24,Brand#31,9,29,22
F,F,R,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,MACHINERY,TRUCK,2,0.01,0.06,3,Brand#14,9,29,10
F,F,R,COLLECT COD,1,Manufacturer#5,5-LOW,2,MACHINERY,AIR,3,0.04,0,24,Brand#52,9,29,47
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,MACHINERY,REG AIR,4,0,0.06,17,Brand#14,9,29,18
F,F,A,NONE,0,Manufacturer#5,2-HIGH,1,HOUSEHOLD,TRUCK,6,0.08,0.05,5,Brand#51,2,30,18
F,F,R,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,1,HOUSEHOLD,AIR,4,0.02,0.03,8,Brand#53,2,30,23
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,2-HIGH,1,HOUSEHOLD,RAIL,1,0.01,0.04,4,Brand#25,2,30,25
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,2-HIGH,1,HOUSEHOLD,RAIL,7,0.05,0.06,8,Brand#13,2,30,3
F,F,A,NONE,0,Manufacturer#3,2-HIGH,1,HOUSEHOLD,MAIL,2,0.06,0.09,0,Brand#32,2,30,40
F,F,A,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,1,HOUSEHOLD,SHIP,5,0.04,0.02,14,Brand#33,2,30,3
F,F,A,NONE,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,AIR,3,0.07,0,3,Brand#55,2,30,25
O,O,N,COLLECT COD,4,Manufacturer#2,4-NOT SPECIFIED,2,HOUSEHOLD,FOB,1,0.08,0.09,4,Brand#23,12,31,15
F,F,R,TAKE BACK RETURN,0,Manufacturer#5,4-NOT SPECIFIED,4,FURNITURE,SHIP,3,0.06,0.05,0,Brand#52,13,32,4
F,F,A,TAKE BACK RETURN,0,Manufacturer#4,4-NOT SPECIFIED,4,FURNITURE,AIR,2,0.08,0.1,14,Brand#44,13,32,2
F,F,R,TAKE BACK RETURN,3,Manufacturer#4,4-NOT SPECIFIED,4,FURNITURE,MAIL,4,0,0.02,23,Brand#43,13,32,31
F,F,R,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,4,FURNITURE,TRUCK,1,0.07,0.03,6,Brand#54,13,32,38
O,O,N,COLLECT COD,3,Manufacturer#3,2-HIGH,3,MACHINERY,RAIL,2,0.02,0.1,19,Brand#34,6,33,47
O,O,N,COLLECT COD,1,Manufacturer#2,2-HIGH,3,MACHINERY,REG AIR,1,0.04,0.05,2,Brand#24,6,33,30
O,O,N,TAKE BACK RETURN,3,Manufacturer#1,1-URGENT,4,FURNITURE,TRUCK,3,0.02,0.05,22,Brand#11,4,34,11
O,O,N,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,4,FURNITURE,TRUCK,1,0.05,0.05,21,Brand#13,4,34,37
O,O,N,NONE,1,Manufacturer#2,1-URGENT,4,FURNITURE,REG AIR,7,0.07,0.07,24,Brand#24,4,34,32
O,O,N,COLLECT COD,1,Manufacturer#4,1-URGENT,4,FURNITURE,AIR,2,0.05,0,1,Brand#43,4,34,21
O,O,N,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,4,FURNITURE,AIR,4,0.08,0.05,21,Brand#12,4,34,33
O,O,N,NONE,3,Manufacturer#5,1-URGENT,4,FURNITURE,REG AIR,6,0.03,0.05,19,Brand#54,4,34,39
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,1-URGENT,4,FURNITURE,REG AIR,5,0.05,0.02,1,Brand#43,4,34,22
O,O,N,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,1,MACHINERY,RAIL,1,0.03,0.05,18,Brand#15,3,35,10
O,O,N,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,1,MACHINERY,FOB,2,0.07,0.01,14,Brand#52,3,35,20
O,O,N,NONE,4,Manufacturer#5,2-HIGH,3,AUTOMOBILE,TRUCK,4,0.02,0.02,10,Brand#51,23,36,50
O,O,N,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,REG AIR,3,0.06,0,16,Brand#31,23,36,1
O,O,N,COLLECT COD,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,FOB,1,0.07,0.06,0,Brand#32,23,36,3
O,O,N,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,TRUCK,5,0.04,0.09,15,Brand#33,23,36,9
O,O,N,TAKE BACK RETURN,4,Manufacturer#3,2-HIGH,3,AUTOMOBILE,AIR,6,0.05,0.09,4,Brand#34,23,36,20
O,O,N,DELIVER IN PERSON,1,Manufacturer#1,2-HIGH,3,AUTOMOBILE,TRUCK,2,0.05,0.06,24,Brand#12,23,36,33
O,O,N,TAKE BACK RETURN,4,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,RAIL,4,0.05,0.07,10,Brand#55,18,37,29
O,O,N,NONE,4,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,AIR,2,0.01,0.05,11,Brand#55,18,37,30
O,O,N,DELIVER IN PERSON,2,Manufacturer#1,4-NOT SPECIFIED,2,AUTOMOBILE,MAIL,1,0.02,0.08,18,Brand#11,18,37,42
O,O,N,COLLECT COD,2,Manufacturer#1,4-NOT SPECIFIED,2,AUTOMOBILE,MAIL,3,0.05,0.01,9,Brand#13,18,37,19
O,O,N,DELIVER IN PERSON,1,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,AIR,6,0.04,0.06,24,Brand#54,18,37,31
O,O,N,TAKE BACK RETURN,0,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,FOB,5,0.07,0.09,16,Brand#54,18,37,30
F,F,A,NONE,2,Manufacturer#3,5-LOW,2,FURNITURE,FOB,3,0.07,0.08,8,Brand#33,9,38,45
F,F,A,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,2,FURNITURE,SHIP,4,0.07,0.08,18,Brand#33,9,38,29
F,F,R,TAKE BACK RETURN,3,Manufacturer#2,5-LOW,2,FURNITURE,MAIL,1,0.03,0.05,22,Brand#25,9,38,46
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,5-LOW,2,FURNITURE,TRUCK,2,0.07,0.09,0,Brand#31,9,38,8
F,F,R,COLLECT COD,0,Manufacturer#1,5-LOW,4,HOUSEHOLD,TRUCK,1,0.06,0,16,Brand#11,13,39,50
F,F,R,COLLECT COD,0,Manufacturer#3,2-HIGH,1,MACHINERY,SHIP,6,0.05,0.09,16,Brand#31,24,40,21
F,F,R,DELIVER IN PERSON,1,Manufacturer#2,2-HIGH,1,MACHINERY,SHIP,7,0,0.08,3,Brand#25,24,40,38
F,F,A,DELIVER IN PERSON,3,Manufacturer#5,2-HIGH,1,MACHINERY,TRUCK,3,0,0.08,19,Brand#54,24,40,4
F,F,R,COLLECT COD,1,Manufacturer#5,2-HIGH,1,MACHINERY,TRUCK,2,0.04,0.02,3,Brand#52,24,40,29
F,F,A,DELIVER IN PERSON,0,Manufacturer#5,2-HIGH,1,MACHINERY,MAIL,4,0.06,0.09,15,Brand#53,24,40,40
F,F,A,DELIVER IN PERSON,3,Manufacturer#2,2-HIGH,1,MACHINERY,AIR,1,0.05,0.02,22,Brand#21,24,40,41
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,1,MACHINERY,TRUCK,5,0.04,0.03,21,Brand#43,24,40,22
O,O,N,COLLECT COD,2,Manufacturer#5,2-HIGH,4,BUILDING,RAIL,5,0.07,0.02,21,Brand#51,20,41,23
O,O,N,COLLECT COD,0,Manufacturer#1,2-HIGH,4,BUILDING,MAIL,2,0.05,0.02,16,Brand#15,20,41,41
O,O,N,COLLECT COD,3,Manufacturer#1,2-HIGH,4,BUILDING,TRUCK,3,0.02,0.06,7,Brand#15,20,41,33
O,O,N,NONE,1,Manufacturer#5,2-HIGH,4,BUILDING,RAIL,4,0.04,0.02,3,Brand#55,20,41,47
O,O,N,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,4,BUILDING,AIR,7,0,0.01,21,Brand#45,20,41,42
O,O,N,TAKE BACK RETURN,4,Manufacturer#4,2-HIGH,4,BUILDING,RAIL,6,0.03,0.07,4,Brand#44,20,41,16
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,4,BUILDING,REG AIR,1,0.02,0.03,24,Brand#44,20,41,16
