o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,groupcol,aggcol
F,1-URGENT,4,HOUSEHOLD,4,Clerk#000000950,1994-03-17,3910.38,4301,1
F,5-LOW,2,HOUSEHOLD,8,Clerk#000000898,1992-12-20,-448.55,1302,1
F,3-MEDIUM,0,BUILDING,0,Clerk#000000608,1992-11-25,4288.5,3180,1
O,3-MEDIUM,4,HOUSEHOLD,4,Clerk#000000128,1996-02-06,-966.78,1388,1
F,1-URGENT,3,HOUSEHOLD,23,Clerk#000000215,1994-10-18,8667.37,338,1
O,5-LOW,1,AUTOMOBILE,17,Clerk#000000195,1997-12-31,6564.84,3363,1
F,3-MEDIUM,2,HOUSEHOLD,21,Clerk#000000061,1992-03-28,6074.01,3834,1
O,2-HIGH,2,HOUSEHOLD,8,Clerk#000000657,1997-01-29,5593.7,1957,1
O,5-LOW,4,AUTOMOBILE,4,Clerk#000000852,1996-03-07,3272.81,3703,1
O,1-URGENT,1,BUILDING,3,Clerk#000000078,1995-05-30,9818.13,2740,1
F,1-URGENT,2,AUTOMOBILE,9,Clerk#000000335,1993-04-23,6047.52,3033,1
O,5-LOW,1,AUTOMOBILE,17,Clerk#000000432,1997-06-21,424.79,4784,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,5,Clerk#000000575,1993-04-06,1892.48,2315,1
O,3-MEDIUM,4,HOUSEHOLD,20,Clerk#000000133,1996-09-28,-395.07,3237,1
F,5-LOW,3,HOUSEHOLD,22,Clerk#000000986,1993-07-16,4648.37,3922,1
O,4-NOT SPECIFIED,3,BUILDING,23,Clerk#000000384,1995-06-23,2191.59,2071,1
O,4-NOT SPECIFIED,3,HOUSEHOLD,7,Clerk#000000001,1996-01-15,1938.05,856,1
F,5-LOW,3,MACHINERY,23,Clerk#000000299,1994-07-02,1417.59,422,1
O,5-LOW,2,BUILDING,18,Clerk#000000777,1997-11-14,6905.8,3574,1
F,3-MEDIUM,4,HOUSEHOLD,13,Clerk#000000737,1993-10-01,3686.07,1919,1
O,2-HIGH,4,AUTOMOBILE,11,Clerk#000000045,1995-07-25,9537.41,3729,1
F,4-NOT SPECIFIED,1,MACHINERY,2,Clerk#000000103,1993-09-24,7671.86,544,1
O,1-URGENT,1,BUILDING,24,Clerk#000000337,1996-07-23,9480.03,1442,1
F,5-LOW,4,MACHINERY,4,Clerk#000000006,1994-08-19,6757.19,2133,1
F,1-URGENT,0,MACHINERY,15,Clerk#000000896,1994-05-20,4421.61,2353,1
O,4-NOT SPECIFIED,2,AUTOMOBILE,21,Clerk#000000021,1997-01-11,5148.64,2168,1
P,2-HIGH,2,BUILDING,9,Clerk#000000542,1995-04-18,3736.71,263,1
F,4-NOT SPECIFIED,4,AUTOMOBILE,11,Clerk#000000593,1993-10-27,6781.83,4177,1
O,1-URGENT,2,AUTOMOBILE,21,Clerk#000000001,1996-07-04,2390.71,2368,1
O,2-HIGH,2,MACHINERY,21,Clerk#000000114,1997-09-03,-57.96,25,1
F,1-URGENT,0,MACHINERY,14,Clerk#000000944,1995-03-07,7336.39,4846,1
O,4-NOT SPECIFIED,1,FURNITURE,3,Clerk#000000434,1996-07-20,9139.66,3286,1
F,4-NOT SPECIFIED,1,HOUSEHOLD,17,Clerk#000000194,1992-12-12,6102.98,3012,1
F,5-LOW,3,BUILDING,19,Clerk#000000290,1993-04-10,1318.74,2926,1
O,1-URGENT,0,MACHINERY,16,Clerk#000000123,1996-02-21,7082.24,3035,1
P,2-HIGH,0,HOUSEHOLD,16,Clerk#000000729,1995-05-04,6696.49,891,1
O,5-LOW,4,FURNITURE,11,Clerk#000000338,1996-07-20,-990.61,471,1
O,5-LOW,1,HOUSEHOLD,3,Clerk#000000136,1996-07-24,1998.6,793,1
O,4-NOT SPECIFIED,1,HOUSEHOLD,2,Clerk#000000460,1997-01-30,8020.8,4793,1
O,5-LOW,0,BUILDING,0,Clerk#000000797,1995-12-22,-451.02,429,1
O,5-LOW,2,MACHINERY,18,Clerk#000000664,1998-02-16,3344.48,3821,1
F,5-LOW,0,FURNITURE,0,Clerk#000000709,1992-04-13,7822.51,1887,1
F,4-NOT SPECIFIED,1,FURNITURE,24,Clerk#000000326,1994-05-24,7050.56,2927,1
O,2-HIGH,4,FURNITURE,4,Clerk#000000214,1997-11-15,783.12,3015,1
F,5-LOW,1,FURNITURE,1,Clerk#000000417,1994-01-30,6608.07,4321,1
O,1-URGENT,1,FURNITURE,3,Clerk#000000291,1997-07-20,9670.35,4192,1
O,1-URGENT,4,AUTOMOBILE,10,Clerk#000000047,1996-10-19,9377.01,3091,1
F,2-HIGH,3,HOUSEHOLD,19,Clerk#000000491,1993-04-09,3490.81,3471,1
O,2-HIGH,1,HOUSEHOLD,24,Clerk#000000759,1996-06-28,82.07,991,1
O,2-HIGH,4,BUILDING,4,Clerk#000000145,1997-01-05,1072.03,224,1
F,3-MEDIUM,0,HOUSEHOLD,16,Clerk#000000134,1993-10-10,5824.88,265,1
F,3-MEDIUM,0,BUILDING,14,Clerk#000000187,1994-02-10,505.59,4894,1
F,5-LOW,3,BUILDING,6,Clerk#000000964,1994-10-18,-783.08,2601,1
O,1-URGENT,3,MACHINERY,6,Clerk#000000110,1997-01-05,8397.42,1376,1
F,1-URGENT,3,BUILDING,19,Clerk#000000631,1994-11-18,9608.94,4381,1
F,5-LOW,1,MACHINERY,3,Clerk#000000868,1994-04-20,2438.45,2060,1
F,5-LOW,3,BUILDING,23,Clerk#000000364,1993-05-12,2681.75,912,1
O,3-MEDIUM,4,AUTOMOBILE,13,Clerk#000000334,1995-06-13,-982.3,1069,1
F,4-NOT SPECIFIED,4,BUILDING,13,Clerk#000000853,1992-03-07,489.54,3398,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,15,Clerk#000000922,1993-08-25,4520.68,4912,1
O,4-NOT SPECIFIED,4,BUILDING,13,Clerk#000000266,1996-01-12,6687.87,2636,1
O,5-LOW,2,HOUSEHOLD,9,Clerk#000000796,1995-10-21,3574.44,3981,1
O,3-MEDIUM,2,FURNITURE,18,Clerk#000000295,1997-02-01,3557.92,1936,1
F,4-NOT SPECIFIED,1,BUILDING,1,Clerk#000000630,1992-08-05,4311.62,4034,1
F,5-LOW,3,FURNITURE,23,Clerk#000000511,1995-02-16,9151.65,4497,1
F,5-LOW,4,HOUSEHOLD,10,Clerk#000000441,1992-11-08,6649.41,2684,1
F,4-NOT SPECIFIED,2,HOUSEHOLD,8,Clerk#000000979,1994-12-26,6020.02,966,1
F,1-URGENT,1,AUTOMOBILE,2,Clerk#000000912,1993-08-03,5772.45,3304,1
P,1-URGENT,1,HOUSEHOLD,24,Clerk#000000850,1995-04-04,82.07,991,1
O,5-LOW,1,AUTOMOBILE,17,Clerk#000000326,1997-06-17,2164.48,490,1
O,2-HIGH,1,AUTOMOBILE,3,Clerk#000000791,1997-04-09,9362.42,4916,1
O,5-LOW,3,AUTOMOBILE,6,Clerk#000000690,1996-04-24,7114.86,3659,1
F,3-MEDIUM,1,BUILDING,2,Clerk#000000062,1993-06-01,7847.19,3827,1
O,4-NOT SPECIFIED,3,HOUSEHOLD,19,Clerk#000000891,1997-07-03,2653.99,961,1
F,2-HIGH,4,AUTOMOBILE,13,Clerk#000000657,1992-10-29,2506.62,1397,1
O,3-MEDIUM,1,HOUSEHOLD,1,Clerk#000000289,1997-08-04,27.5,2644,1
O,1-URGENT,4,FURNITURE,4,Clerk#000000943,1998-06-23,2789.18,1938,1
O,2-HIGH,2,MACHINERY,12,Clerk#000000358,1997-02-01,3279.84,3528,1
F,2-HIGH,4,AUTOMOBILE,13,Clerk#000000223,1994-05-30,8176.83,754,1
F,3-MEDIUM,2,BUILDING,18,Clerk#000000780,1993-07-14,3797.4,2695,1
O,4-NOT SPECIFIED,2,AUTOMOBILE,12,Clerk#000000308,1996-10-28,-909.83,1111,1
O,2-HIGH,3,MACHINERY,23,Clerk#000000081,1997-04-30,751.9,883,1
F,1-URGENT,4,BUILDING,11,Clerk#000000843,1993-11-25,-831.34,530,1
F,1-URGENT,4,MACHINERY,20,Clerk#000000166,1993-11-21,2720.98,3354,1
F,5-LOW,2,FURNITURE,18,Clerk#000000454,1992-09-30,802.38,4632,1
F,1-URGENT,0,BUILDING,15,Clerk#000000608,1993-02-01,9266.39,3588,1
F,4-NOT SPECIFIED,3,AUTOMOBILE,6,Clerk#000000726,1994-05-09,1382.12,3456,1
F,4-NOT SPECIFIED,4,FURNITURE,4,Clerk#000000609,1993-07-04,7057.96,4490,1
F,1-URGENT,0,FURNITURE,5,Clerk#000000036,1992-12-02,7880.89,1833,1
O,1-URGENT,4,FURNITURE,13,Clerk#000000197,1996-08-06,7755.24,2519,1
O,5-LOW,3,AUTOMOBILE,7,Clerk#000000212,1998-07-12,1643.9,235,1
O,2-HIGH,3,MACHINERY,6,Clerk#000000382,1996-10-11,3205.57,3721,1
O,4-NOT SPECIFIED,3,MACHINERY,6,Clerk#000000381,1995-12-21,258.29,2201,1
O,3-MEDIUM,2,MACHINERY,12,Clerk#000000396,1997-01-12,172.56,4200,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,10,Clerk#000000348,1992-05-06,9181.93,1242,1
F,4-NOT SPECIFIED,1,AUTOMOBILE,17,Clerk#000000506,1994-04-19,7421.29,1180,1
O,1-URGENT,0,MACHINERY,0,Clerk#000000817,1997-08-08,3677.31,1737,1
F,1-URGENT,0,AUTOMOBILE,15,Clerk#000000453,1992-03-13,6684.63,3248,1
O,1-URGENT,3,BUILDING,19,Clerk#000000667,1997-07-20,2376.48,1732,1
F,3-MEDIUM,2,HOUSEHOLD,12,Clerk#000000051,1995-01-23,6381.24,1605,1
O,3-MEDIUM,1,MACHINERY,1,Clerk#000000012,1998-08-01,8256.67,4873,1
F,2-HIGH,0,BUILDING,14,Clerk#000000004,1992-02-07,4346.51,663,1
O,1-URGENT,1,MACHINERY,3,Clerk#000000588,1997-03-27,-719.22,3090,1
F,1-URGENT,2,AUTOMOBILE,8,Clerk#000000426,1994-06-20,8317.17,1428,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,12,Clerk#000000013,1994-05-30,6408.13,4349,1
O,1-URGENT,4,HOUSEHOLD,13,Clerk#000000906,1995-04-17,8719.18,4586,1
O,2-HIGH,3,AUTOMOBILE,23,Clerk#000000436,1998-04-25,3838.55,751,1
O,2-HIGH,3,MACHINERY,23,Clerk#000000756,1997-07-26,969.95,4527,1
F,4-NOT SPECIFIED,3,FURNITURE,7,Clerk#000000089,1993-12-24,9288.13,3365,1
O,3-MEDIUM,1,BUILDING,17,Clerk#000000703,1998-02-09,464.28,2352,1
F,5-LOW,2,AUTOMOBILE,12,Clerk#000000558,1994-05-29,2306.48,2307,1
O,1-URGENT,4,MACHINERY,13,Clerk#000000519,1995-11-28,8865.52,2888,1
F,3-MEDIUM,0,BUILDING,14,Clerk#000000685,1993-12-29,6035.71,621,1
O,1-URGENT,3,BUILDING,19,Clerk#000000819,1995-09-11,2035.35,1195,1
O,1-URGENT,1,BUILDING,17,Clerk#000000320,1996-11-09,7673.78,2187,1
O,3-MEDIUM,4,MACHINERY,4,Clerk#000000237,1996-05-09,7453.98,1251,1
O,2-HIGH,1,HOUSEHOLD,17,Clerk#000000782,1997-10-08,7027.56,4140,1
F,5-LOW,2,HOUSEHOLD,9,Clerk#000000958,1994-05-24,3885.89,2131,1
O,1-URGENT,4,FURNITURE,10,Clerk#000000451,1998-01-09,5093.62,1179,1
O,4-NOT SPECIFIED,4,FURNITURE,13,Clerk#000000818,1998-04-24,2393.87,1811,1
F,1-URGENT,2,BUILDING,18,Clerk#000000917,1995-02-09,4662.53,1147,1
F,5-LOW,1,HOUSEHOLD,1,Clerk#000000802,1995-01-10,9601.31,4385,1
O,5-LOW,3,BUILDING,23,Clerk#000000324,1996-06-20,7450.26,1530,1
F,3-MEDIUM,3,FURNITURE,23,Clerk#000000396,1992-01-18,1578.52,1178,1
O,5-LOW,4,MACHINERY,4,Clerk#000000200,1996-08-25,2866.83,1238,1
O,3-MEDIUM,2,HOUSEHOLD,21,Clerk#000000545,1997-03-29,6907.14,1035,1
F,5-LOW,0,BUILDING,0,Clerk#000000602,1994-12-30,501.27,306,1
F,2-HIGH,4,HOUSEHOLD,20,Clerk#000000477,1992-03-03,4120.78,2503,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,0,Clerk#000000352,1994-02-11,5157.14,711,1
F,4-NOT SPECIFIED,4,AUTOMOBILE,10,Clerk#000000292,1994-01-25,5343.33,160,1
O,2-HIGH,0,FURNITURE,15,Clerk#000000837,1997-02-28,3086.54,4126,1
O,3-MEDIUM,4,AUTOMOBILE,11,Clerk#000000879,1997-02-19,7860.89,3909,1
F,3-MEDIUM,0,FURNITURE,15,Clerk#000000391,1993-10-01,-679.3,4688,1
O,1-URGENT,2,AUTOMOBILE,12,Clerk#000000794,1996-03-01,8363.8,231,1
F,1-URGENT,4,FURNITURE,20,Clerk#000000407,1992-05-21,1576.33,185,1
O,2-HIGH,3,AUTOMOBILE,7,Clerk#000000946,1996-06-26,8481.31,3924,1
O,3-MEDIUM,1,FURNITURE,3,Clerk#000000282,1995-09-26,6388.37,637,1
F,1-URGENT,4,MACHINERY,13,Clerk#000000841,1994-12-17,6346.55,133,1
O,3-MEDIUM,0,FURNITURE,14,Clerk#000000889,1995-12-14,5941.39,1801,1
F,3-MEDIUM,2,BUILDING,8,Clerk#000000837,1994-06-21,736.28,4410,1
F,4-NOT SPECIFIED,1,FURNITURE,2,Clerk#000000162,1992-02-26,2387.25,2611,1
O,3-MEDIUM,0,MACHINERY,5,Clerk#000000598,1996-11-01,8351.55,154,1
O,2-HIGH,2,MACHINERY,21,Clerk#000000674,1996-11-12,6314.25,3342,1
O,4-NOT SPECIFIED,2,AUTOMOBILE,18,Clerk#000000932,1998-05-18,7507,174,1
F,2-HIGH,1,AUTOMOBILE,1,Clerk#000000411,1995-04-09,2426.37,2310,1
F,2-HIGH,3,HOUSEHOLD,22,Clerk#000000308,1992-11-28,5480.71,2783,1
F,4-NOT SPECIFIED,3,MACHINERY,19,Clerk#000000276,1993-09-20,6988.5,361,1
O,5-LOW,4,FURNITURE,11,Clerk#000000695,1997-05-30,8923.17,3247,1
O,4-NOT SPECIFIED,3,MACHINERY,7,Clerk#000000333,1997-08-06,5799.43,3302,1
F,2-HIGH,0,HOUSEHOLD,5,Clerk#000000052,1992-12-02,5404.36,2496,1
O,4-NOT SPECIFIED,1,AUTOMOBILE,24,Clerk#000000164,1996-05-13,2261.73,2039,1
F,2-HIGH,2,HOUSEHOLD,21,Clerk#000000872,1992-09-29,3779.88,3370,1
F,1-URGENT,3,MACHINERY,19,Clerk#000000405,1994-02-26,6988.5,361,1
O,3-MEDIUM,1,MACHINERY,1,Clerk#000000869,1997-02-06,7100.18,1245,1
F,3-MEDIUM,0,AUTOMOBILE,15,Clerk#000000084,1993-04-07,2754.88,1684,1
O,5-LOW,1,MACHINERY,24,Clerk#000000216,1997-07-27,6109.87,2113,1
O,3-MEDIUM,1,MACHINERY,2,Clerk#000000252,1996-12-11,-504.56,3162,1
O,2-HIGH,0,MACHINERY,16,Clerk#000000108,1997-02-11,1520.34,1998,1
O,2-HIGH,3,BUILDING,7,Clerk#000000644,1996-10-22,1274.41,1822,1
P,1-URGENT,2,FURNITURE,8,Clerk#000000089,1995-04-20,1972.22,920,1
P,4-NOT SPECIFIED,0,BUILDING,16,Clerk#000000347,1995-04-06,5375.84,1983,1
F,5-LOW,1,FURNITURE,2,Clerk#000000478,1992-11-03,1907.14,3772,1
O,5-LOW,0,FURNITURE,0,Clerk#000000811,1997-02-22,-968.58,2688,1
O,4-NOT SPECIFIED,2,MACHINERY,21,Clerk#000000205,1995-06-26,-770.92,3956,1
F,2-HIGH,3,AUTOMOBILE,7,Clerk#000000514,1992-09-13,6046.22,4422,1
F,2-HIGH,1,FURNITURE,2,Clerk#000000857,1993-01-11,9500.76,4739,1
F,2-HIGH,2,MACHINERY,8,Clerk#000000041,1994-05-17,1931.54,2589,1
O,4-NOT SPECIFIED,2,MACHINERY,21,Clerk#000000911,1995-07-19,6891.66,3203,1
O,2-HIGH,4,AUTOMOBILE,20,Clerk#000000526,1998-03-23,4882.5,1455,1
F,5-LOW,2,AUTOMOBILE,12,Clerk#000000279,1992-03-11,4764.55,264,1
O,1-URGENT,4,MACHINERY,11,Clerk#000000848,1998-02-03,1197.02,1770,1
O,4-NOT SPECIFIED,2,BUILDING,8,Clerk#000000012,1997-01-15,3573.94,3455,1
F,5-LOW,3,AUTOMOBILE,22,Clerk#000000659,1993-12-15,3347.3,1797,1
O,3-MEDIUM,4,MACHINERY,10,Clerk#000000829,1998-01-02,6623.38,986,1
F,3-MEDIUM,3,BUILDING,6,Clerk#000000372,1992-03-11,-783.08,2601,1
F,4-NOT SPECIFIED,3,MACHINERY,22,Clerk#000000536,1994-02-03,3815.06,4957,1
F,3-MEDIUM,2,HOUSEHOLD,21,Clerk#000000421,1994-03-16,3779.88,3370,1
O,1-URGENT,4,BUILDING,13,Clerk#000000109,1998-07-07,3367.36,3761,1
F,5-LOW,0,BUILDING,16,Clerk#000000342,1992-05-24,9451.89,1216,1
O,2-HIGH,0,MACHINERY,5,Clerk#000000189,1996-07-18,1634.14,4778,1
O,5-LOW,3,AUTOMOBILE,22,Clerk#000000638,1996-11-11,3928.79,4624,1
F,4-NOT SPECIFIED,3,MACHINERY,6,Clerk#000000318,1992-02-24,1618.95,3,1
F,1-URGENT,4,HOUSEHOLD,10,Clerk#000000686,1993-12-27,8061.98,2490,1
F,3-MEDIUM,4,BUILDING,10,Clerk#000000938,1994-03-20,793.41,3360,1
O,4-NOT SPECIFIED,1,HOUSEHOLD,17,Clerk#000000399,1997-10-11,700.15,3470,1
O,2-HIGH,1,HOUSEHOLD,17,Clerk#000000750,1998-02-20,2675.73,766,1
F,1-URGENT,1,MACHINERY,2,Clerk#000000331,1994-07-20,9754.94,4664,1
O,1-URGENT,0,AUTOMOBILE,0,Clerk#000000973,1995-10-09,4011.87,1418,1
O,1-URGENT,2,FURNITURE,21,Clerk#000000715,1995-11-14,9616.15,3047,1
F,2-HIGH,2,HOUSEHOLD,12,Clerk#000000715,1992-10-02,8829.75,1139,1
F,1-URGENT,4,FURNITURE,10,Clerk#000000787,1992-05-16,2042.21,1767,1
O,1-URGENT,0,BUILDING,16,Clerk#000000727,1996-07-24,-493.01,2697,1
F,1-URGENT,3,BUILDING,19,Clerk#000000409,1992-10-08,9346.34,4604,1
F,2-HIGH,3,HOUSEHOLD,19,Clerk#000000988,1992-09-06,7185.02,752,1
O,1-URGENT,4,AUTOMOBILE,20,Clerk#000000060,1997-02-03,2944.76,4096,1
F,3-MEDIUM,2,AUTOMOBILE,9,Clerk#000000145,1995-02-15,6047.52,3033,1
O,5-LOW,4,MACHINERY,20,Clerk#000000406,1997-12-22,8365.26,3970,1
O,3-MEDIUM,3,FURNITURE,22,Clerk#000000656,1996-12-17,3407.85,2147,1
O,3-MEDIUM,0,MACHINERY,16,Clerk#000000875,1995-10-08,6240.48,1579,1
O,2-HIGH,3,AUTOMOBILE,19,Clerk#000000010,1998-07-19,8473.87,1154,1
O,4-NOT SPECIFIED,1,BUILDING,3,Clerk#000000506,1996-06-18,4475.34,1821,1
F,2-HIGH,4,AUTOMOBILE,11,Clerk#000000226,1992-01-13,9287.92,1256,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,15,Clerk#000000057,1996-05-09,6086.47,3343,1
O,1-URGENT,0,AUTOMOBILE,16,Clerk#000000110,1996-07-10,1623.78,674,1
F,3-MEDIUM,0,HOUSEHOLD,16,Clerk#000000839,1993-10-12,8261.77,4812,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,16,Clerk#000000726,1994-07-24,2249.33,988,1
O,2-HIGH,4,MACHINERY,4,Clerk#000000389,1995-07-18,6968.92,3999,1
P,2-HIGH,1,AUTOMOBILE,1,Clerk#000000872,1995-04-20,6906.7,4037,1
F,5-LOW,0,MACHINERY,14,Clerk#000000318,1994-04-02,7667.35,4594,1
O,5-LOW,4,HOUSEHOLD,20,Clerk#000000835,1995-09-07,3104.63,2328,1
F,5-LOW,3,MACHINERY,23,Clerk#000000850,1995-02-05,5910.12,1196,1
O,5-LOW,0,FURNITURE,15,Clerk#000000012,1996-01-07,4453.92,2999,1
F,5-LOW,3,BUILDING,6,Clerk#000000723,1994-09-27,8791.08,4013,1
F,1-URGENT,1,BUILDING,1,Clerk#000000407,1992-01-08,1161,409,1
O,3-MEDIUM,4,MACHINERY,4,Clerk#000000395,1996-09-27,3596.16,741,1
F,2-HIGH,4,FURNITURE,10,Clerk#000000645,1994-07-08,7620.35,4964,1
F,3-MEDIUM,1,HOUSEHOLD,24,Clerk#000000840,1994-11-30,2963.51,954,1
F,4-NOT SPECIFIED,2,MACHINERY,9,Clerk#000000775,1994-09-19,1104.05,1522,1
F,5-LOW,4,HOUSEHOLD,11,Clerk#000000690,1993-09-20,5273.69,477,1
F,2-HIGH,3,AUTOMOBILE,22,Clerk#000000841,1993-10-10,4846.36,1894,1
F,2-HIGH,3,FURNITURE,7,Clerk#000000376,1993-10-07,5270.43,2522,1
F,1-URGENT,4,BUILDING,11,Clerk#000000376,1993-03-12,8530.63,2808,1
O,3-MEDIUM,3,AUTOMOBILE,23,Clerk#000000536,1995-06-23,5501.18,616,1
O,5-LOW,2,HOUSEHOLD,12,Clerk#000000792,1996-09-15,1089.58,3630,1
F,3-MEDIUM,2,AUTOMOBILE,21,Clerk#000000597,1994-09-29,2793.75,3917,1
O,2-HIGH,2,FURNITURE,18,Clerk#000000195,1996-08-29,7104.63,1488,1
P,5-LOW,1,AUTOMOBILE,1,Clerk#000000215,1995-03-27,2737.71,630,1
O,2-HIGH,0,HOUSEHOLD,14,Clerk#000000970,1997-06-28,-495.84,1517,1
O,2-HIGH,0,BUILDING,0,Clerk#000000522,1998-07-20,702.73,916,1
O,2-HIGH,3,FURNITURE,19,Clerk#000000504,1996-04-07,2236.26,1203,1
F,1-URGENT,1,BUILDING,2,Clerk#000000803,1992-09-01,8033.96,152,1
F,3-MEDIUM,1,MACHINERY,1,Clerk#000000290,1994-03-31,-800.69,4277,1
F,4-NOT SPECIFIED,3,BUILDING,7,Clerk#000000496,1992-05-04,4629.76,3787,1
O,2-HIGH,1,BUILDING,3,Clerk#000000820,1996-01-02,6563.75,2961,1
F,4-NOT SPECIFIED,3,MACHINERY,19,Clerk#000000168,1993-09-16,6120.98,3242,1
O,2-HIGH,0,HOUSEHOLD,14,Clerk#000000700,1996-11-03,2141.83,3469,1
O,3-MEDIUM,0,BUILDING,14,Clerk#000000537,1998-06-08,6433.1,3595,1
O,1-URGENT,1,BUILDING,3,Clerk#000000518,1997-01-19,4785.81,4035,1
O,4-NOT SPECIFIED,1,AUTOMOBILE,3,Clerk#000000788,1996-02-13,4253.51,1729,1
P,4-NOT SPECIFIED,0,AUTOMOBILE,5,Clerk#000000833,1995-03-12,6322.09,1674,1
F,1-URGENT,1,AUTOMOBILE,1,Clerk#000000770,1995-02-05,6756.49,1788,1
F,3-MEDIUM,1,AUTOMOBILE,1,Clerk#000000557,1992-09-25,773.15,971,1
