o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,s_nationkey,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
F,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,3,HOUSEHOLD,MAIL,1,24,1992-12-28,1993-03-13,1993-04-24,1993-05-17,1,8423.690375
F,DELIVER IN PERSON,3,Manufacturer#4,2-HIGH,3,HOUSEHOLD,TRUCK,6,19,1992-12-28,1993-03-06,1992-12-29,1993-01-02,1,42103.48923
F,COLLECT COD,0,Manufacturer#2,2-HIGH,3,HOUSEHOLD,AIR,3,0,1992-12-28,1993-03-16,1993-03-15,1993-03-31,1,27272.211456
F,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,3,HOUSEHOLD,TRUCK,2,17,1992-12-28,1993-02-16,1993-02-24,1993-03-08,2,21755.546
F,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,3,HOUSEHOLD,SHIP,5,24,1992-12-28,1993-03-14,1993-01-30,1993-02-27,2,8981.4452
O,TAKE BACK RETURN,0,Manufacturer#5,1-URGENT,1,BUILDING,AIR,3,5,1997-09-28,1997-11-30,1997-10-13,1997-10-28,0,23396.324224
O,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,1,BUILDING,SHIP,4,15,1997-09-28,1997-11-13,1997-09-29,1997-10-07,0,60329.843712
O,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,BUILDING,FOB,1,18,1997-09-28,1997-11-01,1997-11-07,1997-11-18,0,55748.465136
O,DELIVER IN PERSON,0,Manufacturer#2,1-URGENT,1,BUILDING,MAIL,6,0,1997-09-28,1997-12-21,1998-01-12,1998-01-17,0,66700.62927
O,DELIVER IN PERSON,2,Manufacturer#2,1-URGENT,1,BUILDING,FOB,2,8,1997-09-28,1997-12-16,1997-11-15,1997-11-20,0,5592.903708
O,DELIVER IN PERSON,4,Manufacturer#4,1-URGENT,1,BUILDING,TRUCK,5,4,1997-09-28,1997-11-30,1998-01-15,1998-02-14,0,47804.48208
F,COLLECT COD,4,Manufacturer#5,3-MEDIUM,1,MACHINERY,RAIL,1,10,1994-01-03,1994-04-03,1994-01-14,1994-01-16,1,10627.63254
F,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,1,MACHINERY,RAIL,2,4,1994-01-03,1994-03-07,1994-01-29,1994-02-15,2,34224.1767
F,NONE,2,Manufacturer#5,3-MEDIUM,1,MACHINERY,RAIL,4,8,1994-01-03,1994-02-05,1994-02-26,1994-03-01,2,37818.6165
F,TAKE BACK RETURN,4,Manufacturer#5,3-MEDIUM,1,MACHINERY,MAIL,5,11,1994-01-03,1994-03-15,1994-04-26,1994-05-15,2,2204.46468
F,DELIVER IN PERSON,3,Manufacturer#2,3-MEDIUM,1,MACHINERY,MAIL,3,22,1994-01-03,1994-03-04,1994-04-09,1994-04-11,1,28248.7932
O,NONE,1,Manufacturer#5,3-MEDIUM,1,MACHINERY,SHIP,1,24,1996-07-13,1996-09-21,1996-10-24,1996-11-15,0,12696.203845
F,NONE,0,Manufacturer#3,1-URGENT,0,HOUSEHOLD,RAIL,3,14,1995-02-07,1995-04-02,1995-04-01,1995-04-18,2,72406.286568
F,TAKE BACK RETURN,0,Manufacturer#4,1-URGENT,0,HOUSEHOLD,TRUCK,2,0,1995-02-07,1995-03-20,1995-03-15,1995-04-09,1,38681.3784
F,NONE,2,Manufacturer#1,1-URGENT,0,HOUSEHOLD,TRUCK,1,12,1995-02-07,1995-04-12,1995-04-25,1995-05-13,1,16525.6
F,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,0,HOUSEHOLD,SHIP,4,14,1995-02-07,1995-03-13,1995-03-23,1995-04-16,2,34971.112152
O,COLLECT COD,2,Manufacturer#4,2-HIGH,0,BUILDING,SHIP,4,18,1997-04-26,1997-05-27,1997-06-15,1997-06-18,0,46401.192
O,TAKE BACK RETURN,0,Manufacturer#1,2-HIGH,0,BUILDING,REG AIR,6,0,1997-04-26,1997-06-27,1997-06-30,1997-07-11,0,23935.1112
O,DELIVER IN PERSON,2,Manufacturer#1,2-HIGH,0,BUILDING,REG AIR,2,12,1997-04-26,1997-06-18,1997-07-30,1997-08-13,0,27407.424
O,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,0,BUILDING,SHIP,3,13,1997-04-26,1997-06-12,1997-06-27,1997-07-22,0,62738.875488
O,TAKE BACK RETURN,4,Manufacturer#2,2-HIGH,0,BUILDING,TRUCK,5,4,1997-04-26,1997-07-20,1997-05-05,1997-05-26,0,4227.52302
O,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,0,BUILDING,SHIP,1,1,1997-04-26,1997-07-15,1997-08-06,1997-08-07,0,50644.97136
F,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,2,MACHINERY,TRUCK,1,19,1993-03-13,1993-05-06,1993-06-01,1993-06-11,2,13212.62964
F,TAKE BACK RETURN,1,Manufacturer#3,5-LOW,2,MACHINERY,SHIP,5,24,1993-03-13,1993-04-23,1993-05-24,1993-06-20,2,32144.446048
F,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,MACHINERY,TRUCK,2,3,1993-03-13,1993-04-17,1993-06-09,1993-06-16,2,17953.05906
F,COLLECT COD,1,Manufacturer#5,5-LOW,2,MACHINERY,AIR,3,24,1993-03-13,1993-05-12,1993-06-27,1993-07-11,2,67820.0224
F,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,MACHINERY,REG AIR,4,17,1993-03-13,1993-05-11,1993-04-05,1993-04-23,1,20021.0976
F,NONE,0,Manufacturer#5,2-HIGH,1,HOUSEHOLD,TRUCK,6,5,1994-06-30,1994-09-07,1994-08-31,1994-09-22,1,32574.96648
F,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,1,HOUSEHOLD,AIR,4,8,1994-06-30,1994-09-13,1994-10-05,1994-10-17,2,39796.952808
F,TAKE BACK RETURN,4,Manufacturer#2,2-HIGH,1,HOUSEHOLD,RAIL,1,4,1994-06-30,1994-08-04,1994-10-09,1994-11-03,1,33438.3528
F,TAKE BACK RETURN,2,Manufacturer#1,2-HIGH,1,HOUSEHOLD,RAIL,7,8,1994-06-30,1994-08-10,1994-09-21,1994-10-19,2,4982.71158
F,NONE,0,Manufacturer#3,2-HIGH,1,HOUSEHOLD,MAIL,2,0,1994-06-30,1994-09-10,1994-09-30,1994-10-26,1,50135.66376
F,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,1,HOUSEHOLD,SHIP,5,14,1994-06-30,1994-09-10,1994-08-28,1994-09-06,1,3807.751584
F,NONE,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,AIR,3,3,1994-06-30,1994-08-17,1994-08-13,1994-08-16,1,40140.7825
O,COLLECT COD,4,Manufacturer#2,4-NOT SPECIFIED,2,HOUSEHOLD,FOB,1,4,1997-07-20,1997-09-21,1997-08-04,1997-08-11,0,16543.76724
F,TAKE BACK RETURN,0,Manufacturer#5,4-NOT SPECIFIED,4,FURNITURE,SHIP,3,0,1995-01-02,1995-03-16,1995-04-27,1995-04-29,2,7576.54716
F,TAKE BACK RETURN,0,Manufacturer#4,4-NOT SPECIFIED,4,FURNITURE,AIR,2,14,1995-01-02,1995-02-04,1995-02-01,1995-03-02,1,1905.27552
F,TAKE BACK RETURN,3,Manufacturer#4,4-NOT SPECIFIED,4,FURNITURE,MAIL,4,23,1995-01-02,1995-03-19,1995-03-07,1995-03-26,2,45162.3004
F,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,4,FURNITURE,TRUCK,1,6,1995-01-02,1995-03-25,1995-04-23,1995-05-20,2,50103.252472
O,COLLECT COD,3,Manufacturer#3,2-HIGH,3,MACHINERY,RAIL,2,19,1996-12-24,1997-02-18,1997-01-02,1997-01-13,0,68458.89528
O,COLLECT COD,1,Manufacturer#2,2-HIGH,3,MACHINERY,REG AIR,1,2,1996-12-24,1997-02-12,1997-04-23,1997-05-21,0,33766.7772
O,TAKE BACK RETURN,3,Manufacturer#1,1-URGENT,4,FURNITURE,TRUCK,3,22,1998-01-07,1998-04-06,1998-02-25,1998-03-23,0,9667.713
O,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,4,FURNITURE,TRUCK,1,21,1998-01-07,1998-03-24,1998-02-11,1998-02-27,0,54939.76635
O,NONE,1,Manufacturer#2,1-URGENT,4,FURNITURE,REG AIR,7,24,1998-01-07,1998-04-03,1998-02-15,1998-02-23,0,40069.89072
O,COLLECT COD,1,Manufacturer#4,1-URGENT,4,FURNITURE,AIR,2,1,1998-01-07,1998-02-14,1998-04-14,1998-04-18,0,27393.597
O,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,4,FURNITURE,AIR,4,21,1998-01-07,1998-02-06,1998-03-30,1998-04-05,0,44740.63836
O,NONE,3,Manufacturer#5,1-URGENT,4,FURNITURE,REG AIR,6,19,1998-01-07,1998-03-13,1998-04-01,1998-04-27,0,66853.223775
O,DELIVER IN PERSON,1,Manufacturer#4,1-URGENT,4,FURNITURE,REG AIR,5,1,1998-01-07,1998-03-19,1998-03-26,1998-04-16,0,35035.47432
O,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,1,MACHINERY,RAIL,1,18,1997-11-23,1997-12-29,1998-02-04,1998-02-16,0,13547.1368
O,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,1,MACHINERY,FOB,2,14,1997-11-23,1998-01-02,1997-12-26,1998-01-24,0,19194.516
O,NONE,4,Manufacturer#5,2-HIGH,3,AUTOMOBILE,TRUCK,4,10,1995-10-11,1996-01-01,1995-11-13,1995-11-26,0,83804.9646
O,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,REG AIR,3,16,1995-10-11,1995-11-23,1996-01-27,1996-01-29,0,1319.0004
O,COLLECT COD,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,FOB,1,0,1995-10-11,1995-11-28,1995-12-14,1995-12-15,0,4307.398848
O,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,TRUCK,5,15,1995-10-11,1995-11-23,1995-11-30,1995-12-12,0,8791.270488
