o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,groupcol,aggcol
F,4-NOT SPECIFIED,1,BUILDING,24,Clerk#000000356,1992-12-16,8117.27,89,1
F,2-HIGH,4,MACHINERY,13,Clerk#000000062,1994-02-17,6170.06,90,1
O,5-LOW,1,BUILDING,2,Clerk#000000404,1998-04-07,4946.21,55,1
F,2-HIGH,0,AUTOMOBILE,16,Clerk#000000256,1994-11-17,4878.1,48,1
F,5-LOW,0,HOUSEHOLD,14,Clerk#000000294,1993-09-27,6693.36,91,1
F,3-MEDIUM,3,BUILDING,22,Clerk#000000468,1994-02-06,6058.08,92,1
P,4-NOT SPECIFIED,1,AUTOMOBILE,2,Clerk#000000643,1995-04-13,5340.67,93,1
O,3-MEDIUM,1,BUILDING,2,Clerk#000000376,1996-10-01,90.22,94,1
O,4-NOT SPECIFIED,4,AUTOMOBILE,4,Clerk#000000756,1995-10-31,5858.48,95,1
F,5-LOW,1,BUILDING,17,Clerk#000000405,1992-02-22,8492.33,75,1
O,4-NOT SPECIFIED,3,MACHINERY,7,Clerk#000000049,1997-05-31,9311.17,96,1
O,1-URGENT,0,HOUSEHOLD,5,Clerk#000000674,1996-06-01,7349.82,97,1
O,3-MEDIUM,3,AUTOMOBILE,19,Clerk#000000597,1995-08-21,5810.56,98,1
O,2-HIGH,0,FURNITURE,5,Clerk#000000841,1995-07-20,1791.65,99,1
P,4-NOT SPECIFIED,0,BUILDING,14,Clerk#000000293,1995-03-05,9043.55,100,1
O,5-LOW,1,FURNITURE,3,Clerk#000000048,1998-05-25,7746.97,101,1
O,1-URGENT,0,MACHINERY,5,Clerk#000000498,1997-10-14,1722.88,102,1
O,5-LOW,1,FURNITURE,1,Clerk#000000504,1997-05-26,4157,53,1
O,5-LOW,1,AUTOMOBILE,3,Clerk#000000890,1995-12-27,-275.58,103,1
O,1-URGENT,1,BUILDING,17,Clerk#000000796,1996-12-04,6428.32,104,1
F,5-LOW,3,AUTOMOBILE,19,Clerk#000000004,1993-05-08,85.05,105,1
F,2-HIGH,0,MACHINERY,0,Clerk#000000230,1992-10-08,9217.55,62,1
O,1-URGENT,2,MACHINERY,12,Clerk#000000295,1996-03-26,3279.84,106,1
O,2-HIGH,3,BUILDING,23,Clerk#000000025,1995-07-11,-565.35,107,1
O,3-MEDIUM,0,AUTOMOBILE,5,Clerk#000000545,1997-01-03,4974.68,108,1
O,2-HIGH,2,BUILDING,12,Clerk#000000105,1997-03-26,7447.99,109,1
O,4-NOT SPECIFIED,4,FURNITURE,4,Clerk#000000803,1996-03-11,7885.5,110,1
F,1-URGENT,3,AUTOMOBILE,19,Clerk#000000086,1992-08-18,2135.91,41,1
P,5-LOW,3,MACHINERY,19,Clerk#000000814,1995-05-20,2603,111,1
O,2-HIGH,1,FURNITURE,24,Clerk#000000522,1995-05-01,4038.45,112,1
O,2-HIGH,1,MACHINERY,24,Clerk#000000094,1996-04-04,7491.42,113,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,9,Clerk#000000700,1993-08-29,-932.09,114,1
O,2-HIGH,1,MACHINERY,3,Clerk#000000305,1998-04-21,1809.04,33,1
O,5-LOW,2,HOUSEHOLD,9,Clerk#000000359,1997-04-07,5500.11,115,1
O,2-HIGH,3,HOUSEHOLD,7,Clerk#000000768,1998-02-08,-501.37,116,1
O,1-URGENT,3,MACHINERY,19,Clerk#000000985,1997-10-31,2603,111,1
F,2-HIGH,2,AUTOMOBILE,12,Clerk#000000145,1993-02-17,-592.69,117,1
O,2-HIGH,1,MACHINERY,3,Clerk#000000537,1995-11-07,-487.92,118,1
O,2-HIGH,1,BUILDING,17,Clerk#000000041,1996-11-01,4605.87,119,1
O,3-MEDIUM,3,BUILDING,7,Clerk#000000976,1996-06-22,2902.95,120,1
F,1-URGENT,4,FURNITURE,4,Clerk#000000435,1994-09-21,5439.44,121,1
F,1-URGENT,2,BUILDING,12,Clerk#000000196,1992-07-13,9189.75,122,1
O,1-URGENT,0,AUTOMOBILE,14,Clerk#000000204,1995-08-02,5384.59,123,1
O,1-URGENT,1,AUTOMOBILE,3,Clerk#000000179,1995-05-30,8137.24,124,1
O,3-MEDIUM,0,BUILDING,15,Clerk#000000955,1997-05-13,8081.52,125,1
F,5-LOW,4,BUILDING,4,Clerk#000000154,1994-12-19,4804.57,126,1
O,5-LOW,0,AUTOMOBILE,16,Clerk#000000281,1997-01-10,274.5,127,1
O,2-HIGH,2,FURNITURE,21,Clerk#000000862,1998-03-11,3227.87,128,1
O,2-HIGH,2,AUTOMOBILE,9,Clerk#000000314,1997-07-05,233.51,129,1
O,4-NOT SPECIFIED,2,HOUSEHOLD,8,Clerk#000000239,1997-02-23,3354.47,130,1
O,1-URGENT,4,FURNITURE,10,Clerk#000000378,1997-10-21,6295.47,131,1
O,3-MEDIUM,2,MACHINERY,12,Clerk#000000792,1997-03-19,7929.9,132,1
O,3-MEDIUM,1,MACHINERY,1,Clerk#000000995,1996-02-28,9196.11,133,1
F,3-MEDIUM,2,MACHINERY,12,Clerk#000000348,1994-06-01,3279.84,106,1
O,1-URGENT,2,BUILDING,18,Clerk#000000610,1995-08-02,1685.9,134,1
F,1-URGENT,3,HOUSEHOLD,7,Clerk#000000401,1993-01-27,639.93,135,1
F,3-MEDIUM,2,HOUSEHOLD,12,Clerk#000000759,1992-10-21,5841.33,136,1
O,2-HIGH,2,HOUSEHOLD,8,Clerk#000000172,1995-06-18,1534.38,82,1
F,2-HIGH,1,AUTOMOBILE,2,Clerk#000000388,1992-12-01,1330.85,137,1
F,5-LOW,0,FURNITURE,14,Clerk#000000388,1992-05-09,1724.68,138,1
F,2-HIGH,1,AUTOMOBILE,24,Clerk#000000433,1993-01-23,3710.14,139,1
F,5-LOW,1,BUILDING,1,Clerk#000000175,1993-08-30,3893.14,140,1
F,3-MEDIUM,0,BUILDING,14,Clerk#000000357,1993-12-16,-98.46,141,1
P,2-HIGH,0,FURNITURE,14,Clerk#000000354,1995-03-25,6181.23,142,1
F,1-URGENT,4,MACHINERY,4,Clerk#000000550,1992-05-01,2764.43,143,1
F,2-HIGH,1,BUILDING,1,Clerk#000000090,1994-12-03,4189.04,144,1
F,2-HIGH,1,HOUSEHOLD,2,Clerk#000000203,1994-11-22,6557.51,70,1
O,1-URGENT,0,BUILDING,0,Clerk#000000270,1997-08-07,-920.4,145,1
F,5-LOW,2,MACHINERY,12,Clerk#000000106,1994-04-14,8647.42,146,1
F,1-URGENT,0,BUILDING,0,Clerk#000000448,1994-03-10,2072.99,147,1
F,5-LOW,3,HOUSEHOLD,22,Clerk#000000448,1992-08-29,-267.09,148,1
O,2-HIGH,2,AUTOMOBILE,18,Clerk#000000168,1997-07-31,3582.37,149,1
O,2-HIGH,2,BUILDING,21,Clerk#000000248,1996-12-13,2755.46,150,1
F,3-MEDIUM,4,FURNITURE,4,Clerk#000000824,1993-11-24,5439.44,121,1
F,5-LOW,1,MACHINERY,3,Clerk#000000530,1993-02-27,4344.52,151,1
O,2-HIGH,3,MACHINERY,19,Clerk#000000853,1995-12-15,8695.45,152,1
O,3-MEDIUM,4,BUILDING,11,Clerk#000000682,1996-11-21,2954.9,153,1
O,4-NOT SPECIFIED,2,BUILDING,21,Clerk#000000294,1997-02-13,1952.36,154,1
O,1-URGENT,0,HOUSEHOLD,16,Clerk#000000448,1995-09-09,2961.79,155,1
F,3-MEDIUM,1,AUTOMOBILE,2,Clerk#000000199,1994-11-20,3139.71,63,1
O,3-MEDIUM,2,MACHINERY,8,Clerk#000000101,1998-07-03,4571.78,156,1
O,1-URGENT,4,BUILDING,20,Clerk#000000461,1998-04-21,7451.84,157,1
F,5-LOW,1,BUILDING,3,Clerk#000000026,1993-01-02,9459.5,158,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,7,Clerk#000000856,1993-09-23,7511.17,159,1
O,5-LOW,2,AUTOMOBILE,9,Clerk#000000881,1998-06-21,8730.85,160,1
F,5-LOW,2,AUTOMOBILE,18,Clerk#000000233,1992-04-26,9593.35,161,1
F,4-NOT SPECIFIED,3,MACHINERY,19,Clerk#000000669,1993-03-02,6239.89,162,1
O,5-LOW,4,MACHINERY,4,Clerk#000000900,1998-05-31,2866.83,72,1
O,3-MEDIUM,3,FURNITURE,19,Clerk#000000583,1995-07-16,5896.87,163,1
O,2-HIGH,4,HOUSEHOLD,20,Clerk#000000295,1998-07-07,2942.19,23,1
F,5-LOW,2,HOUSEHOLD,8,Clerk#000000543,1994-12-23,6359.27,164,1
O,4-NOT SPECIFIED,0,BUILDING,14,Clerk#000000933,1996-10-04,3170.47,165,1
O,3-MEDIUM,1,AUTOMOBILE,1,Clerk#000000411,1996-08-20,3914.88,166,1
F,3-MEDIUM,0,AUTOMOBILE,14,Clerk#000000172,1993-06-02,9443.39,167,1
O,5-LOW,2,MACHINERY,12,Clerk#000000572,1998-05-23,6082.74,168,1
O,1-URGENT,1,FURNITURE,24,Clerk#000000105,1995-06-17,9225.6,169,1
F,2-HIGH,1,MACHINERY,2,Clerk#000000430,1993-04-17,4768.8,170,1
F,3-MEDIUM,2,MACHINERY,9,Clerk#000000307,1993-09-26,4910.48,171,1
O,1-URGENT,1,HOUSEHOLD,3,Clerk#000000883,1995-12-04,2584.23,172,1
F,1-URGENT,1,AUTOMOBILE,2,Clerk#000000191,1995-03-18,1330.85,137,1
O,2-HIGH,3,BUILDING,19,Clerk#000000213,1998-07-14,1469.59,173,1
F,1-URGENT,2,HOUSEHOLD,9,Clerk#000000186,1992-02-18,4966.58,174,1
F,1-URGENT,3,HOUSEHOLD,22,Clerk#000000516,1995-01-05,5420.32,175,1
O,5-LOW,4,HOUSEHOLD,13,Clerk#000000260,1997-04-29,9748.93,176,1
F,3-MEDIUM,4,AUTOMOBILE,4,Clerk#000000931,1993-03-12,3300.82,177,1
O,4-NOT SPECIFIED,4,BUILDING,20,Clerk#000000856,1995-07-05,5579.81,178,1
O,2-HIGH,4,AUTOMOBILE,10,Clerk#000000240,1996-06-20,-922.69,179,1
F,3-MEDIUM,4,MACHINERY,10,Clerk#000000012,1993-11-24,9158.91,180,1
F,5-LOW,4,MACHINERY,4,Clerk#000000495,1992-04-19,1811.35,181,1
F,3-MEDIUM,4,BUILDING,4,Clerk#000000437,1994-02-13,4804.57,126,1
F,3-MEDIUM,2,BUILDING,21,Clerk#000000805,1994-05-23,1952.36,154,1
O,4-NOT SPECIFIED,4,BUILDING,11,Clerk#000000416,1995-10-08,9442.55,46,1
O,4-NOT SPECIFIED,2,HOUSEHOLD,8,Clerk#000000729,1996-11-25,3354.47,130,1
F,4-NOT SPECIFIED,1,HOUSEHOLD,2,Clerk#000000563,1994-06-15,5553.75,182,1
O,5-LOW,4,HOUSEHOLD,4,Clerk#000000213,1998-01-29,208.45,183,1
O,1-URGENT,4,BUILDING,11,Clerk#000000951,1995-08-08,3952.84,26,1
O,1-URGENT,1,HOUSEHOLD,17,Clerk#000000036,1997-08-17,2675.73,184,1
F,3-MEDIUM,3,AUTOMOBILE,22,Clerk#000000337,1993-05-04,5182.05,185,1
F,3-MEDIUM,1,MACHINERY,2,Clerk#000000718,1992-11-28,-849.44,186,1
F,3-MEDIUM,0,AUTOMOBILE,15,Clerk#000000877,1993-11-16,9139.52,187,1
F,4-NOT SPECIFIED,2,BUILDING,8,Clerk#000000782,1992-06-09,1766.23,188,1
O,2-HIGH,3,MACHINERY,23,Clerk#000000245,1997-01-12,459.22,189,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,20,Clerk#000000123,1993-06-20,4489.98,13,1
O,5-LOW,4,HOUSEHOLD,13,Clerk#000000882,1995-11-15,9748.93,176,1
F,1-URGENT,1,AUTOMOBILE,2,Clerk#000000187,1993-03-09,6.34,190,1
P,1-URGENT,3,FURNITURE,22,Clerk#000000316,1995-03-20,-213.85,191,1
F,2-HIGH,2,MACHINERY,12,Clerk#000000611,1993-06-03,3342.75,192,1
O,5-LOW,2,BUILDING,21,Clerk#000000575,1998-04-08,5275.88,193,1
F,4-NOT SPECIFIED,4,FURNITURE,11,Clerk#000000060,1994-10-01,5222.83,194,1
O,4-NOT SPECIFIED,2,BUILDING,12,Clerk#000000929,1998-07-21,2912,195,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,0,Clerk#000000811,1994-07-27,3306.32,196,1
O,4-NOT SPECIFIED,0,BUILDING,16,Clerk#000000793,1995-07-07,-716.1,197,1
F,5-LOW,1,HOUSEHOLD,1,Clerk#000000450,1995-03-02,4716.68,198,1
F,2-HIGH,0,HOUSEHOLD,14,Clerk#000000160,1992-10-02,5411.2,199,1
F,1-URGENT,1,HOUSEHOLD,17,Clerk#000000004,1994-12-17,204.84,200,1
F,1-URGENT,2,HOUSEHOLD,8,Clerk#000000881,1992-12-07,6359.27,164,1
O,2-HIGH,3,BUILDING,22,Clerk#000000218,1997-05-16,7408.73,201,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,0,Clerk#000000752,1992-08-05,138.31,202,1
O,1-URGENT,3,BUILDING,23,Clerk#000000229,1996-07-03,5840.97,203,1
O,5-LOW,0,MACHINERY,16,Clerk#000000180,1997-09-24,6582.04,204,1
F,3-MEDIUM,1,BUILDING,1,Clerk#000000120,1994-09-21,7348.92,205,1
P,4-NOT SPECIFIED,0,MACHINERY,15,Clerk#000000720,1995-06-04,-334.89,206,1
F,5-LOW,4,BUILDING,10,Clerk#000000463,1994-05-06,3199.03,207,1
F,3-MEDIUM,0,AUTOMOBILE,15,Clerk#000000497,1994-05-26,9139.52,187,1
O,3-MEDIUM,2,MACHINERY,8,Clerk#000000657,1995-05-20,8363.66,208,1
O,2-HIGH,4,BUILDING,11,Clerk#000000239,1998-04-30,4608.9,209,1
F,3-MEDIUM,1,AUTOMOBILE,1,Clerk#000000167,1992-06-21,8990.07,210,1
O,3-MEDIUM,3,MACHINERY,19,Clerk#000000875,1997-11-11,-303.95,211,1
O,3-MEDIUM,0,BUILDING,0,Clerk#000000894,1995-09-10,2072.99,147,1
F,5-LOW,1,BUILDING,3,Clerk#000000497,1994-04-20,3857.34,212,1
P,3-MEDIUM,1,AUTOMOBILE,24,Clerk#000000439,1995-05-31,4976.24,213,1
O,1-URGENT,3,FURNITURE,22,Clerk#000000497,1997-12-29,7412.12,214,1
O,2-HIGH,2,MACHINERY,21,Clerk#000000651,1997-05-19,5878.21,215,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,19,Clerk#000000956,1994-11-26,956.88,216,1
F,5-LOW,4,BUILDING,13,Clerk#000000464,1993-09-05,8404.9,88,1
O,5-LOW,1,HOUSEHOLD,17,Clerk#000000903,1997-12-23,1228.24,217,1
F,2-HIGH,1,BUILDING,2,Clerk#000000376,1995-05-05,4946.21,55,1
O,5-LOW,3,BUILDING,6,Clerk#000000223,1997-06-04,8667.09,30,1
F,3-MEDIUM,0,HOUSEHOLD,16,Clerk#000000241,1992-06-03,3419.66,218,1
F,2-HIGH,1,MACHINERY,17,Clerk#000000131,1994-01-01,2039.84,219,1
F,2-HIGH,1,HOUSEHOLD,3,Clerk#000000700,1994-06-21,6603.43,220,1
F,5-LOW,2,HOUSEHOLD,21,Clerk#000000422,1994-06-15,280.29,221,1
F,3-MEDIUM,2,FURNITURE,8,Clerk#000000448,1994-09-01,-917.75,222,1
F,1-URGENT,3,AUTOMOBILE,22,Clerk#000000125,1995-02-11,5067.31,223,1
F,1-URGENT,1,BUILDING,2,Clerk#000000124,1992-02-20,2883.24,78,1
F,3-MEDIUM,4,BUILDING,13,Clerk#000000373,1993-04-26,4990.92,49,1
F,1-URGENT,1,BUILDING,24,Clerk#000000104,1994-02-27,5152.42,224,1
O,5-LOW,1,BUILDING,2,Clerk#000000576,1998-05-15,4946.21,55,1
O,1-URGENT,1,HOUSEHOLD,2,Clerk#000000152,1997-01-15,9776.39,225,1
F,2-HIGH,2,FURNITURE,12,Clerk#000000024,1994-04-02,8982.79,0,1
F,5-LOW,3,FURNITURE,7,Clerk#000000347,1992-05-21,4329.98,84,1
O,4-NOT SPECIFIED,2,FURNITURE,21,Clerk#000000226,1996-05-04,7157.21,226,1
O,2-HIGH,3,MACHINERY,22,Clerk#000000300,1997-11-15,1134.4,227,1
O,1-URGENT,2,MACHINERY,8,Clerk#000000549,1996-08-27,4086.56,228,1
P,3-MEDIUM,2,MACHINERY,18,Clerk#000000006,1995-03-04,8482.51,229,1
O,4-NOT SPECIFIED,2,MACHINERY,9,Clerk#000000159,1997-07-31,7347.9,230,1
O,3-MEDIUM,1,FURNITURE,17,Clerk#000000570,1997-12-24,5436.81,231,1
O,3-MEDIUM,1,BUILDING,17,Clerk#000000709,1995-08-22,4605.87,119,1
O,3-MEDIUM,3,BUILDING,6,Clerk#000000541,1997-01-13,4361.7,232,1
O,1-URGENT,4,BUILDING,20,Clerk#000000083,1997-01-10,6378.67,233,1
O,3-MEDIUM,3,AUTOMOBILE,19,Clerk#000000929,1996-08-03,85.05,105,1
O,5-LOW,1,HOUSEHOLD,3,Clerk#000000326,1998-07-30,2584.23,172,1
F,2-HIGH,1,MACHINERY,3,Clerk#000000510,1994-10-27,1975.41,234,1
O,4-NOT SPECIFIED,1,BUILDING,17,Clerk#000000928,1998-01-28,4605.87,119,1
O,4-NOT SPECIFIED,1,BUILDING,1,Clerk#000000397,1995-09-19,3652.29,235,1
F,4-NOT SPECIFIED,3,FURNITURE,22,Clerk#000000496,1994-08-14,-213.85,191,1
O,5-LOW,4,BUILDING,20,Clerk#000000059,1996-04-18,6378.67,233,1
O,2-HIGH,3,AUTOMOBILE,19,Clerk#000000164,1997-10-06,5810.56,98,1
O,1-URGENT,0,BUILDING,14,Clerk#000000200,1996-10-19,5812.93,236,1
O,4-NOT SPECIFIED,0,BUILDING,0,Clerk#000000207,1998-01-14,8921.97,237,1
O,2-HIGH,4,BUILDING,20,Clerk#000000549,1996-06-30,3136.15,238,1
F,3-MEDIUM,1,MACHINERY,17,Clerk#000000992,1992-09-18,2039.84,219,1
O,5-LOW,2,AUTOMOBILE,12,Clerk#000000777,1997-10-26,1194.33,239,1
F,5-LOW,1,MACHINERY,1,Clerk#000000344,1992-08-24,9114.68,240,1
O,4-NOT SPECIFIED,3,FURNITURE,19,Clerk#000000798,1996-08-15,1647.05,241,1
F,3-MEDIUM,3,MACHINERY,22,Clerk#000000047,1992-11-20,7882.44,242,1
O,2-HIGH,4,FURNITURE,4,Clerk#000000256,1996-04-11,7654.31,243,1
F,1-URGENT,4,FURNITURE,20,Clerk#000000243,1994-04-09,8018.81,4,1
