o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,o_custkey,groupcol,aggcol
F,4-NOT SPECIFIED,0,AUTOMOBILE,15,Clerk#000000094,1993-09-27,2512.14,14443,0,1
F,2-HIGH,4,HOUSEHOLD,4,Clerk#000000370,1993-09-17,8894.1,10666,4,1
F,1-URGENT,3,FURNITURE,6,Clerk#000000215,1993-08-30,8993.48,11287,2,1
F,2-HIGH,0,MACHINERY,16,Clerk#000000664,1993-08-18,649.53,12397,4,1
F,1-URGENT,3,FURNITURE,23,Clerk#000000771,1993-09-25,9734.16,2897,2,1
F,4-NOT SPECIFIED,1,MACHINERY,2,Clerk#000000770,1993-09-28,3858.96,2861,0,1
F,5-LOW,2,MACHINERY,9,Clerk#000000253,1993-07-15,-549.09,5845,1,1
F,5-LOW,4,HOUSEHOLD,10,Clerk#000000730,1993-08-21,3633.36,5099,1,1
F,3-MEDIUM,3,BUILDING,7,Clerk#000000857,1993-07-01,957.58,212,3,1
F,4-NOT SPECIFIED,2,FURNITURE,8,Clerk#000000019,1993-07-16,8238.22,3697,0,1
F,2-HIGH,4,FURNITURE,4,Clerk#000000528,1993-08-22,9203.07,8027,4,1
F,3-MEDIUM,3,BUILDING,7,Clerk#000000052,1993-08-14,2783.89,10765,3,1
F,5-LOW,2,HOUSEHOLD,8,Clerk#000000228,1993-07-15,2840.59,1060,1,1
F,1-URGENT,4,BUILDING,4,Clerk#000000785,1993-07-11,1057.16,13000,2,1
F,5-LOW,0,MACHINERY,16,Clerk#000000564,1993-09-29,6107,2909,1,1
F,1-URGENT,3,MACHINERY,7,Clerk#000000669,1993-07-25,4429.67,6469,2,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,14,Clerk#000000771,1993-08-22,524.02,10456,0,1
F,4-NOT SPECIFIED,2,BUILDING,12,Clerk#000000249,1993-07-12,3102.77,2893,0,1
F,1-URGENT,1,HOUSEHOLD,1,Clerk#000000327,1993-08-29,705.93,526,2,1
F,1-URGENT,1,FURNITURE,17,Clerk#000000579,1993-08-27,9694.26,2066,2,1
F,1-URGENT,1,AUTOMOBILE,2,Clerk#000000350,1993-09-19,9401.15,12928,2,1
F,2-HIGH,2,FURNITURE,12,Clerk#000000438,1993-09-06,-889.23,11344,4,1
F,2-HIGH,0,BUILDING,16,Clerk#000000139,1993-09-12,-532.13,6877,4,1
F,5-LOW,0,FURNITURE,0,Clerk#000000983,1993-07-05,-968.58,3097,1,1
F,3-MEDIUM,2,HOUSEHOLD,12,Clerk#000000212,1993-09-15,7020.8,10163,3,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,8,Clerk#000000457,1993-09-07,8875.4,5548,0,1
F,5-LOW,3,HOUSEHOLD,6,Clerk#000000760,1993-08-07,6378.93,11350,1,1
F,4-NOT SPECIFIED,1,MACHINERY,17,Clerk#000000992,1993-07-15,7643.3,2917,0,1
F,2-HIGH,0,HOUSEHOLD,16,Clerk#000000691,1993-07-25,4085.85,1663,4,1
F,5-LOW,3,BUILDING,22,Clerk#000000919,1993-08-23,6058.08,547,1,1
F,5-LOW,3,AUTOMOBILE,22,Clerk#000000742,1993-08-04,5395.86,11863,1,1
F,4-NOT SPECIFIED,2,BUILDING,18,Clerk#000000675,1993-07-16,-867.94,709,0,1
F,4-NOT SPECIFIED,3,BUILDING,23,Clerk#000000133,1993-08-07,792.93,9358,0,1
F,2-HIGH,4,MACHINERY,20,Clerk#000000905,1993-07-18,8997.6,1490,4,1
F,4-NOT SPECIFIED,0,FURNITURE,0,Clerk#000000917,1993-09-04,2123.62,7909,0,1
F,5-LOW,1,FURNITURE,1,Clerk#000000017,1993-08-12,111.3,14572,1,1
F,3-MEDIUM,1,HOUSEHOLD,2,Clerk#000000097,1993-09-07,2011.95,3385,3,1
F,2-HIGH,1,HOUSEHOLD,24,Clerk#000000036,1993-09-10,891.93,5944,4,1
F,2-HIGH,4,FURNITURE,11,Clerk#000000720,1993-08-19,3573.02,3109,4,1
F,5-LOW,4,MACHINERY,10,Clerk#000000786,1993-09-10,9476.19,10285,1,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,8,Clerk#000000586,1993-08-23,7559.24,9890,0,1
F,5-LOW,4,HOUSEHOLD,4,Clerk#000000681,1993-09-10,8073.17,13132,1,1
F,2-HIGH,2,BUILDING,18,Clerk#000000186,1993-09-20,6162.21,2738,4,1
F,4-NOT SPECIFIED,2,FURNITURE,9,Clerk#000000657,1993-08-04,7105.99,14194,0,1
F,1-URGENT,0,HOUSEHOLD,14,Clerk#000000701,1993-07-12,4639.68,7403,2,1
F,2-HIGH,1,BUILDING,3,Clerk#000000232,1993-09-05,9402.1,3002,4,1
F,4-NOT SPECIFIED,2,HOUSEHOLD,12,Clerk#000000879,1993-08-02,2745.56,5257,0,1
F,5-LOW,0,HOUSEHOLD,15,Clerk#000000287,1993-08-05,-457.24,7093,1,1
F,2-HIGH,2,HOUSEHOLD,21,Clerk#000000765,1993-09-01,6074.01,1297,4,1
F,4-NOT SPECIFIED,1,MACHINERY,17,Clerk#000000867,1993-08-09,1509.92,6289,0,1
F,3-MEDIUM,4,FURNITURE,13,Clerk#000000998,1993-08-06,2624.4,12200,3,1
F,3-MEDIUM,2,HOUSEHOLD,12,Clerk#000000038,1993-08-03,2103.67,10870,3,1
F,4-NOT SPECIFIED,3,FURNITURE,22,Clerk#000000018,1993-08-17,6695.71,5359,0,1
F,3-MEDIUM,4,HOUSEHOLD,13,Clerk#000000911,1993-09-29,4189.33,13357,3,1
F,5-LOW,0,MACHINERY,5,Clerk#000000254,1993-09-27,8784.97,4075,1,1
F,2-HIGH,2,BUILDING,9,Clerk#000000709,1993-09-12,6802.03,9754,4,1
F,3-MEDIUM,2,AUTOMOBILE,21,Clerk#000000423,1993-08-18,8740.33,14513,3,1
F,5-LOW,4,AUTOMOBILE,4,Clerk#000000824,1993-09-18,2487.85,5546,1,1
F,3-MEDIUM,4,BUILDING,13,Clerk#000000655,1993-09-27,6553.37,932,3,1
F,1-URGENT,2,AUTOMOBILE,9,Clerk#000000098,1993-07-26,-485.01,5323,2,1
F,1-URGENT,3,BUILDING,7,Clerk#000000614,1993-08-12,2783.89,10765,2,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,14,Clerk#000000863,1993-08-21,1548.32,7565,0,1
F,1-URGENT,2,HOUSEHOLD,18,Clerk#000000690,1993-09-26,5178.28,5038,2,1
F,1-URGENT,2,BUILDING,21,Clerk#000000440,1993-07-03,-511.55,9349,2,1
F,5-LOW,1,MACHINERY,3,Clerk#000000247,1993-08-26,-650.19,8455,1,1
F,4-NOT SPECIFIED,3,FURNITURE,19,Clerk#000000388,1993-07-13,1452.01,11690,0,1
F,2-HIGH,0,HOUSEHOLD,15,Clerk#000000763,1993-07-08,4413.55,13519,4,1
F,1-URGENT,0,FURNITURE,14,Clerk#000000702,1993-08-22,7059.15,577,2,1
F,4-NOT SPECIFIED,3,BUILDING,7,Clerk#000000620,1993-07-08,5604.4,3602,0,1
F,5-LOW,4,AUTOMOBILE,20,Clerk#000000694,1993-09-10,7838.69,12061,1,1
F,5-LOW,2,BUILDING,12,Clerk#000000499,1993-09-24,2217.58,7693,1,1
F,5-LOW,1,HOUSEHOLD,17,Clerk#000000316,1993-07-03,7027.56,14305,1,1
F,1-URGENT,2,HOUSEHOLD,9,Clerk#000000488,1993-07-23,5073.58,130,2,1
F,4-NOT SPECIFIED,0,BUILDING,14,Clerk#000000675,1993-08-17,6035.71,2980,0,1
F,1-URGENT,3,BUILDING,22,Clerk#000000295,1993-08-10,9635.32,5249,2,1
F,2-HIGH,1,BUILDING,1,Clerk#000000370,1993-09-23,-210.4,478,4,1
F,1-URGENT,4,MACHINERY,13,Clerk#000000232,1993-08-13,7793.72,2812,2,1
F,4-NOT SPECIFIED,0,MACHINERY,16,Clerk#000000799,1993-09-30,3692.22,13585,0,1
F,4-NOT SPECIFIED,0,MACHINERY,16,Clerk#000000027,1993-07-05,3625.11,8734,0,1
F,1-URGENT,1,HOUSEHOLD,24,Clerk#000000324,1993-09-22,5026.36,8479,2,1
F,2-HIGH,3,MACHINERY,22,Clerk#000000509,1993-09-06,9216.78,8665,4,1
F,4-NOT SPECIFIED,4,MACHINERY,20,Clerk#000000813,1993-09-01,418.1,10481,0,1
F,3-MEDIUM,4,AUTOMOBILE,4,Clerk#000000581,1993-07-13,8366.9,8248,3,1
F,1-URGENT,4,HOUSEHOLD,20,Clerk#000000182,1993-09-22,1694.75,3194,2,1
F,3-MEDIUM,1,HOUSEHOLD,3,Clerk#000000605,1993-09-05,5717.6,7015,3,1
F,2-HIGH,0,BUILDING,15,Clerk#000000912,1993-07-16,4152.19,2846,4,1
F,3-MEDIUM,4,MACHINERY,20,Clerk#000000803,1993-07-08,8997.6,1490,3,1
F,2-HIGH,4,AUTOMOBILE,11,Clerk#000000041,1993-07-30,2189.79,3635,4,1
F,3-MEDIUM,4,AUTOMOBILE,20,Clerk#000000022,1993-08-08,9806.94,12520,3,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,21,Clerk#000000249,1993-07-16,1235.5,5600,0,1
F,4-NOT SPECIFIED,2,FURNITURE,21,Clerk#000000480,1993-09-24,9860.4,6592,0,1
F,5-LOW,2,MACHINERY,9,Clerk#000000002,1993-08-04,8701.02,6326,1,1
F,4-NOT SPECIFIED,1,AUTOMOBILE,1,Clerk#000000024,1993-07-11,8990.07,1099,0,1
F,3-MEDIUM,0,MACHINERY,5,Clerk#000000757,1993-09-02,-625.09,7589,3,1
F,4-NOT SPECIFIED,3,FURNITURE,19,Clerk#000000921,1993-09-24,7589.3,13405,0,1
F,3-MEDIUM,0,FURNITURE,15,Clerk#000000464,1993-07-19,3712.12,2978,3,1
F,4-NOT SPECIFIED,2,HOUSEHOLD,18,Clerk#000000980,1993-07-24,2995.43,3841,0,1
F,2-HIGH,4,AUTOMOBILE,10,Clerk#000000405,1993-07-01,3865.99,12691,4,1
F,4-NOT SPECIFIED,1,MACHINERY,24,Clerk#000000701,1993-09-25,2925.52,1289,0,1
F,2-HIGH,3,FURNITURE,23,Clerk#000000487,1993-07-08,8464.15,5575,4,1
F,2-HIGH,0,FURNITURE,0,Clerk#000000221,1993-09-23,1624.68,6581,4,1
F,3-MEDIUM,2,FURNITURE,21,Clerk#000000934,1993-09-11,6385.54,6244,3,1
F,2-HIGH,2,MACHINERY,8,Clerk#000000436,1993-07-15,769.99,10441,4,1
F,1-URGENT,3,AUTOMOBILE,6,Clerk#000000346,1993-07-03,2402.5,12676,2,1
F,3-MEDIUM,2,MACHINERY,9,Clerk#000000160,1993-08-23,6329.64,9724,3,1
F,2-HIGH,0,HOUSEHOLD,16,Clerk#000000516,1993-08-03,4781.12,3041,4,1
F,3-MEDIUM,2,BUILDING,9,Clerk#000000009,1993-08-28,7555.43,11462,3,1
F,3-MEDIUM,3,BUILDING,22,Clerk#000000435,1993-07-15,8736.49,3476,3,1
F,1-URGENT,4,FURNITURE,10,Clerk#000000944,1993-07-07,6872.39,7339,2,1
F,4-NOT SPECIFIED,0,FURNITURE,5,Clerk#000000830,1993-08-03,7880.89,12118,0,1
F,1-URGENT,4,HOUSEHOLD,20,Clerk#000000406,1993-09-26,7505.19,9562,2,1
F,1-URGENT,3,FURNITURE,22,Clerk#000000985,1993-08-30,6148.97,2834,2,1
F,5-LOW,2,FURNITURE,9,Clerk#000000717,1993-07-27,3929.96,181,1,1
F,5-LOW,0,BUILDING,5,Clerk#000000390,1993-07-24,5554.82,3947,1,1
F,1-URGENT,4,AUTOMOBILE,11,Clerk#000000989,1993-09-28,2393.35,3977,2,1
F,4-NOT SPECIFIED,2,MACHINERY,18,Clerk#000000318,1993-07-13,7055.13,979,0,1
F,3-MEDIUM,2,HOUSEHOLD,9,Clerk#000000353,1993-07-19,8937.57,11128,3,1
F,2-HIGH,0,HOUSEHOLD,16,Clerk#000000753,1993-07-25,6696.49,194,4,1
F,1-URGENT,3,BUILDING,19,Clerk#000000088,1993-07-22,6784.42,3509,2,1
F,1-URGENT,4,BUILDING,10,Clerk#000000650,1993-09-27,8270.04,6389,2,1
F,3-MEDIUM,1,HOUSEHOLD,3,Clerk#000000194,1993-07-26,4498.9,5312,3,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,5,Clerk#000000416,1993-07-12,6810.79,4426,0,1
F,5-LOW,3,AUTOMOBILE,22,Clerk#000000434,1993-09-05,5067.31,275,1,1
F,1-URGENT,4,BUILDING,10,Clerk#000000455,1993-08-04,9939.14,8584,2,1
F,1-URGENT,0,BUILDING,15,Clerk#000000206,1993-08-21,-544.01,7639,2,1
F,3-MEDIUM,0,AUTOMOBILE,16,Clerk#000000386,1993-09-05,6398.44,4339,3,1
F,5-LOW,4,MACHINERY,11,Clerk#000000859,1993-07-12,814.94,13888,1,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,19,Clerk#000000476,1993-09-12,1605.61,1909,0,1
F,3-MEDIUM,0,MACHINERY,16,Clerk#000000533,1993-08-11,1520.34,1342,3,1
F,1-URGENT,3,MACHINERY,22,Clerk#000000632,1993-07-26,5546.71,14248,2,1
F,1-URGENT,4,BUILDING,20,Clerk#000000082,1993-09-20,25.06,2551,2,1
F,3-MEDIUM,4,MACHINERY,4,Clerk#000000024,1993-08-23,5185.63,3734,3,1
F,4-NOT SPECIFIED,4,AUTOMOBILE,11,Clerk#000000136,1993-09-05,1853.51,9976,0,1
F,3-MEDIUM,0,AUTOMOBILE,16,Clerk#000000141,1993-07-04,9266.92,12193,3,1
F,4-NOT SPECIFIED,2,FURNITURE,18,Clerk#000000524,1993-07-02,4732.42,2149,0,1
F,2-HIGH,0,MACHINERY,5,Clerk#000000995,1993-08-19,1121.2,11431,4,1
F,1-URGENT,2,FURNITURE,12,Clerk#000000940,1993-07-22,1798.74,10579,2,1
F,1-URGENT,4,HOUSEHOLD,20,Clerk#000000307,1993-08-12,2479.93,13568,2,1
F,3-MEDIUM,3,BUILDING,6,Clerk#000000856,1993-08-18,7545.62,12947,3,1
F,2-HIGH,1,FURNITURE,24,Clerk#000000797,1993-09-17,5040.68,14899,4,1
F,3-MEDIUM,4,MACHINERY,10,Clerk#000000874,1993-08-11,3177.05,8570,3,1
F,2-HIGH,2,FURNITURE,21,Clerk#000000174,1993-08-14,4358.27,2401,4,1
F,1-URGENT,2,AUTOMOBILE,18,Clerk#000000166,1993-07-05,9729.32,4213,2,1
F,3-MEDIUM,1,FURNITURE,17,Clerk#000000880,1993-09-09,367.03,997,3,1
F,1-URGENT,3,BUILDING,23,Clerk#000000483,1993-09-08,9876.05,10321,2,1
F,1-URGENT,2,HOUSEHOLD,21,Clerk#000000367,1993-09-01,4743.4,4480,2,1
F,2-HIGH,3,HOUSEHOLD,23,Clerk#000000428,1993-07-24,4211.66,7090,4,1
F,2-HIGH,3,AUTOMOBILE,19,Clerk#000000355,1993-08-26,3715.05,14357,4,1
F,1-URGENT,2,FURNITURE,8,Clerk#000000466,1993-07-17,2605.77,11953,2,1
F,5-LOW,4,HOUSEHOLD,11,Clerk#000000503,1993-08-13,9599.69,9628,1,1
F,5-LOW,4,MACHINERY,4,Clerk#000000058,1993-09-12,-569.45,8237,1,1
F,3-MEDIUM,0,AUTOMOBILE,5,Clerk#000000728,1993-09-16,8380.17,4384,3,1
F,2-HIGH,0,BUILDING,0,Clerk#000000185,1993-07-06,1228.47,5503,4,1
F,1-URGENT,1,MACHINERY,1,Clerk#000000331,1993-08-08,2753.48,6091,2,1
F,1-URGENT,2,AUTOMOBILE,9,Clerk#000000832,1993-08-22,5414.64,1988,2,1
F,2-HIGH,3,BUILDING,22,Clerk#000000097,1993-09-22,2047.15,11830,4,1
F,1-URGENT,3,BUILDING,19,Clerk#000000334,1993-09-10,3141.33,10642,2,1
F,4-NOT SPECIFIED,1,MACHINERY,24,Clerk#000000968,1993-09-08,4758.15,4043,0,1
F,2-HIGH,4,AUTOMOBILE,10,Clerk#000000645,1993-07-16,7684.96,2173,4,1
F,3-MEDIUM,3,HOUSEHOLD,19,Clerk#000000506,1993-07-07,-778.57,12115,3,1
F,1-URGENT,2,AUTOMOBILE,8,Clerk#000000025,1993-07-30,2717.99,12790,2,1
F,5-LOW,0,HOUSEHOLD,5,Clerk#000000101,1993-09-10,184.76,9601,1,1
F,2-HIGH,1,FURNITURE,17,Clerk#000000835,1993-08-15,7400.82,4907,4,1
F,2-HIGH,3,FURNITURE,6,Clerk#000000166,1993-09-12,2323.95,9467,4,1
F,2-HIGH,4,BUILDING,11,Clerk#000000798,1993-09-22,7815.85,2951,4,1
F,3-MEDIUM,1,BUILDING,2,Clerk#000000681,1993-08-17,1517.46,8093,3,1
F,1-URGENT,0,AUTOMOBILE,5,Clerk#000000508,1993-08-10,5405.44,11884,2,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,14,Clerk#000000165,1993-08-21,3078.68,4531,0,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,9,Clerk#000000754,1993-07-05,6047.52,11140,0,1
F,1-URGENT,0,BUILDING,14,Clerk#000000128,1993-09-21,4008.08,12340,2,1
F,2-HIGH,2,BUILDING,9,Clerk#000000047,1993-09-24,3855.16,10948,4,1
