o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
F,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,3,BUILDING,REG AIR,2,0.02,1992-11-19,1992-12-25,1992-11-25,1992-12-09,1,36
F,COLLECT COD,1,Manufacturer#3,5-LOW,3,BUILDING,TRUCK,1,0.02,1992-11-19,1993-01-24,1993-02-15,1993-03-05,2,46
F,COLLECT COD,0,Manufacturer#3,5-LOW,3,BUILDING,SHIP,3,0.06,1992-11-19,1993-02-14,1993-01-08,1993-01-29,1,33
F,COLLECT COD,2,Manufacturer#1,5-LOW,3,BUILDING,SHIP,6,0.01,1992-11-19,1993-01-31,1993-02-15,1993-02-24,2,22
F,DELIVER IN PERSON,4,Manufacturer#2,5-LOW,3,BUILDING,FOB,7,0.04,1992-11-19,1993-01-08,1993-01-26,1993-02-24,2,1
F,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,3,BUILDING,FOB,5,0,1992-11-19,1993-01-02,1992-12-07,1992-12-11,1,24
F,COLLECT COD,1,Manufacturer#2,5-LOW,3,BUILDING,MAIL,4,0.01,1992-11-19,1993-02-14,1993-01-29,1993-02-10,2,34
F,COLLECT COD,2,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,REG AIR,3,0.03,1994-06-08,1994-08-30,1994-09-20,1994-09-23,1,4
F,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,FOB,1,0.02,1994-06-08,1994-09-02,1994-09-14,1994-10-04,2,45
F,NONE,0,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,SHIP,2,0.04,1994-06-08,1994-08-10,1994-09-17,1994-09-21,1,50
F,COLLECT COD,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,MAIL,3,0.01,1993-09-20,1993-11-04,1993-12-05,1994-01-01,1,40
F,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,1,HOUSEHOLD,RAIL,6,0.05,1993-09-20,1993-11-06,1993-12-21,1994-01-17,2,32
F,NONE,1,Manufacturer#4,2-HIGH,1,HOUSEHOLD,TRUCK,1,0.01,1993-09-20,1993-11-14,1993-11-18,1993-11-28,1,41
F,NONE,0,Manufacturer#1,2-HIGH,1,HOUSEHOLD,TRUCK,2,0.08,1993-09-20,1993-12-12,1993-10-18,1993-10-31,1,32
F,NONE,4,Manufacturer#5,2-HIGH,1,HOUSEHOLD,REG AIR,7,0.02,1993-09-20,1993-10-29,1993-12-08,1993-12-30,1,45
F,COLLECT COD,4,Manufacturer#1,2-HIGH,1,HOUSEHOLD,SHIP,5,0.02,1993-09-20,1993-11-01,1993-10-07,1993-10-26,2,18
F,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,1,HOUSEHOLD,MAIL,4,0.08,1993-09-20,1993-12-17,1993-10-04,1993-10-23,1,15
F,DELIVER IN PERSON,4,Manufacturer#1,3-MEDIUM,2,MACHINERY,FOB,1,0.05,1994-06-01,1994-08-23,1994-08-24,1994-08-27,2,21
F,COLLECT COD,4,Manufacturer#2,2-HIGH,1,BUILDING,RAIL,6,0.08,1994-12-03,1995-02-08,1995-03-02,1995-03-03,1,18
F,COLLECT COD,2,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,7,0.03,1994-12-03,1995-01-04,1994-12-25,1995-01-15,1,9
F,NONE,0,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,4,0.03,1994-12-03,1995-01-06,1995-01-24,1995-02-17,2,49
F,COLLECT COD,0,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,3,0.01,1994-12-03,1995-02-21,1995-01-04,1995-01-21,1,46
F,TAKE BACK RETURN,4,Manufacturer#5,2-HIGH,1,BUILDING,REG AIR,5,0.02,1994-12-03,1995-02-27,1995-02-12,1995-03-06,1,43
F,COLLECT COD,2,Manufacturer#3,2-HIGH,1,BUILDING,TRUCK,2,0.05,1994-12-03,1995-02-15,1995-02-16,1995-02-25,2,47
F,NONE,4,Manufacturer#5,2-HIGH,1,BUILDING,TRUCK,1,0.02,1994-12-03,1995-02-21,1994-12-09,1995-01-03,1,33
O,COLLECT COD,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,RAIL,7,0.04,1996-08-20,1996-09-29,1996-09-06,1996-10-01,0,33
O,NONE,0,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,TRUCK,5,0.05,1996-08-20,1996-10-30,1996-11-28,1996-12-12,0,47
O,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,1,AUTOMOBILE,REG AIR,4,0,1996-08-20,1996-09-23,1996-10-02,1996-10-14,0,37
O,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,SHIP,2,0.04,1996-08-20,1996-10-03,1996-11-13,1996-11-25,0,2
O,NONE,2,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,1,0.08,1996-08-20,1996-10-27,1996-09-25,1996-10-20,0,39
O,TAKE BACK RETURN,3,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,AIR,6,0.06,1996-08-20,1996-11-03,1996-09-22,1996-10-22,0,43
O,NONE,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,MAIL,3,0.05,1996-08-20,1996-11-03,1996-09-22,1996-10-13,0,30
O,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,1,HOUSEHOLD,SHIP,1,0.03,1995-12-04,1996-01-07,1995-12-06,1995-12-14,0,49
O,NONE,2,Manufacturer#3,1-URGENT,1,HOUSEHOLD,REG AIR,5,0.07,1995-12-04,1996-01-16,1996-02-29,1996-03-06,0,44
O,COLLECT COD,0,Manufacturer#2,1-URGENT,1,HOUSEHOLD,FOB,2,0.06,1995-12-04,1996-01-14,1996-02-13,1996-03-04,0,3
O,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,HOUSEHOLD,SHIP,6,0.03,1995-12-04,1996-02-10,1995-12-11,1995-12-14,0,2
O,COLLECT COD,4,Manufacturer#3,1-URGENT,1,HOUSEHOLD,FOB,3,0.07,1995-12-04,1996-01-03,1996-03-16,1996-03-22,0,34
O,COLLECT COD,2,Manufacturer#3,1-URGENT,1,HOUSEHOLD,RAIL,4,0.02,1995-12-04,1996-01-15,1996-01-24,1996-02-13,0,8
F,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,4,BUILDING,FOB,3,0.07,1994-02-13,1994-04-26,1994-02-28,1994-03-20,1,9
F,COLLECT COD,0,Manufacturer#2,3-MEDIUM,4,BUILDING,MAIL,1,0.04,1994-02-13,1994-04-05,1994-04-26,1994-04-29,2,1
F,COLLECT COD,0,Manufacturer#1,3-MEDIUM,4,BUILDING,TRUCK,2,0.05,1994-02-13,1994-04-21,1994-04-05,1994-05-01,1,38
F,DELIVER IN PERSON,2,Manufacturer#5,3-MEDIUM,0,AUTOMOBILE,TRUCK,1,0.07,1993-11-16,1993-12-25,1994-02-19,1994-02-25,1,7
F,NONE,0,Manufacturer#5,1-URGENT,3,AUTOMOBILE,TRUCK,1,0.06,1995-02-11,1995-04-01,1995-02-18,1995-03-20,2,37
F,NONE,3,Manufacturer#5,3-MEDIUM,3,MACHINERY,TRUCK,2,0.04,1992-11-20,1993-01-13,1992-12-22,1993-01-01,1,15
F,TAKE BACK RETURN,4,Manufacturer#3,3-MEDIUM,3,MACHINERY,RAIL,1,0.04,1992-11-20,1993-02-09,1992-12-10,1992-12-29,2,29
F,NONE,0,Manufacturer#3,3-MEDIUM,3,MACHINERY,TRUCK,3,0.06,1992-11-20,1992-12-31,1993-03-05,1993-03-12,2,40
O,COLLECT COD,0,Manufacturer#3,1-URGENT,3,MACHINERY,REG AIR,1,0.03,1996-08-29,1996-11-07,1996-10-15,1996-11-06,0,25
O,DELIVER IN PERSON,1,Manufacturer#4,1-URGENT,3,MACHINERY,RAIL,5,0.08,1996-08-29,1996-10-09,1996-09-11,1996-09-25,0,25
O,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,3,MACHINERY,TRUCK,4,0.03,1996-08-29,1996-10-03,1996-12-12,1996-12-15,0,36
O,COLLECT COD,3,Manufacturer#2,1-URGENT,3,MACHINERY,REG AIR,3,0.06,1996-08-29,1996-11-03,1996-09-06,1996-09-10,0,3
O,COLLECT COD,0,Manufacturer#1,1-URGENT,3,MACHINERY,SHIP,2,0.02,1996-08-29,1996-11-14,1996-12-10,1997-01-07,0,36
F,TAKE BACK RETURN,0,Manufacturer#3,3-MEDIUM,2,BUILDING,MAIL,3,0.08,1993-02-05,1993-03-20,1993-02-13,1993-02-22,2,26
F,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,2,BUILDING,RAIL,1,0.02,1993-02-05,1993-03-14,1993-02-12,1993-03-12,1,12
F,TAKE BACK RETURN,0,Manufacturer#1,3-MEDIUM,2,BUILDING,REG AIR,2,0.01,1993-02-05,1993-03-27,1993-05-05,1993-05-18,1,12
O,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,1,AUTOMOBILE,REG AIR,2,0.08,1997-08-04,1997-10-10,1997-10-22,1997-11-10,0,27
O,COLLECT COD,2,Manufacturer#1,5-LOW,1,AUTOMOBILE,REG AIR,1,0.01,1997-08-04,1997-09-12,1997-09-07,1997-10-01,0,13
O,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,1,AUTOMOBILE,SHIP,5,0.05,1997-08-04,1997-10-24,1997-08-05,1997-08-07,0,26
O,NONE,0,Manufacturer#4,5-LOW,1,AUTOMOBILE,AIR,3,0.02,1997-08-04,1997-10-23,1997-10-13,1997-10-18,0,19
O,COLLECT COD,0,Manufacturer#5,5-LOW,1,AUTOMOBILE,AIR,4,0.01,1997-08-04,1997-09-22,1997-10-16,1997-10-28,0,11
F,TAKE BACK RETURN,2,Manufacturer#4,1-URGENT,3,HOUSEHOLD,MAIL,4,0.06,1994-12-11,1995-01-11,1995-03-28,1995-04-14,2,38
F,TAKE BACK RETURN,0,Manufacturer#3,1-URGENT,3,HOUSEHOLD,FOB,3,0.06,1994-12-11,1995-01-26,1994-12-27,1995-01-21,1,2
F,DELIVER IN PERSON,0,Manufacturer#2,1-URGENT,3,HOUSEHOLD,AIR,7,0.02,1994-12-11,1995-02-08,1995-01-28,1995-02-10,2,43
F,NONE,2,Manufacturer#4,1-URGENT,3,HOUSEHOLD,SHIP,6,0.04,1994-12-11,1995-02-21,1995-03-15,1995-03-20,2,4
F,NONE,2,Manufacturer#2,1-URGENT,3,HOUSEHOLD,AIR,2,0.03,1994-12-11,1995-02-02,1995-03-19,1995-03-27,1,37
F,NONE,0,Manufacturer#3,1-URGENT,3,HOUSEHOLD,REG AIR,1,0.08,1994-12-11,1995-01-18,1995-02-01,1995-03-03,2,33
F,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,3,HOUSEHOLD,TRUCK,5,0.07,1994-12-11,1995-02-13,1995-02-06,1995-02-18,1,13
P,COLLECT COD,0,Manufacturer#4,2-HIGH,2,AUTOMOBILE,RAIL,3,0.02,1995-05-19,1995-06-26,1995-07-13,1995-08-06,0,26
P,COLLECT COD,2,Manufacturer#2,2-HIGH,2,AUTOMOBILE,RAIL,1,0.04,1995-05-19,1995-08-08,1995-08-13,1995-09-10,0,34
P,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,2,AUTOMOBILE,AIR,5,0,1995-05-19,1995-07-06,1995-09-03,1995-09-04,0,36
P,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,2,AUTOMOBILE,FOB,4,0.02,1995-05-19,1995-07-07,1995-07-16,1995-07-22,0,35
P,TAKE BACK RETURN,3,Manufacturer#4,2-HIGH,2,AUTOMOBILE,SHIP,2,0.01,1995-05-19,1995-08-03,1995-06-08,1995-06-16,1,7
F,NONE,0,Manufacturer#1,5-LOW,0,FURNITURE,FOB,1,0,1992-10-28,1993-01-23,1992-12-27,1993-01-06,1,49
F,COLLECT COD,2,Manufacturer#5,5-LOW,0,FURNITURE,REG AIR,3,0.07,1992-10-28,1992-12-29,1992-12-02,1992-12-14,2,31
F,COLLECT COD,3,Manufacturer#3,5-LOW,0,FURNITURE,FOB,2,0.07,1992-10-28,1992-12-11,1992-11-27,1992-12-07,1,37
F,DELIVER IN PERSON,3,Manufacturer#1,2-HIGH,4,BUILDING,RAIL,1,0.06,1993-04-27,1993-07-09,1993-08-25,1993-09-12,1,14
F,NONE,3,Manufacturer#5,2-HIGH,4,BUILDING,AIR,2,0.04,1993-04-27,1993-07-07,1993-05-24,1993-06-14,2,19
F,COLLECT COD,0,Manufacturer#1,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,1,0.01,1994-07-05,1994-09-04,1994-10-31,1994-11-25,1,8
F,COLLECT COD,2,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,AIR,3,0.07,1994-12-06,1995-01-12,1994-12-17,1995-01-03,2,34
F,COLLECT COD,1,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,TRUCK,7,0.03,1994-12-06,1995-01-15,1994-12-23,1995-01-13,2,12
F,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,RAIL,6,0.02,1994-12-06,1995-02-18,1994-12-16,1994-12-22,1,42
F,NONE,1,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,SHIP,1,0.02,1994-12-06,1995-03-03,1994-12-22,1994-12-31,2,42
F,DELIVER IN PERSON,0,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,SHIP,5,0.05,1994-12-06,1995-03-05,1995-02-25,1995-03-24,1,35
F,TAKE BACK RETURN,0,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,AIR,2,0.08,1994-12-06,1995-02-15,1995-02-22,1995-03-19,1,34
F,COLLECT COD,2,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,RAIL,4,0.03,1994-12-06,1995-03-05,1995-01-07,1995-01-17,1,6
O,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,4,BUILDING,RAIL,4,0.08,1996-09-17,1996-11-07,1996-10-26,1996-10-30,0,8
O,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,4,BUILDING,REG AIR,2,0.04,1996-09-17,1996-10-22,1996-10-07,1996-11-03,0,24
O,NONE,3,Manufacturer#5,5-LOW,4,BUILDING,MAIL,7,0.05,1996-09-17,1996-10-17,1996-11-01,1996-11-28,0,50
O,COLLECT COD,4,Manufacturer#3,5-LOW,4,BUILDING,RAIL,6,0.02,1996-09-17,1996-12-03,1996-10-31,1996-11-13,0,3
O,NONE,3,Manufacturer#1,5-LOW,4,BUILDING,SHIP,3,0.02,1996-09-17,1996-11-23,1996-10-02,1996-10-05,0,36
O,NONE,3,Manufacturer#5,5-LOW,4,BUILDING,MAIL,5,0.06,1996-09-17,1996-12-05,1996-10-20,1996-11-02,0,27
O,DELIVER IN PERSON,0,Manufacturer#3,5-LOW,4,BUILDING,RAIL,1,0.04,1996-09-17,1996-12-03,1996-09-23,1996-10-01,0,11
F,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,3,HOUSEHOLD,RAIL,4,0.01,1992-12-28,1993-03-24,1993-03-23,1993-04-12,2,11
F,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,3,HOUSEHOLD,MAIL,1,0.01,1992-12-28,1993-03-13,1993-04-24,1993-05-17,1,5
F,DELIVER IN PERSON,3,Manufacturer#4,2-HIGH,3,HOUSEHOLD,TRUCK,6,0.01,1992-12-28,1993-03-06,1992-12-29,1993-01-02,1,30
F,COLLECT COD,0,Manufacturer#2,2-HIGH,3,HOUSEHOLD,AIR,3,0.03,1992-12-28,1993-03-16,1993-03-15,1993-03-31,1,16
F,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,3,HOUSEHOLD,TRUCK,2,0.06,1992-12-28,1993-02-16,1993-02-24,1993-03-08,2,17
F,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,3,HOUSEHOLD,SHIP,5,0.01,1992-12-28,1993-03-14,1993-01-30,1993-02-27,2,7
O,TAKE BACK RETURN,0,Manufacturer#5,1-URGENT,1,BUILDING,AIR,3,0.04,1997-09-28,1997-11-30,1997-10-13,1997-10-28,0,23
O,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,1,BUILDING,SHIP,4,0.08,1997-09-28,1997-11-13,1997-09-29,1997-10-07,0,34
O,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,1,BUILDING,FOB,1,0.08,1997-09-28,1997-11-01,1997-11-07,1997-11-18,0,36
O,DELIVER IN PERSON,0,Manufacturer#2,1-URGENT,1,BUILDING,MAIL,6,0.01,1997-09-28,1997-12-21,1998-01-12,1998-01-17,0,37
O,DELIVER IN PERSON,2,Manufacturer#2,1-URGENT,1,BUILDING,FOB,2,0.03,1997-09-28,1997-12-16,1997-11-15,1997-11-20,0,3
O,DELIVER IN PERSON,4,Manufacturer#4,1-URGENT,1,BUILDING,TRUCK,5,0.06,1997-09-28,1997-11-30,1998-01-15,1998-02-14,0,47
F,COLLECT COD,4,Manufacturer#5,3-MEDIUM,1,MACHINERY,RAIL,1,0.05,1994-01-03,1994-04-03,1994-01-14,1994-01-16,1,7
F,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,1,MACHINERY,RAIL,2,0.05,1994-01-03,1994-03-07,1994-01-29,1994-02-15,2,31
F,NONE,2,Manufacturer#5,3-MEDIUM,1,MACHINERY,RAIL,4,0.05,1994-01-03,1994-02-05,1994-02-26,1994-03-01,2,38
F,TAKE BACK RETURN,4,Manufacturer#5,3-MEDIUM,1,MACHINERY,MAIL,5,0.08,1994-01-03,1994-03-15,1994-04-26,1994-05-15,2,2
F,DELIVER IN PERSON,3,Manufacturer#2,3-MEDIUM,1,MACHINERY,MAIL,3,0.08,1994-01-03,1994-03-04,1994-04-09,1994-04-11,1,23
O,NONE,1,Manufacturer#5,3-MEDIUM,1,MACHINERY,SHIP,1,0.03,1996-07-13,1996-09-21,1996-10-24,1996-11-15,0,13
F,NONE,0,Manufacturer#3,1-URGENT,0,HOUSEHOLD,RAIL,3,0.03,1995-02-07,1995-04-02,1995-04-01,1995-04-18,2,46
F,TAKE BACK RETURN,0,Manufacturer#4,1-URGENT,0,HOUSEHOLD,TRUCK,2,0,1995-02-07,1995-03-20,1995-03-15,1995-04-09,1,34
F,NONE,2,Manufacturer#1,1-URGENT,0,HOUSEHOLD,TRUCK,1,0,1995-02-07,1995-04-12,1995-04-25,1995-05-13,1,20
F,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,0,HOUSEHOLD,SHIP,4,0.08,1995-02-07,1995-03-13,1995-03-23,1995-04-16,2,31
O,COLLECT COD,2,Manufacturer#4,2-HIGH,0,BUILDING,SHIP,4,0.07,1997-04-26,1997-05-27,1997-06-15,1997-06-18,0,24
O,TAKE BACK RETURN,0,Manufacturer#1,2-HIGH,0,BUILDING,REG AIR,6,0.08,1997-04-26,1997-06-27,1997-06-30,1997-07-11,0,27
O,DELIVER IN PERSON,2,Manufacturer#1,2-HIGH,0,BUILDING,REG AIR,2,0,1997-04-26,1997-06-18,1997-07-30,1997-08-13,0,19
O,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,0,BUILDING,SHIP,3,0.03,1997-04-26,1997-06-12,1997-06-27,1997-07-22,0,43
O,TAKE BACK RETURN,4,Manufacturer#2,2-HIGH,0,BUILDING,TRUCK,5,0.05,1997-04-26,1997-07-20,1997-05-05,1997-05-26,0,3
O,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,0,BUILDING,SHIP,1,0.01,1997-04-26,1997-07-15,1997-08-06,1997-08-07,0,36
F,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,2,MACHINERY,TRUCK,1,0.07,1993-03-13,1993-05-06,1993-06-01,1993-06-11,2,12
F,TAKE BACK RETURN,1,Manufacturer#3,5-LOW,2,MACHINERY,SHIP,5,0.04,1993-03-13,1993-04-23,1993-05-24,1993-06-20,2,22
F,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,MACHINERY,TRUCK,2,0.01,1993-03-13,1993-04-17,1993-06-09,1993-06-16,2,10
F,COLLECT COD,1,Manufacturer#5,5-LOW,2,MACHINERY,AIR,3,0.04,1993-03-13,1993-05-12,1993-06-27,1993-07-11,2,47
F,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,MACHINERY,REG AIR,4,0,1993-03-13,1993-05-11,1993-04-05,1993-04-23,1,18
F,NONE,0,Manufacturer#5,2-HIGH,1,HOUSEHOLD,TRUCK,6,0.08,1994-06-30,1994-09-07,1994-08-31,1994-09-22,1,18
F,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,1,HOUSEHOLD,AIR,4,0.02,1994-06-30,1994-09-13,1994-10-05,1994-10-17,2,23
F,TAKE BACK RETURN,4,Manufacturer#2,2-HIGH,1,HOUSEHOLD,RAIL,1,0.01,1994-06-30,1994-08-04,1994-10-09,1994-11-03,1,25
F,TAKE BACK RETURN,2,Manufacturer#1,2-HIGH,1,HOUSEHOLD,RAIL,7,0.05,1994-06-30,1994-08-10,1994-09-21,1994-10-19,2,3
F,NONE,0,Manufacturer#3,2-HIGH,1,HOUSEHOLD,MAIL,2,0.06,1994-06-30,1994-09-10,1994-09-30,1994-10-26,1,40
F,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,1,HOUSEHOLD,SHIP,5,0.04,1994-06-30,1994-09-10,1994-08-28,1994-09-06,1,3
F,NONE,1,Manufacturer#5,2-HIGH,1,HOUSEHOLD,AIR,3,0.07,1994-06-30,1994-08-17,1994-08-13,1994-08-16,1,25
O,COLLECT COD,4,Manufacturer#2,4-NOT SPECIFIED,2,HOUSEHOLD,FOB,1,0.08,1997-07-20,1997-09-21,1997-08-04,1997-08-11,0,15
F,TAKE BACK RETURN,0,Manufacturer#5,4-NOT SPECIFIED,4,FURNITURE,SHIP,3,0.06,1995-01-02,1995-03-16,1995-04-27,1995-04-29,2,4
F,TAKE BACK RETURN,0,Manufacturer#4,4-NOT SPECIFIED,4,FURNITURE,AIR,2,0.08,1995-01-02,1995-02-04,1995-02-01,1995-03-02,1,2
F,TAKE BACK RETURN,3,Manufacturer#4,4-NOT SPECIFIED,4,FURNITURE,MAIL,4,0,1995-01-02,1995-03-19,1995-03-07,1995-03-26,2,31
F,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,4,FURNITURE,TRUCK,1,0.07,1995-01-02,1995-03-25,1995-04-23,1995-05-20,2,38
O,COLLECT COD,3,Manufacturer#3,2-HIGH,3,MACHINERY,RAIL,2,0.02,1996-12-24,1997-02-18,1997-01-02,1997-01-13,0,47
O,COLLECT COD,1,Manufacturer#2,2-HIGH,3,MACHINERY,REG AIR,1,0.04,1996-12-24,1997-02-12,1997-04-23,1997-05-21,0,30
O,TAKE BACK RETURN,3,Manufacturer#1,1-URGENT,4,FURNITURE,TRUCK,3,0.02,1998-01-07,1998-04-06,1998-02-25,1998-03-23,0,11
O,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,4,FURNITURE,TRUCK,1,0.05,1998-01-07,1998-03-24,1998-02-11,1998-02-27,0,37
O,NONE,1,Manufacturer#2,1-URGENT,4,FURNITURE,REG AIR,7,0.07,1998-01-07,1998-04-03,1998-02-15,1998-02-23,0,32
O,COLLECT COD,1,Manufacturer#4,1-URGENT,4,FURNITURE,AIR,2,0.05,1998-01-07,1998-02-14,1998-04-14,1998-04-18,0,21
O,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,4,FURNITURE,AIR,4,0.08,1998-01-07,1998-02-06,1998-03-30,1998-04-05,0,33
O,NONE,3,Manufacturer#5,1-URGENT,4,FURNITURE,REG AIR,6,0.03,1998-01-07,1998-03-13,1998-04-01,1998-04-27,0,39
O,DELIVER IN PERSON,1,Manufacturer#4,1-URGENT,4,FURNITURE,REG AIR,5,0.05,1998-01-07,1998-03-19,1998-03-26,1998-04-16,0,22
O,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,1,MACHINERY,RAIL,1,0.03,1997-11-23,1997-12-29,1998-02-04,1998-02-16,0,10
O,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,1,MACHINERY,FOB,2,0.07,1997-11-23,1998-01-02,1997-12-26,1998-01-24,0,20
O,NONE,4,Manufacturer#5,2-HIGH,3,AUTOMOBILE,TRUCK,4,0.02,1995-10-11,1996-01-01,1995-11-13,1995-11-26,0,50
O,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,REG AIR,3,0.06,1995-10-11,1995-11-23,1996-01-27,1996-01-29,0,1
O,COLLECT COD,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,FOB,1,0.07,1995-10-11,1995-11-28,1995-12-14,1995-12-15,0,3
O,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,3,AUTOMOBILE,TRUCK,5,0.04,1995-10-11,1995-11-23,1995-11-30,1995-12-12,0,9
O,TAKE BACK RETURN,4,Manufacturer#3,2-HIGH,3,AUTOMOBILE,AIR,6,0.05,1995-10-11,1995-11-26,1995-12-02,1995-12-08,0,20
O,DELIVER IN PERSON,1,Manufacturer#1,2-HIGH,3,AUTOMOBILE,TRUCK,2,0.05,1995-10-11,1996-01-04,1995-11-23,1995-12-16,0,33
O,TAKE BACK RETURN,4,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,RAIL,4,0.05,1995-12-14,1996-02-13,1996-01-01,1996-01-18,0,29
O,NONE,4,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,AIR,2,0.01,1995-12-14,1996-02-23,1996-03-05,1996-03-19,0,30
