l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,cn_regionkey,c_mktsegment,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,1,AUTOMOBILE,3,0.01,0.06,10,Brand#21,2,JUMBO JAR,47,0,0
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,1,AUTOMOBILE,1,0.01,0.05,14,Brand#34,2,SM DRUM,1,0,0
F,F,A,NONE,3,Manufacturer#3,3,AUTOMOBILE,3,0.04,0.03,23,Brand#34,7,JUMBO PACK,38,0,1
F,F,R,COLLECT COD,0,Manufacturer#5,3,BUILDING,1,0.02,0.05,14,Brand#55,22,MED BAG,25,0,0
F,F,A,COLLECT COD,1,Manufacturer#1,2,BUILDING,4,0.06,0.06,1,Brand#13,12,WRAP BOX,1,0,1
F,F,A,DELIVER IN PERSON,2,Manufacturer#3,0,MACHINERY,5,0.07,0.03,18,Brand#35,15,MED CASE,11,0,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#1,4,FURNITURE,4,0.03,0,22,Brand#12,10,SM JAR,22,1,0
F,F,A,DELIVER IN PERSON,2,Manufacturer#3,0,AUTOMOBILE,2,0.03,0.06,8,Brand#33,14,SM BOX,16,0,0
F,F,A,DELIVER IN PERSON,3,Manufacturer#3,0,FURNITURE,2,0.08,0.1,22,Brand#35,0,WRAP CAN,26,0,0
F,F,R,COLLECT COD,3,Manufacturer#5,1,FURNITURE,3,0.06,0.03,23,Brand#54,1,JUMBO JAR,28,1,0
F,F,A,COLLECT COD,3,Manufacturer#1,1,BUILDING,1,0.08,0.05,7,Brand#13,2,LG DRUM,47,1,0
F,F,A,DELIVER IN PERSON,1,Manufacturer#5,3,HOUSEHOLD,4,0.05,0.09,17,Brand#53,22,MED CASE,8,0,0
F,F,A,DELIVER IN PERSON,4,Manufacturer#1,0,HOUSEHOLD,7,0.02,0.06,10,Brand#14,16,JUMBO PKG,25,0,1
F,F,A,TAKE BACK RETURN,4,Manufacturer#5,0,BUILDING,2,0,0.1,11,Brand#55,5,MED DRUM,47,1,1
F,F,A,COLLECT COD,3,Manufacturer#5,1,AUTOMOBILE,2,0.06,0.05,22,Brand#55,1,JUMBO DRUM,2,1,0
F,F,R,DELIVER IN PERSON,0,Manufacturer#5,3,BUILDING,1,0.05,0.06,15,Brand#54,22,SM DRUM,12,1,0
F,F,A,DELIVER IN PERSON,1,Manufacturer#2,4,BUILDING,1,0.03,0.1,1,Brand#21,11,JUMBO CASE,24,1,0
F,F,A,TAKE BACK RETURN,2,Manufacturer#5,3,HOUSEHOLD,6,0.06,0.02,9,Brand#53,7,JUMBO DRUM,4,0,1
F,F,R,NONE,3,Manufacturer#5,0,HOUSEHOLD,1,0,0,19,Brand#55,15,LG CASE,16,1,1
F,F,A,COLLECT COD,1,Manufacturer#1,2,AUTOMOBILE,1,0.06,0.06,1,Brand#12,21,MED JAR,41,1,1
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,2,AUTOMOBILE,1,0.08,0.03,24,Brand#13,18,WRAP CASE,45,0,0
F,F,A,TAKE BACK RETURN,2,Manufacturer#3,0,FURNITURE,1,0.04,0.06,21,Brand#32,15,JUMBO CAN,17,0,1
F,F,R,TAKE BACK RETURN,3,Manufacturer#1,4,AUTOMOBILE,3,0.08,0.05,19,Brand#14,20,WRAP CASE,26,1,1
F,F,A,COLLECT COD,1,Manufacturer#3,3,MACHINERY,2,0.02,0.06,3,Brand#34,6,JUMBO PKG,42,1,0
F,F,R,TAKE BACK RETURN,0,Manufacturer#5,3,MACHINERY,1,0.04,0.04,16,Brand#54,19,WRAP CAN,28,0,1
F,F,R,NONE,3,Manufacturer#2,1,HOUSEHOLD,6,0.07,0.05,22,Brand#24,17,SM CAN,28,1,1
F,F,A,NONE,1,Manufacturer#1,1,HOUSEHOLD,3,0.05,0.01,2,Brand#13,1,SM CASE,16,0,1
F,F,A,TAKE BACK RETURN,1,Manufacturer#2,2,MACHINERY,1,0.05,0.07,24,Brand#25,8,WRAP BAG,25,0,0
F,F,R,NONE,1,Manufacturer#1,4,AUTOMOBILE,3,0.07,0.09,2,Brand#14,13,WRAP CAN,3,0,0
F,F,A,TAKE BACK RETURN,4,Manufacturer#3,0,MACHINERY,1,0.08,0.02,20,Brand#35,16,MED PKG,30,1,0
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,1,AUTOMOBILE,4,0.06,0.07,3,Brand#15,2,LG CAN,27,1,0
F,F,R,NONE,2,Manufacturer#1,1,BUILDING,7,0.08,0.02,12,Brand#11,2,LG CASE,9,1,0
F,F,A,NONE,3,Manufacturer#4,0,BUILDING,6,0.01,0.03,7,Brand#42,14,LG BOX,20,1,1
F,F,R,COLLECT COD,2,Manufacturer#2,1,BUILDING,1,0.06,0.02,8,Brand#22,2,WRAP JAR,15,0,0
F,F,A,NONE,1,Manufacturer#3,4,HOUSEHOLD,4,0.03,0.01,17,Brand#32,4,MED PACK,39,1,1
F,F,R,NONE,3,Manufacturer#1,1,AUTOMOBILE,4,0,0.1,7,Brand#11,3,JUMBO CASE,45,1,0
F,F,A,NONE,1,Manufacturer#5,3,MACHINERY,3,0.06,0.02,3,Brand#53,6,LG BOX,42,0,0
F,F,R,NONE,3,Manufacturer#5,2,MACHINERY,1,0.06,0.01,23,Brand#55,21,LG BOX,6,1,0
F,F,A,DELIVER IN PERSON,3,Manufacturer#2,0,FURNITURE,3,0.08,0.01,22,Brand#22,0,JUMBO CASE,41,1,1
F,F,A,NONE,4,Manufacturer#2,0,AUTOMOBILE,5,0.04,0,11,Brand#21,5,JUMBO BOX,37,0,1
F,F,R,DELIVER IN PERSON,1,Manufacturer#3,0,AUTOMOBILE,2,0.05,0.05,2,Brand#31,15,MED DRUM,7,1,0
F,F,A,COLLECT COD,0,Manufacturer#5,3,FURNITURE,3,0.02,0.04,5,Brand#52,19,WRAP PKG,21,1,1
F,F,A,COLLECT COD,0,Manufacturer#5,0,MACHINERY,2,0.01,0.05,14,Brand#54,0,MED BAG,14,1,0
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,4,MACHINERY,1,0.02,0.04,21,Brand#11,4,SM PKG,34,1,1
F,F,A,NONE,3,Manufacturer#1,2,FURNITURE,1,0,0.02,22,Brand#15,12,MED BOX,44,0,1
F,F,A,NONE,0,Manufacturer#4,3,FURNITURE,1,0.02,0.02,5,Brand#43,6,MED CASE,26,0,0
F,F,R,NONE,3,Manufacturer#2,3,FURNITURE,5,0,0.08,7,Brand#25,23,WRAP CAN,18,1,1
F,F,A,DELIVER IN PERSON,3,Manufacturer#5,3,FURNITURE,1,0.03,0.04,22,Brand#55,23,JUMBO CAN,4,0,1
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,2,FURNITURE,5,0.07,0.01,5,Brand#33,18,WRAP BOX,43,1,1
F,F,A,NONE,4,Manufacturer#1,0,AUTOMOBILE,4,0.05,0.02,11,Brand#11,15,WRAP DRUM,20,0,1
F,F,A,DELIVER IN PERSON,3,Manufacturer#5,0,AUTOMOBILE,2,0.02,0.1,7,Brand#53,15,JUMBO BAG,15,0,1
F,F,A,COLLECT COD,1,Manufacturer#4,2,MACHINERY,1,0.02,0.03,17,Brand#41,18,SM CASE,37,0,1
F,F,R,COLLECT COD,0,Manufacturer#3,4,AUTOMOBILE,2,0.05,0.09,15,Brand#32,13,SM PKG,12,1,0
F,F,R,TAKE BACK RETURN,1,Manufacturer#5,4,AUTOMOBILE,4,0.05,0.04,3,Brand#52,13,LG CASE,44,0,0
F,F,R,NONE,2,Manufacturer#5,4,AUTOMOBILE,7,0.06,0.09,9,Brand#55,13,JUMBO PACK,41,0,0
F,F,R,TAKE BACK RETURN,0,Manufacturer#1,4,AUTOMOBILE,1,0.06,0.05,14,Brand#15,4,SM BAG,24,0,0
F,F,R,TAKE BACK RETURN,4,Manufacturer#4,3,MACHINERY,4,0.08,0.01,4,Brand#42,6,WRAP CAN,27,0,0
F,F,R,COLLECT COD,0,Manufacturer#3,4,BUILDING,1,0.02,0.1,0,Brand#33,10,MED CASE,48,0,0
F,F,A,NONE,2,Manufacturer#2,2,BUILDING,4,0.02,0.1,12,Brand#23,8,MED PACK,41,1,0
F,F,R,TAKE BACK RETURN,1,Manufacturer#3,2,HOUSEHOLD,6,0.05,0.09,2,Brand#31,21,MED BAG,38,0,0
F,F,R,DELIVER IN PERSON,1,Manufacturer#1,2,BUILDING,4,0.07,0.06,17,Brand#14,9,LG CASE,31,1,0
F,F,A,TAKE BACK RETURN,4,Manufacturer#4,4,BUILDING,4,0.01,0,10,Brand#43,13,MED CAN,25,0,1
F,F,R,COLLECT COD,2,Manufacturer#5,0,AUTOMOBILE,1,0.07,0.03,21,Brand#52,0,MED PKG,31,0,1
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,1,HOUSEHOLD,2,0,0.06,24,Brand#34,24,MED CASE,40,0,1
F,F,R,DELIVER IN PERSON,1,Manufacturer#1,1,MACHINERY,5,0.06,0.08,2,Brand#14,24,SM JAR,41,1,0
F,F,R,TAKE BACK RETURN,4,Manufacturer#5,3,BUILDING,3,0.07,0.03,20,Brand#52,6,MED CAN,22,1,0
F,F,A,COLLECT COD,1,Manufacturer#4,2,HOUSEHOLD,1,0.01,0.05,2,Brand#42,21,WRAP BOX,30,0,1
F,F,R,TAKE BACK RETURN,3,Manufacturer#3,3,AUTOMOBILE,4,0.01,0.09,19,Brand#31,23,SM CASE,29,1,0
F,F,R,DELIVER IN PERSON,2,Manufacturer#4,3,AUTOMOBILE,2,0.02,0.06,21,Brand#42,7,LG BOX,19,1,0
F,F,R,TAKE BACK RETURN,1,Manufacturer#1,0,AUTOMOBILE,1,0.03,0.09,3,Brand#13,5,JUMBO PKG,42,1,0
F,F,R,COLLECT COD,4,Manufacturer#4,3,HOUSEHOLD,1,0.02,0.02,10,Brand#41,22,LG PACK,44,1,0
F,F,A,TAKE BACK RETURN,0,Manufacturer#2,4,FURNITURE,1,0.02,0.01,0,Brand#24,4,JUMBO BAG,15,0,1
F,F,A,COLLECT COD,1,Manufacturer#2,2,MACHINERY,4,0.01,0.09,17,Brand#24,12,WRAP PACK,43,1,0
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,2,MACHINERY,7,0.08,0.04,9,Brand#44,21,SM CAN,50,0,1
F,F,A,TAKE BACK RETURN,4,Manufacturer#5,2,MACHINERY,2,0.01,0.09,10,Brand#55,18,SM CASE,3,1,0
F,F,R,COLLECT COD,4,Manufacturer#3,4,HOUSEHOLD,1,0.08,0.06,4,Brand#32,20,MED DRUM,31,0,1
F,F,A,COLLECT COD,1,Manufacturer#1,2,AUTOMOBILE,4,0.08,0.02,17,Brand#13,9,SM CASE,47,0,0
F,F,R,COLLECT COD,3,Manufacturer#3,0,MACHINERY,2,0.03,0.08,22,Brand#31,5,LG PACK,16,0,1
F,F,A,COLLECT COD,2,Manufacturer#3,4,MACHINERY,2,0.02,0,12,Brand#32,13,MED PACK,50,0,1
F,F,A,DELIVER IN PERSON,0,Manufacturer#2,2,HOUSEHOLD,3,0.07,0.03,5,Brand#25,9,JUMBO PACK,22,0,1
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,4,MACHINERY,1,0.05,0.03,10,Brand#25,4,WRAP BAG,25,0,1
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,2,HOUSEHOLD,3,0.07,0.05,8,Brand#53,9,SM PACK,34,0,1
F,F,R,TAKE BACK RETURN,3,Manufacturer#3,3,FURNITURE,4,0.03,0.09,23,Brand#34,19,JUMBO PKG,43,1,0
F,F,A,TAKE BACK RETURN,2,Manufacturer#1,2,HOUSEHOLD,4,0.07,0.07,8,Brand#13,18,MED BOX,18,0,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,1,MACHINERY,5,0.05,0.05,7,Brand#23,24,JUMBO JAR,10,0,0
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,4,BUILDING,5,0,0.07,21,Brand#42,11,JUMBO JAR,7,1,0
F,F,R,COLLECT COD,2,Manufacturer#1,4,BUILDING,3,0.04,0.1,9,Brand#13,11,SM PACK,12,1,0
F,F,R,COLLECT COD,2,Manufacturer#5,2,FURNITURE,5,0.06,0,18,Brand#55,18,WRAP BOX,42,1,1
F,F,A,TAKE BACK RETURN,3,Manufacturer#3,3,BUILDING,3,0.07,0,7,Brand#32,7,JUMBO BAG,43,1,1
F,F,A,COLLECT COD,2,Manufacturer#3,3,FURNITURE,1,0.03,0.02,9,Brand#32,19,JUMBO CASE,33,1,0
F,F,A,TAKE BACK RETURN,3,Manufacturer#1,3,BUILDING,3,0.01,0.08,23,Brand#13,23,WRAP JAR,23,0,0
F,F,R,COLLECT COD,0,Manufacturer#2,4,FURNITURE,2,0.01,0.05,0,Brand#22,11,WRAP CAN,6,1,0
F,F,A,COLLECT COD,3,Manufacturer#3,3,HOUSEHOLD,1,0.01,0,7,Brand#35,7,WRAP CASE,25,1,0
F,F,A,COLLECT COD,0,Manufacturer#4,3,HOUSEHOLD,3,0.03,0.03,0,Brand#41,7,WRAP CAN,14,1,0
F,F,R,TAKE BACK RETURN,4,Manufacturer#5,1,BUILDING,5,0.02,0.06,11,Brand#52,24,JUMBO JAR,3,0,0
F,F,A,NONE,2,Manufacturer#2,1,MACHINERY,1,0.01,0.03,8,Brand#24,24,WRAP CAN,36,0,1
F,F,R,DELIVER IN PERSON,4,Manufacturer#1,3,AUTOMOBILE,2,0.04,0.01,20,Brand#11,23,WRAP CASE,29,0,1
F,F,A,COLLECT COD,1,Manufacturer#4,4,HOUSEHOLD,5,0.08,0.1,17,Brand#43,10,MED BOX,17,1,0
F,F,A,COLLECT COD,4,Manufacturer#1,3,BUILDING,3,0.05,0.06,20,Brand#13,23,LG BAG,8,0,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,4,MACHINERY,3,0.02,0.04,22,Brand#25,10,MED CAN,2,0,0
F,F,A,NONE,0,Manufacturer#3,0,BUILDING,1,0.02,0.01,0,Brand#32,16,LG PACK,13,1,1
F,F,A,DELIVER IN PERSON,0,Manufacturer#5,1,AUTOMOBILE,4,0,0.09,15,Brand#54,2,LG CASE,24,1,0
F,F,R,DELIVER IN PERSON,2,Manufacturer#4,3,BUILDING,3,0.01,0,12,Brand#41,19,SM PACK,14,1,0
F,F,R,DELIVER IN PERSON,0,Manufacturer#2,0,BUILDING,4,0.08,0,15,Brand#24,16,SM BOX,36,0,1
F,F,A,DELIVER IN PERSON,1,Manufacturer#5,4,MACHINERY,1,0.04,0.03,17,Brand#53,11,LG CAN,36,1,1
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,3,HOUSEHOLD,3,0.08,0.09,12,Brand#14,22,MED BOX,23,1,1
F,F,A,NONE,2,Manufacturer#5,2,AUTOMOBILE,2,0.03,0.07,18,Brand#51,21,LG PKG,23,1,0
F,F,R,COLLECT COD,1,Manufacturer#2,0,HOUSEHOLD,6,0.08,0.03,24,Brand#22,15,MED BAG,42,1,0
F,F,A,COLLECT COD,0,Manufacturer#2,4,BUILDING,6,0.04,0.03,16,Brand#23,10,JUMBO CAN,40,1,0
F,F,A,COLLECT COD,3,Manufacturer#1,2,MACHINERY,7,0.05,0.02,23,Brand#14,21,JUMBO JAR,9,0,0
F,F,R,COLLECT COD,3,Manufacturer#1,2,HOUSEHOLD,4,0.01,0.1,7,Brand#14,9,MED PACK,9,1,1
F,F,A,COLLECT COD,3,Manufacturer#3,0,BUILDING,3,0.06,0.03,6,Brand#35,15,SM PKG,11,1,0
F,F,A,NONE,0,Manufacturer#1,1,AUTOMOBILE,4,0.03,0.06,15,Brand#15,2,WRAP CASE,35,1,1
F,F,A,COLLECT COD,0,Manufacturer#2,2,AUTOMOBILE,4,0.03,0.09,16,Brand#24,9,SM JAR,50,0,1
F,F,A,NONE,3,Manufacturer#2,0,HOUSEHOLD,4,0.03,0,23,Brand#22,16,SM BOX,14,0,0
F,F,A,NONE,0,Manufacturer#1,0,MACHINERY,1,0.07,0.04,5,Brand#14,16,MED PACK,2,0,0
F,F,R,TAKE BACK RETURN,3,Manufacturer#1,0,FURNITURE,4,0.08,0.09,23,Brand#11,14,SM CAN,41,1,0
F,F,R,COLLECT COD,2,Manufacturer#4,1,AUTOMOBILE,1,0.06,0.01,12,Brand#45,3,MED CAN,26,1,1
F,F,A,COLLECT COD,3,Manufacturer#4,2,BUILDING,1,0.05,0,19,Brand#44,12,SM CAN,11,0,0
F,F,R,NONE,1,Manufacturer#4,4,FURNITURE,2,0.05,0.05,1,Brand#45,10,LG PACK,50,1,1
F,F,R,COLLECT COD,4,Manufacturer#3,0,BUILDING,5,0.02,0.06,20,Brand#33,0,JUMBO PKG,15,0,0
F,F,R,TAKE BACK RETURN,2,Manufacturer#2,4,MACHINERY,2,0.07,0.06,21,Brand#23,4,LG BAG,37,1,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,2,MACHINERY,2,0.02,0.04,23,Brand#21,12,JUMBO CASE,40,0,1
F,F,R,COLLECT COD,2,Manufacturer#3,2,FURNITURE,4,0.03,0.04,12,Brand#31,12,MED BAG,50,0,0
F,F,A,COLLECT COD,2,Manufacturer#5,0,AUTOMOBILE,7,0,0.08,12,Brand#51,15,LG BOX,37,1,1
F,F,R,COLLECT COD,0,Manufacturer#3,4,BUILDING,3,0.02,0.04,15,Brand#34,13,SM BOX,27,1,1
F,F,A,TAKE BACK RETURN,0,Manufacturer#4,0,MACHINERY,2,0.07,0.01,16,Brand#42,5,WRAP CAN,12,0,1
F,F,A,DELIVER IN PERSON,2,Manufacturer#3,0,AUTOMOBILE,4,0.06,0.07,21,Brand#32,15,MED JAR,24,1,1
F,F,A,COLLECT COD,2,Manufacturer#3,0,AUTOMOBILE,2,0.02,0,18,Brand#34,15,MED PKG,23,1,1
F,F,A,COLLECT COD,1,Manufacturer#4,0,FURNITURE,3,0.02,0,17,Brand#44,0,MED CASE,29,0,0
F,F,A,NONE,2,Manufacturer#2,1,AUTOMOBILE,1,0.07,0.04,12,Brand#24,3,WRAP PACK,21,0,1
F,F,R,COLLECT COD,2,Manufacturer#4,0,HOUSEHOLD,3,0.03,0.06,9,Brand#44,5,MED PACK,27,0,0
F,F,R,TAKE BACK RETURN,2,Manufacturer#3,3,HOUSEHOLD,2,0,0.1,21,Brand#34,22,SM PACK,13,1,1
F,F,A,COLLECT COD,3,Manufacturer#1,4,MACHINERY,2,0,0.06,22,Brand#15,10,WRAP PACK,34,0,0
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,4,AUTOMOBILE,2,0.08,0.04,11,Brand#21,13,WRAP CASE,32,1,1
F,F,R,COLLECT COD,3,Manufacturer#2,4,BUILDING,1,0,0,6,Brand#25,11,JUMBO PKG,39,0,1
F,F,A,NONE,1,Manufacturer#5,3,FURNITURE,2,0.07,0.1,1,Brand#53,19,JUMBO CAN,39,0,0
F,F,A,COLLECT COD,4,Manufacturer#1,3,BUILDING,2,0.07,0.04,10,Brand#15,23,JUMBO DRUM,39,0,1
F,F,A,NONE,3,Manufacturer#3,0,AUTOMOBILE,1,0.08,0.05,22,Brand#35,14,WRAP BOX,47,1,0
F,F,R,DELIVER IN PERSON,2,Manufacturer#3,1,HOUSEHOLD,2,0.04,0.09,18,Brand#31,17,WRAP PKG,40,1,0
F,F,A,DELIVER IN PERSON,4,Manufacturer#2,4,BUILDING,2,0.05,0.01,4,Brand#21,4,SM BAG,23,1,0
F,F,R,COLLECT COD,4,Manufacturer#5,4,AUTOMOBILE,5,0.08,0.09,10,Brand#52,20,JUMBO PACK,37,0,0
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,1,MACHINERY,1,0.04,0.09,8,Brand#43,1,JUMBO PKG,15,0,1
F,F,R,TAKE BACK RETURN,0,Manufacturer#1,4,HOUSEHOLD,3,0.05,0.07,14,Brand#14,13,SM PKG,47,0,0
F,F,A,NONE,4,Manufacturer#5,3,AUTOMOBILE,4,0.07,0.02,10,Brand#52,7,JUMBO PACK,32,1,0
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,3,BUILDING,1,0.04,0.01,8,Brand#41,22,SM CAN,21,0,0
F,F,A,DELIVER IN PERSON,3,Manufacturer#4,2,BUILDING,3,0.04,0.08,23,Brand#42,12,WRAP CAN,38,0,1
F,F,A,NONE,2,Manufacturer#2,0,MACHINERY,3,0,0.08,9,Brand#23,14,MED JAR,15,0,1
F,F,R,NONE,1,Manufacturer#5,0,MACHINERY,5,0,0.1,24,Brand#55,14,LG CASE,14,1,1
F,F,R,COLLECT COD,2,Manufacturer#5,0,MACHINERY,3,0.04,0.08,8,Brand#51,14,LG PKG,24,1,1
F,F,R,NONE,3,Manufacturer#4,4,MACHINERY,1,0.06,0.08,23,Brand#45,4,JUMBO DRUM,22,0,1
F,F,R,COLLECT COD,1,Manufacturer#1,4,HOUSEHOLD,2,0.02,0.04,2,Brand#11,4,WRAP CAN,44,0,0
F,F,R,TAKE BACK RETURN,3,Manufacturer#4,1,MACHINERY,5,0.03,0.01,22,Brand#44,17,LG CASE,11,1,0
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,3,HOUSEHOLD,2,0.06,0,9,Brand#41,7,SM PKG,24,0,0
F,F,R,TAKE BACK RETURN,3,Manufacturer#5,4,BUILDING,5,0.04,0,7,Brand#51,13,JUMBO JAR,23,0,1
F,F,A,DELIVER IN PERSON,0,Manufacturer#5,3,FURNITURE,3,0.01,0,14,Brand#51,7,LG PACK,13,0,0
F,F,A,COLLECT COD,4,Manufacturer#4,3,FURNITURE,1,0.05,0.1,11,Brand#42,7,MED BOX,47,1,0
F,F,A,DELIVER IN PERSON,4,Manufacturer#1,3,MACHINERY,4,0.06,0.01,13,Brand#11,7,SM PKG,11,0,1
F,F,A,COLLECT COD,2,Manufacturer#3,3,MACHINERY,2,0.03,0.02,18,Brand#31,19,SM JAR,28,1,0
F,F,A,NONE,2,Manufacturer#3,1,HOUSEHOLD,6,0.03,0.03,21,Brand#34,24,WRAP CASE,25,1,1
F,F,R,DELIVER IN PERSON,4,Manufacturer#4,3,MACHINERY,1,0.05,0.05,4,Brand#43,23,LG DRUM,12,0,0
F,F,R,DELIVER IN PERSON,4,Manufacturer#1,4,HOUSEHOLD,3,0.06,0.01,4,Brand#13,4,SM BOX,31,1,1
F,F,R,COLLECT COD,2,Manufacturer#5,1,BUILDING,4,0,0.1,18,Brand#53,1,JUMBO PACK,34,0,0
F,F,A,NONE,3,Manufacturer#1,0,MACHINERY,2,0.01,0.1,7,Brand#13,15,SM BAG,47,1,1
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,3,AUTOMOBILE,4,0.05,0.08,21,Brand#44,22,JUMBO PKG,17,0,0
F,F,A,DELIVER IN PERSON,0,Manufacturer#5,0,HOUSEHOLD,2,0.06,0.03,15,Brand#53,0,SM CAN,12,1,1
F,F,R,DELIVER IN PERSON,3,Manufacturer#5,0,AUTOMOBILE,2,0.07,0,7,Brand#51,14,LG BOX,21,0,0
F,F,A,TAKE BACK RETURN,4,Manufacturer#5,1,HOUSEHOLD,5,0.01,0.04,11,Brand#51,17,SM PACK,30,0,0
F,F,A,COLLECT COD,2,Manufacturer#1,2,BUILDING,1,0,0.1,12,Brand#11,8,WRAP CASE,49,1,0
F,F,R,COLLECT COD,4,Manufacturer#4,4,MACHINERY,3,0.08,0.03,11,Brand#42,11,LG BOX,11,1,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#3,2,MACHINERY,6,0.05,0.05,22,Brand#33,8,WRAP CASE,17,0,0
F,F,A,TAKE BACK RETURN,3,Manufacturer#1,3,MACHINERY,1,0.07,0.02,6,Brand#12,19,MED DRUM,6,1,1
F,F,A,DELIVER IN PERSON,0,Manufacturer#5,2,MACHINERY,3,0.02,0.01,15,Brand#54,8,JUMBO PKG,23,1,0
F,F,R,COLLECT COD,2,Manufacturer#4,2,MACHINERY,5,0.04,0.07,12,Brand#41,9,MED DRUM,22,0,0
F,F,R,COLLECT COD,1,Manufacturer#2,2,AUTOMOBILE,4,0.04,0.07,3,Brand#25,21,SM PKG,31,0,1
F,F,A,COLLECT COD,4,Manufacturer#1,2,MACHINERY,1,0.02,0.08,20,Brand#15,8,MED BAG,34,1,1
F,F,R,COLLECT COD,0,Manufacturer#4,4,HOUSEHOLD,1,0.06,0.01,5,Brand#41,10,LG PACK,7,1,0
F,F,R,NONE,1,Manufacturer#1,4,HOUSEHOLD,4,0,0.06,2,Brand#13,20,WRAP JAR,14,1,0
F,F,A,TAKE BACK RETURN,3,Manufacturer#3,2,MACHINERY,5,0,0.08,6,Brand#31,9,MED PACK,40,1,1
F,F,A,COLLECT COD,3,Manufacturer#3,1,BUILDING,4,0.04,0.06,22,Brand#32,24,LG CAN,6,1,0
F,F,R,COLLECT COD,4,Manufacturer#2,4,BUILDING,7,0.04,0.02,4,Brand#25,10,LG DRUM,14,0,0
F,F,R,COLLECT COD,3,Manufacturer#4,4,AUTOMOBILE,2,0.06,0.1,23,Brand#44,20,WRAP PKG,22,0,0
F,F,R,COLLECT COD,2,Manufacturer#3,2,HOUSEHOLD,2,0.08,0.03,18,Brand#32,21,SM BOX,31,0,0
