o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,groupcol,aggcol
O,4-NOT SPECIFIED,0,HOUSEHOLD,5,Clerk#000000707,1995-06-15,2753.54,315,1
F,2-HIGH,4,FURNITURE,11,Clerk#000000186,1992-05-02,-425.09,964,1
F,3-MEDIUM,0,HOUSEHOLD,5,Clerk#000000810,1993-03-22,-902.48,996,1
O,1-URGENT,0,MACHINERY,15,Clerk#000000275,1996-09-21,-334.89,206,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,19,Clerk#000000866,1992-08-07,3061.58,335,1
F,3-MEDIUM,2,FURNITURE,8,Clerk#000000830,1993-01-30,4578.24,497,1
O,2-HIGH,0,HOUSEHOLD,5,Clerk#000000013,1997-05-13,3335.29,677,1
O,3-MEDIUM,2,MACHINERY,12,Clerk#000000859,1997-12-21,8647.42,146,1
F,3-MEDIUM,4,BUILDING,13,Clerk#000000127,1993-04-27,-341.79,729,1
F,3-MEDIUM,3,HOUSEHOLD,6,Clerk#000000966,1994-11-11,5503.36,732,1
F,5-LOW,2,AUTOMOBILE,9,Clerk#000000204,1994-02-01,2209.81,38,1
O,4-NOT SPECIFIED,1,BUILDING,1,Clerk#000000446,1998-02-11,1222.21,820,1
F,1-URGENT,3,BUILDING,6,Clerk#000000456,1992-05-22,6860.34,509,1
O,3-MEDIUM,0,HOUSEHOLD,5,Clerk#000000999,1997-12-02,5950.86,867,1
F,1-URGENT,3,MACHINERY,22,Clerk#000000067,1995-03-25,0.97,423,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,5,Clerk#000000246,1993-03-01,3335.29,677,1
O,1-URGENT,3,HOUSEHOLD,6,Clerk#000000487,1997-01-06,2273.5,828,1
F,2-HIGH,0,FURNITURE,5,Clerk#000000589,1993-08-31,1211.39,669,1
O,5-LOW,3,MACHINERY,23,Clerk#000000151,1996-10-14,8024.55,932,1
F,1-URGENT,2,BUILDING,12,Clerk#000000726,1993-03-22,9189.75,122,1
F,5-LOW,0,MACHINERY,15,Clerk#000000473,1992-05-04,5121.28,513,1
O,4-NOT SPECIFIED,1,BUILDING,17,Clerk#000000602,1997-02-17,1376.67,583,1
F,3-MEDIUM,4,AUTOMOBILE,10,Clerk#000000837,1992-10-19,1939.39,520,1
F,1-URGENT,1,HOUSEHOLD,2,Clerk#000000177,1994-06-19,8395.57,425,1
F,2-HIGH,1,AUTOMOBILE,3,Clerk#000000643,1992-07-11,2155.06,749,1
F,5-LOW,4,FURNITURE,20,Clerk#000000881,1992-04-29,6397.58,404,1
F,3-MEDIUM,3,HOUSEHOLD,19,Clerk#000000779,1994-06-17,-201.49,661,1
F,5-LOW,4,FURNITURE,13,Clerk#000000138,1994-04-18,3635.35,434,1
F,3-MEDIUM,1,MACHINERY,2,Clerk#000000907,1994-02-27,-43.79,756,1
F,3-MEDIUM,0,FURNITURE,0,Clerk#000000821,1993-06-10,5184.7,275,1
O,2-HIGH,4,HOUSEHOLD,20,Clerk#000000981,1996-10-31,-395.89,858,1
O,5-LOW,0,AUTOMOBILE,15,Clerk#000000114,1998-05-24,9139.52,187,1
F,5-LOW,0,BUILDING,15,Clerk#000000694,1992-07-08,8627.9,899,1
O,5-LOW,4,MACHINERY,4,Clerk#000000847,1996-08-16,9541.19,904,1
O,3-MEDIUM,2,MACHINERY,12,Clerk#000000740,1997-06-05,0.97,917,1
F,4-NOT SPECIFIED,4,AUTOMOBILE,4,Clerk#000000071,1995-04-12,8121.84,525,1
O,2-HIGH,3,MACHINERY,7,Clerk#000000933,1997-08-23,595.61,34,1
F,2-HIGH,4,BUILDING,11,Clerk#000000212,1994-04-07,9032.89,872,1
O,1-URGENT,4,AUTOMOBILE,4,Clerk#000000519,1996-01-30,3300.82,177,1
F,1-URGENT,3,FURNITURE,23,Clerk#000000051,1994-08-16,1437.55,384,1
F,2-HIGH,0,BUILDING,5,Clerk#000000867,1993-03-28,2788.76,993,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,0,Clerk#000000816,1992-12-26,5391.74,536,1
F,2-HIGH,3,BUILDING,19,Clerk#000000084,1993-12-27,5561.93,573,1
O,3-MEDIUM,0,MACHINERY,0,Clerk#000000857,1998-05-14,2531.25,496,1
O,1-URGENT,1,FURNITURE,17,Clerk#000000056,1998-06-27,7270.82,470,1
F,1-URGENT,3,BUILDING,22,Clerk#000000586,1995-02-07,4092.24,429,1
O,2-HIGH,4,AUTOMOBILE,4,Clerk#000000794,1998-04-30,6679.75,480,1
F,2-HIGH,4,BUILDING,20,Clerk#000000662,1992-10-31,8156.62,975,1
O,1-URGENT,3,AUTOMOBILE,7,Clerk#000000171,1998-04-03,9701.54,831,1
O,2-HIGH,3,FURNITURE,22,Clerk#000000893,1997-04-18,4867.52,954,1
F,1-URGENT,4,HOUSEHOLD,20,Clerk#000000733,1995-05-16,8495.92,345,1
F,3-MEDIUM,4,AUTOMOBILE,10,Clerk#000000961,1994-04-04,8631.35,783,1
F,5-LOW,0,AUTOMOBILE,0,Clerk#000000657,1993-07-18,138.31,202,1
F,5-LOW,4,BUILDING,11,Clerk#000000927,1994-08-05,4608.9,209,1
O,2-HIGH,1,FURNITURE,17,Clerk#000000734,1996-08-01,4954.25,632,1
O,3-MEDIUM,3,FURNITURE,6,Clerk#000000018,1996-11-27,-526.14,757,1
O,2-HIGH,2,FURNITURE,18,Clerk#000000255,1995-11-27,8341.71,617,1
F,5-LOW,3,BUILDING,23,Clerk#000000222,1994-10-03,8876.1,683,1
F,1-URGENT,4,MACHINERY,10,Clerk#000000818,1995-02-10,4572.11,819,1
O,5-LOW,4,BUILDING,11,Clerk#000000788,1996-02-11,3952.84,26,1
O,2-HIGH,4,BUILDING,13,Clerk#000000129,1996-08-31,8938.14,36,1
F,5-LOW,0,BUILDING,15,Clerk#000000859,1994-02-09,8081.52,125,1
F,2-HIGH,2,HOUSEHOLD,18,Clerk#000000050,1992-11-02,4723.37,852,1
O,4-NOT SPECIFIED,1,FURNITURE,1,Clerk#000000332,1996-03-19,7543.01,626,1
F,1-URGENT,3,AUTOMOBILE,7,Clerk#000000283,1994-02-27,2237.64,728,1
O,3-MEDIUM,2,MACHINERY,12,Clerk#000000192,1995-07-27,8647.42,146,1
O,5-LOW,4,BUILDING,20,Clerk#000000877,1995-07-02,7476.2,68,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,22,Clerk#000000603,1994-01-15,2924.78,689,1
O,1-URGENT,3,MACHINERY,19,Clerk#000000994,1996-09-14,-303.95,211,1
O,1-URGENT,3,FURNITURE,22,Clerk#000000050,1995-07-26,7412.12,214,1
O,2-HIGH,4,BUILDING,4,Clerk#000000577,1997-10-26,7557,979,1
O,2-HIGH,4,BUILDING,13,Clerk#000000358,1996-09-16,4198.72,22,1
O,2-HIGH,0,HOUSEHOLD,15,Clerk#000000528,1998-04-02,1965.38,754,1
F,2-HIGH,3,BUILDING,6,Clerk#000000893,1992-08-06,8667.09,30,1
F,3-MEDIUM,3,MACHINERY,23,Clerk#000000588,1993-10-16,5200.96,526,1
F,4-NOT SPECIFIED,4,FURNITURE,10,Clerk#000000957,1992-02-11,3959.71,350,1
O,3-MEDIUM,0,MACHINERY,0,Clerk#000000983,1998-07-27,9217.55,62,1
F,1-URGENT,1,AUTOMOBILE,2,Clerk#000000373,1993-02-09,6.34,190,1
P,1-URGENT,0,BUILDING,0,Clerk#000000645,1995-04-26,4517.33,376,1
F,4-NOT SPECIFIED,2,MACHINERY,18,Clerk#000000002,1992-05-09,6403.62,1,1
F,1-URGENT,4,AUTOMOBILE,20,Clerk#000000235,1992-12-28,-919.65,977,1
F,3-MEDIUM,4,BUILDING,4,Clerk#000000489,1992-01-23,7557,979,1
O,2-HIGH,4,HOUSEHOLD,10,Clerk#000000120,1998-07-29,1299.92,578,1
F,1-URGENT,2,BUILDING,12,Clerk#000000770,1993-06-18,7161.52,549,1
P,3-MEDIUM,0,AUTOMOBILE,5,Clerk#000000132,1995-04-04,-390.09,920,1
P,2-HIGH,3,MACHINERY,6,Clerk#000000108,1995-05-11,1286.76,453,1
P,3-MEDIUM,1,BUILDING,3,Clerk#000000908,1995-03-27,7905.17,813,1
O,1-URGENT,0,BUILDING,16,Clerk#000000442,1995-09-14,-716.1,197,1
F,1-URGENT,4,BUILDING,11,Clerk#000000862,1992-09-06,3374.92,366,1
F,5-LOW,2,BUILDING,12,Clerk#000000693,1994-04-03,6836.89,679,1
O,2-HIGH,1,AUTOMOBILE,3,Clerk#000000500,1996-01-18,754.41,367,1
O,1-URGENT,4,MACHINERY,10,Clerk#000000564,1998-04-15,4572.11,819,1
O,1-URGENT,1,MACHINERY,17,Clerk#000000591,1996-09-22,507.26,502,1
O,3-MEDIUM,4,AUTOMOBILE,20,Clerk#000000744,1996-10-22,-919.65,977,1
F,3-MEDIUM,0,MACHINERY,16,Clerk#000000543,1993-02-25,1755.33,848,1
O,1-URGENT,2,FURNITURE,9,Clerk#000000715,1996-06-23,8328.12,462,1
O,5-LOW,3,FURNITURE,22,Clerk#000000320,1996-09-23,7616.48,545,1
O,3-MEDIUM,2,BUILDING,12,Clerk#000000409,1997-02-05,3826.52,662,1
F,5-LOW,1,HOUSEHOLD,3,Clerk#000000963,1992-02-17,7865.46,544,1
O,3-MEDIUM,0,BUILDING,0,Clerk#000000594,1998-02-20,702.73,477,1
F,5-LOW,2,BUILDING,8,Clerk#000000139,1992-09-28,81.06,615,1
O,5-LOW,2,FURNITURE,12,Clerk#000000914,1996-01-12,8982.79,0,1
F,5-LOW,4,BUILDING,10,Clerk#000000041,1993-06-05,2222.65,469,1
O,2-HIGH,4,BUILDING,11,Clerk#000000334,1996-04-29,9442.55,46,1
O,2-HIGH,2,BUILDING,9,Clerk#000000905,1996-02-28,8593.83,373,1
F,3-MEDIUM,3,BUILDING,19,Clerk#000000173,1994-12-29,4146.43,77,1
F,3-MEDIUM,0,FURNITURE,15,Clerk#000000600,1994-11-26,8781.53,39,1
F,3-MEDIUM,2,MACHINERY,21,Clerk#000000002,1992-07-26,1663.28,918,1
O,3-MEDIUM,4,AUTOMOBILE,10,Clerk#000000685,1997-11-09,-922.69,179,1
O,2-HIGH,2,AUTOMOBILE,12,Clerk#000000858,1997-09-25,1499.56,586,1
F,5-LOW,3,FURNITURE,22,Clerk#000000094,1993-11-26,-213.85,191,1
O,1-URGENT,2,MACHINERY,18,Clerk#000000912,1998-02-13,7055.13,287,1
O,4-NOT SPECIFIED,0,MACHINERY,16,Clerk#000000231,1997-09-20,2061.45,798,1
F,3-MEDIUM,0,AUTOMOBILE,5,Clerk#000000830,1993-12-27,-390.09,920,1
O,5-LOW,1,AUTOMOBILE,2,Clerk#000000385,1998-07-07,9749.37,401,1
F,4-NOT SPECIFIED,1,BUILDING,24,Clerk#000000529,1994-05-09,8117.27,89,1
F,3-MEDIUM,3,FURNITURE,22,Clerk#000000784,1992-05-08,-213.85,191,1
F,2-HIGH,1,BUILDING,17,Clerk#000000576,1994-07-04,-858.61,889,1
F,3-MEDIUM,0,AUTOMOBILE,15,Clerk#000000374,1992-07-17,7420.6,614,1
O,2-HIGH,0,FURNITURE,5,Clerk#000000588,1995-09-28,9849.87,406,1
F,2-HIGH,1,FURNITURE,2,Clerk#000000028,1992-10-22,311,855,1
F,4-NOT SPECIFIED,2,MACHINERY,8,Clerk#000000678,1994-06-27,4571.78,156,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,14,Clerk#000000191,1992-12-11,5411.2,199,1
O,2-HIGH,2,FURNITURE,8,Clerk#000000367,1997-10-14,-77.63,857,1
O,1-URGENT,2,BUILDING,21,Clerk#000000544,1996-11-26,2714.5,385,1
O,2-HIGH,3,HOUSEHOLD,19,Clerk#000000286,1996-08-30,3061.58,335,1
O,2-HIGH,4,FURNITURE,10,Clerk#000000865,1997-07-22,6530.86,589,1
F,2-HIGH,3,MACHINERY,23,Clerk#000000028,1992-05-07,130.59,642,1
F,1-URGENT,4,AUTOMOBILE,20,Clerk#000000107,1995-04-10,-919.65,977,1
F,3-MEDIUM,0,FURNITURE,5,Clerk#000000949,1994-01-10,1211.39,669,1
O,3-MEDIUM,4,HOUSEHOLD,11,Clerk#000000868,1996-11-30,3931.31,323,1
O,4-NOT SPECIFIED,1,HOUSEHOLD,2,Clerk#000000346,1997-03-02,990.58,421,1
P,3-MEDIUM,4,AUTOMOBILE,4,Clerk#000000887,1995-05-02,1561.8,634,1
O,3-MEDIUM,4,BUILDING,13,Clerk#000000385,1996-03-11,1317.56,16,1
F,2-HIGH,3,MACHINERY,23,Clerk#000000340,1992-05-26,8024.55,932,1
F,5-LOW,3,HOUSEHOLD,23,Clerk#000000960,1993-09-22,32.24,451,1
F,1-URGENT,0,BUILDING,15,Clerk#000000128,1994-05-15,8878.22,815,1
O,3-MEDIUM,3,FURNITURE,22,Clerk#000000353,1995-07-28,9491.46,789,1
O,5-LOW,4,FURNITURE,13,Clerk#000000852,1997-02-28,7073.17,437,1
O,5-LOW,1,HOUSEHOLD,24,Clerk#000000165,1996-11-14,-273.96,762,1
O,1-URGENT,3,AUTOMOBILE,23,Clerk#000000152,1997-11-05,668.51,474,1
F,2-HIGH,2,MACHINERY,9,Clerk#000000463,1993-06-12,9774.97,637,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,5,Clerk#000000176,1996-10-11,2753.54,315,1
F,3-MEDIUM,3,MACHINERY,6,Clerk#000000844,1993-08-22,8651.87,448,1
F,5-LOW,2,FURNITURE,18,Clerk#000000481,1993-09-27,807.37,343,1
F,2-HIGH,1,BUILDING,2,Clerk#000000871,1993-06-22,2883.24,78,1
F,5-LOW,2,FURNITURE,9,Clerk#000000755,1992-05-13,8328.12,462,1
F,1-URGENT,3,FURNITURE,23,Clerk#000000522,1993-07-08,2317.93,433,1
F,4-NOT SPECIFIED,2,FURNITURE,21,Clerk#000000175,1993-11-25,2114.53,508,1
F,3-MEDIUM,1,AUTOMOBILE,2,Clerk#000000796,1992-09-23,4718.23,795,1
O,2-HIGH,0,MACHINERY,16,Clerk#000000844,1997-05-21,7917.9,816,1
F,5-LOW,1,AUTOMOBILE,17,Clerk#000000928,1994-01-17,9359.01,643,1
F,2-HIGH,2,AUTOMOBILE,12,Clerk#000000408,1994-07-19,5392.3,57,1
F,5-LOW,3,FURNITURE,22,Clerk#000000904,1993-11-02,4867.52,954,1
O,4-NOT SPECIFIED,1,MACHINERY,2,Clerk#000000811,1995-11-17,7470.96,884,1
F,2-HIGH,2,MACHINERY,8,Clerk#000000229,1992-09-26,3993.54,722,1
O,1-URGENT,0,AUTOMOBILE,14,Clerk#000000112,1995-06-23,5384.59,123,1
F,2-HIGH,4,BUILDING,13,Clerk#000000697,1994-08-19,4198.72,22,1
F,1-URGENT,0,BUILDING,16,Clerk#000000312,1994-04-19,9967.6,782,1
F,5-LOW,2,FURNITURE,8,Clerk#000000254,1993-07-15,9365.93,353,1
O,4-NOT SPECIFIED,1,AUTOMOBILE,2,Clerk#000000050,1996-10-11,4718.23,795,1
F,1-URGENT,2,BUILDING,21,Clerk#000000776,1992-01-31,2714.5,385,1
O,1-URGENT,4,FURNITURE,20,Clerk#000000854,1995-12-13,8746.23,59,1
O,2-HIGH,0,AUTOMOBILE,0,Clerk#000000119,1996-07-06,138.31,202,1
F,2-HIGH,4,HOUSEHOLD,11,Clerk#000000473,1992-10-25,5630.28,878,1
O,3-MEDIUM,2,HOUSEHOLD,8,Clerk#000000519,1996-06-19,7508.92,764,1
O,1-URGENT,1,AUTOMOBILE,2,Clerk#000000594,1996-06-30,3139.71,63,1
F,4-NOT SPECIFIED,4,AUTOMOBILE,10,Clerk#000000431,1994-03-04,1915.53,649,1
O,5-LOW,0,HOUSEHOLD,15,Clerk#000000844,1995-08-27,2506.38,364,1
F,5-LOW,2,BUILDING,12,Clerk#000000665,1995-02-16,2584.52,990,1
O,1-URGENT,3,BUILDING,7,Clerk#000000453,1997-02-07,448.49,11,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,15,Clerk#000000809,1998-03-23,7734.64,755,1
O,5-LOW,0,AUTOMOBILE,15,Clerk#000000002,1998-01-04,9139.52,187,1
O,3-MEDIUM,0,HOUSEHOLD,5,Clerk#000000350,1997-05-29,3335.29,677,1
O,2-HIGH,0,BUILDING,16,Clerk#000000048,1997-01-19,8403.99,702,1
F,2-HIGH,0,HOUSEHOLD,0,Clerk#000000385,1994-11-14,5297.68,318,1
O,5-LOW,2,MACHINERY,12,Clerk#000000052,1997-07-10,6082.74,168,1
O,4-NOT SPECIFIED,3,MACHINERY,23,Clerk#000000580,1996-10-11,130.59,642,1
O,3-MEDIUM,4,AUTOMOBILE,4,Clerk#000000523,1998-01-14,6679.75,480,1
F,2-HIGH,0,BUILDING,15,Clerk#000000626,1993-01-24,8465.15,705,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,23,Clerk#000000924,1993-09-15,2701.21,603,1
O,3-MEDIUM,3,HOUSEHOLD,7,Clerk#000000822,1997-11-23,876.02,312,1
F,3-MEDIUM,3,AUTOMOBILE,6,Clerk#000000178,1992-11-20,4396.25,442,1
F,2-HIGH,4,BUILDING,10,Clerk#000000797,1994-07-16,2222.65,469,1
F,5-LOW,4,BUILDING,11,Clerk#000000688,1993-01-11,9442.55,46,1
O,5-LOW,4,MACHINERY,20,Clerk#000000028,1996-02-19,7555.16,780,1
F,1-URGENT,0,AUTOMOBILE,5,Clerk#000000228,1995-02-08,-390.09,920,1
O,1-URGENT,0,AUTOMOBILE,16,Clerk#000000122,1997-05-22,-761.7,8,1
F,5-LOW,0,AUTOMOBILE,5,Clerk#000000379,1993-11-30,3035.29,807,1
F,3-MEDIUM,1,AUTOMOBILE,3,Clerk#000000046,1993-07-26,754.41,367,1
O,4-NOT SPECIFIED,4,AUTOMOBILE,20,Clerk#000000723,1997-04-22,-919.65,977,1
O,2-HIGH,1,HOUSEHOLD,2,Clerk#000000952,1995-08-27,8993.23,897,1
F,5-LOW,1,MACHINERY,17,Clerk#000000731,1992-07-20,8275.8,32,1
F,4-NOT SPECIFIED,4,FURNITURE,4,Clerk#000000152,1993-10-24,7654.31,243,1
F,1-URGENT,0,BUILDING,5,Clerk#000000590,1994-02-11,-942.8,368,1
O,4-NOT SPECIFIED,2,MACHINERY,21,Clerk#000000383,1995-09-05,1682.83,537,1
O,2-HIGH,1,AUTOMOBILE,3,Clerk#000000656,1997-02-21,-496.49,562,1
O,4-NOT SPECIFIED,0,BUILDING,16,Clerk#000000225,1996-06-16,7786.69,58,1
F,5-LOW,4,BUILDING,11,Clerk#000000154,1992-02-17,9442.55,46,1
F,1-URGENT,2,BUILDING,21,Clerk#000000909,1994-08-02,5465.29,539,1
O,5-LOW,4,MACHINERY,20,Clerk#000000986,1995-10-29,9314.59,800,1
O,5-LOW,1,MACHINERY,3,Clerk#000000813,1996-12-09,2940.46,473,1
F,4-NOT SPECIFIED,3,AUTOMOBILE,23,Clerk#000000704,1994-08-25,7775.65,620,1
O,2-HIGH,0,AUTOMOBILE,15,Clerk#000000059,1996-04-13,7420.6,614,1
O,1-URGENT,3,AUTOMOBILE,6,Clerk#000000687,1997-01-24,4396.25,442,1
F,2-HIGH,4,FURNITURE,10,Clerk#000000346,1994-01-22,4573.94,295,1
F,4-NOT SPECIFIED,3,AUTOMOBILE,7,Clerk#000000278,1993-12-19,6134.4,947,1
F,1-URGENT,1,BUILDING,1,Clerk#000000021,1995-02-02,4455.76,814,1
F,2-HIGH,1,AUTOMOBILE,3,Clerk#000000108,1992-07-12,754.41,367,1
O,3-MEDIUM,2,FURNITURE,8,Clerk#000000506,1997-01-24,9787.56,695,1
O,3-MEDIUM,3,BUILDING,23,Clerk#000000990,1996-12-07,-565.35,107,1
F,1-URGENT,2,BUILDING,12,Clerk#000000199,1992-02-14,594.5,402,1
P,5-LOW,2,HOUSEHOLD,21,Clerk#000000330,1995-06-10,8367.94,511,1
F,3-MEDIUM,1,AUTOMOBILE,2,Clerk#000000629,1992-01-28,8216.79,659,1
F,4-NOT SPECIFIED,0,BUILDING,15,Clerk#000000704,1994-04-09,9559.04,579,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,15,Clerk#000000278,1997-10-17,8865.61,765,1
F,5-LOW,4,HOUSEHOLD,10,Clerk#000000607,1992-08-19,5751.31,284,1
F,1-URGENT,4,HOUSEHOLD,13,Clerk#000000229,1994-09-27,3686.07,850,1
O,1-URGENT,3,FURNITURE,22,Clerk#000000940,1996-09-07,7207.7,262,1
O,2-HIGH,3,FURNITURE,23,Clerk#000000279,1997-11-01,2829.07,667,1
F,2-HIGH,3,AUTOMOBILE,19,Clerk#000000170,1993-01-23,85.05,105,1
O,1-URGENT,4,MACHINERY,4,Clerk#000000922,1997-10-18,2764.43,143,1
F,5-LOW,3,BUILDING,7,Clerk#000000082,1993-08-22,448.49,11,1
O,5-LOW,2,HOUSEHOLD,9,Clerk#000000819,1996-07-30,5073.58,447,1
F,1-URGENT,3,HOUSEHOLD,22,Clerk#000000418,1993-02-05,554.71,768,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,15,Clerk#000000984,1994-06-21,7734.64,755,1
