l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,A,COLLECT COD,4,Manufacturer#2,3-MEDIUM,4,REG AIR,1,0.04,13,Brand#23,13,MED PACK,37,594,28367.3808
F,F,R,COLLECT COD,1,Manufacturer#1,4-NOT SPECIFIED,0,AIR,4,0.08,3,Brand#11,16,SM BOX,8,595,71299.4664
F,F,N,NONE,0,Manufacturer#2,4-NOT SPECIFIED,0,FOB,6,0,16,Brand#21,16,LG PACK,23,595,2952.21
F,P,R,COLLECT COD,0,Manufacturer#2,2-HIGH,0,RAIL,2,0.02,16,Brand#24,14,LG JAR,1,596,87801.63
O,P,N,DELIVER IN PERSON,3,Manufacturer#1,2-HIGH,0,AIR,3,0.01,23,Brand#14,14,MED BOX,27,596,26202.9495
F,P,R,COLLECT COD,2,Manufacturer#1,2-HIGH,0,RAIL,1,0.04,18,Brand#14,14,JUMBO PKG,11,596,34293.765
F,F,A,NONE,2,Manufacturer#3,1-URGENT,1,SHIP,1,0.08,18,Brand#35,17,JUMBO BOX,43,597,55471.152
F,F,R,COLLECT COD,0,Manufacturer#3,1-URGENT,1,REG AIR,2,0.08,5,Brand#32,17,WRAP BOX,23,598,14406.525
F,F,R,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,0,TRUCK,1,0.01,8,Brand#41,14,WRAP PACK,10,599,36204.8238
F,F,R,NONE,4,Manufacturer#4,3-MEDIUM,1,RAIL,4,0.01,11,Brand#45,2,SM BOX,34,600,43407.738
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,1-URGENT,3,SHIP,2,0.06,10,Brand#22,22,JUMBO CAN,5,601,30753.6
F,F,R,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,3,RAIL,2,0.05,8,Brand#52,19,WRAP PKG,48,602,39100.6072
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,3,SHIP,1,0.08,8,Brand#43,19,SM JAR,42,602,49823.5283
F,F,R,DELIVER IN PERSON,0,Manufacturer#4,4-NOT SPECIFIED,4,FOB,2,0.03,15,Brand#41,20,SM DRUM,12,603,9750.059
F,F,R,NONE,4,Manufacturer#1,4-NOT SPECIFIED,4,MAIL,1,0.03,4,Brand#15,20,WRAP CAN,41,603,41445
F,F,R,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,0,SHIP,1,0.08,18,Brand#31,15,LG PACK,24,604,36770.8636
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,5-LOW,0,TRUCK,5,0.01,21,Brand#43,15,JUMBO CASE,35,604,49786.9281
F,F,R,NONE,4,Manufacturer#1,5-LOW,0,TRUCK,4,0.03,13,Brand#13,15,MED CAN,40,604,30733.2375
F,F,R,COLLECT COD,4,Manufacturer#1,3-MEDIUM,3,AIR,2,0,4,Brand#11,6,LG PACK,31,605,31718.104
F,F,A,COLLECT COD,2,Manufacturer#3,1-URGENT,4,TRUCK,7,0,21,Brand#32,13,LG BOX,44,606,895.3197
F,F,R,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,4,RAIL,2,0.04,19,Brand#24,13,LG PKG,42,606,19915.266
F,F,A,NONE,2,Manufacturer#3,1-URGENT,1,AIR,2,0.02,21,Brand#31,24,MED DRUM,42,607,66534.1992
F,F,A,COLLECT COD,2,Manufacturer#2,1-URGENT,1,FOB,4,0.05,18,Brand#24,24,LG BOX,6,607,62813.1114
F,F,N,NONE,4,Manufacturer#5,3-MEDIUM,1,FOB,1,0.02,20,Brand#53,2,SM BAG,39,608,31713.984
F,F,A,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,1,TRUCK,3,0.04,8,Brand#22,2,SM PACK,13,600,64774.6195
F,F,A,DELIVER IN PERSON,3,Manufacturer#4,2-HIGH,2,RAIL,1,0.08,6,Brand#45,21,WRAP CASE,38,609,59030.9223
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,3-MEDIUM,4,RAIL,4,0.05,12,Brand#14,11,JUMBO BOX,37,610,49128.66
O,P,N,NONE,2,Manufacturer#1,2-HIGH,0,TRUCK,7,0.04,18,Brand#14,0,WRAP PKG,25,611,40912.9812
F,P,A,TAKE BACK RETURN,2,Manufacturer#3,2-HIGH,0,TRUCK,3,0.03,9,Brand#32,0,WRAP JAR,2,611,55607.211
F,P,N,NONE,2,Manufacturer#3,2-HIGH,0,MAIL,2,0.03,9,Brand#32,0,SM BOX,6,611,23070.294
F,P,A,TAKE BACK RETURN,4,Manufacturer#3,2-HIGH,0,TRUCK,6,0.07,11,Brand#35,0,SM CASE,13,611,61503.8976
O,P,N,DELIVER IN PERSON,1,Manufacturer#3,2-HIGH,0,SHIP,1,0,17,Brand#32,0,JUMBO PACK,31,611,37304.2196
F,P,R,TAKE BACK RETURN,4,Manufacturer#2,2-HIGH,0,FOB,5,0.04,4,Brand#24,0,WRAP PACK,23,611,54179.5156
O,P,N,COLLECT COD,3,Manufacturer#1,2-HIGH,0,MAIL,4,0.03,23,Brand#13,0,WRAP PKG,38,611,48497.462
F,F,A,COLLECT COD,1,Manufacturer#2,3-MEDIUM,4,TRUCK,5,0.08,3,Brand#25,11,SM CAN,24,610,33282.84
F,F,A,DELIVER IN PERSON,4,Manufacturer#2,3-MEDIUM,4,MAIL,1,0,10,Brand#24,11,SM CAN,3,610,14813.046
F,F,A,NONE,3,Manufacturer#2,3-MEDIUM,4,AIR,6,0.06,22,Brand#25,11,LG PKG,30,610,23785.65
F,F,A,NONE,2,Manufacturer#4,3-MEDIUM,4,TRUCK,2,0.04,8,Brand#42,11,LG CASE,35,610,64900.6862
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,1-URGENT,3,MAIL,5,0.04,8,Brand#51,23,SM DRUM,21,612,32762.138
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,1-URGENT,3,RAIL,3,0.05,0,Brand#34,23,JUMBO CAN,5,612,40086.6048
F,F,A,TAKE BACK RETURN,0,Manufacturer#1,1-URGENT,3,REG AIR,2,0.03,16,Brand#15,23,JUMBO CAN,34,612,29759.6838
F,F,R,TAKE BACK RETURN,3,Manufacturer#5,1-URGENT,3,RAIL,1,0.03,6,Brand#53,23,MED DRUM,24,612,43732.68
F,F,R,COLLECT COD,2,Manufacturer#2,1-URGENT,3,SHIP,4,0.08,8,Brand#23,23,WRAP DRUM,27,612,38818.71
F,F,A,TAKE BACK RETURN,4,Manufacturer#3,4-NOT SPECIFIED,3,MAIL,4,0.04,20,Brand#35,22,SM JAR,16,613,26759.1357
F,F,R,DELIVER IN PERSON,3,Manufacturer#1,1-URGENT,0,RAIL,1,0.05,6,Brand#11,16,JUMBO PKG,20,614,28149.03
F,F,R,DELIVER IN PERSON,0,Manufacturer#5,1-URGENT,0,MAIL,2,0,15,Brand#52,16,LG DRUM,28,614,66349.6
F,F,R,TAKE BACK RETURN,2,Manufacturer#3,2-HIGH,4,RAIL,3,0.08,8,Brand#35,11,WRAP PACK,4,615,15820.35
F,P,R,TAKE BACK RETURN,3,Manufacturer#3,5-LOW,4,FOB,6,0.07,19,Brand#34,10,LG DRUM,37,616,57780.1728
F,P,A,DELIVER IN PERSON,0,Manufacturer#3,5-LOW,4,MAIL,4,0.07,15,Brand#31,10,MED PKG,14,616,37922.185
F,P,A,TAKE BACK RETURN,1,Manufacturer#2,5-LOW,4,TRUCK,5,0.08,24,Brand#23,10,MED CASE,13,616,16245.216
F,P,A,COLLECT COD,0,Manufacturer#3,5-LOW,4,TRUCK,1,0.07,0,Brand#35,10,LG BOX,19,616,35842.9626
O,P,N,TAKE BACK RETURN,1,Manufacturer#3,5-LOW,4,FOB,2,0.06,1,Brand#33,10,MED JAR,25,616,73779.9762
F,P,R,NONE,3,Manufacturer#1,5-LOW,4,REG AIR,3,0.05,7,Brand#13,10,LG PACK,22,616,27352.8288
F,F,A,TAKE BACK RETURN,2,Manufacturer#5,2-HIGH,4,AIR,1,0.04,18,Brand#51,11,SM CAN,15,615,45870.3063
F,F,R,COLLECT COD,4,Manufacturer#4,2-HIGH,4,REG AIR,2,0.07,13,Brand#42,11,JUMBO DRUM,34,615,35602.3256
F,F,A,TAKE BACK RETURN,2,Manufacturer#1,4-NOT SPECIFIED,0,SHIP,5,0,12,Brand#14,14,LG PKG,24,617,29851.173
F,F,R,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,0,RAIL,2,0.06,20,Brand#11,14,MED JAR,41,617,24741.402
F,F,A,NONE,3,Manufacturer#1,3-MEDIUM,4,TRUCK,4,0.04,7,Brand#15,4,JUMBO CASE,23,618,58706.3088
F,F,R,DELIVER IN PERSON,2,Manufacturer#3,3-MEDIUM,4,FOB,1,0.02,9,Brand#31,4,WRAP BAG,42,618,49241.5014
F,F,A,COLLECT COD,2,Manufacturer#3,3-MEDIUM,4,REG AIR,5,0.07,12,Brand#33,4,WRAP PACK,42,618,7200.7656
F,F,A,DELIVER IN PERSON,0,Manufacturer#5,3-MEDIUM,4,TRUCK,3,0.03,5,Brand#51,4,WRAP BAG,12,618,65701.398
F,F,N,DELIVER IN PERSON,2,Manufacturer#3,3-MEDIUM,2,TRUCK,4,0.02,9,Brand#32,21,LG DRUM,39,619,74846.646
F,F,A,NONE,0,Manufacturer#4,5-LOW,2,AIR,4,0.01,14,Brand#44,8,MED PKG,7,620,12318.7056
F,F,R,COLLECT COD,3,Manufacturer#4,5-LOW,2,RAIL,3,0.04,7,Brand#45,8,JUMBO CASE,11,620,10804.3215
F,F,A,DELIVER IN PERSON,4,Manufacturer#1,1-URGENT,4,AIR,2,0.05,20,Brand#14,10,SM BOX,44,621,41076.0448
F,F,A,COLLECT COD,1,Manufacturer#4,1-URGENT,4,RAIL,1,0,2,Brand#42,10,WRAP PKG,13,621,24927.1155
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,2,TRUCK,3,0.04,8,Brand#44,21,WRAP PKG,35,619,66955.3248
F,F,R,NONE,0,Manufacturer#5,3-MEDIUM,2,AIR,2,0.02,5,Brand#52,21,JUMBO BAG,8,619,35295.708
F,F,A,TAKE BACK RETURN,0,Manufacturer#4,3-MEDIUM,2,REG AIR,1,0,0,Brand#43,21,MED CASE,2,619,55030.7384
O,P,N,TAKE BACK RETURN,1,Manufacturer#3,2-HIGH,2,FOB,1,0.02,1,Brand#31,8,MED JAR,10,622,25283.216
F,P,A,COLLECT COD,0,Manufacturer#4,2-HIGH,2,REG AIR,3,0.03,0,Brand#45,8,MED PACK,1,622,48704.543
F,P,N,TAKE BACK RETURN,3,Manufacturer#5,2-HIGH,2,SHIP,4,0,7,Brand#53,8,JUMBO BAG,15,622,11808.954
F,P,R,TAKE BACK RETURN,4,Manufacturer#4,4-NOT SPECIFIED,2,AIR,2,0.03,10,Brand#43,9,WRAP PACK,29,623,77219.4302
F,F,A,NONE,3,Manufacturer#4,5-LOW,2,RAIL,1,0.03,7,Brand#44,8,LG PACK,26,624,39050.424
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,2,TRUCK,1,0.04,16,Brand#32,21,JUMBO DRUM,3,625,70273.2
F,F,A,DELIVER IN PERSON,4,Manufacturer#4,2-HIGH,2,MAIL,2,0.05,4,Brand#42,21,JUMBO PKG,27,625,969.2434
F,F,R,COLLECT COD,4,Manufacturer#1,2-HIGH,2,REG AIR,3,0.08,4,Brand#11,21,LG JAR,30,625,42909.6
F,P,R,DELIVER IN PERSON,0,Manufacturer#3,4-NOT SPECIFIED,2,FOB,6,0.07,5,Brand#31,9,MED DRUM,3,623,48100.08
F,P,A,NONE,0,Manufacturer#4,4-NOT SPECIFIED,2,FOB,1,0.04,14,Brand#44,9,MED PKG,7,623,71594.1976
O,P,N,DELIVER IN PERSON,1,Manufacturer#5,4-NOT SPECIFIED,2,AIR,3,0.06,2,Brand#53,9,LG DRUM,34,623,32487.3913
F,P,A,NONE,0,Manufacturer#1,4-NOT SPECIFIED,2,RAIL,4,0.02,14,Brand#14,9,MED CAN,5,623,3868.2792
F,P,A,DELIVER IN PERSON,1,Manufacturer#2,4-NOT SPECIFIED,2,SHIP,5,0,3,Brand#23,9,JUMBO BAG,8,623,32330.1888
F,F,R,NONE,3,Manufacturer#5,4-NOT SPECIFIED,2,TRUCK,1,0.04,7,Brand#54,9,JUMBO JAR,1,626,25110.1378
F,F,R,DELIVER IN PERSON,1,Manufacturer#1,4-NOT SPECIFIED,2,MAIL,2,0.02,2,Brand#15,9,JUMBO BOX,18,626,39971.6418
F,F,R,COLLECT COD,4,Manufacturer#3,4-NOT SPECIFIED,2,TRUCK,3,0.03,20,Brand#35,9,MED PACK,5,626,14273.616
F,F,A,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,1,SHIP,2,0.03,24,Brand#13,24,MED PKG,28,627,4990.0455
F,F,R,NONE,0,Manufacturer#3,5-LOW,3,RAIL,5,0.03,16,Brand#35,7,MED JAR,21,628,77030.595
F,F,R,DELIVER IN PERSON,4,Manufacturer#2,4-NOT SPECIFIED,2,TRUCK,2,0.05,20,Brand#21,9,JUMBO CASE,5,629,12387.5479
F,F,A,NONE,1,Manufacturer#3,1-URGENT,1,MAIL,3,0.04,17,Brand#34,24,WRAP BAG,4,627,11950.128
F,F,A,TAKE BACK RETURN,1,Manufacturer#5,4-NOT SPECIFIED,4,AIR,1,0.04,3,Brand#53,13,WRAP PKG,30,630,55775.1552
F,F,R,COLLECT COD,0,Manufacturer#5,3-MEDIUM,2,TRUCK,1,0,15,Brand#53,9,JUMBO PKG,48,631,63383.292
F,F,A,COLLECT COD,1,Manufacturer#3,2-HIGH,1,SHIP,2,0.03,17,Brand#35,3,WRAP BOX,7,632,70780.7646
F,F,A,COLLECT COD,4,Manufacturer#5,2-HIGH,0,REG AIR,2,0.03,4,Brand#51,0,WRAP BAG,21,633,36227.3874
F,F,R,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,0,MAIL,1,0,8,Brand#54,0,WRAP PACK,34,633,44035.92
F,F,A,TAKE BACK RETURN,2,Manufacturer#3,2-HIGH,0,MAIL,3,0.05,8,Brand#33,0,SM BOX,16,633,2681.91
F,F,A,COLLECT COD,1,Manufacturer#2,2-HIGH,3,TRUCK,2,0.08,3,Brand#24,23,MED PKG,8,634,33902.73
F,F,R,COLLECT COD,3,Manufacturer#3,3-MEDIUM,0,RAIL,1,0,22,Brand#33,14,JUMBO BOX,34,635,45591.9616
F,F,R,TAKE BACK RETURN,1,Manufacturer#4,2-HIGH,3,REG AIR,3,0.03,2,Brand#43,23,LG DRUM,45,634,76918.8558
F,F,A,TAKE BACK RETURN,0,Manufacturer#4,2-HIGH,3,AIR,1,0.07,0,Brand#41,23,WRAP BAG,11,634,69013.0994
F,F,R,DELIVER IN PERSON,4,Manufacturer#4,2-HIGH,2,FOB,1,0.03,4,Brand#44,18,WRAP BOX,5,636,23252.675
F,F,A,TAKE BACK RETURN,4,Manufacturer#1,3-MEDIUM,1,SHIP,2,0.04,11,Brand#11,3,SM CAN,1,637,36718.725
F,F,R,COLLECT COD,2,Manufacturer#2,3-MEDIUM,1,MAIL,3,0.01,12,Brand#23,3,SM CAN,1,637,26474.3064
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,3-MEDIUM,1,REG AIR,1,0.08,12,Brand#55,3,LG CASE,6,637,44790.9588
F,F,R,DELIVER IN PERSON,4,Manufacturer#2,2-HIGH,4,SHIP,3,0.07,11,Brand#21,4,SM DRUM,16,638,46732.14
F,F,R,NONE,4,Manufacturer#5,2-HIGH,0,REG AIR,6,0.02,20,Brand#54,0,MED BAG,30,639,44659.701
F,F,R,COLLECT COD,3,Manufacturer#2,5-LOW,0,MAIL,1,0.03,22,Brand#23,14,MED DRUM,13,640,2008.566
F,F,R,TAKE BACK RETURN,3,Manufacturer#4,2-HIGH,4,REG AIR,1,0,6,Brand#43,4,MED CAN,49,638,3861.849
F,F,A,DELIVER IN PERSON,3,Manufacturer#1,2-HIGH,4,SHIP,4,0.06,19,Brand#13,4,MED PKG,35,638,45066.252
F,F,N,COLLECT COD,3,Manufacturer#2,4-NOT SPECIFIED,0,SHIP,7,0.04,19,Brand#22,5,MED CASE,38,641,58115.5884
F,F,A,NONE,4,Manufacturer#3,4-NOT SPECIFIED,3,TRUCK,4,0.01,11,Brand#32,6,MED CASE,2,642,17508.4
F,F,R,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,0,TRUCK,6,0.07,1,Brand#24,15,SM CAN,45,643,5394.924
F,F,A,NONE,4,Manufacturer#4,5-LOW,2,FOB,1,0.04,10,Brand#43,8,SM PACK,28,644,74828.66
F,F,A,TAKE BACK RETURN,3,Manufacturer#3,4-NOT SPECIFIED,1,RAIL,3,0.08,7,Brand#34,1,SM PKG,50,645,58897.139
F,F,R,NONE,1,Manufacturer#5,4-NOT SPECIFIED,1,RAIL,7,0.05,3,Brand#53,1,JUMBO BOX,16,645,36248.0706
F,F,A,COLLECT COD,4,Manufacturer#3,4-NOT SPECIFIED,1,FOB,1,0.07,20,Brand#32,1,JUMBO CASE,40,645,81009.7398
F,F,N,COLLECT COD,0,Manufacturer#3,4-NOT SPECIFIED,0,FOB,5,0,16,Brand#33,5,WRAP CASE,18,641,28727.0676
F,F,A,TAKE BACK RETURN,1,Manufacturer#2,4-NOT SPECIFIED,0,AIR,4,0.03,2,Brand#25,5,JUMBO PACK,38,641,15199.083
F,F,A,DELIVER IN PERSON,4,Manufacturer#1,4-NOT SPECIFIED,0,RAIL,1,0.05,11,Brand#15,5,MED BOX,47,641,68607.6108
F,F,R,COLLECT COD,3,Manufacturer#3,4-NOT SPECIFIED,0,SHIP,3,0.05,23,Brand#35,5,LG PKG,25,641,3869.0496
F,F,N,NONE,0,Manufacturer#3,4-NOT SPECIFIED,0,AIR,6,0.01,5,Brand#32,5,LG CAN,33,641,43923.9528
F,F,N,DELIVER IN PERSON,4,Manufacturer#4,2-HIGH,4,AIR,6,0.06,10,Brand#43,11,WRAP CAN,24,646,15469.245
F,F,R,NONE,0,Manufacturer#4,2-HIGH,4,REG AIR,3,0.06,16,Brand#42,11,MED PKG,48,646,46569.9168
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,2-HIGH,4,REG AIR,2,0.08,2,Brand#35,11,MED BAG,43,646,69300.7029
F,F,R,COLLECT COD,2,Manufacturer#4,2-HIGH,4,AIR,4,0.06,12,Brand#45,11,WRAP BOX,28,646,6309.168
F,F,R,NONE,3,Manufacturer#5,2-HIGH,4,FOB,7,0.08,22,Brand#51,11,WRAP CASE,43,646,33909.7668
F,F,A,COLLECT COD,3,Manufacturer#1,2-HIGH,4,REG AIR,5,0.04,23,Brand#14,11,MED PKG,41,646,32661.0702
F,F,R,TAKE BACK RETURN,1,Manufacturer#3,2-HIGH,4,SHIP,1,0,24,Brand#34,11,WRAP CAN,50,646,66789.1756
F,P,A,COLLECT COD,3,Manufacturer#3,5-LOW,3,SHIP,1,0,7,Brand#33,19,MED BOX,16,647,906.2592
O,P,N,COLLECT COD,4,Manufacturer#3,5-LOW,3,MAIL,2,0,20,Brand#33,19,LG CASE,3,647,24011.3184
F,F,R,COLLECT COD,3,Manufacturer#2,3-MEDIUM,0,TRUCK,4,0.02,6,Brand#23,16,JUMBO BOX,32,648,54838.52
F,F,A,COLLECT COD,4,Manufacturer#1,5-LOW,0,MAIL,2,0.07,20,Brand#12,15,SM JAR,46,649,39847.493
F,F,A,NONE,1,Manufacturer#3,5-LOW,0,AIR,4,0.06,1,Brand#32,15,LG PKG,32,649,69910.479
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,5-LOW,0,REG AIR,3,0,9,Brand#41,15,MED BOX,37,649,56674.0512
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,5-LOW,2,MAIL,4,0.08,12,Brand#43,8,WRAP DRUM,9,650,38300.418
F,F,N,COLLECT COD,0,Manufacturer#2,5-LOW,2,MAIL,2,0.02,14,Brand#21,8,SM BAG,1,650,63867.094
F,F,A,COLLECT COD,4,Manufacturer#3,5-LOW,2,FOB,3,0.04,13,Brand#32,8,LG BOX,36,650,1318.8292
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,5-LOW,4,AIR,4,0,10,Brand#23,13,WRAP BAG,35,651,43643.0592
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,5-LOW,4,FOB,2,0.08,1,Brand#33,13,WRAP JAR,48,651,55399.41
F,F,A,COLLECT COD,3,Manufacturer#3,5-LOW,3,MAIL,2,0.07,6,Brand#33,19,JUMBO PACK,25,652,51926.4768
F,F,A,NONE,0,Manufacturer#4,5-LOW,3,RAIL,1,0.04,14,Brand#42,19,MED PKG,19,652,2200.158
F,F,A,COLLECT COD,1,Manufacturer#4,5-LOW,2,MAIL,3,0.02,2,Brand#43,18,LG BAG,30,653,50954.4336
F,F,R,TAKE BACK RETURN,3,Manufacturer#4,5-LOW,2,REG AIR,4,0.06,23,Brand#42,18,SM BAG,24,653,8761.8762
F,F,A,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,2,MAIL,1,0.07,21,Brand#34,18,SM PACK,2,653,66835.54
F,F,A,TAKE BACK RETURN,3,Manufacturer#2,3-MEDIUM,0,MAIL,3,0.06,19,Brand#21,16,JUMBO JAR,5,648,57049.083
F,F,A,TAKE BACK RETURN,1,Manufacturer#1,3-MEDIUM,0,FOB,2,0.08,24,Brand#15,16,JUMBO PACK,30,648,33830.2146
F,F,R,DELIVER IN PERSON,4,Manufacturer#3,4-NOT SPECIFIED,4,TRUCK,3,0.02,11,Brand#31,20,LG PKG,2,654,31431.2999
F,F,R,NONE,1,Manufacturer#1,4-NOT SPECIFIED,4,REG AIR,1,0.04,2,Brand#11,20,LG PKG,7,654,61664.3478
F,F,R,NONE,2,Manufacturer#2,1-URGENT,2,AIR,5,0.03,12,Brand#24,8,JUMBO JAR,31,655,15907.899
F,F,R,DELIVER IN PERSON,2,Manufacturer#5,1-URGENT,2,TRUCK,4,0.01,9,Brand#51,8,WRAP CASE,21,655,39044.025
F,F,R,COLLECT COD,1,Manufacturer#4,1-URGENT,2,TRUCK,2,0.07,1,Brand#44,8,SM JAR,37,655,1595.0844
F,F,R,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,4,AIR,5,0.06,3,Brand#34,20,JUMBO JAR,3,654,33304.15
F,F,A,NONE,2,Manufacturer#1,4-NOT SPECIFIED,4,AIR,4,0.01,21,Brand#15,20,SM CAN,31,654,20151.128
F,F,A,DELIVER IN PERSON,0,Manufacturer#2,5-LOW,0,RAIL,1,0.02,15,Brand#24,5,MED JAR,46,656,67001.3435
F,F,A,COLLECT COD,0,Manufacturer#3,5-LOW,0,SHIP,2,0.08,0,Brand#34,5,JUMBO JAR,17,656,3073.649
F,F,A,NONE,2,Manufacturer#5,1-URGENT,3,MAIL,6,0.06,21,Brand#53,7,JUMBO PKG,42,657,13249.206
F,F,R,COLLECT COD,4,Manufacturer#2,1-URGENT,3,MAIL,3,0.05,20,Brand#24,7,SM JAR,39,657,37849.4208
F,F,R,COLLECT COD,2,Manufacturer#4,1-URGENT,3,TRUCK,2,0.04,12,Brand#41,7,MED PKG,20,657,13830.9228
F,F,R,NONE,2,Manufacturer#2,1-URGENT,3,SHIP,4,0.07,8,Brand#23,7,JUMBO BAG,5,657,1664.4672
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,1-URGENT,3,FOB,7,0.01,12,Brand#42,7,WRAP PACK,35,657,12427.976
F,F,A,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,3,TRUCK,1,0.07,17,Brand#15,7,JUMBO BOX,19,657,24454.2432
F,F,R,NONE,1,Manufacturer#5,4-NOT SPECIFIED,4,MAIL,1,0.08,17,Brand#51,20,SM CASE,33,658,15478.9386
F,F,A,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,2,FOB,3,0.06,15,Brand#52,9,WRAP CASE,32,659,41062.452
F,F,A,DELIVER IN PERSON,0,Manufacturer#4,2-HIGH,2,TRUCK,2,0.04,16,Brand#42,9,LG DRUM,35,659,50715.94
F,F,A,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,2,FOB,6,0,3,Brand#52,9,SM BOX,48,659,22512.1092
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,4-NOT SPECIFIED,4,RAIL,1,0.05,20,Brand#54,4,MED BOX,33,660,23137.254
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,1,MAIL,4,0.02,17,Brand#31,17,SM PKG,27,661,33233.9535
F,F,R,TAKE BACK RETURN,4,Manufacturer#4,2-HIGH,1,RAIL,4,0.06,20,Brand#43,2,SM PACK,23,662,32352.3564
F,F,A,NONE,3,Manufacturer#2,2-HIGH,1,AIR,2,0.08,7,Brand#21,2,MED BOX,3,662,4818.7764
