o_orderstatus,o_orderpriority,cn_regionkey,c_mktsegment,c_nationkey,o_clerk,o_orderdate,c_acctbal,groupcol,aggcol
O,3-MEDIUM,2,AUTOMOBILE,18,Clerk#000000582,1997-08-28,6868.66,39,1
F,4-NOT SPECIFIED,1,AUTOMOBILE,3,Clerk#000000876,1993-02-26,665.37,40,1
F,3-MEDIUM,4,FURNITURE,10,Clerk#000000544,1992-05-26,6872.39,41,1
O,5-LOW,4,BUILDING,13,Clerk#000000393,1998-01-16,6269.55,42,1
F,3-MEDIUM,2,MACHINERY,18,Clerk#000000566,1994-12-11,6509.67,43,1
O,5-LOW,2,BUILDING,9,Clerk#000000773,1998-06-14,2504.11,44,1
O,4-NOT SPECIFIED,3,MACHINERY,22,Clerk#000000370,1996-11-03,9551.98,45,1
O,4-NOT SPECIFIED,2,BUILDING,8,Clerk#000000894,1997-01-20,9799.67,46,1
F,3-MEDIUM,2,BUILDING,9,Clerk#000000431,1992-12-03,4731.81,47,1
O,1-URGENT,0,BUILDING,5,Clerk#000000424,1998-07-01,-178.52,48,1
O,3-MEDIUM,2,AUTOMOBILE,21,Clerk#000001000,1998-01-08,2465.86,49,1
F,2-HIGH,3,MACHINERY,7,Clerk#000000620,1994-05-17,4429.67,50,1
O,3-MEDIUM,1,HOUSEHOLD,2,Clerk#000000996,1997-01-17,8030.85,51,1
F,4-NOT SPECIFIED,3,FURNITURE,19,Clerk#000000638,1995-03-12,1647.05,52,1
O,1-URGENT,2,FURNITURE,8,Clerk#000000337,1996-12-22,8238.22,53,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,15,Clerk#000000854,1995-07-19,7726.08,28,1
F,3-MEDIUM,1,HOUSEHOLD,2,Clerk#000000873,1994-09-17,7351.96,54,1
O,4-NOT SPECIFIED,2,FURNITURE,18,Clerk#000000006,1996-04-07,2423.72,55,1
F,2-HIGH,0,BUILDING,0,Clerk#000000285,1993-05-04,5924.17,56,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,15,Clerk#000000254,1993-10-30,1948.61,57,1
F,1-URGENT,2,MACHINERY,8,Clerk#000000914,1994-09-26,6452.35,58,1
F,2-HIGH,2,AUTOMOBILE,18,Clerk#000000465,1994-03-28,-197.98,59,1
O,2-HIGH,1,BUILDING,17,Clerk#000000162,1995-11-25,4555.87,60,1
O,3-MEDIUM,4,AUTOMOBILE,11,Clerk#000000224,1998-02-17,123.03,61,1
F,4-NOT SPECIFIED,3,BUILDING,23,Clerk#000000441,1994-03-06,2230.09,62,1
F,3-MEDIUM,3,BUILDING,23,Clerk#000000549,1994-05-10,-460.48,63,1
F,2-HIGH,4,BUILDING,20,Clerk#000000340,1993-10-10,-894.93,64,1
O,2-HIGH,1,HOUSEHOLD,24,Clerk#000000980,1998-01-13,5643.77,65,1
F,3-MEDIUM,0,HOUSEHOLD,5,Clerk#000000650,1993-06-26,9977.58,66,1
F,2-HIGH,3,FURNITURE,19,Clerk#000000650,1993-09-22,4230.02,67,1
O,5-LOW,1,FURNITURE,17,Clerk#000000435,1998-05-14,6507.6,68,1
O,3-MEDIUM,1,BUILDING,1,Clerk#000000027,1996-07-29,-868.99,69,1
O,4-NOT SPECIFIED,1,HOUSEHOLD,17,Clerk#000000531,1995-12-05,1275.79,70,1
O,1-URGENT,0,BUILDING,14,Clerk#000000085,1996-05-27,6474.55,71,1
O,2-HIGH,2,FURNITURE,8,Clerk#000000213,1996-10-03,520.61,72,1
F,2-HIGH,3,BUILDING,23,Clerk#000000745,1993-04-04,3382.97,73,1
F,3-MEDIUM,2,HOUSEHOLD,8,Clerk#000000700,1992-03-14,-595.84,74,1
O,2-HIGH,3,BUILDING,6,Clerk#000000785,1998-01-28,4250.73,75,1
F,1-URGENT,2,HOUSEHOLD,21,Clerk#000000236,1992-01-16,5263.11,76,1
F,3-MEDIUM,1,FURNITURE,1,Clerk#000000878,1994-07-23,111.3,77,1
F,5-LOW,4,HOUSEHOLD,13,Clerk#000000325,1992-12-05,6478.46,78,1
O,1-URGENT,0,FURNITURE,14,Clerk#000000125,1997-12-16,1724.68,79,1
O,4-NOT SPECIFIED,1,AUTOMOBILE,17,Clerk#000000724,1997-02-06,9146.05,80,1
O,5-LOW,2,BUILDING,12,Clerk#000000506,1997-01-15,3502.79,81,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,15,Clerk#000000717,1993-07-27,3903.54,82,1
O,1-URGENT,1,BUILDING,3,Clerk#000000241,1998-06-24,7909.41,83,1
F,4-NOT SPECIFIED,2,AUTOMOBILE,8,Clerk#000000376,1993-08-19,9439.21,84,1
O,1-URGENT,0,BUILDING,16,Clerk#000000837,1996-07-22,1175.86,85,1
F,5-LOW,2,BUILDING,12,Clerk#000000149,1994-12-15,108.03,86,1
F,2-HIGH,4,MACHINERY,11,Clerk#000000229,1994-09-24,4195.34,87,1
F,3-MEDIUM,4,FURNITURE,20,Clerk#000000862,1993-12-18,9889.89,88,1
O,4-NOT SPECIFIED,4,HOUSEHOLD,20,Clerk#000000919,1995-10-20,7636.81,89,1
F,3-MEDIUM,0,BUILDING,14,Clerk#000000178,1993-08-01,6240.31,90,1
F,2-HIGH,0,AUTOMOBILE,16,Clerk#000000367,1994-02-15,6865.14,91,1
O,1-URGENT,2,HOUSEHOLD,9,Clerk#000000727,1996-06-18,2614.63,92,1
F,3-MEDIUM,0,FURNITURE,0,Clerk#000000655,1992-02-12,314.77,93,1
O,1-URGENT,1,BUILDING,24,Clerk#000000262,1996-12-02,3108.29,94,1
O,2-HIGH,2,AUTOMOBILE,8,Clerk#000000427,1996-09-18,8875.4,95,1
O,3-MEDIUM,4,AUTOMOBILE,13,Clerk#000000061,1998-07-20,9578.51,96,1
F,1-URGENT,3,BUILDING,7,Clerk#000000002,1995-04-05,3869.25,97,1
O,5-LOW,0,MACHINERY,5,Clerk#000000659,1997-09-25,4766.81,98,1
F,2-HIGH,1,BUILDING,3,Clerk#000000715,1994-05-17,8577.26,99,1
O,2-HIGH,4,BUILDING,13,Clerk#000000251,1997-10-15,-837.99,100,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,14,Clerk#000000459,1995-10-15,1182.72,101,1
O,4-NOT SPECIFIED,3,AUTOMOBILE,7,Clerk#000000435,1997-05-04,362.67,102,1
O,4-NOT SPECIFIED,2,MACHINERY,12,Clerk#000000713,1996-08-08,2305.93,103,1
O,3-MEDIUM,2,MACHINERY,18,Clerk#000000920,1997-02-02,8087.46,104,1
O,3-MEDIUM,2,FURNITURE,18,Clerk#000000150,1997-08-18,-209.13,105,1
O,2-HIGH,4,FURNITURE,20,Clerk#000000767,1996-10-28,1975.74,106,1
O,3-MEDIUM,3,BUILDING,19,Clerk#000000890,1998-02-23,3141.33,107,1
F,3-MEDIUM,3,AUTOMOBILE,23,Clerk#000000993,1993-07-18,9425.54,108,1
F,2-HIGH,2,HOUSEHOLD,12,Clerk#000000073,1994-09-12,3126.17,109,1
F,5-LOW,1,HOUSEHOLD,24,Clerk#000000436,1992-05-10,5478.86,37,1
O,4-NOT SPECIFIED,4,AUTOMOBILE,20,Clerk#000000842,1997-12-29,5713.46,110,1
O,2-HIGH,1,MACHINERY,1,Clerk#000000186,1995-10-12,8013.66,111,1
O,1-URGENT,0,BUILDING,15,Clerk#000000904,1996-11-04,1413.68,112,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,7,Clerk#000000036,1994-07-17,8532.26,113,1
F,2-HIGH,4,MACHINERY,20,Clerk#000000842,1994-05-14,5815.06,114,1
O,2-HIGH,4,HOUSEHOLD,4,Clerk#000000759,1996-10-16,9909.95,115,1
F,5-LOW,4,FURNITURE,4,Clerk#000000555,1992-10-23,1271.11,116,1
O,4-NOT SPECIFIED,1,BUILDING,1,Clerk#000000381,1997-06-11,1640.84,117,1
F,4-NOT SPECIFIED,4,MACHINERY,11,Clerk#000000876,1992-09-03,5902.97,118,1
F,5-LOW,3,BUILDING,22,Clerk#000000594,1992-11-16,6802.74,119,1
F,3-MEDIUM,3,FURNITURE,19,Clerk#000000878,1993-11-08,8943.53,120,1
F,2-HIGH,4,BUILDING,10,Clerk#000000916,1994-09-20,-646.87,121,1
O,2-HIGH,4,HOUSEHOLD,4,Clerk#000000152,1998-05-06,-354.05,122,1
F,3-MEDIUM,1,MACHINERY,24,Clerk#000000892,1993-05-07,9403.79,123,1
O,2-HIGH,3,HOUSEHOLD,19,Clerk#000000094,1995-07-19,3909.19,124,1
F,5-LOW,3,AUTOMOBILE,6,Clerk#000000729,1994-09-22,4469.65,125,1
F,5-LOW,0,BUILDING,15,Clerk#000000398,1993-11-08,71.74,126,1
F,1-URGENT,2,MACHINERY,8,Clerk#000000683,1994-07-16,4625.79,127,1
O,3-MEDIUM,2,FURNITURE,18,Clerk#000000835,1995-08-18,1074.13,128,1
O,4-NOT SPECIFIED,2,AUTOMOBILE,12,Clerk#000000427,1995-11-02,8835.86,129,1
F,4-NOT SPECIFIED,4,FURNITURE,4,Clerk#000000258,1992-06-16,173.19,130,1
F,4-NOT SPECIFIED,0,FURNITURE,15,Clerk#000000002,1993-07-14,4211.12,131,1
F,4-NOT SPECIFIED,0,AUTOMOBILE,5,Clerk#000000922,1993-06-07,6783.08,132,1
F,2-HIGH,4,MACHINERY,13,Clerk#000000179,1994-04-13,6346.55,133,1
O,3-MEDIUM,2,MACHINERY,21,Clerk#000000693,1995-07-07,-719.2,134,1
O,4-NOT SPECIFIED,3,HOUSEHOLD,7,Clerk#000000830,1997-08-06,4491.94,135,1
F,3-MEDIUM,2,BUILDING,8,Clerk#000000379,1993-10-07,885.97,136,1
F,2-HIGH,0,BUILDING,0,Clerk#000000199,1992-01-06,759,137,1
O,1-URGENT,2,FURNITURE,9,Clerk#000000454,1995-10-27,3906.48,138,1
F,1-URGENT,1,FURNITURE,17,Clerk#000000426,1994-06-06,1820.65,139,1
F,4-NOT SPECIFIED,3,HOUSEHOLD,7,Clerk#000000203,1993-10-17,8221.63,140,1
O,2-HIGH,1,AUTOMOBILE,17,Clerk#000000486,1997-06-18,7499.79,141,1
O,3-MEDIUM,2,BUILDING,9,Clerk#000000880,1997-06-03,1936.19,142,1
O,5-LOW,0,AUTOMOBILE,5,Clerk#000000974,1995-07-22,5801.47,143,1
F,3-MEDIUM,0,AUTOMOBILE,5,Clerk#000000127,1992-12-30,-914.7,144,1
O,2-HIGH,3,MACHINERY,6,Clerk#000000562,1996-10-07,9066.44,145,1
F,3-MEDIUM,4,HOUSEHOLD,13,Clerk#000000262,1994-08-19,8941.55,146,1
F,5-LOW,4,HOUSEHOLD,13,Clerk#000000623,1993-05-31,3222.88,147,1
O,3-MEDIUM,4,AUTOMOBILE,11,Clerk#000000022,1997-02-13,9378.82,148,1
O,4-NOT SPECIFIED,1,HOUSEHOLD,2,Clerk#000000094,1996-07-29,1279.15,149,1
F,5-LOW,2,MACHINERY,8,Clerk#000000170,1994-03-09,8917.55,150,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,4,Clerk#000000602,1992-12-03,8884.01,151,1
O,5-LOW,1,BUILDING,2,Clerk#000000452,1998-06-04,8033.96,152,1
O,1-URGENT,4,AUTOMOBILE,4,Clerk#000000472,1997-11-14,4213.74,153,1
F,5-LOW,0,MACHINERY,5,Clerk#000000312,1994-01-14,8351.55,154,1
O,4-NOT SPECIFIED,0,BUILDING,14,Clerk#000000777,1997-06-09,2984.17,155,1
F,1-URGENT,0,HOUSEHOLD,0,Clerk#000000366,1993-11-19,4108.14,156,1
P,2-HIGH,0,HOUSEHOLD,16,Clerk#000000538,1995-04-19,-570.27,157,1
F,5-LOW,0,MACHINERY,0,Clerk#000000855,1994-01-23,949.68,158,1
F,4-NOT SPECIFIED,2,HOUSEHOLD,21,Clerk#000000031,1992-03-03,722.08,159,1
O,2-HIGH,4,AUTOMOBILE,10,Clerk#000000893,1996-12-04,5343.33,160,1
O,3-MEDIUM,1,MACHINERY,3,Clerk#000000955,1996-08-15,9371.11,161,1
O,5-LOW,3,AUTOMOBILE,19,Clerk#000000882,1997-08-28,-808.56,162,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,4,Clerk#000000640,1994-08-05,3143.33,163,1
O,4-NOT SPECIFIED,0,AUTOMOBILE,16,Clerk#000000746,1997-04-08,9605.25,164,1
F,4-NOT SPECIFIED,0,BUILDING,14,Clerk#000000866,1994-01-02,3170.47,165,1
F,1-URGENT,2,AUTOMOBILE,9,Clerk#000000599,1992-11-28,2143.97,166,1
O,5-LOW,3,FURNITURE,23,Clerk#000000431,1998-01-03,1437.55,167,1
O,2-HIGH,2,AUTOMOBILE,12,Clerk#000000344,1996-08-14,5392.3,168,1
F,3-MEDIUM,4,FURNITURE,4,Clerk#000000589,1994-05-22,2688.88,169,1
O,5-LOW,0,BUILDING,5,Clerk#000000053,1996-06-03,4165.68,170,1
F,5-LOW,2,MACHINERY,8,Clerk#000000226,1994-10-18,5621.33,171,1
O,3-MEDIUM,1,AUTOMOBILE,2,Clerk#000000027,1997-06-27,3590.87,172,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,11,Clerk#000000969,1994-04-06,4840.72,173,1
F,1-URGENT,2,AUTOMOBILE,18,Clerk#000000274,1992-10-19,7507,174,1
F,2-HIGH,2,AUTOMOBILE,12,Clerk#000000679,1993-08-27,6696.77,175,1
O,4-NOT SPECIFIED,4,FURNITURE,4,Clerk#000000980,1996-02-04,2248.2,176,1
O,2-HIGH,2,AUTOMOBILE,8,Clerk#000000222,1995-09-18,1560.58,177,1
F,1-URGENT,0,MACHINERY,5,Clerk#000000119,1994-01-05,5305.37,178,1
P,4-NOT SPECIFIED,0,AUTOMOBILE,14,Clerk#000000673,1995-04-11,-352.68,179,1
O,1-URGENT,3,BUILDING,7,Clerk#000000778,1996-02-12,9940.34,180,1
F,1-URGENT,2,MACHINERY,12,Clerk#000000945,1993-12-02,8406.37,181,1
F,5-LOW,0,MACHINERY,0,Clerk#000000455,1993-06-21,8365.78,182,1
F,1-URGENT,0,FURNITURE,15,Clerk#000000682,1994-07-13,5879.4,183,1
O,1-URGENT,2,MACHINERY,18,Clerk#000000012,1995-08-15,574.62,184,1
F,2-HIGH,4,FURNITURE,20,Clerk#000000003,1994-07-13,1576.33,185,1
F,3-MEDIUM,4,BUILDING,4,Clerk#000000878,1994-09-25,2997.09,186,1
O,3-MEDIUM,0,MACHINERY,16,Clerk#000000838,1997-09-03,649.53,187,1
F,3-MEDIUM,0,HOUSEHOLD,15,Clerk#000000635,1993-05-04,8592.62,188,1
O,5-LOW,4,BUILDING,4,Clerk#000000263,1996-05-25,-405.91,189,1
F,1-URGENT,0,MACHINERY,5,Clerk#000000060,1994-10-10,-44.66,190,1
O,2-HIGH,1,FURNITURE,17,Clerk#000000301,1995-08-03,5264.91,191,1
F,2-HIGH,2,FURNITURE,9,Clerk#000000189,1992-07-09,8997.22,192,1
O,1-URGENT,1,AUTOMOBILE,2,Clerk#000000303,1997-01-06,4718.23,193,1
O,4-NOT SPECIFIED,1,AUTOMOBILE,2,Clerk#000000881,1997-07-13,9749.37,194,1
F,5-LOW,2,FURNITURE,21,Clerk#000000534,1994-08-27,4693.1,195,1
O,4-NOT SPECIFIED,0,MACHINERY,16,Clerk#000000896,1997-04-25,-100.04,196,1
O,1-URGENT,3,AUTOMOBILE,23,Clerk#000000337,1995-06-01,4681.88,197,1
O,5-LOW,2,BUILDING,9,Clerk#000000809,1996-05-02,2531.91,198,1
P,1-URGENT,1,AUTOMOBILE,2,Clerk#000000062,1995-03-13,9995.94,199,1
O,4-NOT SPECIFIED,2,HOUSEHOLD,18,Clerk#000000019,1995-07-22,5729.58,200,1
F,5-LOW,1,AUTOMOBILE,1,Clerk#000000750,1992-09-25,6064.66,201,1
O,2-HIGH,2,MACHINERY,21,Clerk#000000793,1995-10-12,-719.2,134,1
O,1-URGENT,2,HOUSEHOLD,12,Clerk#000000683,1998-02-07,5471.61,202,1
F,2-HIGH,0,HOUSEHOLD,16,Clerk#000000245,1992-03-07,475.72,203,1
F,2-HIGH,0,AUTOMOBILE,5,Clerk#000000238,1994-03-08,2176.62,204,1
F,2-HIGH,2,BUILDING,18,Clerk#000000376,1993-06-07,1841.65,205,1
O,2-HIGH,3,AUTOMOBILE,19,Clerk#000000275,1998-01-29,555.03,206,1
P,2-HIGH,3,HOUSEHOLD,19,Clerk#000000467,1995-03-08,4272.43,207,1
F,4-NOT SPECIFIED,2,MACHINERY,8,Clerk#000000548,1993-05-18,8917.55,150,1
O,5-LOW,1,AUTOMOBILE,24,Clerk#000000189,1996-01-29,-329.95,208,1
O,5-LOW,2,FURNITURE,8,Clerk#000000283,1997-08-22,-77.63,209,1
F,4-NOT SPECIFIED,1,HOUSEHOLD,1,Clerk#000000647,1995-02-07,2867.69,210,1
F,2-HIGH,3,BUILDING,22,Clerk#000000597,1993-02-09,7742.03,211,1
F,2-HIGH,4,BUILDING,11,Clerk#000000857,1993-10-07,9755.13,212,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,15,Clerk#000000700,1998-05-08,4870.15,213,1
F,4-NOT SPECIFIED,4,BUILDING,10,Clerk#000000420,1994-08-16,-458.81,214,1
O,4-NOT SPECIFIED,1,HOUSEHOLD,24,Clerk#000000160,1995-08-03,-501.95,215,1
O,5-LOW,2,MACHINERY,18,Clerk#000000927,1997-02-12,574.62,184,1
F,1-URGENT,0,MACHINERY,16,Clerk#000000397,1994-04-07,-892.5,216,1
O,2-HIGH,2,FURNITURE,18,Clerk#000000065,1995-10-10,1745.65,217,1
F,4-NOT SPECIFIED,4,HOUSEHOLD,11,Clerk#000000730,1993-05-23,6118.27,218,1
F,5-LOW,4,BUILDING,10,Clerk#000000989,1993-06-01,9354.24,219,1
O,1-URGENT,1,AUTOMOBILE,17,Clerk#000000089,1997-04-26,4442.09,220,1
O,1-URGENT,3,FURNITURE,22,Clerk#000000920,1997-04-17,4867.52,221,1
O,3-MEDIUM,1,FURNITURE,17,Clerk#000000968,1996-01-03,-139.53,222,1
O,3-MEDIUM,4,BUILDING,10,Clerk#000000188,1998-04-30,5519.2,223,1
O,1-URGENT,1,AUTOMOBILE,2,Clerk#000000303,1998-01-28,4718.23,193,1
O,4-NOT SPECIFIED,4,BUILDING,4,Clerk#000000278,1997-06-06,1072.03,224,1
F,5-LOW,0,HOUSEHOLD,5,Clerk#000000442,1992-04-03,641.15,225,1
F,4-NOT SPECIFIED,3,BUILDING,6,Clerk#000000246,1995-01-01,2165.93,226,1
O,3-MEDIUM,2,HOUSEHOLD,21,Clerk#000000106,1998-02-13,8330.7,227,1
F,5-LOW,2,MACHINERY,8,Clerk#000000791,1994-06-23,4625.79,127,1
O,5-LOW,0,HOUSEHOLD,15,Clerk#000000052,1997-03-17,4870.15,213,1
F,1-URGENT,3,MACHINERY,19,Clerk#000000384,1992-02-17,9273.62,228,1
O,1-URGENT,3,MACHINERY,23,Clerk#000000891,1997-08-15,52.43,229,1
F,2-HIGH,0,FURNITURE,5,Clerk#000000728,1992-02-18,1158.35,230,1
F,1-URGENT,2,AUTOMOBILE,12,Clerk#000000866,1992-06-15,8363.8,231,1
P,2-HIGH,2,FURNITURE,18,Clerk#000000927,1995-05-09,2848.28,232,1
O,3-MEDIUM,3,HOUSEHOLD,6,Clerk#000000943,1997-02-15,6181.7,233,1
F,1-URGENT,4,FURNITURE,11,Clerk#000000975,1993-02-12,7068.28,234,1
O,4-NOT SPECIFIED,3,AUTOMOBILE,7,Clerk#000000806,1997-10-10,1643.9,235,1
F,3-MEDIUM,1,FURNITURE,17,Clerk#000000075,1992-02-13,6507.6,68,1
F,4-NOT SPECIFIED,4,BUILDING,13,Clerk#000000564,1994-01-07,3648.02,236,1
F,5-LOW,2,AUTOMOBILE,18,Clerk#000000789,1993-06-14,6868.66,39,1
O,4-NOT SPECIFIED,0,AUTOMOBILE,16,Clerk#000000951,1998-02-14,1528.6,237,1
O,3-MEDIUM,3,AUTOMOBILE,23,Clerk#000000488,1997-11-13,4134.02,238,1
O,1-URGENT,2,FURNITURE,21,Clerk#000000396,1996-07-23,8665.17,239,1
F,4-NOT SPECIFIED,0,MACHINERY,5,Clerk#000000981,1993-10-30,5305.37,178,1
O,1-URGENT,0,AUTOMOBILE,5,Clerk#000000255,1997-06-24,9982.61,240,1
O,3-MEDIUM,4,FURNITURE,10,Clerk#000000354,1997-08-11,4573.94,241,1
O,4-NOT SPECIFIED,2,FURNITURE,9,Clerk#000000949,1997-10-09,6724.84,242,1
O,5-LOW,0,MACHINERY,0,Clerk#000000386,1995-10-13,5052.35,243,1
F,4-NOT SPECIFIED,0,HOUSEHOLD,16,Clerk#000000669,1993-09-03,8297.83,244,1
F,5-LOW,3,HOUSEHOLD,22,Clerk#000000040,1994-04-28,5728.91,245,1
O,2-HIGH,2,FURNITURE,18,Clerk#000000228,1995-09-11,5454.54,246,1
O,1-URGENT,3,FURNITURE,19,Clerk#000000237,1995-05-17,391.39,247,1
F,3-MEDIUM,2,AUTOMOBILE,18,Clerk#000000046,1993-02-01,4010.78,248,1
F,3-MEDIUM,0,BUILDING,14,Clerk#000000479,1994-02-05,8487.59,249,1
O,5-LOW,3,FURNITURE,22,Clerk#000000657,1996-11-03,4867.52,221,1
F,2-HIGH,0,AUTOMOBILE,0,Clerk#000000124,1993-11-05,-333.78,250,1
O,4-NOT SPECIFIED,4,AUTOMOBILE,10,Clerk#000000784,1996-11-12,1356.03,251,1
O,2-HIGH,3,HOUSEHOLD,22,Clerk#000000011,1996-05-13,1586.25,6,1
F,4-NOT SPECIFIED,1,FURNITURE,1,Clerk#000000769,1995-02-16,5867.18,252,1
F,5-LOW,4,BUILDING,11,Clerk#000000906,1994-03-13,-250.8,253,1
F,1-URGENT,0,AUTOMOBILE,5,Clerk#000000348,1994-05-15,-206.2,254,1
O,5-LOW,1,MACHINERY,3,Clerk#000000197,1998-01-23,9443.26,255,1
F,2-HIGH,3,BUILDING,19,Clerk#000000816,1994-06-12,2570.49,256,1
O,3-MEDIUM,3,BUILDING,6,Clerk#000000795,1996-05-22,1898.41,257,1
O,4-NOT SPECIFIED,2,BUILDING,9,Clerk#000000927,1996-05-31,-844.95,258,1
O,3-MEDIUM,1,HOUSEHOLD,3,Clerk#000000350,1996-04-11,3898.84,259,1
O,3-MEDIUM,3,AUTOMOBILE,22,Clerk#000000709,1996-10-05,4962.12,260,1
O,2-HIGH,4,AUTOMOBILE,4,Clerk#000000826,1997-08-31,3407.75,261,1
F,4-NOT SPECIFIED,3,MACHINERY,19,Clerk#000000519,1995-02-06,4862.96,262,1
F,1-URGENT,2,BUILDING,9,Clerk#000000568,1994-06-16,3736.71,263,1
O,5-LOW,2,AUTOMOBILE,12,Clerk#000000906,1996-04-17,4764.55,264,1
O,4-NOT SPECIFIED,0,HOUSEHOLD,16,Clerk#000000394,1996-05-06,5824.88,265,1
F,4-NOT SPECIFIED,2,FURNITURE,9,Clerk#000000983,1993-10-02,6975.93,266,1
O,3-MEDIUM,3,HOUSEHOLD,23,Clerk#000000840,1998-06-29,6751.07,267,1
O,5-LOW,2,MACHINERY,9,Clerk#000000189,1996-07-20,6329.64,268,1
F,4-NOT SPECIFIED,4,FURNITURE,10,Clerk#000000799,1993-05-22,6881.8,269,1
O,3-MEDIUM,2,FURNITURE,9,Clerk#000000118,1996-10-25,6198.5,270,1
O,3-MEDIUM,2,BUILDING,21,Clerk#000000402,1995-07-06,2012.52,271,1
F,3-MEDIUM,2,FURNITURE,21,Clerk#000000022,1993-09-07,2411.69,272,1
F,1-URGENT,0,AUTOMOBILE,16,Clerk#000000754,1994-01-11,7546.91,273,1
F,2-HIGH,3,AUTOMOBILE,19,Clerk#000000704,1992-05-09,4689.06,274,1
F,1-URGENT,1,AUTOMOBILE,17,Clerk#000000491,1992-02-12,6651.96,275,1
F,3-MEDIUM,2,MACHINERY,18,Clerk#000000520,1994-02-05,7630.58,276,1
