l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,groupcol,aggcol
F,F,R,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,1,MACHINERY,REG AIR,2,0,1993-04-08,1993-06-02,4,5475.1928
O,O,N,TAKE BACK RETURN,0,Manufacturer#5,5-LOW,2,AUTOMOBILE,MAIL,2,0.06,1998-06-10,1998-08-16,5,7779.612
O,O,N,TAKE BACK RETURN,2,Manufacturer#5,4-NOT SPECIFIED,3,AUTOMOBILE,REG AIR,4,0,1995-10-21,1995-12-24,1,6850
O,O,N,NONE,1,Manufacturer#3,4-NOT SPECIFIED,3,AUTOMOBILE,FOB,2,0.08,1995-10-21,1996-01-02,1,23153.52
F,P,N,COLLECT COD,0,Manufacturer#5,4-NOT SPECIFIED,0,HOUSEHOLD,FOB,4,0.03,1995-05-31,1995-08-17,1,8395.9344
F,F,A,TAKE BACK RETURN,0,Manufacturer#2,5-LOW,2,AUTOMOBILE,TRUCK,1,0.01,1992-06-03,1992-07-09,2,37400.8848
O,O,N,NONE,2,Manufacturer#5,3-MEDIUM,1,MACHINERY,TRUCK,2,0.01,1995-12-14,1996-02-27,1,13015
O,O,N,COLLECT COD,4,Manufacturer#3,3-MEDIUM,1,MACHINERY,MAIL,1,0.06,1995-12-14,1996-02-18,1,19549.9224
F,F,A,DELIVER IN PERSON,4,Manufacturer#3,2-HIGH,2,FURNITURE,TRUCK,2,0.07,1993-08-27,1993-11-21,4,37133.7082
O,O,N,NONE,2,Manufacturer#5,4-NOT SPECIFIED,2,MACHINERY,MAIL,4,0.06,1995-12-14,1996-02-06,1,13992.1776
O,O,N,TAKE BACK RETURN,3,Manufacturer#3,2-HIGH,3,AUTOMOBILE,REG AIR,3,0.04,1997-09-16,1997-11-02,3,4805.4594
F,F,A,NONE,3,Manufacturer#5,3-MEDIUM,4,MACHINERY,TRUCK,1,0.02,1992-11-01,1993-01-12,2,3965.994
O,O,N,DELIVER IN PERSON,4,Manufacturer#2,5-LOW,2,MACHINERY,AIR,5,0.05,1997-11-22,1998-01-15,3,5117.378
O,O,N,NONE,2,Manufacturer#1,3-MEDIUM,0,AUTOMOBILE,RAIL,2,0,1995-11-11,1995-12-16,1,38821.734
F,F,R,DELIVER IN PERSON,3,Manufacturer#1,1-URGENT,2,HOUSEHOLD,TRUCK,3,0.06,1994-06-08,1994-08-18,0,805.5612
F,F,R,NONE,3,Manufacturer#5,3-MEDIUM,0,HOUSEHOLD,MAIL,7,0.07,1992-09-23,1992-12-08,2,1795.0784
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,2-HIGH,3,HOUSEHOLD,REG AIR,3,0.05,1992-01-14,1992-02-26,2,5632.194
O,O,N,DELIVER IN PERSON,1,Manufacturer#5,5-LOW,0,MACHINERY,RAIL,1,0,1995-09-24,1995-11-17,1,34984.5243
O,O,N,NONE,4,Manufacturer#1,2-HIGH,3,AUTOMOBILE,REG AIR,1,0.02,1997-01-30,1997-03-10,3,26645.1803
F,F,A,DELIVER IN PERSON,0,Manufacturer#4,5-LOW,0,AUTOMOBILE,AIR,2,0.07,1992-02-13,1992-04-22,2,14239.57
O,O,N,COLLECT COD,4,Manufacturer#4,5-LOW,3,MACHINERY,REG AIR,4,0.01,1996-06-14,1996-07-16,6,2959.62
F,F,A,DELIVER IN PERSON,3,Manufacturer#3,1-URGENT,4,MACHINERY,AIR,1,0.01,1994-12-13,1995-02-05,0,25644.297
F,F,R,COLLECT COD,4,Manufacturer#1,2-HIGH,2,BUILDING,AIR,2,0.08,1993-12-23,1994-03-01,4,1949.628
O,O,N,TAKE BACK RETURN,3,Manufacturer#2,4-NOT SPECIFIED,1,BUILDING,SHIP,1,0.05,1996-10-04,1996-11-11,6,38770.755
F,F,R,DELIVER IN PERSON,4,Manufacturer#5,2-HIGH,3,MACHINERY,RAIL,3,0.07,1992-07-22,1992-09-04,2,13515.6756
F,F,R,TAKE BACK RETURN,4,Manufacturer#1,3-MEDIUM,0,HOUSEHOLD,TRUCK,3,0.06,1993-12-07,1994-01-06,4,23518.854
F,F,A,DELIVER IN PERSON,2,Manufacturer#3,4-NOT SPECIFIED,2,FURNITURE,TRUCK,3,0.02,1992-01-26,1992-03-15,2,41401.6533
F,F,A,COLLECT COD,0,Manufacturer#3,5-LOW,2,MACHINERY,AIR,4,0.02,1993-09-27,1993-12-11,4,4705.344
F,F,R,COLLECT COD,2,Manufacturer#1,1-URGENT,0,AUTOMOBILE,REG AIR,1,0,1993-10-23,1994-01-12,4,2529.7
F,F,A,NONE,0,Manufacturer#1,1-URGENT,0,AUTOMOBILE,REG AIR,4,0.01,1993-10-23,1994-01-06,4,23600.5524
F,F,R,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,0,AUTOMOBILE,MAIL,3,0.03,1994-11-28,1995-01-30,0,29113.0944
O,O,N,COLLECT COD,3,Manufacturer#5,5-LOW,1,MACHINERY,AIR,6,0.08,1997-08-29,1997-11-23,3,41509.76
O,O,N,DELIVER IN PERSON,3,Manufacturer#5,5-LOW,4,MACHINERY,SHIP,2,0.02,1995-12-17,1996-01-28,1,21593.9276
O,O,N,NONE,0,Manufacturer#3,2-HIGH,1,FURNITURE,REG AIR,4,0.03,1995-07-05,1995-09-13,1,5894.625
F,F,R,DELIVER IN PERSON,3,Manufacturer#4,2-HIGH,2,MACHINERY,SHIP,4,0.03,1995-01-29,1995-04-27,1,863.3015
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,1-URGENT,0,MACHINERY,MAIL,3,0.03,1994-04-14,1994-05-17,0,10770.3908
O,O,N,COLLECT COD,3,Manufacturer#1,1-URGENT,0,MACHINERY,REG AIR,3,0.06,1997-02-25,1997-05-17,3,56185.89
O,O,N,COLLECT COD,3,Manufacturer#4,1-URGENT,0,MACHINERY,MAIL,1,0.05,1997-02-25,1997-05-09,3,33513.56
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,4-NOT SPECIFIED,3,BUILDING,TRUCK,4,0.06,1993-07-08,1993-08-30,4,14144.4602
F,F,R,NONE,1,Manufacturer#1,3-MEDIUM,4,HOUSEHOLD,REG AIR,1,0.02,1993-06-17,1993-08-10,4,13599.324
O,O,N,COLLECT COD,2,Manufacturer#2,5-LOW,0,FURNITURE,MAIL,2,0.01,1998-02-25,1998-04-20,5,29308.32
F,F,A,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,2,HOUSEHOLD,TRUCK,3,0.05,1995-02-11,1995-03-21,1,8992.66
O,O,N,COLLECT COD,2,Manufacturer#3,5-LOW,2,AUTOMOBILE,RAIL,5,0.08,1996-12-05,1997-02-05,6,2725.92
O,O,N,NONE,0,Manufacturer#1,1-URGENT,0,BUILDING,RAIL,3,0.08,1998-01-02,1998-03-06,5,18241.41
O,O,N,NONE,4,Manufacturer#4,1-URGENT,0,BUILDING,AIR,3,0.06,1997-02-26,1997-05-24,3,17630.544
O,O,N,NONE,4,Manufacturer#2,4-NOT SPECIFIED,1,MACHINERY,REG AIR,1,0.08,1998-06-27,1998-08-24,5,2549.48
O,O,N,NONE,0,Manufacturer#2,1-URGENT,3,BUILDING,RAIL,5,0.08,1996-05-02,1996-07-11,6,6391.1604
O,O,N,DELIVER IN PERSON,0,Manufacturer#1,4-NOT SPECIFIED,3,MACHINERY,RAIL,2,0.08,1996-02-10,1996-04-27,6,11241.5856
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,5-LOW,3,AUTOMOBILE,TRUCK,4,0.08,1993-11-02,1993-12-26,4,8501.732
O,O,N,COLLECT COD,2,Manufacturer#3,5-LOW,4,BUILDING,AIR,1,0.02,1996-09-22,1996-11-09,6,18932.991
O,P,N,NONE,3,Manufacturer#3,3-MEDIUM,1,BUILDING,AIR,1,0.03,1995-05-09,1995-06-30,1,7031.36
F,F,A,NONE,0,Manufacturer#3,5-LOW,1,MACHINERY,FOB,2,0.06,1992-03-25,1992-04-30,2,28699.884
O,O,N,COLLECT COD,2,Manufacturer#1,5-LOW,1,MACHINERY,MAIL,1,0.04,1998-07-21,1998-09-18,5,26608.3542
O,O,N,TAKE BACK RETURN,0,Manufacturer#3,5-LOW,2,MACHINERY,RAIL,1,0.07,1998-03-10,1998-05-05,5,17810.2852
O,O,N,COLLECT COD,2,Manufacturer#1,3-MEDIUM,1,BUILDING,REG AIR,3,0,1997-09-20,1997-10-31,3,24449.8496
F,F,A,NONE,0,Manufacturer#2,2-HIGH,4,BUILDING,SHIP,4,0.05,1994-12-18,1995-01-26,0,21279.6936
O,O,N,COLLECT COD,4,Manufacturer#2,2-HIGH,2,FURNITURE,MAIL,1,0.06,1998-05-25,1998-07-25,5,16498.6184
F,F,A,DELIVER IN PERSON,4,Manufacturer#1,3-MEDIUM,4,MACHINERY,AIR,2,0.02,1994-11-17,1995-01-04,0,21162.408
F,F,R,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,3,BUILDING,TRUCK,4,0.05,1994-03-21,1994-06-07,0,23505.3974
F,F,R,DELIVER IN PERSON,2,Manufacturer#3,1-URGENT,0,HOUSEHOLD,REG AIR,1,0.01,1995-03-16,1995-06-09,1,26763.1796
O,O,N,NONE,4,Manufacturer#2,4-NOT SPECIFIED,0,FURNITURE,FOB,1,0.03,1996-08-21,1996-10-03,6,407.8134
F,F,R,COLLECT COD,4,Manufacturer#4,3-MEDIUM,0,BUILDING,MAIL,7,0.07,1994-01-14,1994-03-21,0,6011.733
O,O,N,COLLECT COD,1,Manufacturer#4,5-LOW,1,BUILDING,AIR,5,0.08,1996-12-27,1997-03-08,6,14418.5552
O,O,N,TAKE BACK RETURN,1,Manufacturer#4,4-NOT SPECIFIED,2,HOUSEHOLD,REG AIR,7,0.03,1995-09-11,1995-10-15,1,42618.336
F,F,R,TAKE BACK RETURN,1,Manufacturer#3,5-LOW,4,MACHINERY,RAIL,4,0,1993-10-19,1993-11-30,4,21903.0185
O,O,N,DELIVER IN PERSON,2,Manufacturer#5,5-LOW,0,BUILDING,TRUCK,2,0.05,1998-02-15,1998-05-04,5,16533.845
O,O,N,NONE,0,Manufacturer#1,2-HIGH,4,MACHINERY,MAIL,4,0.07,1998-07-27,1998-10-10,5,802.2889
O,O,N,COLLECT COD,0,Manufacturer#3,1-URGENT,0,MACHINERY,TRUCK,4,0.08,1995-08-24,1995-11-06,1,2441.38
O,O,N,COLLECT COD,3,Manufacturer#2,1-URGENT,0,MACHINERY,AIR,2,0.07,1995-08-24,1995-10-07,1,22866.3385
F,F,R,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,7,0.03,1993-09-27,1993-11-12,4,27974.9281
F,F,A,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,2,BUILDING,MAIL,3,0.01,1992-11-05,1992-12-13,2,19081.9628
O,O,N,COLLECT COD,0,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,RAIL,3,0.04,1996-11-29,1997-01-15,6,10945.44
F,F,R,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,1,BUILDING,AIR,4,0.01,1995-02-01,1995-03-04,1,5868.45
O,O,N,TAKE BACK RETURN,2,Manufacturer#3,2-HIGH,1,HOUSEHOLD,AIR,1,0.07,1995-10-17,1995-12-14,1,41662.242
O,O,N,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,4,BUILDING,FOB,1,0,1997-10-03,1997-11-20,3,57878.9248
O,O,N,TAKE BACK RETURN,1,Manufacturer#2,2-HIGH,2,HOUSEHOLD,SHIP,2,0.02,1997-05-29,1997-08-27,3,55094.75
O,O,N,DELIVER IN PERSON,3,Manufacturer#1,1-URGENT,0,MACHINERY,FOB,1,0,1997-01-19,1997-03-28,3,28396.72
O,O,N,DELIVER IN PERSON,2,Manufacturer#4,5-LOW,3,FURNITURE,RAIL,2,0,1995-12-23,1996-02-29,1,12468.9589
O,O,N,DELIVER IN PERSON,1,Manufacturer#1,2-HIGH,2,HOUSEHOLD,MAIL,2,0.08,1997-02-28,1997-05-19,3,43788.046
F,F,R,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,4,AUTOMOBILE,TRUCK,4,0.07,1993-01-07,1993-03-05,4,29774.59
F,F,A,TAKE BACK RETURN,3,Manufacturer#1,1-URGENT,2,HOUSEHOLD,TRUCK,4,0.08,1993-10-23,1994-01-14,4,31314.0028
F,F,A,NONE,2,Manufacturer#5,1-URGENT,2,HOUSEHOLD,RAIL,1,0.08,1993-10-23,1993-12-22,4,34014.3136
O,O,N,TAKE BACK RETURN,0,Manufacturer#3,1-URGENT,4,AUTOMOBILE,RAIL,1,0.02,1997-09-01,1997-10-29,3,11153.456
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,3-MEDIUM,2,MACHINERY,FOB,2,0.04,1994-07-30,1994-10-13,0,46350.2592
F,F,A,COLLECT COD,3,Manufacturer#1,1-URGENT,1,BUILDING,RAIL,3,0.01,1992-02-29,1992-04-26,2,1326.58
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,3,MACHINERY,FOB,1,0.04,1994-07-19,1994-09-08,0,28467.66
F,F,A,NONE,2,Manufacturer#3,3-MEDIUM,3,HOUSEHOLD,MAIL,2,0,1993-07-17,1993-10-03,4,5377.906
F,F,A,NONE,4,Manufacturer#4,4-NOT SPECIFIED,0,MACHINERY,RAIL,2,0.08,1992-11-07,1993-01-01,2,17644.6016
O,O,N,TAKE BACK RETURN,2,Manufacturer#4,3-MEDIUM,3,FURNITURE,SHIP,2,0.06,1997-04-24,1997-06-07,3,30862.7847
O,O,N,COLLECT COD,3,Manufacturer#4,3-MEDIUM,2,BUILDING,REG AIR,4,0,1997-02-18,1997-05-13,3,31937.708
F,F,A,COLLECT COD,2,Manufacturer#3,2-HIGH,4,BUILDING,TRUCK,5,0.08,1994-09-11,1994-11-23,0,1610.2152
O,O,N,COLLECT COD,0,Manufacturer#2,5-LOW,2,FURNITURE,RAIL,4,0,1995-09-23,1995-12-09,1,4025.0637
O,O,N,NONE,1,Manufacturer#3,5-LOW,2,FURNITURE,SHIP,2,0.01,1995-09-23,1995-12-20,1,8859.776
F,F,R,COLLECT COD,2,Manufacturer#2,4-NOT SPECIFIED,3,FURNITURE,RAIL,1,0.03,1993-03-04,1993-04-04,4,22735.615
O,O,N,TAKE BACK RETURN,3,Manufacturer#4,3-MEDIUM,4,BUILDING,RAIL,6,0.06,1995-10-23,1995-11-27,1,23054.472
F,F,A,NONE,3,Manufacturer#3,1-URGENT,0,MACHINERY,RAIL,1,0.06,1992-10-16,1993-01-03,2,9185.3344
F,F,A,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,2,BUILDING,FOB,3,0,1995-02-01,1995-03-10,1,16204.536
F,F,R,COLLECT COD,2,Manufacturer#5,1-URGENT,0,MACHINERY,TRUCK,4,0.08,1992-10-17,1992-11-26,2,22431.5608
F,F,A,COLLECT COD,2,Manufacturer#4,3-MEDIUM,4,FURNITURE,REG AIR,3,0.04,1994-01-13,1994-04-05,0,16764.924
F,F,A,COLLECT COD,0,Manufacturer#2,3-MEDIUM,2,FURNITURE,FOB,5,0.04,1992-05-02,1992-07-21,2,34471.9175
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,1-URGENT,3,BUILDING,REG AIR,5,0.04,1994-06-04,1994-07-14,0,29543.612
F,F,R,DELIVER IN PERSON,0,Manufacturer#2,1-URGENT,3,BUILDING,AIR,2,0.06,1994-06-04,1994-08-22,0,25241.1633
O,O,N,COLLECT COD,0,Manufacturer#3,1-URGENT,4,MACHINERY,TRUCK,2,0.08,1997-09-17,1997-12-10,3,64089.452
O,O,N,TAKE BACK RETURN,3,Manufacturer#4,1-URGENT,0,HOUSEHOLD,MAIL,3,0,1998-04-25,1998-06-09,5,20335.072
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,3-MEDIUM,0,HOUSEHOLD,MAIL,3,0.08,1992-04-11,1992-05-25,2,29685.1577
O,O,N,DELIVER IN PERSON,1,Manufacturer#5,5-LOW,2,MACHINERY,TRUCK,1,0.05,1997-12-21,1998-02-14,3,6477.24
F,F,R,DELIVER IN PERSON,1,Manufacturer#1,3-MEDIUM,3,AUTOMOBILE,FOB,6,0.08,1993-10-02,1993-12-07,4,10399.5552
O,O,N,TAKE BACK RETURN,4,Manufacturer#1,5-LOW,4,FURNITURE,AIR,6,0.03,1996-01-02,1996-02-10,6,34341.735
O,O,N,DELIVER IN PERSON,0,Manufacturer#1,5-LOW,4,FURNITURE,REG AIR,1,0.06,1996-01-02,1996-03-29,6,6925.0511
F,F,A,DELIVER IN PERSON,1,Manufacturer#3,2-HIGH,1,BUILDING,AIR,2,0.01,1993-01-24,1993-04-01,4,19142.4
O,O,N,DELIVER IN PERSON,0,Manufacturer#2,1-URGENT,3,MACHINERY,TRUCK,1,0,1997-01-05,1997-02-08,3,14159.7046
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,5-LOW,0,FURNITURE,FOB,2,0.06,1997-12-30,1998-02-16,3,27566.4192
O,O,N,NONE,2,Manufacturer#2,2-HIGH,4,FURNITURE,TRUCK,3,0,1997-03-13,1997-05-24,3,22268.0475
O,P,N,TAKE BACK RETURN,3,Manufacturer#5,2-HIGH,0,HOUSEHOLD,AIR,3,0.04,1995-04-10,1995-06-01,1,2791.059
F,F,A,COLLECT COD,1,Manufacturer#1,3-MEDIUM,3,BUILDING,AIR,2,0.04,1992-01-17,1992-02-22,2,2555.64
O,O,N,TAKE BACK RETURN,0,Manufacturer#5,5-LOW,2,BUILDING,FOB,3,0.05,1997-09-24,1997-11-12,3,361.9098
F,F,A,NONE,2,Manufacturer#2,4-NOT SPECIFIED,1,BUILDING,REG AIR,2,0.01,1992-07-24,1992-09-07,2,10596.6032
O,O,N,NONE,3,Manufacturer#5,4-NOT SPECIFIED,2,MACHINERY,FOB,5,0.05,1996-05-04,1996-07-04,6,15843.9834
O,O,N,DELIVER IN PERSON,4,Manufacturer#3,3-MEDIUM,2,BUILDING,RAIL,2,0.06,1997-02-03,1997-04-24,3,26989.7508
F,F,R,TAKE BACK RETURN,2,Manufacturer#3,3-MEDIUM,1,BUILDING,FOB,2,0.07,1993-09-06,1993-10-26,4,6587.12
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,3-MEDIUM,0,FURNITURE,AIR,3,0.08,1992-09-02,1992-11-10,2,22232.2736
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,4-NOT SPECIFIED,1,AUTOMOBILE,TRUCK,1,0.08,1994-06-20,1994-09-08,0,2151.5448
F,F,R,COLLECT COD,1,Manufacturer#4,5-LOW,2,FURNITURE,RAIL,6,0.07,1993-09-23,1993-12-13,4,4728.6418
F,F,A,NONE,3,Manufacturer#5,5-LOW,2,FURNITURE,SHIP,4,0.04,1993-09-23,1993-11-16,4,108.844
O,O,N,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,1,MACHINERY,RAIL,5,0.08,1996-12-11,1997-02-18,6,1503.2284
F,F,A,DELIVER IN PERSON,2,Manufacturer#2,5-LOW,2,MACHINERY,TRUCK,5,0.05,1994-03-05,1994-05-26,0,14324.4306
O,O,N,DELIVER IN PERSON,3,Manufacturer#3,1-URGENT,0,AUTOMOBILE,SHIP,1,0.07,1997-01-02,1997-03-21,3,37938.558
F,F,A,DELIVER IN PERSON,4,Manufacturer#2,4-NOT SPECIFIED,2,AUTOMOBILE,SHIP,1,0.07,1992-12-19,1993-01-25,2,6586.588
F,F,A,DELIVER IN PERSON,3,Manufacturer#3,1-URGENT,0,MACHINERY,MAIL,4,0.04,1993-10-20,1993-12-08,4,29467.4994
O,P,N,COLLECT COD,0,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,MAIL,3,0.01,1995-03-08,1995-04-27,1,25104.0865
O,O,N,NONE,0,Manufacturer#5,5-LOW,3,MACHINERY,MAIL,1,0.07,1997-05-12,1997-06-15,3,37683.3194
O,O,N,COLLECT COD,3,Manufacturer#3,4-NOT SPECIFIED,3,BUILDING,RAIL,3,0.05,1998-06-15,1998-07-30,5,2817
O,O,N,NONE,3,Manufacturer#5,4-NOT SPECIFIED,3,FURNITURE,TRUCK,4,0,1996-12-11,1997-01-25,6,-158.151
O,O,N,DELIVER IN PERSON,0,Manufacturer#2,4-NOT SPECIFIED,3,FURNITURE,TRUCK,1,0.02,1996-12-11,1997-01-29,6,18563.1624
F,F,R,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,TRUCK,4,0,1993-02-11,1993-03-14,4,70452
O,O,N,NONE,3,Manufacturer#1,2-HIGH,1,BUILDING,SHIP,3,0.08,1995-07-02,1995-08-08,1,8893.0944
O,O,N,NONE,4,Manufacturer#2,2-HIGH,1,BUILDING,MAIL,2,0.03,1995-07-02,1995-09-03,1,34251.9984
O,O,N,NONE,2,Manufacturer#3,2-HIGH,4,AUTOMOBILE,RAIL,5,0.08,1996-04-28,1996-06-06,6,44016.02
