l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,A,COLLECT COD,4,Manufacturer#1,5-LOW,0,MAIL,5,0.06,10,Brand#15,5,LG PKG,45,9,61835.5512
F,F,A,DELIVER IN PERSON,4,Manufacturer#2,2-HIGH,4,TRUCK,1,0.07,11,Brand#23,4,MED BAG,22,10,38193.8
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,2-HIGH,4,SHIP,1,0.02,9,Brand#11,10,JUMBO BAG,24,11,21486.7416
F,F,R,COLLECT COD,2,Manufacturer#1,2-HIGH,4,SHIP,4,0.08,21,Brand#12,10,JUMBO BOX,20,11,64600.767
F,F,R,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,4,MAIL,3,0.04,22,Brand#21,10,WRAP JAR,40,11,1147.885
F,F,A,TAKE BACK RETURN,3,Manufacturer#2,3-MEDIUM,0,SHIP,2,0,19,Brand#25,0,SM PACK,28,12,54115.5747
F,F,A,DELIVER IN PERSON,0,Manufacturer#5,3-MEDIUM,2,AIR,1,0.01,16,Brand#52,18,LG BOX,45,13,41619.3272
F,F,R,COLLECT COD,0,Manufacturer#2,2-HIGH,4,SHIP,1,0.05,16,Brand#25,13,WRAP JAR,3,14,8481.2238
F,F,N,COLLECT COD,3,Manufacturer#3,2-HIGH,4,FOB,2,0.07,7,Brand#34,13,WRAP CASE,11,14,61610.15
F,F,N,TAKE BACK RETURN,0,Manufacturer#2,5-LOW,4,TRUCK,1,0,14,Brand#25,11,LG JAR,11,15,14196.9243
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,5-LOW,4,RAIL,2,0.04,23,Brand#22,11,SM BAG,5,15,13231.9044
F,F,A,TAKE BACK RETURN,4,Manufacturer#4,4-NOT SPECIFIED,1,MAIL,1,0.01,4,Brand#43,3,SM BOX,43,16,77070.6888
F,F,A,DELIVER IN PERSON,1,Manufacturer#4,4-NOT SPECIFIED,1,MAIL,3,0.03,17,Brand#41,3,SM BAG,34,16,3426.555
F,F,A,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,1,TRUCK,5,0.04,16,Brand#31,3,WRAP BOX,36,16,31328.0649
F,F,A,TAKE BACK RETURN,0,Manufacturer#4,4-NOT SPECIFIED,1,AIR,4,0.06,14,Brand#45,2,SM PACK,3,17,47951.0759
F,F,R,DELIVER IN PERSON,2,Manufacturer#4,1-URGENT,0,AIR,4,0.05,21,Brand#41,14,JUMBO CASE,4,18,3714.1804
F,F,A,COLLECT COD,1,Manufacturer#4,1-URGENT,0,REG AIR,1,0.08,3,Brand#45,14,LG JAR,50,18,27717.8517
F,F,R,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,0,REG AIR,5,0.06,24,Brand#35,14,SM DRUM,12,18,63794.913
F,F,A,DELIVER IN PERSON,0,Manufacturer#1,1-URGENT,0,SHIP,3,0.04,14,Brand#11,14,WRAP PKG,20,18,16312.626
F,F,N,COLLECT COD,0,Manufacturer#2,1-URGENT,0,REG AIR,2,0,0,Brand#23,14,SM PACK,14,18,8934.8896
O,P,N,NONE,0,Manufacturer#2,3-MEDIUM,1,MAIL,4,0.04,14,Brand#23,17,LG JAR,15,19,3842.4222
O,P,N,NONE,0,Manufacturer#4,3-MEDIUM,1,TRUCK,6,0.08,0,Brand#41,17,MED CASE,15,19,58144.3996
O,P,N,DELIVER IN PERSON,3,Manufacturer#1,3-MEDIUM,1,SHIP,1,0.08,22,Brand#14,17,SM PACK,9,19,47266.5375
F,P,R,DELIVER IN PERSON,0,Manufacturer#3,3-MEDIUM,1,MAIL,3,0.07,16,Brand#35,17,MED PACK,8,19,3375.072
O,P,N,COLLECT COD,0,Manufacturer#5,3-MEDIUM,1,AIR,2,0.05,5,Brand#52,17,WRAP CASE,30,19,16158.912
F,P,A,NONE,1,Manufacturer#3,3-MEDIUM,1,AIR,5,0.01,3,Brand#32,17,WRAP BOX,46,19,40370.6628
F,F,A,DELIVER IN PERSON,4,Manufacturer#3,5-LOW,4,MAIL,2,0.03,13,Brand#35,13,MED PACK,5,20,50977.2
F,F,N,DELIVER IN PERSON,4,Manufacturer#4,5-LOW,4,AIR,4,0.03,4,Brand#42,13,JUMBO PKG,20,20,13004.712
F,F,A,NONE,2,Manufacturer#4,5-LOW,4,MAIL,3,0.01,12,Brand#42,13,LG BOX,17,20,27082.4736
F,F,R,DELIVER IN PERSON,0,Manufacturer#1,5-LOW,4,AIR,1,0.07,16,Brand#15,13,MED PACK,8,20,11252.752
F,F,R,DELIVER IN PERSON,1,Manufacturer#4,3-MEDIUM,3,AIR,1,0.05,17,Brand#41,22,SM JAR,13,21,20587.35
F,F,R,NONE,3,Manufacturer#3,5-LOW,4,RAIL,3,0,7,Brand#33,11,MED JAR,21,22,73036.1952
F,F,A,TAKE BACK RETURN,1,Manufacturer#2,5-LOW,4,MAIL,1,0.05,3,Brand#25,11,JUMBO DRUM,6,22,23056.5972
F,F,A,NONE,1,Manufacturer#5,5-LOW,4,TRUCK,4,0.03,1,Brand#51,11,WRAP JAR,49,22,50122.9632
F,F,R,DELIVER IN PERSON,3,Manufacturer#4,5-LOW,4,TRUCK,2,0,19,Brand#45,11,MED JAR,35,22,13059.657
F,P,N,NONE,2,Manufacturer#1,3-MEDIUM,0,SHIP,5,0.05,21,Brand#11,5,JUMBO PKG,29,23,33822.622
O,P,N,COLLECT COD,2,Manufacturer#5,3-MEDIUM,0,MAIL,1,0.08,12,Brand#54,5,SM BAG,1,23,67306.98
F,P,R,COLLECT COD,4,Manufacturer#4,3-MEDIUM,0,RAIL,4,0.02,4,Brand#43,5,WRAP CAN,2,23,38146.086
F,P,R,DELIVER IN PERSON,2,Manufacturer#3,3-MEDIUM,0,AIR,2,0.02,21,Brand#34,5,SM PKG,32,23,55493.6382
O,P,N,NONE,0,Manufacturer#4,3-MEDIUM,0,MAIL,7,0.05,16,Brand#43,5,SM DRUM,33,23,15094.625
F,P,N,NONE,3,Manufacturer#2,3-MEDIUM,0,TRUCK,3,0.07,7,Brand#22,5,WRAP DRUM,23,23,28617.7408
F,P,A,DELIVER IN PERSON,4,Manufacturer#2,3-MEDIUM,0,SHIP,6,0,10,Brand#24,5,JUMBO PACK,38,23,2838.3894
F,F,A,COLLECT COD,1,Manufacturer#1,1-URGENT,3,FOB,5,0.03,24,Brand#13,22,MED DRUM,4,24,26048.0766
F,F,A,NONE,3,Manufacturer#3,1-URGENT,3,AIR,4,0.02,22,Brand#33,22,WRAP BOX,6,24,46652.9792
F,F,R,NONE,0,Manufacturer#4,1-URGENT,3,AIR,2,0,15,Brand#45,22,MED CAN,45,24,46498.6886
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,4-NOT SPECIFIED,3,RAIL,1,0,4,Brand#24,6,MED PACK,50,25,61308.4875
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,3-MEDIUM,2,SHIP,2,0.07,12,Brand#12,9,JUMBO BAG,31,26,71364.7638
F,F,R,TAKE BACK RETURN,4,Manufacturer#4,3-MEDIUM,2,RAIL,3,0,10,Brand#41,9,WRAP PKG,2,26,35178.7392
F,F,A,COLLECT COD,2,Manufacturer#1,3-MEDIUM,2,FOB,1,0.04,18,Brand#11,9,JUMBO CASE,27,26,37979.9736
F,F,R,COLLECT COD,3,Manufacturer#2,1-URGENT,0,MAIL,1,0.02,7,Brand#24,14,SM PACK,10,27,63964.1086
F,F,R,NONE,4,Manufacturer#1,1-URGENT,0,REG AIR,4,0.01,13,Brand#14,14,MED CAN,10,27,26073.3219
F,F,A,TAKE BACK RETURN,0,Manufacturer#3,1-URGENT,0,REG AIR,3,0.04,15,Brand#33,14,JUMBO CASE,34,27,71626.05
F,F,A,TAKE BACK RETURN,1,Manufacturer#4,2-HIGH,1,AIR,6,0.08,1,Brand#45,1,SM DRUM,27,28,26005.0986
F,P,R,NONE,0,Manufacturer#2,4-NOT SPECIFIED,3,MAIL,4,0.08,16,Brand#22,23,SM CASE,34,29,29211.381
F,P,R,TAKE BACK RETURN,3,Manufacturer#1,4-NOT SPECIFIED,3,AIR,5,0.02,22,Brand#13,23,JUMBO JAR,50,29,26651.9032
O,P,N,TAKE BACK RETURN,3,Manufacturer#1,4-NOT SPECIFIED,3,MAIL,2,0.01,22,Brand#13,23,JUMBO JAR,16,29,35850.036
F,P,A,COLLECT COD,0,Manufacturer#1,4-NOT SPECIFIED,3,RAIL,1,0.03,15,Brand#12,23,WRAP BAG,17,29,4664.296
F,P,R,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,3,TRUCK,3,0.05,12,Brand#41,23,JUMBO CASE,29,29,26392.944
O,P,N,DELIVER IN PERSON,0,Manufacturer#2,4-NOT SPECIFIED,3,MAIL,6,0.03,16,Brand#23,23,SM PACK,14,29,12150.468
F,F,A,DELIVER IN PERSON,1,Manufacturer#4,5-LOW,1,SHIP,5,0.02,3,Brand#44,17,JUMBO JAR,7,30,71492.3664
F,F,R,COLLECT COD,2,Manufacturer#3,5-LOW,1,TRUCK,7,0.04,18,Brand#33,17,MED PKG,49,30,26202.5295
F,F,R,DELIVER IN PERSON,4,Manufacturer#3,4-NOT SPECIFIED,1,REG AIR,1,0,4,Brand#35,2,SM CASE,6,31,31849.059
F,F,A,COLLECT COD,0,Manufacturer#5,4-NOT SPECIFIED,1,MAIL,3,0.08,0,Brand#55,2,WRAP PACK,50,31,38863.3024
O,P,N,TAKE BACK RETURN,2,Manufacturer#4,1-URGENT,1,REG AIR,3,0,21,Brand#42,3,SM CAN,44,32,64774.908
F,P,N,TAKE BACK RETURN,2,Manufacturer#3,1-URGENT,1,REG AIR,1,0.04,9,Brand#32,3,WRAP CAN,25,32,21856.118
F,P,R,NONE,2,Manufacturer#2,1-URGENT,1,MAIL,2,0.02,9,Brand#23,3,MED PKG,17,32,63099.95
F,F,A,NONE,2,Manufacturer#4,1-URGENT,0,SHIP,1,0.04,8,Brand#45,5,MED DRUM,33,33,11990.2761
F,F,N,TAKE BACK RETURN,1,Manufacturer#5,1-URGENT,0,RAIL,2,0.08,24,Brand#52,5,LG CASE,2,33,40547.7072
F,F,R,NONE,3,Manufacturer#5,1-URGENT,0,RAIL,3,0,19,Brand#53,5,WRAP DRUM,46,33,44943.1164
F,F,A,COLLECT COD,0,Manufacturer#3,5-LOW,1,FOB,5,0.08,16,Brand#32,1,JUMBO BAG,43,34,7259.3248
F,F,A,NONE,0,Manufacturer#2,5-LOW,1,MAIL,2,0.01,14,Brand#22,1,LG PACK,14,34,27760.995
F,F,R,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,1,SHIP,6,0.08,17,Brand#35,24,MED CAN,7,35,36833.3392
F,F,A,COLLECT COD,3,Manufacturer#1,4-NOT SPECIFIED,1,SHIP,4,0.01,19,Brand#14,24,WRAP BAG,13,35,72166.2816
F,F,A,COLLECT COD,1,Manufacturer#4,4-NOT SPECIFIED,1,SHIP,7,0.08,24,Brand#43,24,JUMBO DRUM,33,35,27703.5003
F,F,R,COLLECT COD,4,Manufacturer#2,4-NOT SPECIFIED,1,RAIL,5,0,4,Brand#23,24,WRAP JAR,7,35,22349.7
F,F,N,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,1,REG AIR,1,0.03,17,Brand#33,24,SM CAN,14,35,84459.977
O,P,N,DELIVER IN PERSON,1,Manufacturer#4,4-NOT SPECIFIED,0,AIR,1,0.03,3,Brand#42,0,WRAP CAN,22,36,18613.4976
F,P,A,TAKE BACK RETURN,1,Manufacturer#1,4-NOT SPECIFIED,0,REG AIR,3,0.08,17,Brand#12,0,JUMBO PKG,35,36,11687.3208
F,F,A,NONE,0,Manufacturer#2,2-HIGH,4,TRUCK,2,0.08,0,Brand#25,11,WRAP BOX,43,37,37214.7585
F,F,A,COLLECT COD,1,Manufacturer#2,2-HIGH,4,SHIP,1,0.08,1,Brand#21,11,JUMBO DRUM,49,37,39128.832
F,F,A,TAKE BACK RETURN,4,Manufacturer#5,4-NOT SPECIFIED,0,SHIP,2,0.08,10,Brand#55,0,SM PACK,6,38,56604.04
F,F,A,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,4,TRUCK,3,0.02,2,Brand#31,4,WRAP DRUM,29,39,21677.2864
F,F,R,DELIVER IN PERSON,0,Manufacturer#1,3-MEDIUM,4,REG AIR,1,0.03,16,Brand#11,4,WRAP CAN,5,40,27354.699
F,F,A,COLLECT COD,2,Manufacturer#4,3-MEDIUM,4,AIR,5,0.03,21,Brand#41,4,SM PACK,24,40,16010.982
F,F,R,DELIVER IN PERSON,2,Manufacturer#1,3-MEDIUM,4,REG AIR,4,0.04,9,Brand#11,4,JUMBO CASE,20,40,14318.364
F,F,R,DELIVER IN PERSON,2,Manufacturer#2,3-MEDIUM,4,RAIL,7,0.05,18,Brand#23,4,WRAP JAR,50,40,26661.528
F,F,R,NONE,1,Manufacturer#1,2-HIGH,0,FOB,3,0.05,24,Brand#11,14,WRAP BAG,38,41,51458.0904
F,F,R,NONE,3,Manufacturer#1,2-HIGH,0,RAIL,4,0.06,6,Brand#15,14,SM JAR,27,41,25437.168
F,F,R,COLLECT COD,3,Manufacturer#2,2-HIGH,0,FOB,2,0.01,22,Brand#25,14,MED BAG,45,41,35108.1
F,F,N,NONE,2,Manufacturer#4,3-MEDIUM,0,FOB,7,0.01,8,Brand#45,16,SM DRUM,27,42,2969.6544
F,F,R,COLLECT COD,1,Manufacturer#3,3-MEDIUM,0,REG AIR,3,0,3,Brand#32,16,SM PKG,12,42,64074.528
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,3-MEDIUM,0,REG AIR,2,0.04,8,Brand#43,16,SM PACK,4,42,37880.661
F,F,A,TAKE BACK RETURN,2,Manufacturer#3,3-MEDIUM,0,REG AIR,1,0.03,21,Brand#32,16,JUMBO PACK,45,42,27280.4158
F,F,R,COLLECT COD,2,Manufacturer#5,3-MEDIUM,0,TRUCK,5,0.01,8,Brand#54,16,LG BAG,10,42,49351.167
F,F,N,COLLECT COD,3,Manufacturer#5,3-MEDIUM,0,TRUCK,4,0.04,19,Brand#51,16,MED PKG,47,42,41522.355
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,3-MEDIUM,0,TRUCK,6,0.04,18,Brand#45,16,JUMBO PACK,34,42,43272.775
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,1-URGENT,4,MAIL,1,0.01,18,Brand#53,4,MED BOX,2,43,79206.8729
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,1-URGENT,4,AIR,2,0,21,Brand#53,4,JUMBO JAR,28,43,40369.923
F,F,A,NONE,1,Manufacturer#2,2-HIGH,4,SHIP,1,0.07,24,Brand#24,13,LG CAN,2,44,50070.852
F,F,A,DELIVER IN PERSON,0,Manufacturer#5,2-HIGH,4,MAIL,2,0.01,14,Brand#53,13,SM BOX,48,44,23803.5072
F,F,A,TAKE BACK RETURN,0,Manufacturer#5,2-HIGH,4,MAIL,3,0.04,5,Brand#52,13,WRAP CASE,30,44,40481.441
F,F,R,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,0,RAIL,2,0.03,3,Brand#31,14,WRAP CASE,8,45,4144.59
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,2-HIGH,0,SHIP,1,0.02,4,Brand#53,5,LG BOX,39,46,3587.162
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,4,AIR,4,0.08,16,Brand#33,13,LG CAN,11,47,59439.6264
F,F,R,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,4,FOB,2,0,19,Brand#21,13,SM PACK,12,47,27979.9968
F,F,R,TAKE BACK RETURN,0,Manufacturer#1,3-MEDIUM,1,MAIL,3,0.07,14,Brand#11,17,JUMBO PKG,29,48,13068.3072
F,F,A,COLLECT COD,3,Manufacturer#4,2-HIGH,0,SHIP,1,0.02,19,Brand#41,0,SM BOX,17,49,68243.82
F,F,A,COLLECT COD,0,Manufacturer#3,2-HIGH,0,FOB,5,0,16,Brand#35,0,SM DRUM,37,49,42644.208
F,F,R,NONE,3,Manufacturer#4,2-HIGH,0,TRUCK,4,0.03,22,Brand#44,0,LG CASE,37,49,77602.08
F,F,A,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,0,SHIP,2,0,12,Brand#54,0,MED JAR,46,49,66051.0205
F,F,A,TAKE BACK RETURN,3,Manufacturer#2,5-LOW,0,TRUCK,1,0.06,7,Brand#22,16,JUMBO BAG,10,50,45865.3248
F,F,A,TAKE BACK RETURN,0,Manufacturer#2,5-LOW,4,AIR,1,0.01,15,Brand#23,4,WRAP PACK,41,51,27242.375
F,F,R,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,4,RAIL,2,0.03,12,Brand#33,4,MED PKG,24,51,19753.1544
F,F,R,NONE,3,Manufacturer#4,3-MEDIUM,1,SHIP,5,0.04,7,Brand#44,1,LG PACK,34,52,23363.676
F,F,A,NONE,3,Manufacturer#4,3-MEDIUM,1,TRUCK,6,0.02,22,Brand#42,1,SM JAR,49,52,8209.302
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,3-MEDIUM,1,SHIP,3,0,24,Brand#15,1,MED CAN,19,52,36089.8712
F,F,N,COLLECT COD,1,Manufacturer#4,3-MEDIUM,1,AIR,2,0.01,24,Brand#44,1,SM BAG,12,52,52334.7538
F,F,N,NONE,2,Manufacturer#1,3-MEDIUM,1,FOB,7,0.01,21,Brand#12,1,SM BAG,11,52,24885.4518
F,F,A,NONE,2,Manufacturer#3,3-MEDIUM,1,SHIP,4,0.03,12,Brand#32,1,LG BOX,9,52,4870.6664
F,F,A,TAKE BACK RETURN,2,Manufacturer#5,5-LOW,2,TRUCK,4,0,9,Brand#52,21,MED BAG,44,53,60438.24
F,F,R,COLLECT COD,1,Manufacturer#5,5-LOW,2,RAIL,1,0.02,1,Brand#52,21,SM DRUM,29,53,28782.7254
F,F,A,TAKE BACK RETURN,1,Manufacturer#4,5-LOW,2,REG AIR,2,0.07,24,Brand#41,21,SM CAN,32,53,42141.9456
F,F,R,DELIVER IN PERSON,2,Manufacturer#3,5-LOW,2,REG AIR,3,0.01,18,Brand#31,21,SM JAR,2,53,57806.9856
F,F,R,DELIVER IN PERSON,1,Manufacturer#3,2-HIGH,2,FOB,1,0.06,3,Brand#34,12,JUMBO DRUM,30,54,46024.6182
F,F,N,TAKE BACK RETURN,3,Manufacturer#2,4-NOT SPECIFIED,2,RAIL,2,0,22,Brand#21,21,WRAP JAR,40,55,24613.071
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,4-NOT SPECIFIED,2,REG AIR,4,0.07,4,Brand#22,21,SM PKG,19,55,19743.1143
F,F,N,NONE,2,Manufacturer#1,4-NOT SPECIFIED,2,SHIP,5,0.03,12,Brand#11,21,LG PKG,12,55,47138.91
F,F,N,COLLECT COD,0,Manufacturer#5,4-NOT SPECIFIED,2,TRUCK,3,0.08,15,Brand#52,21,JUMBO JAR,29,55,61586.98
F,F,N,NONE,3,Manufacturer#3,4-NOT SPECIFIED,2,MAIL,1,0.06,19,Brand#34,21,MED PACK,2,55,20813.1154
F,F,A,COLLECT COD,2,Manufacturer#4,1-URGENT,1,SHIP,1,0.04,18,Brand#42,3,LG BOX,19,56,32702.6282
F,F,N,COLLECT COD,1,Manufacturer#3,1-URGENT,1,TRUCK,4,0.03,17,Brand#34,3,JUMBO CASE,24,56,29184.8832
F,F,N,NONE,4,Manufacturer#5,1-URGENT,1,FOB,2,0.01,13,Brand#52,3,SM PACK,10,56,45986.5563
F,F,N,COLLECT COD,3,Manufacturer#1,1-URGENT,1,REG AIR,6,0.04,22,Brand#14,3,MED BOX,1,56,58275.945
F,F,N,NONE,4,Manufacturer#3,2-HIGH,1,SHIP,2,0.02,4,Brand#33,17,LG PACK,10,57,33617.088
F,F,R,TAKE BACK RETURN,3,Manufacturer#4,3-MEDIUM,0,TRUCK,4,0.07,23,Brand#44,14,MED DRUM,45,58,63855.846
F,F,A,DELIVER IN PERSON,4,Manufacturer#2,3-MEDIUM,0,REG AIR,3,0.02,4,Brand#22,14,SM PKG,45,58,12252.3115
F,F,A,NONE,2,Manufacturer#3,3-MEDIUM,0,MAIL,2,0.08,9,Brand#35,14,JUMBO CASE,32,58,28920.0912
F,F,A,DELIVER IN PERSON,4,Manufacturer#4,3-MEDIUM,0,FOB,1,0.04,4,Brand#41,14,MED JAR,18,58,51515.4404
F,F,R,COLLECT COD,4,Manufacturer#2,1-URGENT,0,MAIL,1,0.04,20,Brand#22,15,LG PACK,42,59,7046.1272
F,F,A,DELIVER IN PERSON,4,Manufacturer#5,1-URGENT,0,TRUCK,3,0.02,4,Brand#53,15,JUMBO DRUM,8,59,39692.8066
F,F,R,TAKE BACK RETURN,4,Manufacturer#1,1-URGENT,0,RAIL,2,0.08,10,Brand#11,15,MED PACK,4,59,62742.24
F,F,R,TAKE BACK RETURN,3,Manufacturer#4,1-URGENT,0,SHIP,4,0,23,Brand#45,15,MED CASE,23,59,9418.0914
F,F,R,NONE,1,Manufacturer#2,1-URGENT,0,AIR,6,0,24,Brand#22,15,LG PKG,16,59,14480.6256
F,F,A,COLLECT COD,4,Manufacturer#5,4-NOT SPECIFIED,1,REG AIR,2,0.03,4,Brand#54,1,LG DRUM,10,60,45350.6816
F,F,N,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,1,TRUCK,4,0.05,1,Brand#35,1,SM BAG,21,60,36135.6615
F,F,A,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,1,TRUCK,1,0.07,22,Brand#52,1,MED DRUM,31,60,63731.6631
F,F,A,NONE,2,Manufacturer#5,4-NOT SPECIFIED,1,AIR,3,0.04,8,Brand#55,1,LG BAG,10,60,56284.2126
F,F,R,DELIVER IN PERSON,1,Manufacturer#5,3-MEDIUM,0,MAIL,1,0,1,Brand#52,15,JUMBO CASE,39,61,13915.584
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,3-MEDIUM,0,SHIP,3,0.02,22,Brand#21,15,WRAP JAR,40,61,46761.21
F,F,A,TAKE BACK RETURN,4,Manufacturer#4,3-MEDIUM,0,MAIL,2,0.08,11,Brand#45,15,JUMBO BOX,44,61,23743.008
F,F,A,COLLECT COD,1,Manufacturer#1,2-HIGH,1,REG AIR,1,0.01,24,Brand#11,1,JUMBO PACK,26,62,44548.301
F,F,R,NONE,1,Manufacturer#1,2-HIGH,1,MAIL,3,0.02,17,Brand#12,1,MED JAR,27,62,33827.904
F,F,R,NONE,0,Manufacturer#3,1-URGENT,3,SHIP,2,0,14,Brand#32,6,MED CASE,29,63,72632.56
F,F,R,NONE,4,Manufacturer#2,1-URGENT,3,RAIL,1,0.01,10,Brand#22,6,LG PKG,16,63,33682.383
F,F,A,COLLECT COD,0,Manufacturer#1,2-HIGH,1,SHIP,4,0.06,14,Brand#13,17,LG DRUM,44,64,1823.5709
F,F,R,DELIVER IN PERSON,0,Manufacturer#3,2-HIGH,1,FOB,6,0.03,16,Brand#32,17,JUMBO DRUM,33,64,48566.892
F,F,R,TAKE BACK RETURN,0,Manufacturer#1,3-MEDIUM,0,MAIL,1,0.02,16,Brand#12,16,SM JAR,23,65,55568.968
F,F,R,TAKE BACK RETURN,4,Manufacturer#4,3-MEDIUM,0,TRUCK,3,0,4,Brand#41,16,SM CAN,4,65,20710.437
F,F,A,TAKE BACK RETURN,1,Manufacturer#3,3-MEDIUM,0,MAIL,6,0.01,24,Brand#35,16,LG PKG,8,65,47369.151
F,F,R,COLLECT COD,1,Manufacturer#2,3-MEDIUM,4,SHIP,1,0.07,2,Brand#21,13,LG DRUM,21,66,30722.736
