l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,o_orderdate,l_commitdate,groupcol,aggcol
F,F,R,TAKE BACK RETURN,0,Manufacturer#3,3-MEDIUM,2,HOUSEHOLD,FOB,3,0.01,1992-05-08,1992-06-19,3,6360.6075
F,F,A,NONE,2,Manufacturer#5,1-URGENT,4,BUILDING,TRUCK,3,0.01,1995-01-18,1995-04-03,2,23271.3024
F,F,A,TAKE BACK RETURN,2,Manufacturer#1,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,1,0.04,1995-02-14,1995-03-22,2,32487.798
F,F,A,TAKE BACK RETURN,2,Manufacturer#4,5-LOW,0,FURNITURE,SHIP,1,0.07,1994-12-23,1995-01-27,0,7623.8288
O,O,N,COLLECT COD,4,Manufacturer#1,3-MEDIUM,4,MACHINERY,RAIL,1,0,1997-12-05,1998-01-28,5,28284.352
O,O,N,TAKE BACK RETURN,0,Manufacturer#1,4-NOT SPECIFIED,0,FURNITURE,SHIP,7,0.05,1997-07-02,1997-09-06,5,7349.6073
F,F,A,COLLECT COD,2,Manufacturer#3,1-URGENT,4,HOUSEHOLD,RAIL,2,0.03,1994-02-12,1994-04-14,0,23252.825
O,O,N,COLLECT COD,1,Manufacturer#1,1-URGENT,2,MACHINERY,TRUCK,4,0.02,1996-03-14,1996-05-17,1,21948.3222
O,O,N,TAKE BACK RETURN,1,Manufacturer#1,4-NOT SPECIFIED,1,BUILDING,AIR,6,0.03,1996-09-12,1996-11-17,1,20437.648
F,P,N,COLLECT COD,4,Manufacturer#3,4-NOT SPECIFIED,4,FURNITURE,MAIL,3,0.08,1995-05-24,1995-06-28,2,29835.7728
F,F,R,TAKE BACK RETURN,0,Manufacturer#4,5-LOW,4,AUTOMOBILE,RAIL,1,0.07,1994-04-23,1994-06-01,0,12793.995
F,F,R,DELIVER IN PERSON,2,Manufacturer#2,3-MEDIUM,2,AUTOMOBILE,TRUCK,2,0.03,1994-07-27,1994-09-25,0,11763.54
F,F,A,DELIVER IN PERSON,3,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,FOB,5,0.08,1994-07-27,1994-10-21,0,30389.189
O,O,N,NONE,2,Manufacturer#4,3-MEDIUM,3,BUILDING,TRUCK,2,0.08,1996-02-02,1996-04-29,1,34052.0311
O,O,N,COLLECT COD,3,Manufacturer#2,3-MEDIUM,0,BUILDING,FOB,3,0.01,1997-08-19,1997-10-09,5,8184.5184
O,O,N,DELIVER IN PERSON,2,Manufacturer#3,2-HIGH,1,BUILDING,AIR,6,0.08,1995-08-17,1995-11-02,2,12266.2208
F,F,R,COLLECT COD,3,Manufacturer#4,2-HIGH,4,FURNITURE,MAIL,4,0.06,1994-11-02,1995-01-11,0,-2307.816
F,F,R,COLLECT COD,3,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,FOB,2,0.01,1992-03-18,1992-04-28,3,12765.5424
F,F,A,NONE,0,Manufacturer#1,1-URGENT,1,AUTOMOBILE,SHIP,2,0,1992-06-08,1992-09-01,3,10703.251
F,F,R,COLLECT COD,0,Manufacturer#3,2-HIGH,2,AUTOMOBILE,TRUCK,6,0,1993-09-11,1993-11-22,6,20149.437
O,O,N,NONE,0,Manufacturer#2,3-MEDIUM,3,FURNITURE,REG AIR,1,0.02,1995-07-03,1995-08-19,2,40896.951
O,O,N,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,3,BUILDING,SHIP,1,0.02,1997-03-15,1997-05-27,5,20174.4185
O,O,N,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,0,HOUSEHOLD,AIR,1,0.05,1995-10-16,1995-11-24,2,718.3537
O,O,N,DELIVER IN PERSON,1,Manufacturer#2,3-MEDIUM,0,BUILDING,MAIL,2,0.04,1998-01-28,1998-03-25,4,40831.992
O,O,N,NONE,1,Manufacturer#5,1-URGENT,3,AUTOMOBILE,REG AIR,2,0.04,1998-06-21,1998-08-11,4,6497.4784
F,F,R,DELIVER IN PERSON,1,Manufacturer#4,3-MEDIUM,1,FURNITURE,TRUCK,1,0.08,1994-12-24,1995-03-08,0,4533.36
O,P,N,TAKE BACK RETURN,0,Manufacturer#4,1-URGENT,4,AUTOMOBILE,REG AIR,2,0.05,1995-05-01,1995-06-17,2,18175.865
F,F,A,TAKE BACK RETURN,1,Manufacturer#5,1-URGENT,2,AUTOMOBILE,SHIP,7,0.01,1992-11-06,1992-12-08,3,27952.7196
O,O,N,COLLECT COD,0,Manufacturer#3,2-HIGH,4,BUILDING,TRUCK,4,0.04,1996-09-22,1996-11-28,1,54583.7424
O,O,N,DELIVER IN PERSON,2,Manufacturer#3,2-HIGH,4,BUILDING,RAIL,2,0.06,1996-09-22,1996-12-09,1,57586.192
F,F,A,COLLECT COD,2,Manufacturer#4,5-LOW,1,AUTOMOBILE,RAIL,5,0.03,1992-06-24,1992-09-01,3,11920.44
O,O,N,DELIVER IN PERSON,2,Manufacturer#3,3-MEDIUM,3,HOUSEHOLD,FOB,2,0.06,1998-02-23,1998-04-16,4,17467.4604
O,O,N,DELIVER IN PERSON,4,Manufacturer#1,3-MEDIUM,1,BUILDING,RAIL,5,0.05,1996-10-10,1996-12-16,1,17302.3448
O,O,N,NONE,2,Manufacturer#2,2-HIGH,2,MACHINERY,REG AIR,4,0.08,1997-04-13,1997-06-23,5,4941.4816
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,5-LOW,3,BUILDING,AIR,4,0,1993-10-19,1993-12-03,6,5384.8505
O,O,N,TAKE BACK RETURN,0,Manufacturer#3,1-URGENT,3,MACHINERY,FOB,5,0.06,1997-04-16,1997-05-22,5,17008.7175
O,O,N,NONE,0,Manufacturer#2,5-LOW,4,MACHINERY,TRUCK,4,0.05,1997-05-08,1997-07-27,5,4000.4196
F,F,R,DELIVER IN PERSON,0,Manufacturer#3,1-URGENT,2,FURNITURE,TRUCK,4,0,1992-11-30,1993-01-30,3,565.026
O,O,N,NONE,2,Manufacturer#2,3-MEDIUM,0,BUILDING,FOB,3,0.03,1998-02-10,1998-04-16,4,57531.1788
F,F,R,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,AIR,1,0.06,1992-09-17,1992-11-08,3,25674.3916
F,F,A,NONE,2,Manufacturer#4,5-LOW,2,AUTOMOBILE,AIR,1,0,1992-03-31,1992-05-01,3,17908.44
O,O,N,COLLECT COD,1,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,FOB,1,0.04,1997-05-21,1997-08-12,5,45657.0532
O,P,N,NONE,3,Manufacturer#3,5-LOW,0,AUTOMOBILE,SHIP,1,0.03,1995-03-16,1995-05-10,2,11188.3104
O,O,N,COLLECT COD,0,Manufacturer#4,3-MEDIUM,1,BUILDING,MAIL,4,0.01,1997-12-08,1998-03-08,5,638.478
F,F,R,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,1,BUILDING,TRUCK,2,0.01,1992-05-03,1992-06-24,3,1453.04
F,F,R,NONE,2,Manufacturer#2,2-HIGH,2,FURNITURE,AIR,1,0.04,1992-09-29,1992-11-21,3,23361.996
O,O,N,NONE,4,Manufacturer#3,3-MEDIUM,1,BUILDING,FOB,6,0.06,1995-07-13,1995-08-18,2,33313.0656
F,F,A,DELIVER IN PERSON,1,Manufacturer#4,4-NOT SPECIFIED,4,BUILDING,MAIL,1,0,1993-10-25,1994-01-06,6,12975.53
O,O,N,DELIVER IN PERSON,0,Manufacturer#5,5-LOW,3,FURNITURE,TRUCK,3,0.01,1998-02-19,1998-04-15,4,23993.0208
F,F,A,NONE,1,Manufacturer#3,4-NOT SPECIFIED,2,BUILDING,RAIL,1,0.02,1994-03-13,1994-05-25,0,18171.8466
O,O,N,NONE,4,Manufacturer#1,5-LOW,4,HOUSEHOLD,TRUCK,2,0.04,1996-07-01,1996-08-21,1,6418.454
O,O,N,DELIVER IN PERSON,3,Manufacturer#4,5-LOW,4,HOUSEHOLD,TRUCK,3,0.01,1996-07-01,1996-08-03,1,21501.6464
O,O,N,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,4,HOUSEHOLD,FOB,4,0,1996-07-01,1996-08-20,1,20788.826
F,F,R,TAKE BACK RETURN,4,Manufacturer#4,5-LOW,4,FURNITURE,SHIP,3,0.02,1994-10-22,1994-12-13,0,15528.6088
O,O,N,COLLECT COD,3,Manufacturer#4,1-URGENT,2,HOUSEHOLD,REG AIR,4,0.08,1997-02-04,1997-04-04,5,20603.167
F,F,A,DELIVER IN PERSON,1,Manufacturer#4,1-URGENT,4,MACHINERY,RAIL,2,0.01,1993-12-14,1994-02-05,6,6175.0821
O,O,N,COLLECT COD,1,Manufacturer#1,3-MEDIUM,3,MACHINERY,TRUCK,2,0.05,1995-06-14,1995-07-21,2,3418.45
O,O,N,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,1,BUILDING,RAIL,2,0.02,1997-12-27,1998-03-11,5,14536.064
O,O,N,COLLECT COD,0,Manufacturer#3,1-URGENT,2,AUTOMOBILE,SHIP,2,0.08,1995-12-08,1996-02-19,2,5269.696
O,O,N,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,4,HOUSEHOLD,AIR,1,0.06,1997-01-06,1997-02-20,5,10962.507
F,F,R,NONE,2,Manufacturer#3,1-URGENT,4,FURNITURE,FOB,3,0.02,1994-01-11,1994-03-11,0,16778.9
O,O,N,DELIVER IN PERSON,2,Manufacturer#2,4-NOT SPECIFIED,0,AUTOMOBILE,SHIP,6,0.07,1996-09-15,1996-11-01,1,784.2266
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,1-URGENT,2,MACHINERY,FOB,7,0.06,1995-07-03,1995-08-18,2,33965.0688
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,2-HIGH,4,AUTOMOBILE,AIR,1,0.06,1993-11-26,1994-01-08,6,16488.24
F,F,R,COLLECT COD,2,Manufacturer#3,5-LOW,4,FURNITURE,AIR,5,0.05,1992-08-08,1992-09-20,3,29803.4044
O,O,N,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,0,BUILDING,AIR,1,0.04,1998-01-10,1998-02-18,4,10556.4432
O,O,N,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,3,FURNITURE,REG AIR,3,0.08,1997-04-06,1997-06-03,5,3894.4224
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,4,HOUSEHOLD,MAIL,5,0.06,1992-08-29,1992-10-26,3,21026.7288
O,P,N,TAKE BACK RETURN,3,Manufacturer#1,5-LOW,4,HOUSEHOLD,TRUCK,5,0.06,1995-06-07,1995-08-17,2,37057.6125
O,O,N,COLLECT COD,2,Manufacturer#2,3-MEDIUM,4,MACHINERY,FOB,3,0.08,1996-07-09,1996-10-03,1,53510.3924
F,F,A,NONE,0,Manufacturer#1,3-MEDIUM,4,FURNITURE,REG AIR,3,0.03,1993-04-02,1993-06-21,6,10984.26
F,F,A,NONE,4,Manufacturer#2,5-LOW,1,BUILDING,MAIL,1,0.07,1995-03-22,1995-04-26,2,4618.278
F,F,A,NONE,2,Manufacturer#1,5-LOW,1,FURNITURE,FOB,2,0.03,1993-04-28,1993-07-10,6,650.62
O,O,N,TAKE BACK RETURN,4,Manufacturer#2,1-URGENT,3,MACHINERY,AIR,2,0.06,1998-01-16,1998-03-16,4,9306.445
F,F,R,DELIVER IN PERSON,1,Manufacturer#3,5-LOW,3,HOUSEHOLD,REG AIR,2,0.01,1993-09-18,1993-11-17,6,32060.3002
O,O,N,COLLECT COD,1,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,SHIP,1,0.01,1996-06-26,1996-09-21,1,54465.0832
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,5-LOW,1,MACHINERY,MAIL,2,0.03,1996-10-15,1996-11-26,1,10409.44
O,O,N,TAKE BACK RETURN,0,Manufacturer#1,2-HIGH,0,HOUSEHOLD,REG AIR,1,0.01,1997-09-09,1997-10-23,5,16605.504
O,O,N,COLLECT COD,2,Manufacturer#3,1-URGENT,1,HOUSEHOLD,MAIL,2,0.02,1997-10-03,1997-12-06,5,19793.719
F,F,A,DELIVER IN PERSON,4,Manufacturer#2,2-HIGH,0,BUILDING,MAIL,3,0.05,1994-10-05,1994-12-30,0,63542.0736
O,O,N,DELIVER IN PERSON,0,Manufacturer#3,4-NOT SPECIFIED,0,MACHINERY,FOB,2,0,1996-11-26,1996-12-26,1,9041.746
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,4,FURNITURE,TRUCK,5,0.02,1992-07-27,1992-08-31,3,6941.52
F,F,A,COLLECT COD,2,Manufacturer#3,2-HIGH,1,AUTOMOBILE,REG AIR,6,0.07,1992-06-08,1992-08-23,3,11544.0472
F,F,R,DELIVER IN PERSON,2,Manufacturer#1,2-HIGH,1,AUTOMOBILE,MAIL,5,0.05,1992-06-08,1992-08-14,3,39525.5124
F,F,A,TAKE BACK RETURN,2,Manufacturer#2,2-HIGH,0,MACHINERY,FOB,4,0.02,1992-02-18,1992-05-13,3,17733.074
F,F,A,TAKE BACK RETURN,3,Manufacturer#5,1-URGENT,4,HOUSEHOLD,MAIL,3,0,1993-10-14,1993-11-19,6,33309.1024
O,O,N,TAKE BACK RETURN,1,Manufacturer#2,4-NOT SPECIFIED,4,AUTOMOBILE,RAIL,3,0.08,1995-11-27,1995-12-30,2,23475.4044
F,F,A,COLLECT COD,4,Manufacturer#2,1-URGENT,4,HOUSEHOLD,MAIL,2,0.07,1992-01-12,1992-04-07,3,16392.0961
O,O,N,NONE,2,Manufacturer#5,1-URGENT,4,AUTOMOBILE,MAIL,5,0.06,1996-08-14,1996-09-17,1,6204.1615
O,O,N,COLLECT COD,3,Manufacturer#3,1-URGENT,4,AUTOMOBILE,SHIP,1,0.03,1996-08-14,1996-10-28,1,19610.2104
F,F,R,DELIVER IN PERSON,0,Manufacturer#3,4-NOT SPECIFIED,4,BUILDING,RAIL,4,0.08,1994-03-14,1994-05-27,0,8462.9064
O,O,N,DELIVER IN PERSON,0,Manufacturer#4,1-URGENT,4,AUTOMOBILE,RAIL,2,0.07,1996-01-07,1996-04-02,1,43460.352
F,F,R,COLLECT COD,0,Manufacturer#3,3-MEDIUM,1,MACHINERY,SHIP,5,0.07,1993-02-24,1993-04-08,6,1647.025
F,F,A,TAKE BACK RETURN,3,Manufacturer#5,5-LOW,4,FURNITURE,FOB,2,0.08,1993-05-25,1993-07-27,6,11902.8
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,1-URGENT,0,AUTOMOBILE,MAIL,7,0.03,1994-08-22,1994-11-03,0,25777.647
F,F,R,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,4,HOUSEHOLD,SHIP,2,0.02,1992-10-31,1993-01-07,3,10008.7952
F,F,A,DELIVER IN PERSON,3,Manufacturer#4,5-LOW,2,MACHINERY,REG AIR,2,0,1993-03-16,1993-05-11,6,33516.633
F,F,R,NONE,4,Manufacturer#2,2-HIGH,0,FURNITURE,TRUCK,1,0.05,1993-11-30,1994-02-04,6,23987.4354
O,O,N,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,2,FURNITURE,SHIP,7,0.06,1998-01-10,1998-02-13,4,1067.405
F,F,R,NONE,1,Manufacturer#4,3-MEDIUM,0,BUILDING,TRUCK,1,0.07,1993-01-23,1993-04-06,6,30132.732
F,F,R,DELIVER IN PERSON,2,Manufacturer#3,1-URGENT,3,HOUSEHOLD,REG AIR,7,0.08,1992-08-10,1992-11-07,3,3759.99
O,O,N,NONE,4,Manufacturer#1,3-MEDIUM,4,HOUSEHOLD,AIR,3,0,1996-09-11,1996-12-08,1,3799.832
F,F,A,NONE,0,Manufacturer#4,4-NOT SPECIFIED,4,HOUSEHOLD,RAIL,1,0.01,1994-12-07,1995-02-04,0,21225.4713
O,O,N,NONE,1,Manufacturer#3,2-HIGH,3,HOUSEHOLD,MAIL,3,0.01,1997-08-21,1997-10-20,5,30476.8282
F,F,A,TAKE BACK RETURN,1,Manufacturer#1,4-NOT SPECIFIED,4,FURNITURE,FOB,2,0.04,1993-09-14,1993-10-16,6,7254.168
F,F,R,DELIVER IN PERSON,0,Manufacturer#3,3-MEDIUM,1,MACHINERY,REG AIR,4,0.05,1993-04-20,1993-07-04,6,1428.5
O,O,N,TAKE BACK RETURN,0,Manufacturer#4,3-MEDIUM,0,AUTOMOBILE,TRUCK,5,0.05,1996-05-20,1996-08-06,1,2930.463
O,O,N,NONE,0,Manufacturer#2,2-HIGH,4,BUILDING,FOB,6,0.04,1997-09-10,1997-10-12,5,6594.372
F,F,A,NONE,0,Manufacturer#2,3-MEDIUM,2,HOUSEHOLD,TRUCK,2,0.03,1992-08-05,1992-11-03,3,10801.919
F,F,A,COLLECT COD,0,Manufacturer#2,5-LOW,4,FURNITURE,AIR,2,0.02,1994-06-25,1994-08-21,0,2387.9544
F,F,A,COLLECT COD,3,Manufacturer#1,4-NOT SPECIFIED,3,FURNITURE,SHIP,1,0.08,1994-02-09,1994-04-24,0,2677.9125
F,F,R,TAKE BACK RETURN,3,Manufacturer#2,2-HIGH,2,FURNITURE,SHIP,2,0.04,1993-02-02,1993-03-30,6,19295.3166
F,F,A,NONE,2,Manufacturer#4,2-HIGH,2,FURNITURE,RAIL,5,0.08,1993-02-02,1993-03-17,6,24372.5408
O,O,N,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,MAIL,5,0.01,1996-01-13,1996-02-20,1,16751.73
F,F,A,COLLECT COD,0,Manufacturer#3,1-URGENT,4,FURNITURE,MAIL,4,0.02,1992-01-20,1992-04-04,3,10272.852
F,F,R,DELIVER IN PERSON,3,Manufacturer#3,4-NOT SPECIFIED,3,BUILDING,TRUCK,1,0,1992-12-31,1993-03-11,3,5161.1696
F,F,R,COLLECT COD,3,Manufacturer#1,4-NOT SPECIFIED,2,BUILDING,TRUCK,6,0.05,1993-03-30,1993-05-27,6,15572.718
O,O,N,COLLECT COD,0,Manufacturer#4,3-MEDIUM,0,MACHINERY,SHIP,4,0.02,1996-02-05,1996-04-28,1,42122.43
F,F,R,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,0,AUTOMOBILE,RAIL,1,0.08,1994-02-28,1994-04-20,0,60926.9052
