o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,s_nationkey,o_orderdate,l_commitdate,l_shipdate,l_receiptdate,groupcol,aggcol
F,COLLECT COD,3,Manufacturer#4,5-LOW,0,BUILDING,SHIP,3,19,1992-07-08,1992-09-15,1992-08-31,1992-09-27,2,20180.860752
F,COLLECT COD,4,Manufacturer#4,5-LOW,0,BUILDING,TRUCK,1,4,1992-07-08,1992-09-21,1992-08-10,1992-09-01,1,5805.35424
F,DELIVER IN PERSON,0,Manufacturer#1,5-LOW,0,BUILDING,FOB,5,16,1992-07-08,1992-08-08,1992-09-12,1992-09-27,2,35930.658456
F,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,SHIP,5,1,1992-12-26,1993-02-04,1993-01-25,1993-02-18,1,955.6365
F,DELIVER IN PERSON,2,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,4,9,1992-12-26,1993-02-01,1993-02-08,1993-03-03,2,14190.19371
F,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,1,18,1992-12-26,1993-02-16,1993-02-02,1993-02-16,1,23117.13432
F,TAKE BACK RETURN,2,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,REG AIR,2,18,1992-12-26,1993-02-14,1993-02-12,1993-02-15,2,28694.537388
F,NONE,4,Manufacturer#3,4-NOT SPECIFIED,0,AUTOMOBILE,FOB,3,4,1992-12-26,1993-03-03,1993-02-27,1993-03-07,1,1682.436288
F,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,1,AUTOMOBILE,FOB,7,24,1993-02-09,1993-04-20,1993-03-29,1993-04-21,1,24462.11736
F,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,1,AUTOMOBILE,FOB,6,24,1993-02-09,1993-03-16,1993-03-18,1993-03-22,1,28767.102
F,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,1,AUTOMOBILE,AIR,1,22,1993-02-09,1993-04-20,1993-05-09,1993-05-14,2,19860.414
F,NONE,3,Manufacturer#5,1-URGENT,1,AUTOMOBILE,RAIL,3,22,1993-02-09,1993-04-29,1993-05-17,1993-05-19,2,22074.96928
F,NONE,1,Manufacturer#4,1-URGENT,1,AUTOMOBILE,AIR,5,1,1993-02-09,1993-04-24,1993-05-15,1993-06-09,1,2436.387044
F,DELIVER IN PERSON,4,Manufacturer#2,1-URGENT,1,AUTOMOBILE,MAIL,2,11,1993-02-09,1993-05-02,1993-04-14,1993-05-03,2,46554.89364
F,COLLECT COD,1,Manufacturer#3,1-URGENT,1,AUTOMOBILE,FOB,4,24,1993-02-09,1993-04-12,1993-05-09,1993-05-10,1,47405.565696
F,NONE,4,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,SHIP,1,4,1992-05-09,1992-06-09,1992-08-20,1992-09-07,2,13459.488768
F,TAKE BACK RETURN,1,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,REG AIR,4,24,1992-05-09,1992-06-18,1992-06-26,1992-07-05,2,60529.12866
F,COLLECT COD,1,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,MAIL,2,3,1992-05-09,1992-07-28,1992-06-22,1992-07-09,1,6719.83344
F,COLLECT COD,2,Manufacturer#5,4-NOT SPECIFIED,2,MACHINERY,RAIL,3,18,1992-05-09,1992-08-07,1992-06-07,1992-06-17,1,33331.411872
F,NONE,2,Manufacturer#3,1-URGENT,2,BUILDING,MAIL,1,8,1993-06-18,1993-07-26,1993-07-12,1993-07-30,1,74112.446226
F,COLLECT COD,3,Manufacturer#5,1-URGENT,2,BUILDING,FOB,2,7,1993-06-18,1993-08-18,1993-08-29,1993-09-27,1,28840.389006
F,NONE,2,Manufacturer#2,1-URGENT,2,BUILDING,REG AIR,4,12,1993-06-18,1993-08-01,1993-10-01,1993-10-14,1,3333.672
F,TAKE BACK RETURN,4,Manufacturer#2,1-URGENT,2,BUILDING,TRUCK,3,4,1993-06-18,1993-08-17,1993-07-04,1993-07-20,1,12998.660598
O,NONE,4,Manufacturer#4,1-URGENT,4,MACHINERY,FOB,2,20,1998-04-15,1998-06-08,1998-08-05,1998-09-01,0,11435.5904
O,NONE,1,Manufacturer#3,1-URGENT,4,MACHINERY,SHIP,3,24,1998-04-15,1998-06-09,1998-07-15,1998-08-08,0,24456.319152
O,TAKE BACK RETURN,3,Manufacturer#4,1-URGENT,4,MACHINERY,MAIL,1,23,1998-04-15,1998-05-26,1998-04-30,1998-05-11,0,29889.8964
O,TAKE BACK RETURN,3,Manufacturer#4,3-MEDIUM,4,AUTOMOBILE,MAIL,3,19,1996-10-22,1996-12-30,1996-12-27,1997-01-19,0,38848.6584
O,DELIVER IN PERSON,0,Manufacturer#1,3-MEDIUM,4,AUTOMOBILE,TRUCK,1,5,1996-10-22,1996-12-02,1997-01-05,1997-01-07,0,69908.261352
O,DELIVER IN PERSON,3,Manufacturer#3,3-MEDIUM,4,AUTOMOBILE,AIR,2,19,1996-10-22,1996-11-27,1996-10-31,1996-11-21,0,7108.431152
O,TAKE BACK RETURN,1,Manufacturer#5,1-URGENT,2,FURNITURE,FOB,1,24,1996-06-23,1996-09-18,1996-09-22,1996-10-01,0,17674.713056
O,NONE,0,Manufacturer#1,1-URGENT,2,FURNITURE,MAIL,2,15,1996-06-23,1996-09-03,1996-09-13,1996-10-03,0,62123.808384
O,NONE,3,Manufacturer#1,1-URGENT,2,FURNITURE,RAIL,3,22,1996-06-23,1996-08-02,1996-06-28,1996-07-14,0,7241.848768
O,COLLECT COD,0,Manufacturer#5,2-HIGH,2,BUILDING,REG AIR,2,16,1996-02-28,1996-05-11,1996-05-10,1996-05-19,0,28308.868224
O,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,2,BUILDING,SHIP,1,24,1996-02-28,1996-05-02,1996-03-16,1996-03-19,0,8612.230536
O,TAKE BACK RETURN,0,Manufacturer#2,5-LOW,1,AUTOMOBILE,REG AIR,1,16,1998-07-07,1998-09-09,1998-08-16,1998-09-06,0,64708.132125
F,COLLECT COD,1,Manufacturer#4,3-MEDIUM,3,FURNITURE,FOB,5,24,1992-05-08,1992-06-28,1992-08-22,1992-09-19,1,4449.07629
F,DELIVER IN PERSON,2,Manufacturer#2,3-MEDIUM,3,FURNITURE,MAIL,2,8,1992-05-08,1992-06-20,1992-06-13,1992-06-15,1,27919.4688
F,COLLECT COD,0,Manufacturer#3,3-MEDIUM,3,FURNITURE,MAIL,1,15,1992-05-08,1992-07-23,1992-08-28,1992-09-01,2,22075.6704
F,NONE,1,Manufacturer#2,3-MEDIUM,3,FURNITURE,RAIL,4,24,1992-05-08,1992-07-13,1992-07-30,1992-08-12,2,33704.1654
F,COLLECT COD,0,Manufacturer#4,3-MEDIUM,3,FURNITURE,RAIL,3,16,1992-05-08,1992-07-02,1992-07-26,1992-08-14,2,36917.478
F,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,3,FURNITURE,TRUCK,6,4,1992-05-08,1992-07-23,1992-05-12,1992-05-21,2,35218.575568
O,COLLECT COD,3,Manufacturer#5,4-NOT SPECIFIED,1,HOUSEHOLD,MAIL,3,7,1997-03-02,1997-04-18,1997-03-19,1997-04-08,0,79306.1423
O,DELIVER IN PERSON,1,Manufacturer#5,4-NOT SPECIFIED,1,HOUSEHOLD,FOB,2,24,1997-03-02,1997-05-24,1997-03-16,1997-03-31,0,35359.6104
O,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,1,HOUSEHOLD,AIR,5,19,1997-03-02,1997-05-12,1997-06-07,1997-06-21,0,37384.8773
O,DELIVER IN PERSON,4,Manufacturer#2,4-NOT SPECIFIED,1,HOUSEHOLD,REG AIR,4,4,1997-03-02,1997-04-17,1997-05-06,1997-05-28,0,39666.932888
O,TAKE BACK RETURN,1,Manufacturer#1,4-NOT SPECIFIED,1,HOUSEHOLD,MAIL,1,1,1997-03-02,1997-05-23,1997-03-24,1997-04-18,0,48782.16
F,NONE,4,Manufacturer#1,5-LOW,3,HOUSEHOLD,SHIP,1,10,1993-09-22,1993-11-11,1993-12-02,1993-12-05,2,11759.580864
O,COLLECT COD,3,Manufacturer#4,5-LOW,4,FURNITURE,FOB,3,7,1997-02-28,1997-05-10,1997-06-11,1997-07-06,0,55694.542464
O,TAKE BACK RETURN,4,Manufacturer#1,5-LOW,4,FURNITURE,AIR,2,10,1997-02-28,1997-05-10,1997-04-12,1997-05-03,0,48508.271064
O,NONE,2,Manufacturer#2,5-LOW,4,FURNITURE,FOB,4,21,1997-02-28,1997-05-09,1997-03-20,1997-04-18,0,3186.729
O,NONE,2,Manufacturer#5,5-LOW,4,FURNITURE,MAIL,5,18,1997-02-28,1997-04-24,1997-03-17,1997-04-09,0,46713.73725
O,COLLECT COD,3,Manufacturer#2,5-LOW,4,FURNITURE,FOB,1,22,1997-02-28,1997-04-16,1997-06-22,1997-07-21,0,9970.993032
F,TAKE BACK RETURN,2,Manufacturer#5,1-URGENT,3,FURNITURE,MAIL,1,18,1993-07-08,1993-09-20,1993-08-25,1993-09-12,2,53360.90668
F,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,3,FURNITURE,RAIL,3,16,1993-07-08,1993-09-28,1993-07-09,1993-07-26,1,29408.550912
F,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,3,FURNITURE,FOB,2,7,1993-07-08,1993-09-11,1993-07-11,1993-07-20,1,64638.594216
O,COLLECT COD,4,Manufacturer#5,3-MEDIUM,3,HOUSEHOLD,TRUCK,1,4,1997-11-23,1998-01-26,1998-01-01,1998-01-14,0,87031.908
F,TAKE BACK RETURN,4,Manufacturer#2,4-NOT SPECIFIED,3,AUTOMOBILE,RAIL,1,11,1993-12-19,1994-03-17,1994-03-04,1994-03-12,2,16547.737752
F,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,3,AUTOMOBILE,FOB,4,24,1993-12-19,1994-01-31,1994-02-23,1994-02-25,1,17573.394
F,COLLECT COD,0,Manufacturer#2,4-NOT SPECIFIED,3,AUTOMOBILE,MAIL,5,16,1993-12-19,1994-03-18,1994-01-08,1994-02-02,2,50443.82568
F,COLLECT COD,2,Manufacturer#4,4-NOT SPECIFIED,3,AUTOMOBILE,RAIL,3,18,1993-12-19,1994-03-14,1994-04-06,1994-05-04,1,27938.0448
F,COLLECT COD,3,Manufacturer#5,4-NOT SPECIFIED,3,AUTOMOBILE,AIR,2,22,1993-12-19,1994-03-09,1994-01-26,1994-02-21,2,12443.9942
F,NONE,0,Manufacturer#1,4-NOT SPECIFIED,3,AUTOMOBILE,MAIL,6,0,1993-12-19,1994-02-17,1994-01-17,1994-01-24,1,34785.83745
F,DELIVER IN PERSON,3,Manufacturer#2,1-URGENT,3,HOUSEHOLD,REG AIR,1,6,1993-02-05,1993-03-31,1993-04-30,1993-05-02,2,44028.950784
F,COLLECT COD,1,Manufacturer#3,1-URGENT,3,HOUSEHOLD,RAIL,2,3,1993-02-05,1993-04-16,1993-05-07,1993-06-02,1,67340.123136
F,COLLECT COD,0,Manufacturer#1,1-URGENT,3,HOUSEHOLD,MAIL,2,14,1992-08-01,1992-10-29,1992-10-24,1992-11-15,2,21657.40416
F,NONE,0,Manufacturer#5,1-URGENT,3,HOUSEHOLD,AIR,1,16,1992-08-01,1992-10-25,1992-10-01,1992-10-31,2,37856.17836
O,NONE,2,Manufacturer#3,3-MEDIUM,1,FURNITURE,FOB,1,8,1996-11-02,1996-12-31,1997-02-16,1997-03-06,0,64232.07336
O,NONE,4,Manufacturer#4,2-HIGH,1,MACHINERY,RAIL,1,13,1998-05-18,1998-08-05,1998-05-29,1998-06-10,0,20765.28552
O,COLLECT COD,3,Manufacturer#2,2-HIGH,1,MACHINERY,REG AIR,2,7,1998-05-18,1998-06-22,1998-08-30,1998-09-25,0,70266.4664
O,NONE,4,Manufacturer#2,1-URGENT,0,AUTOMOBILE,FOB,2,11,1995-08-12,1995-11-09,1995-10-04,1995-10-19,0,36991.225344
O,TAKE BACK RETURN,1,Manufacturer#2,1-URGENT,0,AUTOMOBILE,RAIL,1,17,1995-08-12,1995-10-23,1995-12-05,1996-01-04,0,25498.82764
O,NONE,0,Manufacturer#1,1-URGENT,0,AUTOMOBILE,AIR,3,16,1995-08-12,1995-11-03,1995-09-29,1995-10-11,0,6651.319584
F,COLLECT COD,0,Manufacturer#1,5-LOW,0,HOUSEHOLD,FOB,1,16,1993-03-10,1993-05-29,1993-04-29,1993-05-05,2,24799.785
F,TAKE BACK RETURN,3,Manufacturer#1,5-LOW,0,HOUSEHOLD,RAIL,3,7,1993-03-10,1993-05-13,1993-06-11,1993-07-09,2,38495.743296
F,TAKE BACK RETURN,3,Manufacturer#4,5-LOW,0,HOUSEHOLD,REG AIR,2,22,1993-03-10,1993-06-04,1993-05-07,1993-05-08,1,22501.947
F,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,1,AUTOMOBILE,AIR,4,19,1993-09-23,1993-11-15,1993-10-10,1993-11-02,2,61465.09824
F,TAKE BACK RETURN,2,Manufacturer#2,4-NOT SPECIFIED,1,AUTOMOBILE,REG AIR,2,8,1993-09-23,1993-10-31,1993-11-08,1993-11-19,2,44244.081
F,DELIVER IN PERSON,3,Manufacturer#1,4-NOT SPECIFIED,1,AUTOMOBILE,MAIL,1,19,1993-09-23,1993-12-01,1993-11-18,1993-12-11,2,46904.7205
F,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,1,AUTOMOBILE,SHIP,3,9,1993-09-23,1993-11-06,1993-10-10,1993-11-07,1,26297.947215
F,DELIVER IN PERSON,0,Manufacturer#2,2-HIGH,0,AUTOMOBILE,RAIL,3,15,1993-07-29,1993-09-12,1993-11-02,1993-11-24,1,10315.725
F,NONE,4,Manufacturer#4,2-HIGH,0,AUTOMOBILE,TRUCK,4,4,1993-07-29,1993-09-12,1993-09-29,1993-10-17,1,2104.381056
F,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,0,AUTOMOBILE,REG AIR,2,0,1993-07-29,1993-09-08,1993-11-04,1993-11-16,2,46028.5476
F,NONE,4,Manufacturer#1,2-HIGH,0,AUTOMOBILE,MAIL,1,4,1993-07-29,1993-10-08,1993-08-26,1993-09-11,2,17905.39296
O,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,4,BUILDING,FOB,4,17,1995-08-01,1995-10-01,1995-11-19,1995-12-11,0,12700.017225
O,COLLECT COD,1,Manufacturer#3,2-HIGH,4,BUILDING,RAIL,3,3,1995-08-01,1995-09-26,1995-09-17,1995-10-05,0,1624.771566
O,COLLECT COD,4,Manufacturer#2,2-HIGH,4,BUILDING,MAIL,6,10,1995-08-01,1995-10-01,1995-08-20,1995-09-07,0,61917.234291
O,COLLECT COD,2,Manufacturer#1,2-HIGH,4,BUILDING,FOB,2,18,1995-08-01,1995-09-12,1995-09-24,1995-10-19,0,48376.212703
O,COLLECT COD,1,Manufacturer#3,2-HIGH,4,BUILDING,REG AIR,5,24,1995-08-01,1995-10-14,1995-09-04,1995-09-11,0,30356.50608
O,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,4,BUILDING,RAIL,1,4,1995-08-01,1995-10-10,1995-10-27,1995-11-22,0,6025.331712
O,COLLECT COD,2,Manufacturer#1,1-URGENT,4,BUILDING,REG AIR,2,9,1995-08-14,1995-10-08,1995-08-18,1995-08-25,0,10987.704
O,NONE,0,Manufacturer#3,1-URGENT,4,BUILDING,RAIL,1,14,1995-08-14,1995-09-22,1995-09-23,1995-10-17,0,35484.372
O,NONE,4,Manufacturer#1,3-MEDIUM,3,FURNITURE,FOB,4,20,1995-07-28,1995-09-30,1995-10-14,1995-11-09,0,30164.473872
O,COLLECT COD,3,Manufacturer#1,3-MEDIUM,3,FURNITURE,TRUCK,6,22,1995-07-28,1995-09-01,1995-08-31,1995-09-24,0,2234.049984
O,NONE,0,Manufacturer#1,3-MEDIUM,3,FURNITURE,RAIL,3,5,1995-07-28,1995-08-27,1995-11-15,1995-11-21,0,40770.96
O,NONE,2,Manufacturer#3,3-MEDIUM,3,FURNITURE,MAIL,2,9,1995-07-28,1995-10-08,1995-11-24,1995-12-15,0,6339.0276
O,COLLECT COD,2,Manufacturer#2,3-MEDIUM,3,FURNITURE,MAIL,5,18,1995-07-28,1995-10-19,1995-11-09,1995-11-14,0,37930.648455
O,TAKE BACK RETURN,1,Manufacturer#3,3-MEDIUM,3,FURNITURE,REG AIR,1,1,1995-07-28,1995-10-21,1995-08-05,1995-08-08,0,52594.126872
F,TAKE BACK RETURN,3,Manufacturer#4,1-URGENT,2,BUILDING,RAIL,1,23,1993-01-15,1993-02-27,1993-04-14,1993-04-24,1,82250.07945
F,TAKE BACK RETURN,3,Manufacturer#4,2-HIGH,1,FURNITURE,MAIL,2,7,1994-07-16,1994-09-25,1994-10-20,1994-10-27,2,17552.105376
F,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,1,FURNITURE,RAIL,4,24,1994-07-16,1994-09-07,1994-08-27,1994-09-24,2,16026.65784
F,COLLECT COD,1,Manufacturer#4,2-HIGH,1,FURNITURE,RAIL,1,24,1994-07-16,1994-08-24,1994-09-18,1994-10-06,2,26174.07975
F,COLLECT COD,3,Manufacturer#5,2-HIGH,1,FURNITURE,MAIL,3,22,1994-07-16,1994-08-15,1994-08-01,1994-08-08,2,55349.2868
O,TAKE BACK RETURN,0,Manufacturer#1,1-URGENT,1,AUTOMOBILE,MAIL,1,14,1996-12-21,1997-03-09,1997-01-24,1997-02-14,0,22765.008
O,NONE,0,Manufacturer#4,1-URGENT,1,AUTOMOBILE,RAIL,6,16,1996-12-21,1997-01-31,1997-01-25,1997-02-21,0,48189.8684
O,DELIVER IN PERSON,1,Manufacturer#5,1-URGENT,1,AUTOMOBILE,RAIL,5,3,1996-12-21,1997-03-05,1997-01-22,1997-02-18,0,20716.924412
O,NONE,3,Manufacturer#4,1-URGENT,1,AUTOMOBILE,TRUCK,2,19,1996-12-21,1997-02-02,1997-02-10,1997-02-16,0,55940.47074
O,COLLECT COD,4,Manufacturer#4,1-URGENT,1,AUTOMOBILE,MAIL,3,4,1996-12-21,1997-02-07,1997-01-10,1997-01-12,0,19288.572317
O,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,1,AUTOMOBILE,REG AIR,4,17,1996-12-21,1997-02-14,1997-02-04,1997-02-18,0,61473.917736
F,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,2,FURNITURE,MAIL,5,9,1993-11-05,1993-12-09,1994-02-25,1994-03-03,2,39873.598974
F,NONE,4,Manufacturer#4,1-URGENT,2,FURNITURE,REG AIR,4,20,1993-11-05,1994-01-06,1993-12-26,1994-01-13,1,14202.853632
F,NONE,0,Manufacturer#3,1-URGENT,2,FURNITURE,FOB,1,16,1993-11-05,1994-01-07,1993-11-24,1993-12-10,1,7870.7664
F,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,2,FURNITURE,TRUCK,3,1,1993-11-05,1993-12-16,1993-12-26,1994-01-06,2,14420.3976
F,NONE,2,Manufacturer#5,1-URGENT,2,FURNITURE,FOB,2,12,1993-11-05,1993-12-22,1994-02-18,1994-03-19,1,11505.718224
F,TAKE BACK RETURN,3,Manufacturer#5,1-URGENT,2,FURNITURE,FOB,6,7,1993-11-05,1993-12-13,1993-12-19,1994-01-18,1,59677.884
O,TAKE BACK RETURN,2,Manufacturer#2,4-NOT SPECIFIED,2,HOUSEHOLD,SHIP,1,8,1997-03-02,1997-04-19,1997-05-13,1997-06-03,0,39407.739462
O,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,MAIL,4,21,1997-03-02,1997-05-28,1997-04-10,1997-04-30,0,4635.92391
O,COLLECT COD,3,Manufacturer#1,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,3,7,1997-03-02,1997-04-18,1997-04-16,1997-05-06,0,42264.531
O,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,SHIP,2,17,1997-03-02,1997-05-05,1997-06-21,1997-07-12,0,14499.14375
O,DELIVER IN PERSON,4,Manufacturer#5,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,5,4,1997-03-02,1997-05-06,1997-04-29,1997-05-26,0,26387.893168
O,COLLECT COD,2,Manufacturer#1,2-HIGH,1,MACHINERY,MAIL,2,12,1995-09-30,1995-11-16,1996-01-22,1996-02-15,0,5339.060064
O,DELIVER IN PERSON,4,Manufacturer#5,2-HIGH,1,MACHINERY,REG AIR,1,11,1995-09-30,1995-12-16,1995-12-31,1996-01-17,0,35950.98816
F,COLLECT COD,2,Manufacturer#1,4-NOT SPECIFIED,0,MACHINERY,AIR,5,18,1993-06-30,1993-09-09,1993-09-08,1993-09-24,2,9333.961146
F,NONE,0,Manufacturer#4,4-NOT SPECIFIED,0,MACHINERY,RAIL,2,14,1993-06-30,1993-08-18,1993-08-05,1993-08-27,2,27192.80475
F,DELIVER IN PERSON,0,Manufacturer#3,4-NOT SPECIFIED,0,MACHINERY,REG AIR,4,0,1993-06-30,1993-08-18,1993-08-19,1993-09-15,1,17460.91488
F,COLLECT COD,1,Manufacturer#2,4-NOT SPECIFIED,0,MACHINERY,REG AIR,1,24,1993-06-30,1993-09-10,1993-08-18,1993-09-10,2,6222.6
F,NONE,0,Manufacturer#4,4-NOT SPECIFIED,0,MACHINERY,FOB,3,16,1993-06-30,1993-09-09,1993-10-20,1993-10-31,2,38637.155502
F,TAKE BACK RETURN,4,Manufacturer#3,4-NOT SPECIFIED,0,MACHINERY,FOB,6,10,1993-06-30,1993-08-03,1993-07-10,1993-07-28,1,25740.45276
O,TAKE BACK RETURN,4,Manufacturer#3,3-MEDIUM,2,HOUSEHOLD,FOB,3,10,1995-12-17,1996-02-04,1996-03-25,1996-04-15,0,50167.3095
O,DELIVER IN PERSON,1,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,AIR,1,2,1995-12-17,1996-02-19,1995-12-22,1995-12-29,0,25771.2408
O,NONE,1,Manufacturer#5,3-MEDIUM,2,HOUSEHOLD,REG AIR,2,24,1995-12-17,1996-01-24,1996-04-02,1996-04-23,0,9573.754112
F,TAKE BACK RETURN,4,Manufacturer#2,5-LOW,4,HOUSEHOLD,MAIL,3,10,1994-03-26,1994-05-26,1994-04-01,1994-04-08,1,30038.71392
F,COLLECT COD,3,Manufacturer#4,5-LOW,4,HOUSEHOLD,REG AIR,2,19,1994-03-26,1994-05-01,1994-07-07,1994-07-22,1,4316.80095
F,DELIVER IN PERSON,2,Manufacturer#1,5-LOW,4,HOUSEHOLD,TRUCK,1,12,1994-03-26,1994-05-21,1994-07-03,1994-08-02,2,4237.41996
F,COLLECT COD,0,Manufacturer#2,5-LOW,4,HOUSEHOLD,REG AIR,4,16,1994-03-26,1994-05-07,1994-04-19,1994-05-14,1,21832.3224
