l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,p_container,p_size,l_quantity,groupcol,aggcol
F,F,A,NONE,Manufacturer#3,1-URGENT,2,AUTOMOBILE,RAIL,3,0.03,8,Brand#31,JUMBO CAN,6,27,2,36220.851
F,F,R,NONE,Manufacturer#5,1-URGENT,2,MACHINERY,RAIL,1,0.06,12,Brand#52,LG JAR,28,36,0,39786.3936
F,F,R,DELIVER IN PERSON,Manufacturer#2,2-HIGH,2,FURNITURE,FOB,4,0.02,8,Brand#21,JUMBO CAN,49,42,2,49758.2232
F,F,R,NONE,Manufacturer#2,2-HIGH,2,FURNITURE,REG AIR,3,0.04,8,Brand#22,WRAP PKG,46,4,2,4789.7472
F,F,R,DELIVER IN PERSON,Manufacturer#3,1-URGENT,2,MACHINERY,REG AIR,1,0.06,12,Brand#35,SM PKG,2,15,0,15446.97
F,F,R,NONE,Manufacturer#3,5-LOW,2,HOUSEHOLD,RAIL,2,0.07,8,Brand#34,SM PKG,50,8,2,13462.2032
F,F,A,COLLECT COD,Manufacturer#3,5-LOW,2,HOUSEHOLD,AIR,4,0.08,8,Brand#34,SM JAR,36,19,2,21126.2976
F,F,R,DELIVER IN PERSON,Manufacturer#5,1-URGENT,2,FURNITURE,MAIL,6,0.02,18,Brand#54,WRAP BAG,15,30,3,47600.4
F,F,A,DELIVER IN PERSON,Manufacturer#4,2-HIGH,2,AUTOMOBILE,MAIL,4,0.01,21,Brand#41,WRAP CAN,30,38,4,47280.474
F,F,R,NONE,Manufacturer#2,3-MEDIUM,2,FURNITURE,RAIL,6,0.08,8,Brand#25,WRAP PACK,16,8,2,7980.988
F,F,A,COLLECT COD,Manufacturer#4,2-HIGH,2,HOUSEHOLD,FOB,6,0.01,18,Brand#43,SM CASE,1,17,3,18208.0931
F,F,A,NONE,Manufacturer#5,1-URGENT,2,HOUSEHOLD,SHIP,2,0.06,9,Brand#54,MED PACK,16,15,1,28214.703
F,F,R,TAKE BACK RETURN,Manufacturer#1,2-HIGH,2,HOUSEHOLD,FOB,4,0.04,18,Brand#14,MED CAN,23,18,3,30331.3734
F,F,A,TAKE BACK RETURN,Manufacturer#2,5-LOW,2,BUILDING,AIR,2,0.08,18,Brand#24,WRAP CAN,14,40,3,62511.456
F,F,R,COLLECT COD,Manufacturer#2,5-LOW,2,FURNITURE,MAIL,4,0.07,18,Brand#23,JUMBO BOX,26,15,3,16623
F,F,A,DELIVER IN PERSON,Manufacturer#3,4-NOT SPECIFIED,2,AUTOMOBILE,TRUCK,5,0.05,18,Brand#33,MED BAG,11,12,3,17370.36
F,F,R,NONE,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,FOB,3,0.06,8,Brand#31,JUMBO PACK,4,16,2,19777.68
F,F,A,TAKE BACK RETURN,Manufacturer#2,2-HIGH,2,BUILDING,FOB,2,0.05,18,Brand#25,JUMBO CAN,5,14,3,23811.06
F,F,A,TAKE BACK RETURN,Manufacturer#5,4-NOT SPECIFIED,2,FURNITURE,FOB,3,0.03,21,Brand#54,JUMBO JAR,1,6,4,7929.5172
F,F,R,COLLECT COD,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,AIR,1,0.07,8,Brand#52,WRAP DRUM,38,19,2,33054.3304
F,F,R,COLLECT COD,Manufacturer#2,4-NOT SPECIFIED,2,FURNITURE,AIR,6,0,18,Brand#23,SM PKG,33,31,3,48792.636
F,F,R,COLLECT COD,Manufacturer#4,1-URGENT,2,MACHINERY,MAIL,3,0.01,12,Brand#45,SM BOX,5,2,0,2421.3462
F,F,R,NONE,Manufacturer#3,3-MEDIUM,2,BUILDING,MAIL,4,0.04,21,Brand#35,LG DRUM,16,25,4,43313.5875
F,F,R,COLLECT COD,Manufacturer#1,2-HIGH,2,MACHINERY,RAIL,6,0.01,9,Brand#11,JUMBO PKG,8,16,1,18499.84
F,F,R,NONE,Manufacturer#4,1-URGENT,2,MACHINERY,REG AIR,2,0.07,8,Brand#43,MED BAG,11,12,2,18600.3216
F,F,R,NONE,Manufacturer#4,3-MEDIUM,2,MACHINERY,FOB,2,0.03,9,Brand#42,MED CAN,6,16,1,23493.576
F,F,R,NONE,Manufacturer#1,4-NOT SPECIFIED,2,AUTOMOBILE,REG AIR,2,0.03,9,Brand#12,JUMBO BOX,32,48,1,44978.8224
F,F,R,DELIVER IN PERSON,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,SHIP,4,0.05,21,Brand#11,SM BOX,22,7,4,10764.4215
F,F,R,TAKE BACK RETURN,Manufacturer#4,5-LOW,2,BUILDING,RAIL,4,0,8,Brand#45,WRAP PACK,8,6,2,5487.3216
F,F,R,NONE,Manufacturer#5,4-NOT SPECIFIED,2,MACHINERY,REG AIR,2,0.06,18,Brand#51,JUMBO DRUM,32,11,3,11203.7937
F,F,A,NONE,Manufacturer#4,1-URGENT,2,FURNITURE,FOB,1,0,18,Brand#41,LG BAG,47,26,3,24753.04
F,F,A,TAKE BACK RETURN,Manufacturer#5,5-LOW,2,MACHINERY,SHIP,2,0.04,9,Brand#51,WRAP JAR,33,16,1,16356.2784
F,F,A,DELIVER IN PERSON,Manufacturer#1,3-MEDIUM,2,HOUSEHOLD,SHIP,1,0.05,18,Brand#12,LG PKG,1,41,3,46029.716
F,F,A,TAKE BACK RETURN,Manufacturer#5,1-URGENT,2,BUILDING,MAIL,3,0.04,8,Brand#51,JUMBO BOX,24,25,2,42650.385
F,F,R,NONE,Manufacturer#5,1-URGENT,2,MACHINERY,MAIL,1,0.03,9,Brand#52,SM BOX,16,38,1,41539.6278
F,F,A,NONE,Manufacturer#4,4-NOT SPECIFIED,2,AUTOMOBILE,REG AIR,1,0.03,21,Brand#45,SM DRUM,15,26,4,32443.398
F,F,A,NONE,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,RAIL,5,0.02,21,Brand#15,LG BOX,22,5,4,9154.6
F,F,R,COLLECT COD,Manufacturer#2,3-MEDIUM,2,HOUSEHOLD,MAIL,4,0,18,Brand#21,JUMBO DRUM,32,49,3,60353.3637
F,F,R,NONE,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,RAIL,2,0.01,18,Brand#31,LG DRUM,25,47,3,67042.8304
F,F,R,NONE,Manufacturer#2,5-LOW,2,HOUSEHOLD,REG AIR,1,0.03,9,Brand#24,LG CASE,20,41,1,38095.437
F,F,R,COLLECT COD,Manufacturer#5,2-HIGH,2,HOUSEHOLD,MAIL,7,0.07,21,Brand#55,WRAP PKG,35,10,4,11075.738
F,F,A,COLLECT COD,Manufacturer#3,2-HIGH,2,BUILDING,MAIL,3,0.02,18,Brand#34,MED CASE,18,36,3,45079.7184
F,F,A,TAKE BACK RETURN,Manufacturer#1,2-HIGH,2,BUILDING,FOB,6,0.07,21,Brand#14,LG PACK,26,29,4,24920.8194
F,F,A,COLLECT COD,Manufacturer#4,1-URGENT,2,HOUSEHOLD,RAIL,2,0.01,9,Brand#41,SM BOX,39,48,1,71946.288
F,F,A,TAKE BACK RETURN,Manufacturer#2,1-URGENT,2,BUILDING,REG AIR,3,0.04,9,Brand#22,MED JAR,20,18,1,15735.9348
F,F,A,TAKE BACK RETURN,Manufacturer#4,2-HIGH,2,HOUSEHOLD,AIR,7,0.03,21,Brand#41,LG PKG,12,46,4,75588.7916
F,F,R,TAKE BACK RETURN,Manufacturer#5,5-LOW,2,FURNITURE,TRUCK,4,0,18,Brand#51,SM BOX,28,7,3,11150.328
F,F,A,DELIVER IN PERSON,Manufacturer#2,3-MEDIUM,2,HOUSEHOLD,REG AIR,2,0,12,Brand#22,JUMBO JAR,5,5,0,9043.254
F,F,R,NONE,Manufacturer#5,2-HIGH,2,MACHINERY,AIR,1,0.08,12,Brand#53,WRAP CASE,22,44,0,71999.62
F,F,R,NONE,Manufacturer#3,5-LOW,2,HOUSEHOLD,FOB,4,0.07,8,Brand#33,WRAP PKG,10,47,2,53312.805
F,F,A,DELIVER IN PERSON,Manufacturer#4,5-LOW,2,HOUSEHOLD,MAIL,6,0.06,8,Brand#44,WRAP BAG,37,48,2,48851.712
F,F,A,NONE,Manufacturer#5,1-URGENT,2,AUTOMOBILE,SHIP,3,0,8,Brand#52,WRAP CAN,33,9,2,8096.8482
F,F,A,TAKE BACK RETURN,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,SHIP,5,0.07,21,Brand#14,SM CASE,29,42,4,42960.9516
F,F,A,COLLECT COD,Manufacturer#5,4-NOT SPECIFIED,2,BUILDING,FOB,3,0.08,18,Brand#53,LG JAR,26,45,3,77910.822
F,F,A,DELIVER IN PERSON,Manufacturer#2,5-LOW,2,AUTOMOBILE,SHIP,2,0.06,21,Brand#24,MED DRUM,14,6,4,7153.62
F,F,R,TAKE BACK RETURN,Manufacturer#5,1-URGENT,2,BUILDING,MAIL,2,0.04,8,Brand#55,LG BAG,15,34,2,60087.9552
F,F,A,DELIVER IN PERSON,Manufacturer#3,4-NOT SPECIFIED,2,AUTOMOBILE,REG AIR,6,0.08,18,Brand#31,JUMBO JAR,30,26,3,38914.5484
F,F,R,NONE,Manufacturer#1,4-NOT SPECIFIED,2,BUILDING,TRUCK,1,0.03,18,Brand#13,SM DRUM,32,39,3,66594.9141
F,F,R,TAKE BACK RETURN,Manufacturer#3,3-MEDIUM,2,FURNITURE,MAIL,3,0.05,12,Brand#33,WRAP BOX,13,31,0,49770.2799
F,F,R,NONE,Manufacturer#4,3-MEDIUM,2,FURNITURE,SHIP,1,0.08,18,Brand#42,MED BAG,20,13,3,21591.4972
F,F,A,NONE,Manufacturer#4,4-NOT SPECIFIED,2,AUTOMOBILE,AIR,3,0,18,Brand#45,WRAP DRUM,5,36,3,40681.6272
F,F,R,TAKE BACK RETURN,Manufacturer#4,4-NOT SPECIFIED,2,FURNITURE,RAIL,1,0.02,12,Brand#45,JUMBO PACK,30,31,0,33831.9709
F,F,A,TAKE BACK RETURN,Manufacturer#1,1-URGENT,2,BUILDING,REG AIR,3,0.07,8,Brand#15,MED PKG,12,38,2,35092.563
F,F,R,NONE,Manufacturer#2,4-NOT SPECIFIED,2,HOUSEHOLD,REG AIR,1,0.05,9,Brand#21,LG PKG,12,40,1,46489.6
F,F,A,TAKE BACK RETURN,Manufacturer#5,3-MEDIUM,2,BUILDING,AIR,2,0.03,8,Brand#51,SM BAG,36,15,2,18771.48
F,F,A,NONE,Manufacturer#5,1-URGENT,2,FURNITURE,REG AIR,4,0.03,18,Brand#51,LG JAR,42,33,3,41989.3056
F,F,A,COLLECT COD,Manufacturer#1,5-LOW,2,MACHINERY,FOB,1,0.06,18,Brand#13,MED DRUM,26,25,3,40317.3
F,F,A,NONE,Manufacturer#4,3-MEDIUM,2,BUILDING,SHIP,3,0.07,12,Brand#41,SM BOX,18,21,0,21894.7806
F,F,A,NONE,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,MAIL,4,0.08,9,Brand#34,LG PACK,42,26,1,44102.1438
F,F,A,NONE,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,MAIL,3,0.06,12,Brand#14,WRAP DRUM,26,1,0,1634.319
F,F,A,COLLECT COD,Manufacturer#2,1-URGENT,2,MACHINERY,FOB,4,0.05,8,Brand#25,WRAP DRUM,25,3,2,4686.1068
F,F,R,COLLECT COD,Manufacturer#1,1-URGENT,2,BUILDING,MAIL,4,0.08,12,Brand#11,WRAP CAN,25,44,0,58472.172
F,F,R,COLLECT COD,Manufacturer#1,5-LOW,2,BUILDING,SHIP,1,0.01,18,Brand#15,MED PACK,2,2,3,2565.918
F,F,A,NONE,Manufacturer#5,5-LOW,2,BUILDING,FOB,2,0.05,18,Brand#54,LG BAG,38,5,3,7863.3
F,F,R,COLLECT COD,Manufacturer#5,2-HIGH,2,MACHINERY,SHIP,4,0.03,9,Brand#55,JUMBO CAN,5,46,1,50420.9772
F,F,R,NONE,Manufacturer#3,3-MEDIUM,2,BUILDING,REG AIR,1,0.03,21,Brand#32,MED BAG,11,22,4,30698.7648
F,F,A,COLLECT COD,Manufacturer#1,3-MEDIUM,2,BUILDING,AIR,2,0,21,Brand#11,MED DRUM,8,46,4,79596.1782
F,F,A,TAKE BACK RETURN,Manufacturer#3,3-MEDIUM,2,AUTOMOBILE,REG AIR,3,0.03,21,Brand#34,WRAP JAR,16,12,4,16935.498
F,F,A,TAKE BACK RETURN,Manufacturer#2,5-LOW,2,AUTOMOBILE,MAIL,2,0.02,21,Brand#25,LG PACK,11,30,4,28946.592
F,F,R,DELIVER IN PERSON,Manufacturer#2,3-MEDIUM,2,BUILDING,SHIP,1,0.03,9,Brand#24,SM PACK,29,49,1,58620.1749
F,F,A,TAKE BACK RETURN,Manufacturer#4,5-LOW,2,HOUSEHOLD,MAIL,4,0.01,12,Brand#41,SM JAR,20,17,0,18178.8922
F,F,A,DELIVER IN PERSON,Manufacturer#1,4-NOT SPECIFIED,2,BUILDING,MAIL,3,0.03,9,Brand#15,SM BOX,28,33,1,43950.4065
F,F,R,DELIVER IN PERSON,Manufacturer#1,5-LOW,2,FURNITURE,SHIP,7,0.06,18,Brand#14,MED CAN,31,23,3,38809.5974
F,F,R,DELIVER IN PERSON,Manufacturer#1,3-MEDIUM,2,HOUSEHOLD,RAIL,1,0.02,21,Brand#14,SM PKG,13,44,4,40436.352
F,F,R,DELIVER IN PERSON,Manufacturer#2,3-MEDIUM,2,BUILDING,TRUCK,2,0.08,12,Brand#21,SM JAR,18,7,0,6771.3002
F,F,R,COLLECT COD,Manufacturer#3,2-HIGH,2,HOUSEHOLD,REG AIR,2,0.03,21,Brand#35,JUMBO CASE,49,48,4,44870.5344
F,F,R,DELIVER IN PERSON,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,MAIL,3,0.01,18,Brand#35,JUMBO CAN,42,20,3,34676.4
F,F,A,COLLECT COD,Manufacturer#4,4-NOT SPECIFIED,2,HOUSEHOLD,RAIL,1,0.01,18,Brand#44,MED CAN,30,45,3,38461.428
F,F,A,NONE,Manufacturer#2,4-NOT SPECIFIED,2,HOUSEHOLD,FOB,4,0.01,18,Brand#25,JUMBO CASE,40,26,3,27668.94
F,F,A,DELIVER IN PERSON,Manufacturer#3,1-URGENT,2,AUTOMOBILE,MAIL,2,0.07,18,Brand#33,WRAP PKG,5,25,3,34101.225
F,F,R,NONE,Manufacturer#5,4-NOT SPECIFIED,2,HOUSEHOLD,MAIL,5,0.08,18,Brand#52,MED JAR,13,31,3,53737.663
F,F,R,NONE,Manufacturer#3,5-LOW,2,BUILDING,AIR,2,0,12,Brand#33,SM DRUM,6,26,0,36627.7548
F,F,A,DELIVER IN PERSON,Manufacturer#2,1-URGENT,2,MACHINERY,FOB,3,0.07,8,Brand#22,LG BAG,31,24,2,37693.3464
F,F,A,NONE,Manufacturer#1,3-MEDIUM,2,HOUSEHOLD,MAIL,1,0.08,9,Brand#12,LG CAN,9,12,1,14002.0896
F,F,A,DELIVER IN PERSON,Manufacturer#1,3-MEDIUM,2,HOUSEHOLD,FOB,2,0.07,12,Brand#12,LG JAR,44,25,0,22729.7
F,F,R,DELIVER IN PERSON,Manufacturer#3,3-MEDIUM,2,HOUSEHOLD,MAIL,3,0.06,12,Brand#32,MED BOX,8,20,0,34315.264
F,F,A,DELIVER IN PERSON,Manufacturer#3,3-MEDIUM,2,HOUSEHOLD,FOB,6,0,12,Brand#35,LG DRUM,9,5,0,7076.97
F,F,R,DELIVER IN PERSON,Manufacturer#3,5-LOW,2,AUTOMOBILE,MAIL,3,0.08,9,Brand#32,WRAP BAG,46,13,1,20719.7211
F,F,A,DELIVER IN PERSON,Manufacturer#2,2-HIGH,2,BUILDING,REG AIR,3,0.04,21,Brand#25,LG DRUM,25,2,4,1814.9992
F,F,A,COLLECT COD,Manufacturer#2,4-NOT SPECIFIED,2,FURNITURE,RAIL,4,0.07,18,Brand#23,WRAP PKG,26,32,3,52993.3536
F,F,A,TAKE BACK RETURN,Manufacturer#3,5-LOW,2,AUTOMOBILE,REG AIR,6,0,18,Brand#34,WRAP PKG,17,3,3,4648.887
F,F,R,NONE,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,AIR,7,0.06,18,Brand#12,WRAP PKG,49,9,3,7838.1576
F,F,R,NONE,Manufacturer#4,3-MEDIUM,2,AUTOMOBILE,AIR,6,0.04,12,Brand#45,MED BAG,12,42,0,65378.46
F,F,R,COLLECT COD,Manufacturer#5,2-HIGH,2,FURNITURE,FOB,2,0.05,12,Brand#52,JUMBO CAN,2,45,0,46796.715
F,F,A,NONE,Manufacturer#5,5-LOW,2,AUTOMOBILE,TRUCK,2,0.04,9,Brand#55,LG CAN,28,8,1,13189.92
F,F,A,TAKE BACK RETURN,Manufacturer#2,3-MEDIUM,2,MACHINERY,REG AIR,5,0.08,8,Brand#22,LG PACK,14,29,2,27400.5891
F,F,A,NONE,Manufacturer#3,2-HIGH,2,AUTOMOBILE,REG AIR,1,0.03,9,Brand#34,JUMBO CASE,19,1,1,1324.93
F,F,A,TAKE BACK RETURN,Manufacturer#3,1-URGENT,2,HOUSEHOLD,MAIL,3,0.01,18,Brand#32,MED DRUM,10,41,3,37720.41
F,F,A,NONE,Manufacturer#3,2-HIGH,2,AUTOMOBILE,RAIL,4,0.07,12,Brand#35,JUMBO PKG,12,26,0,30583.488
F,F,R,COLLECT COD,Manufacturer#2,4-NOT SPECIFIED,2,AUTOMOBILE,MAIL,2,0.03,21,Brand#23,JUMBO BAG,3,6,4,8459.6028
F,F,R,DELIVER IN PERSON,Manufacturer#2,4-NOT SPECIFIED,2,BUILDING,FOB,7,0.05,9,Brand#22,SM PKG,28,34,1,30887.9732
F,F,R,DELIVER IN PERSON,Manufacturer#4,3-MEDIUM,2,FURNITURE,FOB,1,0.07,18,Brand#44,MED BAG,21,23,3,40559.1936
F,F,R,COLLECT COD,Manufacturer#2,2-HIGH,2,HOUSEHOLD,AIR,2,0.02,12,Brand#22,JUMBO PACK,18,49,0,80389.89
F,F,A,TAKE BACK RETURN,Manufacturer#5,1-URGENT,2,MACHINERY,AIR,4,0.07,8,Brand#54,MED PACK,16,39,2,68912.2746
F,F,R,NONE,Manufacturer#2,1-URGENT,2,MACHINERY,AIR,2,0.08,8,Brand#22,SM BAG,36,20,2,32962.248
F,F,R,COLLECT COD,Manufacturer#4,5-LOW,2,AUTOMOBILE,SHIP,4,0.06,21,Brand#41,SM DRUM,47,13,4,21737.9136
F,F,R,COLLECT COD,Manufacturer#3,5-LOW,2,BUILDING,AIR,5,0.07,18,Brand#35,LG DRUM,11,30,3,51249.789
F,F,A,NONE,Manufacturer#3,5-LOW,2,BUILDING,AIR,4,0.04,8,Brand#34,SM BAG,26,40,2,46214.676
F,F,A,TAKE BACK RETURN,Manufacturer#2,3-MEDIUM,2,FURNITURE,FOB,5,0.05,21,Brand#25,WRAP PACK,6,5,4,5327.182
F,F,R,TAKE BACK RETURN,Manufacturer#2,2-HIGH,2,AUTOMOBILE,AIR,5,0.04,18,Brand#23,LG BAG,35,20,3,36648.612
F,F,R,NONE,Manufacturer#2,3-MEDIUM,2,MACHINERY,REG AIR,6,0,21,Brand#21,JUMBO PKG,31,49,4,75196.38
F,F,R,TAKE BACK RETURN,Manufacturer#4,2-HIGH,2,FURNITURE,TRUCK,4,0.08,18,Brand#43,WRAP PKG,1,34,3,42828.5284
F,F,R,TAKE BACK RETURN,Manufacturer#4,5-LOW,2,BUILDING,TRUCK,4,0.03,18,Brand#43,WRAP BAG,40,23,3,31160.8738
F,F,R,NONE,Manufacturer#2,3-MEDIUM,2,FURNITURE,AIR,3,0.06,12,Brand#24,MED BAG,49,45,0,52895.8575
F,F,R,TAKE BACK RETURN,Manufacturer#4,4-NOT SPECIFIED,2,BUILDING,REG AIR,5,0.08,18,Brand#42,JUMBO CAN,39,28,3,29167.5608
F,F,R,DELIVER IN PERSON,Manufacturer#5,4-NOT SPECIFIED,2,MACHINERY,RAIL,2,0,18,Brand#52,JUMBO CASE,16,46,3,71983.7118
F,F,A,DELIVER IN PERSON,Manufacturer#3,2-HIGH,2,FURNITURE,REG AIR,1,0.06,9,Brand#34,MED JAR,48,17,1,26703.8244
F,F,A,TAKE BACK RETURN,Manufacturer#3,5-LOW,2,FURNITURE,MAIL,1,0.03,8,Brand#31,LG JAR,33,42,2,46534.152
F,F,A,NONE,Manufacturer#5,2-HIGH,2,BUILDING,RAIL,3,0.02,9,Brand#55,WRAP BOX,46,39,1,38959.7832
F,F,A,COLLECT COD,Manufacturer#4,5-LOW,2,BUILDING,AIR,2,0.01,8,Brand#43,JUMBO PACK,44,20,2,31097.87
