o_orderstatus,sn_regionkey,p_mfgr,o_orderpriority,o_orderdate,l_shipinstruct,l_commitdate,cn_regionkey,l_shipdate,c_mktsegment,l_receiptdate,l_shipmode,p_retailprice,l_linenumber,l_tax,groupcol,aggcol
F,2,Manufacturer#3,1-URGENT,1993-05-06,NONE,1993-07-24,4,1993-06-09,FURNITURE,1993-07-05,TRUCK,1755.85,5,0.08,1,38628.7
F,1,Manufacturer#2,1-URGENT,1993-05-06,COLLECT COD,1993-06-11,4,1993-05-19,FURNITURE,1993-05-23,REG AIR,1047.14,2,0.06,2,27225.64
F,2,Manufacturer#4,1-URGENT,1993-05-06,NONE,1993-07-28,4,1993-06-05,FURNITURE,1993-06-08,MAIL,1750.84,7,0.04,1,28013.44
F,0,Manufacturer#5,5-LOW,1992-04-17,COLLECT COD,1992-07-11,4,1992-07-27,BUILDING,1992-08-16,RAIL,1777.87,2,0.04,2,55113.97
F,3,Manufacturer#2,5-LOW,1992-04-17,NONE,1992-05-24,4,1992-04-21,BUILDING,1992-05-09,FOB,990.08,1,0.04,1,41583.36
F,1,Manufacturer#3,5-LOW,1992-04-17,COLLECT COD,1992-05-19,4,1992-07-01,BUILDING,1992-07-15,FOB,1516.61,3,0,2,40948.47
F,4,Manufacturer#5,3-MEDIUM,1992-10-19,DELIVER IN PERSON,1992-11-20,4,1993-02-08,AUTOMOBILE,1993-03-06,MAIL,1730.83,1,0.07,1,25962.45
F,1,Manufacturer#3,1-URGENT,1994-06-19,DELIVER IN PERSON,1994-08-29,1,1994-07-03,HOUSEHOLD,1994-07-05,TRUCK,1391.49,1,0,1,58442.58
F,2,Manufacturer#1,1-URGENT,1994-06-19,COLLECT COD,1994-07-20,1,1994-09-14,HOUSEHOLD,1994-09-29,FOB,1580.68,2,0.07,2,74291.96
F,0,Manufacturer#1,1-URGENT,1994-06-19,DELIVER IN PERSON,1994-08-31,1,1994-06-26,HOUSEHOLD,1994-07-08,FOB,1192.29,4,0.03,2,33384.12
F,2,Manufacturer#1,1-URGENT,1994-06-19,TAKE BACK RETURN,1994-08-15,1,1994-09-17,HOUSEHOLD,1994-10-16,SHIP,1334.43,3,0,1,53377.2
F,3,Manufacturer#2,5-LOW,1992-07-08,NONE,1992-08-22,0,1992-09-15,BUILDING,1992-10-02,TRUCK,1398.49,2,0.03,1,47548.66
F,4,Manufacturer#3,5-LOW,1992-07-08,TAKE BACK RETURN,1992-08-28,0,1992-08-08,BUILDING,1992-08-26,SHIP,1070.17,4,0.08,1,39596.29
F,3,Manufacturer#4,5-LOW,1992-07-08,COLLECT COD,1992-09-15,0,1992-08-31,BUILDING,1992-09-27,SHIP,1214.31,3,0.04,2,20643.27
F,4,Manufacturer#4,5-LOW,1992-07-08,COLLECT COD,1992-09-21,0,1992-08-10,BUILDING,1992-09-01,TRUCK,943.04,1,0.08,1,5658.24
F,0,Manufacturer#1,5-LOW,1992-07-08,DELIVER IN PERSON,1992-08-08,0,1992-09-12,BUILDING,1992-09-27,FOB,1048.14,5,0.06,2,34588.62
F,1,Manufacturer#3,4-NOT SPECIFIED,1992-12-26,COLLECT COD,1993-02-04,0,1993-01-25,AUTOMOBILE,1993-02-18,SHIP,1050.15,5,0,1,1050.15
F,2,Manufacturer#3,4-NOT SPECIFIED,1992-12-26,DELIVER IN PERSON,1993-02-01,0,1993-02-08,AUTOMOBILE,1993-03-03,TRUCK,975.07,4,0.05,2,13650.98
F,2,Manufacturer#4,4-NOT SPECIFIED,1992-12-26,DELIVER IN PERSON,1993-02-16,0,1993-02-02,AUTOMOBILE,1993-02-16,TRUCK,1698.79,1,0.08,1,23783.06
F,2,Manufacturer#4,4-NOT SPECIFIED,1992-12-26,TAKE BACK RETURN,1993-02-14,0,1993-02-12,AUTOMOBILE,1993-02-15,REG AIR,1578.67,2,0.02,2,28416.06
F,4,Manufacturer#3,4-NOT SPECIFIED,1992-12-26,NONE,1993-03-03,0,1993-02-27,AUTOMOBILE,1993-03-07,FOB,1667.76,3,0.04,1,1667.76
F,1,Manufacturer#1,1-URGENT,1993-02-09,TAKE BACK RETURN,1993-04-20,1,1993-03-29,AUTOMOBILE,1993-04-21,FOB,1289.38,7,0.02,1,25787.6
F,1,Manufacturer#1,1-URGENT,1993-02-09,TAKE BACK RETURN,1993-03-16,1,1993-03-18,AUTOMOBILE,1993-03-22,FOB,1109.2,6,0.05,1,28839.2
F,3,Manufacturer#2,1-URGENT,1993-02-09,TAKE BACK RETURN,1993-04-20,1,1993-05-09,AUTOMOBILE,1993-05-14,AIR,1006.1,1,0.05,2,20122
F,3,Manufacturer#5,1-URGENT,1993-02-09,NONE,1993-04-29,1,1993-05-17,AUTOMOBILE,1993-05-19,RAIL,1166.26,3,0.04,2,23325.2
F,1,Manufacturer#4,1-URGENT,1993-02-09,NONE,1993-04-24,1,1993-05-15,AUTOMOBILE,1993-06-09,AIR,1325.42,5,0.01,1,2650.84
F,4,Manufacturer#2,1-URGENT,1993-02-09,DELIVER IN PERSON,1993-05-02,1,1993-04-14,AUTOMOBILE,1993-05-03,MAIL,1564.66,2,0.08,2,45375.14
F,1,Manufacturer#3,1-URGENT,1993-02-09,COLLECT COD,1993-04-12,1,1993-05-09,AUTOMOBILE,1993-05-10,FOB,1578.67,4,0.02,1,50517.44
F,4,Manufacturer#1,4-NOT SPECIFIED,1992-05-09,NONE,1992-06-09,2,1992-08-20,MACHINERY,1992-09-07,SHIP,1622.72,1,0.08,2,12981.76
F,1,Manufacturer#1,4-NOT SPECIFIED,1992-05-09,TAKE BACK RETURN,1992-06-18,2,1992-06-26,MACHINERY,1992-07-05,REG AIR,1552.65,4,0.02,2,60553.35
F,1,Manufacturer#1,4-NOT SPECIFIED,1992-05-09,COLLECT COD,1992-07-28,2,1992-06-22,MACHINERY,1992-07-09,MAIL,915.01,2,0.02,1,7320.08
F,2,Manufacturer#5,4-NOT SPECIFIED,1992-05-09,COLLECT COD,1992-08-07,2,1992-06-07,MACHINERY,1992-06-17,RAIL,912.01,3,0.08,1,32832.36
F,2,Manufacturer#3,1-URGENT,1993-06-18,NONE,1993-07-26,2,1993-07-12,BUILDING,1993-07-30,MAIL,1634.73,1,0.06,1,76832.31
F,3,Manufacturer#5,1-URGENT,1993-06-18,COLLECT COD,1993-08-18,2,1993-08-29,BUILDING,1993-09-27,FOB,1132.23,2,0.01,1,29437.98
F,2,Manufacturer#2,1-URGENT,1993-06-18,NONE,1993-08-01,2,1993-10-01,BUILDING,1993-10-14,REG AIR,926.02,4,0,1,3704.08
F,4,Manufacturer#2,1-URGENT,1993-06-18,TAKE BACK RETURN,1993-08-17,2,1993-07-04,BUILDING,1993-07-20,TRUCK,1838.93,3,0.02,1,12872.51
O,4,Manufacturer#4,1-URGENT,1998-04-15,NONE,1998-06-08,4,1998-08-05,MACHINERY,1998-09-01,FOB,1374.47,2,0.04,0,10995.76
O,1,Manufacturer#3,1-URGENT,1998-04-15,NONE,1998-06-09,4,1998-07-15,MACHINERY,1998-08-08,SHIP,1067.16,3,0.06,0,24544.68
O,3,Manufacturer#4,1-URGENT,1998-04-15,TAKE BACK RETURN,1998-05-26,4,1998-04-30,MACHINERY,1998-05-11,MAIL,966.06,1,0,0,32846.04
O,3,Manufacturer#4,3-MEDIUM,1996-10-22,TAKE BACK RETURN,1996-12-30,4,1996-12-27,AUTOMOBILE,1997-01-19,MAIL,1620.72,3,0.02,0,40518
O,0,Manufacturer#1,3-MEDIUM,1996-10-22,DELIVER IN PERSON,1996-12-02,4,1997-01-05,AUTOMOBILE,1997-01-07,TRUCK,1569.66,1,0.03,0,73774.02
O,3,Manufacturer#3,3-MEDIUM,1996-10-22,DELIVER IN PERSON,1996-11-27,4,1996-10-31,AUTOMOBILE,1996-11-21,AIR,1766.86,2,0.07,0,7067.44
O,1,Manufacturer#5,1-URGENT,1996-06-23,TAKE BACK RETURN,1996-09-18,2,1996-09-22,FURNITURE,1996-10-01,FOB,1665.76,1,0.06,0,18323.36
O,0,Manufacturer#1,1-URGENT,1996-06-23,NONE,1996-09-03,2,1996-09-13,FURNITURE,1996-10-03,MAIL,1345.44,2,0.06,0,59199.36
O,3,Manufacturer#1,1-URGENT,1996-06-23,NONE,1996-08-02,2,1996-06-28,FURNITURE,1996-07-14,RAIL,1742.84,3,0.06,0,6971.36
O,0,Manufacturer#5,2-HIGH,1996-02-28,COLLECT COD,1996-05-11,2,1996-05-10,BUILDING,1996-05-19,REG AIR,1246.34,2,0.04,0,29912.16
O,1,Manufacturer#4,2-HIGH,1996-02-28,DELIVER IN PERSON,1996-05-02,2,1996-03-16,BUILDING,1996-03-19,SHIP,1011.11,1,0.04,0,9099.99
O,0,Manufacturer#2,5-LOW,1998-07-07,TAKE BACK RETURN,1998-09-09,1,1998-08-16,AUTOMOBILE,1998-09-06,REG AIR,1651.75,1,0.05,0,67721.75
F,1,Manufacturer#4,3-MEDIUM,1992-05-08,COLLECT COD,1992-06-28,3,1992-08-22,FURNITURE,1992-09-19,FOB,938.03,5,0.02,1,4690.15
F,2,Manufacturer#2,3-MEDIUM,1992-05-08,DELIVER IN PERSON,1992-06-20,3,1992-06-13,FURNITURE,1992-06-15,MAIL,1615.71,2,0,1,29082.78
F,0,Manufacturer#3,3-MEDIUM,1992-05-08,COLLECT COD,1992-07-23,3,1992-08-28,FURNITURE,1992-09-01,MAIL,1483.58,1,0,2,23737.28
F,1,Manufacturer#2,3-MEDIUM,1992-05-08,NONE,1992-07-13,3,1992-07-30,FURNITURE,1992-08-12,RAIL,1086.18,4,0.07,2,31499.22
F,0,Manufacturer#4,3-MEDIUM,1992-05-08,COLLECT COD,1992-07-02,3,1992-07-26,FURNITURE,1992-08-14,RAIL,1577.67,3,0.04,2,39441.75
F,4,Manufacturer#2,3-MEDIUM,1992-05-08,TAKE BACK RETURN,1992-07-23,3,1992-05-12,FURNITURE,1992-05-21,TRUCK,1722.82,6,0.01,2,37902.04
O,3,Manufacturer#5,4-NOT SPECIFIED,1997-03-02,COLLECT COD,1997-04-18,1,1997-03-19,HOUSEHOLD,1997-04-08,MAIL,1512.61,3,0.07,0,74117.89
O,1,Manufacturer#5,4-NOT SPECIFIED,1997-03-02,DELIVER IN PERSON,1997-05-24,1,1997-03-16,HOUSEHOLD,1997-03-31,FOB,1818.91,2,0.08,0,32740.38
O,3,Manufacturer#5,4-NOT SPECIFIED,1997-03-02,TAKE BACK RETURN,1997-05-12,1,1997-06-07,HOUSEHOLD,1997-06-21,AIR,1276.37,5,0.01,0,37014.73
O,4,Manufacturer#2,4-NOT SPECIFIED,1997-03-02,DELIVER IN PERSON,1997-04-17,1,1997-05-06,HOUSEHOLD,1997-05-28,REG AIR,992.09,4,0.06,0,40675.69
O,1,Manufacturer#1,4-NOT SPECIFIED,1997-03-02,TAKE BACK RETURN,1997-05-23,1,1997-03-24,HOUSEHOLD,1997-04-18,MAIL,1548.64,1,0,0,54202.4
F,4,Manufacturer#1,5-LOW,1993-09-22,NONE,1993-11-11,3,1993-12-02,HOUSEHOLD,1993-12-05,SHIP,1321.42,1,0.03,2,11892.78
O,3,Manufacturer#4,5-LOW,1997-02-28,COLLECT COD,1997-05-10,4,1997-06-11,FURNITURE,1997-07-06,FOB,1732.83,3,0.08,0,55450.56
O,4,Manufacturer#1,5-LOW,1997-02-28,TAKE BACK RETURN,1997-05-10,4,1997-04-12,FURNITURE,1997-05-03,AIR,1321.42,2,0.03,0,47571.12
O,2,Manufacturer#2,5-LOW,1997-02-28,NONE,1997-05-09,4,1997-03-20,FURNITURE,1997-04-18,FOB,1180.27,4,0,0,3540.81
O,2,Manufacturer#5,5-LOW,1997-02-28,NONE,1997-04-24,4,1997-03-17,FURNITURE,1997-04-09,MAIL,1657.75,5,0.01,0,49732.5
O,3,Manufacturer#2,5-LOW,1997-02-28,COLLECT COD,1997-04-16,4,1997-06-22,FURNITURE,1997-07-21,FOB,1722.82,1,0.06,0,10336.92
F,2,Manufacturer#5,1-URGENT,1993-07-08,TAKE BACK RETURN,1993-09-20,3,1993-08-25,FURNITURE,1993-09-12,MAIL,1104.2,1,0.06,2,51897.4
F,0,Manufacturer#2,1-URGENT,1993-07-08,TAKE BACK RETURN,1993-09-28,3,1993-07-09,FURNITURE,1993-07-26,RAIL,1227.32,3,0.04,1,29455.68
F,3,Manufacturer#2,1-URGENT,1993-07-08,TAKE BACK RETURN,1993-09-11,3,1993-07-11,FURNITURE,1993-07-20,FOB,1539.63,2,0.02,1,64664.46
O,4,Manufacturer#5,3-MEDIUM,1997-11-23,COLLECT COD,1998-01-26,3,1998-01-01,HOUSEHOLD,1998-01-14,TRUCK,1751.85,1,0.08,0,80585.1
F,4,Manufacturer#2,4-NOT SPECIFIED,1993-12-19,TAKE BACK RETURN,1994-03-17,3,1994-03-04,AUTOMOBILE,1994-03-12,RAIL,1900.99,1,0.04,2,17108.91
F,1,Manufacturer#3,4-NOT SPECIFIED,1993-12-19,COLLECT COD,1994-01-31,3,1994-02-23,AUTOMOBILE,1994-02-25,FOB,1246.34,4,0,1,18695.1
F,0,Manufacturer#2,4-NOT SPECIFIED,1993-12-19,COLLECT COD,1994-03-18,3,1994-01-08,AUTOMOBILE,1994-02-02,MAIL,1301.4,5,0.08,2,48151.8
F,2,Manufacturer#4,4-NOT SPECIFIED,1993-12-19,COLLECT COD,1994-03-14,3,1994-04-06,AUTOMOBILE,1994-05-04,RAIL,951.05,3,0.02,1,28531.5
F,3,Manufacturer#5,4-NOT SPECIFIED,1993-12-19,COLLECT COD,1994-03-09,3,1994-01-26,AUTOMOBILE,1994-02-21,AIR,1166.26,2,0,2,12828.86
F,0,Manufacturer#1,4-NOT SPECIFIED,1993-12-19,NONE,1994-02-17,3,1994-01-17,AUTOMOBILE,1994-01-24,MAIL,958.05,6,0.05,1,36405.9
F,3,Manufacturer#2,1-URGENT,1993-02-05,DELIVER IN PERSON,1993-03-31,3,1993-04-30,HOUSEHOLD,1993-05-02,REG AIR,1070.16,1,0.04,2,46016.88
F,1,Manufacturer#3,1-URGENT,1993-02-05,COLLECT COD,1993-04-16,3,1993-05-07,HOUSEHOLD,1993-06-02,RAIL,1822.92,2,0.04,1,67448.04
F,0,Manufacturer#1,1-URGENT,1992-08-01,COLLECT COD,1992-10-29,3,1992-10-24,HOUSEHOLD,1992-11-15,MAIL,1023.12,2,0.08,2,20462.4
F,0,Manufacturer#5,1-URGENT,1992-08-01,NONE,1992-10-25,3,1992-10-01,HOUSEHOLD,1992-10-31,AIR,1072.17,1,0.04,2,37525.95
O,2,Manufacturer#3,3-MEDIUM,1996-11-02,NONE,1996-12-31,1,1997-02-16,FURNITURE,1997-03-06,FOB,1400.49,1,0.04,0,63022.05
O,4,Manufacturer#4,2-HIGH,1998-05-18,NONE,1998-08-05,1,1998-05-29,MACHINERY,1998-06-10,RAIL,1504.6,1,0.06,0,21064.4
O,3,Manufacturer#2,2-HIGH,1998-05-18,COLLECT COD,1998-06-22,1,1998-08-30,MACHINERY,1998-09-25,REG AIR,1437.53,2,0.04,0,67563.91
O,4,Manufacturer#2,1-URGENT,1995-08-12,NONE,1995-11-09,0,1995-10-04,AUTOMOBILE,1995-10-19,FOB,1069.16,2,0.06,0,36351.44
O,1,Manufacturer#2,1-URGENT,1995-08-12,TAKE BACK RETURN,1995-10-23,0,1995-12-05,AUTOMOBILE,1996-01-04,RAIL,1022.12,1,0.01,0,26575.12
O,0,Manufacturer#1,1-URGENT,1995-08-12,NONE,1995-11-03,0,1995-09-29,AUTOMOBILE,1995-10-11,AIR,993.09,3,0.04,0,6951.63
F,0,Manufacturer#1,5-LOW,1993-03-10,COLLECT COD,1993-05-29,0,1993-04-29,HOUSEHOLD,1993-05-05,FOB,1758.85,1,0,2,26382.75
F,3,Manufacturer#1,5-LOW,1993-03-10,TAKE BACK RETURN,1993-05-13,0,1993-06-11,HOUSEHOLD,1993-07-09,RAIL,1384.48,3,0.02,2,40149.92
F,3,Manufacturer#4,5-LOW,1993-03-10,TAKE BACK RETURN,1993-06-04,0,1993-05-07,HOUSEHOLD,1993-05-08,REG AIR,911.01,2,0,1,23686.26
F,3,Manufacturer#5,4-NOT SPECIFIED,1993-09-23,TAKE BACK RETURN,1993-11-15,1,1993-10-10,AUTOMOBILE,1993-11-02,AIR,1786.88,4,0.08,2,62540.8
F,2,Manufacturer#2,4-NOT SPECIFIED,1993-09-23,TAKE BACK RETURN,1993-10-31,1,1993-11-08,AUTOMOBILE,1993-11-19,REG AIR,1239.33,2,0.05,2,42137.22
F,3,Manufacturer#1,4-NOT SPECIFIED,1993-09-23,DELIVER IN PERSON,1993-12-01,1,1993-11-18,AUTOMOBILE,1993-12-11,MAIL,1592.69,1,0,2,49373.39
F,2,Manufacturer#4,4-NOT SPECIFIED,1993-09-23,DELIVER IN PERSON,1993-11-06,1,1993-10-10,AUTOMOBILE,1993-11-07,SHIP,1015.11,3,0.01,1,27407.97
F,0,Manufacturer#2,2-HIGH,1993-07-29,DELIVER IN PERSON,1993-09-12,0,1993-11-02,AUTOMOBILE,1993-11-24,RAIL,1403.5,3,0.05,1,9824.5
F,4,Manufacturer#4,2-HIGH,1993-07-29,NONE,1993-09-12,0,1993-09-29,AUTOMOBILE,1993-10-17,TRUCK,1085.18,4,0.01,1,2170.36
F,0,Manufacturer#3,2-HIGH,1993-07-29,TAKE BACK RETURN,1993-09-08,0,1993-11-04,AUTOMOBILE,1993-11-16,REG AIR,1323.42,2,0,2,48966.54
F,4,Manufacturer#1,2-HIGH,1993-07-29,NONE,1993-10-08,0,1993-08-26,AUTOMOBILE,1993-09-11,MAIL,1183.28,1,0.04,2,17749.2
O,1,Manufacturer#5,2-HIGH,1995-08-01,DELIVER IN PERSON,1995-10-01,4,1995-11-19,BUILDING,1995-12-11,FOB,1857.95,4,0.05,0,13005.65
O,1,Manufacturer#3,2-HIGH,1995-08-01,COLLECT COD,1995-09-26,4,1995-09-17,BUILDING,1995-10-05,RAIL,1712.81,3,0.02,0,1712.81
O,4,Manufacturer#2,2-HIGH,1995-08-01,COLLECT COD,1995-10-01,4,1995-08-20,BUILDING,1995-09-07,MAIL,1877.97,6,0.03,0,61973.01
O,2,Manufacturer#1,2-HIGH,1995-08-01,COLLECT COD,1995-09-12,4,1995-09-24,BUILDING,1995-10-19,FOB,1074.17,2,0.01,0,52634.33
O,1,Manufacturer#3,2-HIGH,1995-08-01,COLLECT COD,1995-10-14,4,1995-09-04,BUILDING,1995-09-11,REG AIR,1364.46,5,0.03,0,32747.04
O,4,Manufacturer#1,2-HIGH,1995-08-01,DELIVER IN PERSON,1995-10-10,4,1995-10-27,BUILDING,1995-11-22,RAIL,1544.64,1,0.06,0,6178.56
O,2,Manufacturer#1,1-URGENT,1995-08-14,COLLECT COD,1995-10-08,4,1995-08-18,BUILDING,1995-08-25,REG AIR,1760.85,2,0.04,0,10565.1
O,0,Manufacturer#3,1-URGENT,1995-08-14,NONE,1995-09-22,4,1995-09-23,BUILDING,1995-10-17,RAIL,1706.8,1,0.05,0,37549.6
O,4,Manufacturer#1,3-MEDIUM,1995-07-28,NONE,1995-09-30,3,1995-10-14,FURNITURE,1995-11-09,FOB,1236.33,4,0.02,0,32144.58
O,3,Manufacturer#1,3-MEDIUM,1995-07-28,COLLECT COD,1995-09-01,3,1995-08-31,FURNITURE,1995-09-24,TRUCK,1124.22,6,0.08,0,2248.44
O,0,Manufacturer#1,3-MEDIUM,1995-07-28,NONE,1995-08-27,3,1995-11-15,FURNITURE,1995-11-21,RAIL,1698.79,3,0,0,40770.96
O,2,Manufacturer#3,3-MEDIUM,1995-07-28,NONE,1995-10-08,3,1995-11-24,FURNITURE,1995-12-15,MAIL,1089.18,2,0,0,6535.08
O,2,Manufacturer#2,3-MEDIUM,1995-07-28,COLLECT COD,1995-10-19,3,1995-11-09,FURNITURE,1995-11-14,MAIL,1339.43,5,0.05,0,38843.47
O,1,Manufacturer#3,3-MEDIUM,1995-07-28,TAKE BACK RETURN,1995-10-21,3,1995-08-05,FURNITURE,1995-08-08,REG AIR,1067.16,1,0.07,0,50156.52
F,3,Manufacturer#4,1-URGENT,1993-01-15,TAKE BACK RETURN,1993-02-27,2,1993-04-14,BUILDING,1993-04-24,RAIL,1682.78,1,0.05,1,82456.22
F,3,Manufacturer#4,2-HIGH,1994-07-16,TAKE BACK RETURN,1994-09-25,1,1994-10-20,FURNITURE,1994-10-27,MAIL,1314.41,2,0.07,2,17087.33
F,1,Manufacturer#4,2-HIGH,1994-07-16,DELIVER IN PERSON,1994-09-07,1,1994-08-27,FURNITURE,1994-09-24,RAIL,1578.67,4,0.08,2,15786.7
F,1,Manufacturer#4,2-HIGH,1994-07-16,COLLECT COD,1994-08-24,1,1994-09-18,FURNITURE,1994-10-06,RAIL,1658.75,1,0.02,2,28198.75
F,3,Manufacturer#5,2-HIGH,1994-07-16,COLLECT COD,1994-08-15,1,1994-08-01,FURNITURE,1994-08-08,MAIL,1731.83,3,0,2,58882.22
O,0,Manufacturer#1,1-URGENT,1996-12-21,TAKE BACK RETURN,1997-03-09,1,1997-01-24,AUTOMOBILE,1997-02-14,MAIL,1548.64,1,0.05,0,21680.96
O,0,Manufacturer#4,1-URGENT,1996-12-21,NONE,1997-01-31,1,1997-01-25,AUTOMOBILE,1997-02-21,RAIL,1567.66,6,0.06,0,45462.14
O,1,Manufacturer#5,1-URGENT,1996-12-21,DELIVER IN PERSON,1997-03-05,1,1997-01-22,AUTOMOBILE,1997-02-18,RAIL,915.01,5,0.07,0,21045.23
O,3,Manufacturer#4,1-URGENT,1996-12-21,NONE,1997-02-02,1,1997-02-10,AUTOMOBILE,1997-02-16,TRUCK,1252.35,2,0.06,0,53851.05
O,4,Manufacturer#4,1-URGENT,1996-12-21,COLLECT COD,1997-02-07,1,1997-01-10,AUTOMOBILE,1997-01-12,MAIL,1093.19,3,0.07,0,18584.23
O,1,Manufacturer#1,1-URGENT,1996-12-21,TAKE BACK RETURN,1997-02-14,1,1997-02-04,AUTOMOBILE,1997-02-18,REG AIR,1323.42,4,0.02,0,60877.32
F,2,Manufacturer#1,1-URGENT,1993-11-05,TAKE BACK RETURN,1993-12-09,2,1994-02-25,FURNITURE,1994-03-03,MAIL,1716.81,5,0.02,2,39486.63
F,4,Manufacturer#4,1-URGENT,1993-11-05,NONE,1994-01-06,2,1993-12-26,FURNITURE,1994-01-13,REG AIR,1245.34,4,0.08,1,13698.74
F,0,Manufacturer#3,1-URGENT,1993-11-05,NONE,1994-01-07,2,1993-11-24,FURNITURE,1993-12-10,FOB,1561.66,1,0.05,1,7808.3
F,1,Manufacturer#3,1-URGENT,1993-11-05,TAKE BACK RETURN,1993-12-16,2,1993-12-26,FURNITURE,1994-01-06,TRUCK,1483.58,3,0.08,2,14835.8
F,2,Manufacturer#5,1-URGENT,1993-11-05,NONE,1993-12-22,2,1994-02-18,FURNITURE,1994-03-19,FOB,1612.71,2,0.04,1,11288.97
F,3,Manufacturer#5,1-URGENT,1993-11-05,TAKE BACK RETURN,1993-12-13,2,1993-12-19,FURNITURE,1994-01-18,FOB,1503.6,6,0.05,1,63151.2
O,2,Manufacturer#2,4-NOT SPECIFIED,1997-03-02,TAKE BACK RETURN,1997-04-19,2,1997-05-13,HOUSEHOLD,1997-06-03,SHIP,1480.57,1,0.06,0,39975.39
O,2,Manufacturer#3,4-NOT SPECIFIED,1997-03-02,COLLECT COD,1997-05-28,2,1997-04-10,HOUSEHOLD,1997-04-30,MAIL,928.02,4,0.03,0,4640.1
O,3,Manufacturer#1,4-NOT SPECIFIED,1997-03-02,COLLECT COD,1997-04-18,2,1997-04-16,HOUSEHOLD,1997-05-06,AIR,1647.74,3,0,0,44488.98
O,1,Manufacturer#3,4-NOT SPECIFIED,1997-03-02,DELIVER IN PERSON,1997-05-05,2,1997-06-21,HOUSEHOLD,1997-07-12,SHIP,1156.25,2,0.06,0,15031.25
O,4,Manufacturer#5,4-NOT SPECIFIED,1997-03-02,DELIVER IN PERSON,1997-05-06,2,1997-04-29,HOUSEHOLD,1997-05-26,AIR,1693.79,5,0.07,0,27100.64
O,2,Manufacturer#1,2-HIGH,1995-09-30,COLLECT COD,1995-11-16,1,1996-01-22,MACHINERY,1996-02-15,MAIL,920.02,2,0.04,0,5520.12
O,4,Manufacturer#5,2-HIGH,1995-09-30,DELIVER IN PERSON,1995-12-16,1,1995-12-31,MACHINERY,1996-01-17,REG AIR,1817.91,1,0.03,0,36358.2
F,2,Manufacturer#1,4-NOT SPECIFIED,1993-06-30,COLLECT COD,1993-09-09,0,1993-09-08,MACHINERY,1993-09-24,AIR,1071.17,5,0.03,2,9640.53
F,0,Manufacturer#4,4-NOT SPECIFIED,1993-06-30,NONE,1993-08-18,0,1993-08-05,MACHINERY,1993-08-27,RAIL,1650.75,2,0.02,2,28062.75
F,0,Manufacturer#3,4-NOT SPECIFIED,1993-06-30,DELIVER IN PERSON,1993-08-18,0,1993-08-19,MACHINERY,1993-09-15,REG AIR,1126.22,4,0.02,1,18019.52
