o_orderstatus,sn_regionkey,p_mfgr,o_orderpriority,o_orderdate,l_shipinstruct,l_commitdate,cn_regionkey,l_shipdate,c_mktsegment,l_receiptdate,l_shipmode,p_retailprice,l_linenumber,l_tax,groupcol,aggcol
F,3,Manufacturer#5,4-NOT SPECIFIED,1993-12-19,COLLECT COD,1994-03-09,3,1994-01-26,AUTOMOBILE,1994-02-21,AIR,1166.26,2,0,2,12443.9942
F,0,Manufacturer#1,4-NOT SPECIFIED,1993-12-19,NONE,1994-02-17,3,1994-01-17,AUTOMOBILE,1994-01-24,MAIL,958.05,6,0.05,1,33129.369
F,3,Manufacturer#2,1-URGENT,1993-02-05,DELIVER IN PERSON,1993-03-31,3,1993-04-30,HOUSEHOLD,1993-05-02,REG AIR,1070.16,1,0.04,2,42335.5296
F,1,Manufacturer#3,1-URGENT,1993-02-05,COLLECT COD,1993-04-16,3,1993-05-07,HOUSEHOLD,1993-06-02,RAIL,1822.92,2,0.04,1,64750.1184
F,0,Manufacturer#1,1-URGENT,1992-08-01,COLLECT COD,1992-10-29,3,1992-10-24,HOUSEHOLD,1992-11-15,MAIL,1023.12,2,0.08,2,20053.152
F,0,Manufacturer#5,1-URGENT,1992-08-01,NONE,1992-10-25,3,1992-10-01,HOUSEHOLD,1992-10-31,AIR,1072.17,1,0.04,2,36400.1715
O,2,Manufacturer#3,3-MEDIUM,1996-11-02,NONE,1996-12-31,1,1997-02-16,FURNITURE,1997-03-06,FOB,1400.49,1,0.04,0,61761.609
O,4,Manufacturer#4,2-HIGH,1998-05-18,NONE,1998-08-05,1,1998-05-29,MACHINERY,1998-06-10,RAIL,1504.6,1,0.06,0,19589.892
O,3,Manufacturer#2,2-HIGH,1998-05-18,COLLECT COD,1998-06-22,1,1998-08-30,MACHINERY,1998-09-25,REG AIR,1437.53,2,0.04,0,67563.91
O,4,Manufacturer#2,1-URGENT,1995-08-12,NONE,1995-11-09,0,1995-10-04,AUTOMOBILE,1995-10-19,FOB,1069.16,2,0.06,0,34897.3824
O,1,Manufacturer#2,1-URGENT,1995-08-12,TAKE BACK RETURN,1995-10-23,0,1995-12-05,AUTOMOBILE,1996-01-04,RAIL,1022.12,1,0.01,0,25246.364
O,0,Manufacturer#1,1-URGENT,1995-08-12,NONE,1995-11-03,0,1995-09-29,AUTOMOBILE,1995-10-11,AIR,993.09,3,0.04,0,6395.4996
F,0,Manufacturer#1,5-LOW,1993-03-10,COLLECT COD,1993-05-29,0,1993-04-29,HOUSEHOLD,1993-05-05,FOB,1758.85,1,0,2,24799.785
F,3,Manufacturer#1,5-LOW,1993-03-10,TAKE BACK RETURN,1993-05-13,0,1993-06-11,HOUSEHOLD,1993-07-09,RAIL,1384.48,3,0.02,2,37740.9248
F,3,Manufacturer#4,5-LOW,1993-03-10,TAKE BACK RETURN,1993-06-04,0,1993-05-07,HOUSEHOLD,1993-05-08,REG AIR,911.01,2,0,1,22501.947
F,3,Manufacturer#5,4-NOT SPECIFIED,1993-09-23,TAKE BACK RETURN,1993-11-15,1,1993-10-10,AUTOMOBILE,1993-11-02,AIR,1786.88,4,0.08,2,56912.128
F,2,Manufacturer#2,4-NOT SPECIFIED,1993-09-23,TAKE BACK RETURN,1993-10-31,1,1993-11-08,AUTOMOBILE,1993-11-19,REG AIR,1239.33,2,0.05,2,42137.22
F,3,Manufacturer#1,4-NOT SPECIFIED,1993-09-23,DELIVER IN PERSON,1993-12-01,1,1993-11-18,AUTOMOBILE,1993-12-11,MAIL,1592.69,1,0,2,46904.7205
F,2,Manufacturer#4,4-NOT SPECIFIED,1993-09-23,DELIVER IN PERSON,1993-11-06,1,1993-10-10,AUTOMOBILE,1993-11-07,SHIP,1015.11,3,0.01,1,26037.5715
F,0,Manufacturer#2,2-HIGH,1993-07-29,DELIVER IN PERSON,1993-09-12,0,1993-11-02,AUTOMOBILE,1993-11-24,RAIL,1403.5,3,0.05,1,9824.5
F,4,Manufacturer#4,2-HIGH,1993-07-29,NONE,1993-09-12,0,1993-09-29,AUTOMOBILE,1993-10-17,TRUCK,1085.18,4,0.01,1,2083.5456
F,0,Manufacturer#3,2-HIGH,1993-07-29,TAKE BACK RETURN,1993-09-08,0,1993-11-04,AUTOMOBILE,1993-11-16,REG AIR,1323.42,2,0,2,46028.5476
F,4,Manufacturer#1,2-HIGH,1993-07-29,NONE,1993-10-08,0,1993-08-26,AUTOMOBILE,1993-09-11,MAIL,1183.28,1,0.04,2,17216.724
O,1,Manufacturer#5,2-HIGH,1995-08-01,DELIVER IN PERSON,1995-10-01,4,1995-11-19,BUILDING,1995-12-11,FOB,1857.95,4,0.05,0,12095.2545
O,1,Manufacturer#3,2-HIGH,1995-08-01,COLLECT COD,1995-09-26,4,1995-09-17,BUILDING,1995-10-05,RAIL,1712.81,3,0.02,0,1592.9133
O,4,Manufacturer#2,2-HIGH,1995-08-01,COLLECT COD,1995-10-01,4,1995-08-20,BUILDING,1995-09-07,MAIL,1877.97,6,0.03,0,60113.8197
O,2,Manufacturer#1,2-HIGH,1995-08-01,COLLECT COD,1995-09-12,4,1995-09-24,BUILDING,1995-10-19,FOB,1074.17,2,0.01,0,47897.2403
O,1,Manufacturer#3,2-HIGH,1995-08-01,COLLECT COD,1995-10-14,4,1995-09-04,BUILDING,1995-09-11,REG AIR,1364.46,5,0.03,0,29472.336
O,4,Manufacturer#1,2-HIGH,1995-08-01,DELIVER IN PERSON,1995-10-10,4,1995-10-27,BUILDING,1995-11-22,RAIL,1544.64,1,0.06,0,5684.2752
O,2,Manufacturer#1,1-URGENT,1995-08-14,COLLECT COD,1995-10-08,4,1995-08-18,BUILDING,1995-08-25,REG AIR,1760.85,2,0.04,0,10565.1
O,0,Manufacturer#3,1-URGENT,1995-08-14,NONE,1995-09-22,4,1995-09-23,BUILDING,1995-10-17,RAIL,1706.8,1,0.05,0,33794.64
O,4,Manufacturer#1,3-MEDIUM,1995-07-28,NONE,1995-09-30,3,1995-10-14,FURNITURE,1995-11-09,FOB,1236.33,4,0.02,0,29573.0136
O,3,Manufacturer#1,3-MEDIUM,1995-07-28,COLLECT COD,1995-09-01,3,1995-08-31,FURNITURE,1995-09-24,TRUCK,1124.22,6,0.08,0,2068.5648
O,0,Manufacturer#1,3-MEDIUM,1995-07-28,NONE,1995-08-27,3,1995-11-15,FURNITURE,1995-11-21,RAIL,1698.79,3,0,0,40770.96
O,2,Manufacturer#3,3-MEDIUM,1995-07-28,NONE,1995-10-08,3,1995-11-24,FURNITURE,1995-12-15,MAIL,1089.18,2,0,0,6339.0276
O,2,Manufacturer#2,3-MEDIUM,1995-07-28,COLLECT COD,1995-10-19,3,1995-11-09,FURNITURE,1995-11-14,MAIL,1339.43,5,0.05,0,36124.4271
O,1,Manufacturer#3,3-MEDIUM,1995-07-28,TAKE BACK RETURN,1995-10-21,3,1995-08-05,FURNITURE,1995-08-08,REG AIR,1067.16,1,0.07,0,49153.3896
F,3,Manufacturer#4,1-URGENT,1993-01-15,TAKE BACK RETURN,1993-02-27,2,1993-04-14,BUILDING,1993-04-24,RAIL,1682.78,1,0.05,1,78333.409
F,3,Manufacturer#4,2-HIGH,1994-07-16,TAKE BACK RETURN,1994-09-25,1,1994-10-20,FURNITURE,1994-10-27,MAIL,1314.41,2,0.07,2,16403.8368
F,1,Manufacturer#4,2-HIGH,1994-07-16,DELIVER IN PERSON,1994-09-07,1,1994-08-27,FURNITURE,1994-09-24,RAIL,1578.67,4,0.08,2,14839.498
F,1,Manufacturer#4,2-HIGH,1994-07-16,COLLECT COD,1994-08-24,1,1994-09-18,FURNITURE,1994-10-06,RAIL,1658.75,1,0.02,2,25660.8625
F,3,Manufacturer#5,2-HIGH,1994-07-16,COLLECT COD,1994-08-15,1,1994-08-01,FURNITURE,1994-08-08,MAIL,1731.83,3,0,2,55349.2868
O,0,Manufacturer#1,1-URGENT,1996-12-21,TAKE BACK RETURN,1997-03-09,1,1997-01-24,AUTOMOBILE,1997-02-14,MAIL,1548.64,1,0.05,0,21680.96
O,0,Manufacturer#4,1-URGENT,1996-12-21,NONE,1997-01-31,1,1997-01-25,AUTOMOBILE,1997-02-21,RAIL,1567.66,6,0.06,0,45462.14
O,1,Manufacturer#5,1-URGENT,1996-12-21,DELIVER IN PERSON,1997-03-05,1,1997-01-22,AUTOMOBILE,1997-02-18,RAIL,915.01,5,0.07,0,19361.6116
O,3,Manufacturer#4,1-URGENT,1996-12-21,NONE,1997-02-02,1,1997-02-10,AUTOMOBILE,1997-02-16,TRUCK,1252.35,2,0.06,0,52774.029
O,4,Manufacturer#4,1-URGENT,1996-12-21,COLLECT COD,1997-02-07,1,1997-01-10,AUTOMOBILE,1997-01-12,MAIL,1093.19,3,0.07,0,18026.7031
O,1,Manufacturer#1,1-URGENT,1996-12-21,TAKE BACK RETURN,1997-02-14,1,1997-02-04,AUTOMOBILE,1997-02-18,REG AIR,1323.42,4,0.02,0,60268.5468
F,2,Manufacturer#1,1-URGENT,1993-11-05,TAKE BACK RETURN,1993-12-09,2,1994-02-25,FURNITURE,1994-03-03,MAIL,1716.81,5,0.02,2,39091.7637
F,4,Manufacturer#4,1-URGENT,1993-11-05,NONE,1994-01-06,2,1993-12-26,FURNITURE,1994-01-13,REG AIR,1245.34,4,0.08,1,13150.7904
F,0,Manufacturer#3,1-URGENT,1993-11-05,NONE,1994-01-07,2,1993-11-24,FURNITURE,1993-12-10,FOB,1561.66,1,0.05,1,7495.968
F,1,Manufacturer#3,1-URGENT,1993-11-05,TAKE BACK RETURN,1993-12-16,2,1993-12-26,FURNITURE,1994-01-06,TRUCK,1483.58,3,0.08,2,13352.22
F,2,Manufacturer#5,1-URGENT,1993-11-05,NONE,1993-12-22,2,1994-02-18,FURNITURE,1994-03-19,FOB,1612.71,2,0.04,1,11063.1906
F,3,Manufacturer#5,1-URGENT,1993-11-05,TAKE BACK RETURN,1993-12-13,2,1993-12-19,FURNITURE,1994-01-18,FOB,1503.6,6,0.05,1,56836.08
O,2,Manufacturer#2,4-NOT SPECIFIED,1997-03-02,TAKE BACK RETURN,1997-04-19,2,1997-05-13,HOUSEHOLD,1997-06-03,SHIP,1480.57,1,0.06,0,37177.1127
O,2,Manufacturer#3,4-NOT SPECIFIED,1997-03-02,COLLECT COD,1997-05-28,2,1997-04-10,HOUSEHOLD,1997-04-30,MAIL,928.02,4,0.03,0,4500.897
O,3,Manufacturer#1,4-NOT SPECIFIED,1997-03-02,COLLECT COD,1997-04-18,2,1997-04-16,HOUSEHOLD,1997-05-06,AIR,1647.74,3,0,0,42264.531
O,1,Manufacturer#3,4-NOT SPECIFIED,1997-03-02,DELIVER IN PERSON,1997-05-05,2,1997-06-21,HOUSEHOLD,1997-07-12,SHIP,1156.25,2,0.06,0,13678.4375
O,4,Manufacturer#5,4-NOT SPECIFIED,1997-03-02,DELIVER IN PERSON,1997-05-06,2,1997-04-29,HOUSEHOLD,1997-05-26,AIR,1693.79,5,0.07,0,24661.5824
O,2,Manufacturer#1,2-HIGH,1995-09-30,COLLECT COD,1995-11-16,1,1996-01-22,MACHINERY,1996-02-15,MAIL,920.02,2,0.04,0,5133.7116
O,4,Manufacturer#5,2-HIGH,1995-09-30,DELIVER IN PERSON,1995-12-16,1,1995-12-31,MACHINERY,1996-01-17,REG AIR,1817.91,1,0.03,0,34903.872
F,2,Manufacturer#1,4-NOT SPECIFIED,1993-06-30,COLLECT COD,1993-09-09,0,1993-09-08,MACHINERY,1993-09-24,AIR,1071.17,5,0.03,2,9062.0982
F,0,Manufacturer#4,4-NOT SPECIFIED,1993-06-30,NONE,1993-08-18,0,1993-08-05,MACHINERY,1993-08-27,RAIL,1650.75,2,0.02,2,26659.6125
