l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,cn_regionkey,c_mktsegment,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,A,COLLECT COD,0,Manufacturer#3,3,AUTOMOBILE,2,0.02,0.1,0,Brand#32,22,MED BOX,8,1,1
F,F,A,NONE,4,Manufacturer#2,4,AUTOMOBILE,7,0.05,0,11,Brand#23,20,SM PACK,36,1,0
F,F,R,COLLECT COD,1,Manufacturer#1,2,AUTOMOBILE,1,0.07,0.08,2,Brand#13,18,SM CASE,49,0,1
F,F,R,COLLECT COD,3,Manufacturer#1,1,HOUSEHOLD,3,0,0.02,19,Brand#14,2,SM DRUM,20,0,0
F,F,R,TAKE BACK RETURN,1,Manufacturer#5,2,HOUSEHOLD,6,0.04,0,24,Brand#54,21,SM CASE,6,1,1
F,F,A,TAKE BACK RETURN,3,Manufacturer#5,2,FURNITURE,4,0.01,0,6,Brand#51,8,JUMBO BAG,35,1,1
F,F,R,NONE,2,Manufacturer#5,2,MACHINERY,4,0.04,0.1,21,Brand#51,21,LG CAN,10,1,0
F,F,R,TAKE BACK RETURN,1,Manufacturer#2,1,AUTOMOBILE,1,0,0.06,1,Brand#25,2,WRAP PACK,10,0,0
F,F,A,TAKE BACK RETURN,4,Manufacturer#5,1,AUTOMOBILE,5,0.06,0.08,13,Brand#52,2,LG DRUM,31,1,0
F,F,A,DELIVER IN PERSON,1,Manufacturer#1,2,FURNITURE,4,0.04,0.04,17,Brand#13,9,JUMBO BAG,36,0,1
F,F,R,COLLECT COD,3,Manufacturer#2,3,HOUSEHOLD,2,0.01,0.05,23,Brand#24,22,JUMBO BOX,47,0,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#5,4,FURNITURE,2,0.03,0.07,22,Brand#52,10,SM CAN,46,0,1
F,F,A,DELIVER IN PERSON,1,Manufacturer#5,1,AUTOMOBILE,1,0,0.06,24,Brand#54,3,WRAP BOX,13,1,0
F,F,R,NONE,3,Manufacturer#5,1,BUILDING,2,0.02,0.05,22,Brand#51,2,WRAP JAR,19,1,0
F,F,R,DELIVER IN PERSON,0,Manufacturer#2,2,BUILDING,2,0.01,0.09,0,Brand#23,18,LG PACK,14,0,0
F,F,A,TAKE BACK RETURN,1,Manufacturer#1,3,FURNITURE,2,0.06,0.08,24,Brand#12,23,JUMBO CASE,20,1,0
F,F,R,COLLECT COD,2,Manufacturer#1,3,AUTOMOBILE,1,0,0.02,8,Brand#14,23,LG JAR,9,0,0
F,F,A,DELIVER IN PERSON,2,Manufacturer#2,1,FURNITURE,1,0.01,0.07,21,Brand#25,17,MED BAG,45,1,1
F,F,A,DELIVER IN PERSON,0,Manufacturer#5,2,MACHINERY,1,0.04,0.08,16,Brand#55,12,SM PACK,36,0,1
F,F,A,COLLECT COD,2,Manufacturer#2,3,BUILDING,4,0.04,0.1,21,Brand#21,19,MED PKG,27,1,0
F,F,A,NONE,0,Manufacturer#4,0,AUTOMOBILE,3,0.03,0.01,14,Brand#42,0,JUMBO BAG,1,1,1
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,2,AUTOMOBILE,1,0.01,0.01,23,Brand#23,18,LG PACK,13,1,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#5,4,FURNITURE,6,0.04,0.01,22,Brand#54,13,LG DRUM,5,0,0
F,F,R,COLLECT COD,4,Manufacturer#2,1,FURNITURE,3,0.07,0.1,11,Brand#24,2,LG CAN,47,1,0
F,F,R,COLLECT COD,4,Manufacturer#4,3,BUILDING,3,0.08,0.02,4,Brand#43,7,MED BAG,49,1,0
F,F,A,DELIVER IN PERSON,1,Manufacturer#4,3,HOUSEHOLD,4,0.04,0,24,Brand#41,19,SM JAR,42,0,1
F,F,R,TAKE BACK RETURN,1,Manufacturer#3,3,HOUSEHOLD,2,0.01,0.07,3,Brand#34,19,MED PACK,11,0,1
F,F,A,TAKE BACK RETURN,0,Manufacturer#4,0,FURNITURE,3,0.06,0.07,15,Brand#44,14,SM BAG,4,0,1
F,F,R,COLLECT COD,0,Manufacturer#4,1,HOUSEHOLD,1,0.06,0.07,14,Brand#45,2,WRAP DRUM,31,1,1
F,F,R,COLLECT COD,2,Manufacturer#3,0,FURNITURE,6,0,0.08,8,Brand#35,16,SM PKG,35,1,1
F,F,A,NONE,2,Manufacturer#5,3,AUTOMOBILE,3,0.07,0,9,Brand#55,23,WRAP DRUM,42,1,0
F,F,A,TAKE BACK RETURN,0,Manufacturer#2,3,HOUSEHOLD,3,0.07,0.04,5,Brand#24,19,LG CASE,8,0,1
F,F,R,DELIVER IN PERSON,3,Manufacturer#1,1,FURNITURE,2,0.04,0.06,6,Brand#14,17,JUMBO CAN,15,1,0
F,F,R,NONE,0,Manufacturer#2,2,HOUSEHOLD,6,0.07,0,16,Brand#23,9,LG PACK,13,0,0
F,F,R,COLLECT COD,2,Manufacturer#3,3,MACHINERY,1,0.07,0.07,8,Brand#35,7,SM DRUM,21,1,1
F,F,A,COLLECT COD,1,Manufacturer#1,3,MACHINERY,2,0.07,0.04,17,Brand#14,23,JUMBO JAR,21,1,0
F,F,A,NONE,1,Manufacturer#2,3,MACHINERY,1,0,0.03,3,Brand#22,23,SM PACK,4,1,0
F,F,A,TAKE BACK RETURN,1,Manufacturer#2,2,MACHINERY,1,0.05,0.05,2,Brand#21,12,LG BOX,42,1,0
F,F,A,COLLECT COD,1,Manufacturer#4,1,BUILDING,2,0.02,0,1,Brand#43,3,WRAP CAN,44,0,1
F,F,A,DELIVER IN PERSON,3,Manufacturer#4,1,BUILDING,4,0.06,0.07,22,Brand#45,3,WRAP PACK,9,0,1
F,F,A,TAKE BACK RETURN,2,Manufacturer#5,1,AUTOMOBILE,3,0.02,0.03,9,Brand#53,3,MED JAR,40,1,0
F,F,R,COLLECT COD,3,Manufacturer#1,2,BUILDING,1,0.07,0.08,19,Brand#13,12,LG CAN,35,0,0
F,F,R,COLLECT COD,4,Manufacturer#2,1,MACHINERY,4,0.01,0.1,4,Brand#22,17,JUMBO CASE,22,0,1
F,F,R,DELIVER IN PERSON,1,Manufacturer#4,1,BUILDING,2,0.06,0.07,1,Brand#43,24,LG CASE,40,0,1
F,F,A,DELIVER IN PERSON,2,Manufacturer#2,0,HOUSEHOLD,3,0.08,0.1,8,Brand#25,14,SM CASE,22,0,0
F,F,R,DELIVER IN PERSON,3,Manufacturer#3,2,MACHINERY,2,0.03,0.01,22,Brand#32,12,MED PACK,2,0,0
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,4,AUTOMOBILE,2,0.06,0,11,Brand#25,11,LG JAR,15,1,0
F,F,R,COLLECT COD,4,Manufacturer#1,2,HOUSEHOLD,5,0.08,0.09,4,Brand#14,9,JUMBO PACK,17,1,0
F,F,A,DELIVER IN PERSON,1,Manufacturer#4,0,BUILDING,3,0.01,0,24,Brand#41,14,MED BOX,11,1,0
F,F,A,NONE,4,Manufacturer#5,1,AUTOMOBILE,1,0.03,0.03,4,Brand#55,3,LG BAG,36,0,1
F,F,R,COLLECT COD,2,Manufacturer#5,3,HOUSEHOLD,4,0.04,0,21,Brand#52,23,LG PKG,39,0,1
F,F,R,DELIVER IN PERSON,0,Manufacturer#1,4,AUTOMOBILE,2,0.07,0.05,15,Brand#14,4,WRAP PACK,42,1,1
F,F,A,TAKE BACK RETURN,0,Manufacturer#1,0,MACHINERY,4,0.08,0.02,16,Brand#11,14,JUMBO PACK,26,1,0
F,F,A,NONE,3,Manufacturer#4,4,MACHINERY,1,0.04,0.08,7,Brand#45,11,JUMBO BAG,8,1,0
F,F,R,DELIVER IN PERSON,2,Manufacturer#2,1,MACHINERY,1,0.01,0.01,18,Brand#23,3,LG BAG,17,0,0
F,F,A,COLLECT COD,0,Manufacturer#4,1,FURNITURE,1,0.01,0,5,Brand#43,1,WRAP JAR,31,0,1
F,F,A,TAKE BACK RETURN,0,Manufacturer#3,1,BUILDING,5,0.05,0.08,14,Brand#35,17,SM JAR,39,1,0
F,F,A,COLLECT COD,1,Manufacturer#1,3,BUILDING,3,0.05,0.09,17,Brand#14,23,MED PACK,2,1,0
F,F,A,TAKE BACK RETURN,0,Manufacturer#1,1,FURNITURE,1,0.07,0.08,0,Brand#11,2,LG JAR,40,1,0
F,F,A,NONE,0,Manufacturer#3,1,MACHINERY,3,0.02,0.05,0,Brand#35,3,SM PKG,35,0,0
F,F,R,COLLECT COD,3,Manufacturer#1,0,HOUSEHOLD,1,0,0.06,23,Brand#14,0,WRAP BAG,25,0,0
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,4,AUTOMOBILE,6,0.06,0,8,Brand#13,4,SM BOX,18,0,0
F,F,R,NONE,3,Manufacturer#4,2,MACHINERY,4,0.08,0.03,22,Brand#45,12,MED PKG,34,1,1
F,F,R,DELIVER IN PERSON,1,Manufacturer#1,0,AUTOMOBILE,3,0.05,0.02,24,Brand#11,5,SM DRUM,17,0,0
F,F,A,TAKE BACK RETURN,1,Manufacturer#1,0,AUTOMOBILE,1,0.07,0.1,1,Brand#15,5,MED PACK,8,1,0
F,F,A,COLLECT COD,0,Manufacturer#5,2,MACHINERY,2,0.01,0.09,14,Brand#52,21,SM PACK,34,0,0
F,F,A,NONE,2,Manufacturer#4,0,AUTOMOBILE,1,0.03,0.06,12,Brand#45,0,SM CASE,38,1,1
F,F,R,NONE,2,Manufacturer#3,1,BUILDING,1,0.02,0.09,21,Brand#33,24,MED PACK,33,0,0
F,F,A,TAKE BACK RETURN,2,Manufacturer#2,1,MACHINERY,1,0.04,0.1,12,Brand#25,1,SM PACK,28,1,0
F,F,R,NONE,0,Manufacturer#4,2,BUILDING,5,0.05,0.08,14,Brand#42,21,JUMBO BAG,1,1,0
F,F,R,DELIVER IN PERSON,1,Manufacturer#2,0,BUILDING,5,0.04,0.03,24,Brand#24,15,JUMBO BOX,38,0,0
F,F,A,COLLECT COD,1,Manufacturer#2,2,AUTOMOBILE,6,0,0.05,24,Brand#22,8,SM PKG,41,1,0
F,F,A,TAKE BACK RETURN,2,Manufacturer#2,1,FURNITURE,2,0.03,0.1,12,Brand#22,24,SM PACK,31,1,1
F,F,R,NONE,2,Manufacturer#4,1,FURNITURE,2,0.02,0.05,18,Brand#44,24,MED BAG,12,1,1
F,F,A,NONE,1,Manufacturer#5,1,FURNITURE,1,0.03,0.08,24,Brand#52,24,JUMBO BOX,46,1,1
F,F,A,NONE,4,Manufacturer#4,4,FURNITURE,2,0.01,0.1,13,Brand#44,10,SM BAG,12,0,1
