l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,p_container,p_size,l_quantity,groupcol,aggcol
O,O,N,NONE,Manufacturer#2,3-MEDIUM,1,MACHINERY,FOB,4,0.05,12,Brand#23,MED BAG,32,9,0,7805.4795
F,F,A,DELIVER IN PERSON,Manufacturer#2,4-NOT SPECIFIED,4,MACHINERY,FOB,5,0.05,9,Brand#22,WRAP PKG,31,5,4,8782.465
F,F,A,COLLECT COD,Manufacturer#4,4-NOT SPECIFIED,4,MACHINERY,MAIL,7,0.08,18,Brand#42,JUMBO BOX,10,23,2,29605.6943
F,F,R,NONE,Manufacturer#4,2-HIGH,3,BUILDING,MAIL,3,0.04,9,Brand#43,MED DRUM,43,11,4,11054.5479
F,F,A,NONE,Manufacturer#5,2-HIGH,3,BUILDING,RAIL,4,0.08,8,Brand#54,WRAP BOX,31,33,3,41911.3728
O,O,N,NONE,Manufacturer#4,2-HIGH,0,BUILDING,FOB,4,0.01,21,Brand#41,WRAP PKG,2,7,1,6691.608
O,O,N,TAKE BACK RETURN,Manufacturer#1,1-URGENT,0,AUTOMOBILE,MAIL,3,0.06,12,Brand#11,MED BOX,25,30,0,35372.67
O,O,N,DELIVER IN PERSON,Manufacturer#1,1-URGENT,0,AUTOMOBILE,REG AIR,1,0.07,9,Brand#13,WRAP BOX,5,29,4,33569.4546
F,F,A,DELIVER IN PERSON,Manufacturer#1,5-LOW,0,MACHINERY,TRUCK,1,0.07,12,Brand#11,LG PKG,12,28,0,40448.226
F,F,R,COLLECT COD,Manufacturer#3,5-LOW,0,MACHINERY,RAIL,5,0.02,21,Brand#35,LG PKG,5,13,1,18628.3461
O,O,N,NONE,Manufacturer#1,3-MEDIUM,3,MACHINERY,SHIP,4,0,12,Brand#12,MED BAG,48,39,0,35880.78
O,O,N,COLLECT COD,Manufacturer#2,3-MEDIUM,3,MACHINERY,SHIP,2,0.02,21,Brand#25,JUMBO BOX,36,19,1,24150.8563
O,O,N,DELIVER IN PERSON,Manufacturer#5,3-MEDIUM,3,MACHINERY,RAIL,1,0.01,9,Brand#55,WRAP CASE,11,26,4,24779.3
F,F,A,COLLECT COD,Manufacturer#5,3-MEDIUM,3,MACHINERY,MAIL,5,0.06,9,Brand#52,JUMBO CASE,39,9,4,12524.0256
F,F,R,TAKE BACK RETURN,Manufacturer#3,3-MEDIUM,3,MACHINERY,REG AIR,6,0.05,12,Brand#34,MED DRUM,29,44,0,61486.392
F,F,A,COLLECT COD,Manufacturer#2,2-HIGH,0,FURNITURE,MAIL,5,0.07,8,Brand#23,WRAP PACK,41,23,3,26129.495
F,F,A,TAKE BACK RETURN,Manufacturer#1,3-MEDIUM,2,FURNITURE,TRUCK,2,0.08,18,Brand#14,WRAP PACK,42,32,2,38200.896
F,F,A,COLLECT COD,Manufacturer#3,3-MEDIUM,2,FURNITURE,SHIP,4,0.05,9,Brand#33,SM PACK,41,22,4,33378.444
O,O,N,DELIVER IN PERSON,Manufacturer#5,3-MEDIUM,3,FURNITURE,FOB,5,0.02,8,Brand#51,JUMBO BOX,39,28,3,49823.4968
O,O,N,DELIVER IN PERSON,Manufacturer#1,1-URGENT,0,AUTOMOBILE,SHIP,1,0,21,Brand#12,JUMBO BAG,16,47,1,51989.52
O,O,N,NONE,Manufacturer#5,1-URGENT,1,BUILDING,REG AIR,2,0.05,12,Brand#55,WRAP DRUM,9,48,0,75384.6912
O,O,N,TAKE BACK RETURN,Manufacturer#4,1-URGENT,1,BUILDING,REG AIR,3,0.03,12,Brand#43,LG BOX,16,15,0,13755.15
O,O,N,COLLECT COD,Manufacturer#5,1-URGENT,1,BUILDING,SHIP,5,0.08,12,Brand#54,MED PKG,43,3,0,4887.2085
O,O,N,NONE,Manufacturer#4,1-URGENT,1,BUILDING,REG AIR,6,0.04,18,Brand#45,JUMBO PACK,34,40,2,37281.16
O,O,N,TAKE BACK RETURN,Manufacturer#5,4-NOT SPECIFIED,4,FURNITURE,SHIP,3,0.07,9,Brand#55,JUMBO CASE,35,13,4,21702.915
F,F,R,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,2,MACHINERY,MAIL,6,0.03,18,Brand#45,MED JAR,35,23,2,37615.1246
F,F,R,DELIVER IN PERSON,Manufacturer#3,4-NOT SPECIFIED,2,MACHINERY,TRUCK,2,0.08,21,Brand#33,LG PKG,25,14,1,16888.2
F,F,R,DELIVER IN PERSON,Manufacturer#1,4-NOT SPECIFIED,2,MACHINERY,SHIP,1,0.04,12,Brand#13,WRAP CASE,24,22,0,21312.192
F,F,R,TAKE BACK RETURN,Manufacturer#5,1-URGENT,3,BUILDING,MAIL,2,0.06,21,Brand#55,JUMBO DRUM,24,16,1,20198.856
F,F,A,COLLECT COD,Manufacturer#3,5-LOW,2,AUTOMOBILE,RAIL,3,0.03,18,Brand#31,WRAP DRUM,29,9,2,12317.8968
F,F,A,NONE,Manufacturer#3,5-LOW,2,AUTOMOBILE,SHIP,7,0.07,21,Brand#35,WRAP BOX,44,42,1,61773.3816
F,F,R,NONE,Manufacturer#3,5-LOW,2,AUTOMOBILE,FOB,5,0.04,18,Brand#32,JUMBO JAR,21,8,2,13934.8968
F,F,R,NONE,Manufacturer#3,4-NOT SPECIFIED,0,BUILDING,TRUCK,2,0.01,9,Brand#32,LG CAN,33,33,4,35649.4248
F,F,R,COLLECT COD,Manufacturer#5,1-URGENT,3,BUILDING,AIR,1,0.04,9,Brand#52,JUMBO CASE,39,39,4,52574.8158
O,O,N,DELIVER IN PERSON,Manufacturer#3,1-URGENT,4,AUTOMOBILE,MAIL,2,0.01,21,Brand#32,MED JAR,15,9,1,15381.819
O,O,N,COLLECT COD,Manufacturer#1,2-HIGH,2,AUTOMOBILE,SHIP,4,0.04,18,Brand#15,LG DRUM,6,46,2,71394.001
O,O,N,COLLECT COD,Manufacturer#4,2-HIGH,2,AUTOMOBILE,REG AIR,2,0.08,9,Brand#43,LG CASE,13,42,4,45204.9444
O,O,N,TAKE BACK RETURN,Manufacturer#1,2-HIGH,2,AUTOMOBILE,TRUCK,3,0.05,18,Brand#13,JUMBO CASE,18,2,2,1836.8916
F,F,R,DELIVER IN PERSON,Manufacturer#5,5-LOW,3,FURNITURE,REG AIR,3,0.08,12,Brand#53,JUMBO BAG,21,8,0,10821.852
F,F,A,TAKE BACK RETURN,Manufacturer#4,5-LOW,3,FURNITURE,RAIL,4,0.04,8,Brand#43,MED PACK,47,13,3,20386.7625
O,O,N,DELIVER IN PERSON,Manufacturer#1,5-LOW,2,AUTOMOBILE,RAIL,1,0.07,21,Brand#13,WRAP DRUM,19,36,1,37095.0696
F,F,R,DELIVER IN PERSON,Manufacturer#4,5-LOW,4,HOUSEHOLD,AIR,4,0.05,8,Brand#43,LG PKG,15,34,3,36719.0412
F,F,R,COLLECT COD,Manufacturer#2,5-LOW,4,HOUSEHOLD,SHIP,3,0.01,12,Brand#24,WRAP PACK,40,23,0,24974.5132
F,F,A,COLLECT COD,Manufacturer#1,1-URGENT,0,FURNITURE,REG AIR,5,0.02,12,Brand#11,MED PACK,4,22,0,36808.7808
F,F,R,DELIVER IN PERSON,Manufacturer#1,1-URGENT,0,FURNITURE,AIR,3,0.04,18,Brand#12,MED CAN,7,20,2,22680.576
F,F,A,DELIVER IN PERSON,Manufacturer#2,1-URGENT,0,FURNITURE,FOB,2,0.03,18,Brand#24,WRAP CASE,26,33,2,55267.41
O,O,N,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,0,AUTOMOBILE,TRUCK,5,0.05,21,Brand#45,MED JAR,40,44,1,79122.1816
O,O,N,COLLECT COD,Manufacturer#2,4-NOT SPECIFIED,0,AUTOMOBILE,RAIL,6,0.08,12,Brand#23,MED DRUM,19,17,0,27126.73
O,O,N,COLLECT COD,Manufacturer#1,1-URGENT,0,AUTOMOBILE,FOB,6,0.01,9,Brand#13,LG DRUM,44,21,4,38689.7826
O,O,N,TAKE BACK RETURN,Manufacturer#5,1-URGENT,0,AUTOMOBILE,AIR,5,0.07,9,Brand#54,LG CASE,42,28,4,29584.9848
O,O,N,DELIVER IN PERSON,Manufacturer#2,1-URGENT,0,AUTOMOBILE,FOB,4,0.06,9,Brand#21,MED JAR,8,35,4,35381.43
O,O,N,NONE,Manufacturer#5,1-URGENT,4,BUILDING,MAIL,6,0,9,Brand#51,SM PKG,28,38,4,49437.468
F,F,A,NONE,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,REG AIR,1,0.04,9,Brand#11,JUMBO BAG,24,8,4,13438.4432
F,F,A,COLLECT COD,Manufacturer#5,3-MEDIUM,2,AUTOMOBILE,AIR,3,0.02,8,Brand#54,LG BAG,10,9,3,11796.1326
O,O,N,NONE,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,FOB,3,0,12,Brand#55,MED JAR,36,4,0,3793.3896
O,O,N,COLLECT COD,Manufacturer#5,4-NOT SPECIFIED,2,AUTOMOBILE,FOB,2,0.07,8,Brand#51,SM PKG,20,13,3,13811.4106
O,O,N,DELIVER IN PERSON,Manufacturer#2,4-NOT SPECIFIED,4,HOUSEHOLD,TRUCK,4,0.03,9,Brand#24,JUMBO DRUM,50,26,4,42035.6872
F,F,R,COLLECT COD,Manufacturer#1,5-LOW,4,HOUSEHOLD,RAIL,2,0,8,Brand#12,MED JAR,23,26,3,22584.8454
F,F,A,COLLECT COD,Manufacturer#1,5-LOW,4,HOUSEHOLD,AIR,7,0.02,21,Brand#12,SM DRUM,16,20,1,20685.648
F,F,A,NONE,Manufacturer#1,5-LOW,4,HOUSEHOLD,REG AIR,6,0.07,9,Brand#15,WRAP PACK,34,2,4,2792.97
O,O,N,COLLECT COD,Manufacturer#4,5-LOW,0,MACHINERY,TRUCK,2,0.04,21,Brand#42,SM CAN,44,32,1,49202.7584
F,F,A,TAKE BACK RETURN,Manufacturer#5,5-LOW,4,AUTOMOBILE,MAIL,4,0.02,8,Brand#54,LG CAN,44,26,3,22004.0418
F,F,A,TAKE BACK RETURN,Manufacturer#3,5-LOW,4,AUTOMOBILE,SHIP,3,0.05,21,Brand#31,JUMBO CAN,11,12,1,11687.544
F,F,A,DELIVER IN PERSON,Manufacturer#5,5-LOW,4,AUTOMOBILE,MAIL,2,0.02,18,Brand#54,LG PKG,22,30,2,30035.46
O,O,N,NONE,Manufacturer#1,1-URGENT,2,HOUSEHOLD,RAIL,1,0.04,12,Brand#11,MED BAG,20,4,0,3791.34
O,O,N,DELIVER IN PERSON,Manufacturer#5,1-URGENT,2,HOUSEHOLD,FOB,3,0,9,Brand#54,SM CASE,6,38,4,47806.4016
F,F,A,NONE,Manufacturer#3,5-LOW,0,BUILDING,TRUCK,4,0.01,8,Brand#32,LG JAR,31,48,3,85770.24
O,O,N,DELIVER IN PERSON,Manufacturer#3,5-LOW,4,AUTOMOBILE,MAIL,3,0.06,21,Brand#34,SM CAN,5,36,1,42076.2888
O,O,N,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,1,AUTOMOBILE,MAIL,1,0.04,8,Brand#41,SM JAR,11,27,3,30308.3775
F,F,A,TAKE BACK RETURN,Manufacturer#2,1-URGENT,0,HOUSEHOLD,TRUCK,1,0.02,12,Brand#24,MED PKG,4,30,0,39252
F,F,R,DELIVER IN PERSON,Manufacturer#2,4-NOT SPECIFIED,1,FURNITURE,SHIP,7,0.08,8,Brand#25,WRAP JAR,15,48,3,55557.6096
F,F,R,COLLECT COD,Manufacturer#4,4-NOT SPECIFIED,1,FURNITURE,MAIL,4,0.01,21,Brand#44,JUMBO PKG,46,46,1,41069.6832
F,F,R,NONE,Manufacturer#3,4-NOT SPECIFIED,1,FURNITURE,SHIP,3,0.08,9,Brand#33,LG CAN,14,2,4,2612.8
O,O,N,COLLECT COD,Manufacturer#2,4-NOT SPECIFIED,1,MACHINERY,AIR,3,0,9,Brand#24,LG PKG,42,10,4,13209.105
O,O,N,DELIVER IN PERSON,Manufacturer#4,2-HIGH,1,HOUSEHOLD,SHIP,1,0.08,9,Brand#42,WRAP PKG,38,29,4,39336.6701
F,F,A,DELIVER IN PERSON,Manufacturer#3,4-NOT SPECIFIED,2,FURNITURE,FOB,2,0.04,18,Brand#31,SM JAR,2,10,2,12043.122
F,F,A,DELIVER IN PERSON,Manufacturer#4,2-HIGH,1,AUTOMOBILE,MAIL,3,0.08,21,Brand#43,MED BAG,4,40,1,66037.54
F,F,R,COLLECT COD,Manufacturer#5,2-HIGH,1,AUTOMOBILE,FOB,5,0.05,8,Brand#55,MED PKG,39,48,3,55284.7008
F,F,A,DELIVER IN PERSON,Manufacturer#2,2-HIGH,1,AUTOMOBILE,SHIP,7,0.05,12,Brand#21,LG CAN,33,39,0,41427.828
F,F,A,TAKE BACK RETURN,Manufacturer#2,2-HIGH,1,AUTOMOBILE,REG AIR,6,0.04,8,Brand#25,LG CASE,39,11,3,12817.871
F,F,R,NONE,Manufacturer#5,2-HIGH,1,AUTOMOBILE,MAIL,1,0.04,18,Brand#54,LG BOX,37,35,2,30324.3325
O,O,N,DELIVER IN PERSON,Manufacturer#4,1-URGENT,1,BUILDING,SHIP,2,0.06,8,Brand#45,JUMBO CASE,7,42,3,47506.284
O,O,N,NONE,Manufacturer#3,1-URGENT,1,BUILDING,SHIP,3,0.07,18,Brand#32,JUMBO JAR,21,7,2,12717.4663
O,O,N,DELIVER IN PERSON,Manufacturer#1,3-MEDIUM,2,HOUSEHOLD,MAIL,6,0.05,18,Brand#13,MED CASE,27,7,2,9502.6708
O,O,N,TAKE BACK RETURN,Manufacturer#5,3-MEDIUM,2,HOUSEHOLD,RAIL,5,0.07,8,Brand#55,MED PKG,39,24,3,25385.832
O,O,N,NONE,Manufacturer#1,3-MEDIUM,2,HOUSEHOLD,TRUCK,1,0.04,18,Brand#15,SM JAR,20,39,2,38931.6096
O,O,N,COLLECT COD,Manufacturer#2,3-MEDIUM,2,HOUSEHOLD,SHIP,3,0.04,9,Brand#22,SM DRUM,42,44,4,53247.7968
F,F,N,DELIVER IN PERSON,Manufacturer#3,1-URGENT,3,MACHINERY,RAIL,1,0.04,21,Brand#31,JUMBO DRUM,23,36,1,39570.84
F,F,A,NONE,Manufacturer#3,5-LOW,1,FURNITURE,MAIL,5,0.04,8,Brand#34,SM BAG,47,33,3,58340.7825
F,F,R,DELIVER IN PERSON,Manufacturer#5,5-LOW,1,FURNITURE,TRUCK,6,0.01,8,Brand#54,LG BOX,37,23,3,20976.23
O,O,N,NONE,Manufacturer#3,2-HIGH,0,HOUSEHOLD,TRUCK,1,0.08,18,Brand#31,WRAP JAR,4,23,2,39417.63
F,F,R,DELIVER IN PERSON,Manufacturer#1,2-HIGH,4,HOUSEHOLD,AIR,1,0.08,12,Brand#14,MED BAG,30,32,0,37723.8272
F,F,R,TAKE BACK RETURN,Manufacturer#2,2-HIGH,4,HOUSEHOLD,REG AIR,2,0.02,18,Brand#22,MED CASE,49,14,2,22922.6144
O,O,N,NONE,Manufacturer#2,4-NOT SPECIFIED,1,HOUSEHOLD,MAIL,1,0.04,18,Brand#22,SM BAG,8,44,2,67391.28
O,O,N,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,1,HOUSEHOLD,RAIL,3,0.04,12,Brand#42,MED CAN,11,24,0,30879.0576
O,O,N,NONE,Manufacturer#1,5-LOW,4,AUTOMOBILE,AIR,1,0.06,12,Brand#14,JUMBO JAR,9,48,0,68236.4736
O,O,N,DELIVER IN PERSON,Manufacturer#2,5-LOW,4,AUTOMOBILE,SHIP,2,0.07,12,Brand#23,MED BAG,9,6,0,5615.694
O,O,N,COLLECT COD,Manufacturer#3,5-LOW,4,AUTOMOBILE,TRUCK,3,0.04,21,Brand#33,MED PACK,33,8,1,9525.9528
O,O,N,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,0,MACHINERY,AIR,2,0.08,21,Brand#44,MED DRUM,14,11,1,15050.387
O,O,N,COLLECT COD,Manufacturer#4,4-NOT SPECIFIED,0,MACHINERY,AIR,5,0.07,18,Brand#44,MED BAG,6,10,2,15231.307
O,O,N,TAKE BACK RETURN,Manufacturer#4,4-NOT SPECIFIED,0,MACHINERY,AIR,4,0.01,12,Brand#44,JUMBO CAN,1,50,0,69722.4
O,O,N,TAKE BACK RETURN,Manufacturer#2,4-NOT SPECIFIED,0,BUILDING,SHIP,2,0.07,12,Brand#22,LG PACK,19,31,0,36316.4256
O,O,N,COLLECT COD,Manufacturer#3,1-URGENT,4,HOUSEHOLD,MAIL,4,0.06,18,Brand#35,SM DRUM,21,15,2,17799.306
O,O,N,NONE,Manufacturer#3,1-URGENT,4,HOUSEHOLD,SHIP,2,0.02,21,Brand#32,MED JAR,15,7,1,13027.0714
F,F,R,DELIVER IN PERSON,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,FOB,2,0.08,12,Brand#14,LG BAG,25,12,0,11839.1604
F,F,A,NONE,Manufacturer#5,5-LOW,0,HOUSEHOLD,REG AIR,2,0.05,9,Brand#52,SM PACK,34,33,4,47405.0016
O,O,N,TAKE BACK RETURN,Manufacturer#2,4-NOT SPECIFIED,0,HOUSEHOLD,SHIP,4,0.07,9,Brand#23,SM PACK,20,28,4,43451.4528
O,O,N,DELIVER IN PERSON,Manufacturer#2,4-NOT SPECIFIED,0,HOUSEHOLD,TRUCK,1,0.06,21,Brand#24,JUMBO CASE,38,44,1,54873.6188
F,F,A,COLLECT COD,Manufacturer#2,5-LOW,2,AUTOMOBILE,SHIP,2,0.02,21,Brand#21,WRAP CASE,19,46,1,43886.3
F,F,A,NONE,Manufacturer#3,5-LOW,2,AUTOMOBILE,FOB,4,0.07,18,Brand#35,MED PKG,38,18,2,26186.0688
O,O,N,TAKE BACK RETURN,Manufacturer#4,5-LOW,4,MACHINERY,RAIL,5,0.03,9,Brand#43,JUMBO CAN,2,40,4,72556.4
O,O,N,DELIVER IN PERSON,Manufacturer#4,5-LOW,4,MACHINERY,MAIL,6,0.04,12,Brand#44,WRAP PACK,34,20,0,34746.03
O,O,N,NONE,Manufacturer#4,5-LOW,4,MACHINERY,FOB,4,0.03,8,Brand#44,WRAP CAN,40,22,3,20245.4868
F,F,A,DELIVER IN PERSON,Manufacturer#5,5-LOW,2,MACHINERY,MAIL,2,0.02,9,Brand#55,LG JAR,38,27,4,34092.1548
F,F,R,TAKE BACK RETURN,Manufacturer#2,5-LOW,2,MACHINERY,REG AIR,4,0.07,18,Brand#22,SM PKG,19,22,2,20455.974
F,F,R,DELIVER IN PERSON,Manufacturer#5,5-LOW,2,MACHINERY,RAIL,2,0.02,12,Brand#54,SM BAG,1,38,0,60990.4788
F,F,A,TAKE BACK RETURN,Manufacturer#5,5-LOW,2,MACHINERY,MAIL,1,0.07,12,Brand#53,JUMBO PKG,10,34,0,58993.4544
