l_linestatus,o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,TAKE BACK RETURN,1,Manufacturer#4,4-NOT SPECIFIED,3,HOUSEHOLD,RAIL,3,0.06,17,Brand#42,19,WRAP CAN,16,2171,46787.104
F,F,COLLECT COD,2,Manufacturer#2,3-MEDIUM,2,AUTOMOBILE,MAIL,2,0.04,21,Brand#21,21,WRAP CAN,32,678,47911.0464
F,F,DELIVER IN PERSON,3,Manufacturer#2,3-MEDIUM,2,AUTOMOBILE,AIR,1,0,19,Brand#25,21,WRAP PACK,47,678,1318.0959
F,F,COLLECT COD,3,Manufacturer#1,5-LOW,0,MACHINERY,FOB,1,0.04,23,Brand#11,0,LG DRUM,1,2172,17785.026
F,F,NONE,4,Manufacturer#2,3-MEDIUM,4,MACHINERY,SHIP,6,0,10,Brand#25,4,JUMBO CAN,34,2173,47020.3552
F,F,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,4,MACHINERY,RAIL,1,0.06,17,Brand#24,4,WRAP JAR,9,2173,70363.265
F,F,COLLECT COD,3,Manufacturer#2,3-MEDIUM,4,MACHINERY,TRUCK,5,0.03,22,Brand#21,4,MED PKG,11,2173,38672.0896
F,F,DELIVER IN PERSON,4,Manufacturer#1,3-MEDIUM,4,MACHINERY,RAIL,2,0.01,10,Brand#12,4,MED BOX,1,2173,24620.1813
F,F,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,0,MACHINERY,AIR,2,0.08,15,Brand#34,15,SM BAG,41,432,45839.7758
F,F,NONE,2,Manufacturer#3,5-LOW,0,HOUSEHOLD,AIR,1,0.05,8,Brand#32,0,WRAP PACK,38,2174,32161.0182
F,F,DELIVER IN PERSON,3,Manufacturer#3,5-LOW,0,HOUSEHOLD,RAIL,5,0.03,7,Brand#32,0,LG BAG,41,2174,42175.5
F,F,NONE,3,Manufacturer#2,5-LOW,1,AUTOMOBILE,SHIP,1,0.01,7,Brand#25,17,LG PKG,41,2175,22885.8048
F,F,COLLECT COD,0,Manufacturer#1,2-HIGH,4,BUILDING,AIR,1,0.01,5,Brand#11,11,JUMBO CAN,26,612,37555.56
F,F,COLLECT COD,0,Manufacturer#2,1-URGENT,4,BUILDING,TRUCK,4,0.06,5,Brand#24,20,JUMBO PKG,24,2176,28253.016
F,F,TAKE BACK RETURN,1,Manufacturer#2,1-URGENT,4,BUILDING,MAIL,6,0.07,3,Brand#22,20,LG CASE,35,2176,56478.3866
F,F,DELIVER IN PERSON,4,Manufacturer#2,4-NOT SPECIFIED,3,FURNITURE,SHIP,6,0.01,10,Brand#24,6,MED DRUM,37,1931,55559.952
F,F,COLLECT COD,3,Manufacturer#4,4-NOT SPECIFIED,3,FURNITURE,RAIL,3,0.02,7,Brand#44,6,LG BAG,34,1931,8563.1796
F,F,TAKE BACK RETURN,1,Manufacturer#5,4-NOT SPECIFIED,3,HOUSEHOLD,AIR,3,0.06,24,Brand#54,7,MED CASE,7,2177,38838.8
F,F,DELIVER IN PERSON,1,Manufacturer#2,4-NOT SPECIFIED,3,HOUSEHOLD,RAIL,5,0,1,Brand#25,7,LG CAN,48,2177,3300.1332
F,F,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,3,HOUSEHOLD,TRUCK,4,0.08,14,Brand#35,7,WRAP DRUM,1,2177,59645.5425
F,F,DELIVER IN PERSON,0,Manufacturer#1,4-NOT SPECIFIED,3,HOUSEHOLD,TRUCK,2,0.02,15,Brand#13,7,MED CASE,31,2177,46613.7888
F,F,TAKE BACK RETURN,1,Manufacturer#3,4-NOT SPECIFIED,3,HOUSEHOLD,SHIP,1,0.08,17,Brand#32,7,SM BAG,37,2177,13396.9136
F,F,NONE,2,Manufacturer#1,5-LOW,0,BUILDING,SHIP,4,0.04,8,Brand#13,0,WRAP BAG,19,1827,67945.68
F,F,TAKE BACK RETURN,3,Manufacturer#2,5-LOW,0,BUILDING,SHIP,6,0.03,23,Brand#25,0,WRAP BAG,37,1827,56213.1306
F,F,DELIVER IN PERSON,2,Manufacturer#1,5-LOW,0,BUILDING,SHIP,5,0.04,8,Brand#11,0,MED CAN,10,1827,55915.4582
F,F,NONE,2,Manufacturer#3,5-LOW,0,BUILDING,RAIL,3,0.05,9,Brand#31,0,JUMBO CAN,49,1827,36051.2425
F,F,COLLECT COD,0,Manufacturer#3,5-LOW,0,BUILDING,REG AIR,2,0,5,Brand#33,0,LG CAN,3,1827,60227.1468
F,F,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,4,HOUSEHOLD,FOB,3,0.05,19,Brand#55,11,LG CASE,16,2178,20985.0873
F,F,TAKE BACK RETURN,4,Manufacturer#4,4-NOT SPECIFIED,4,HOUSEHOLD,REG AIR,1,0.04,11,Brand#43,11,JUMBO PKG,44,2178,63869.472
F,F,NONE,3,Manufacturer#4,3-MEDIUM,4,MACHINERY,SHIP,3,0.04,22,Brand#41,20,JUMBO JAR,47,393,28911.552
F,F,NONE,1,Manufacturer#5,3-MEDIUM,4,MACHINERY,FOB,5,0.05,3,Brand#52,20,SM CASE,45,393,75531.1872
F,F,NONE,0,Manufacturer#3,3-MEDIUM,4,MACHINERY,MAIL,4,0,15,Brand#34,20,SM BAG,40,393,23609.5008
F,F,DELIVER IN PERSON,1,Manufacturer#5,5-LOW,3,MACHINERY,FOB,2,0.02,24,Brand#54,23,MED CASE,7,1691,24542.7
F,F,COLLECT COD,0,Manufacturer#4,2-HIGH,2,FURNITURE,REG AIR,4,0.08,15,Brand#42,8,WRAP CAN,27,2179,1370.0876
F,F,COLLECT COD,1,Manufacturer#1,2-HIGH,2,FURNITURE,REG AIR,1,0.03,2,Brand#14,8,LG PKG,26,2179,8031.2232
F,F,DELIVER IN PERSON,2,Manufacturer#3,1-URGENT,4,AUTOMOBILE,FOB,1,0.01,8,Brand#31,4,LG CASE,31,936,19342.6536
F,F,DELIVER IN PERSON,4,Manufacturer#1,1-URGENT,4,AUTOMOBILE,TRUCK,3,0.06,10,Brand#14,4,MED CAN,36,936,39224.0758
F,F,NONE,1,Manufacturer#4,3-MEDIUM,0,HOUSEHOLD,MAIL,1,0,3,Brand#43,14,MED JAR,49,2180,6082.482
F,F,COLLECT COD,0,Manufacturer#2,4-NOT SPECIFIED,1,AUTOMOBILE,REG AIR,3,0.05,5,Brand#25,17,JUMBO BAG,47,2181,1241.4848
F,F,COLLECT COD,4,Manufacturer#2,4-NOT SPECIFIED,1,AUTOMOBILE,SHIP,5,0.04,11,Brand#21,17,LG PKG,14,2181,35154.0014
F,F,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,3,AUTOMOBILE,MAIL,2,0.01,17,Brand#52,22,WRAP BOX,15,2182,5480.013
F,F,DELIVER IN PERSON,2,Manufacturer#4,2-HIGH,3,AUTOMOBILE,MAIL,1,0.05,18,Brand#44,22,SM CAN,47,2182,21452.0314
F,F,DELIVER IN PERSON,1,Manufacturer#2,4-NOT SPECIFIED,1,AUTOMOBILE,FOB,6,0.02,2,Brand#21,24,MED DRUM,10,2183,44262.5316
F,F,DELIVER IN PERSON,1,Manufacturer#5,4-NOT SPECIFIED,1,AUTOMOBILE,TRUCK,2,0.02,1,Brand#52,24,WRAP CAN,30,2183,53254.572
F,F,NONE,3,Manufacturer#5,4-NOT SPECIFIED,1,AUTOMOBILE,TRUCK,4,0.08,6,Brand#55,24,JUMBO PACK,16,2183,26786.352
F,F,NONE,0,Manufacturer#1,4-NOT SPECIFIED,1,AUTOMOBILE,RAIL,1,0.06,5,Brand#15,24,MED PACK,8,2183,52910.8992
F,F,DELIVER IN PERSON,0,Manufacturer#3,4-NOT SPECIFIED,1,AUTOMOBILE,TRUCK,5,0,14,Brand#34,24,JUMBO PACK,46,2183,35090.4444
F,F,DELIVER IN PERSON,4,Manufacturer#5,3-MEDIUM,0,AUTOMOBILE,AIR,3,0.08,13,Brand#52,16,MED BAG,31,1543,47611.5456
F,F,TAKE BACK RETURN,3,Manufacturer#3,3-MEDIUM,0,AUTOMOBILE,MAIL,5,0.06,6,Brand#33,16,MED PACK,9,1543,77926.4512
F,F,DELIVER IN PERSON,3,Manufacturer#4,5-LOW,4,MACHINERY,SHIP,6,0.08,22,Brand#43,11,MED JAR,16,2184,29888.9784
F,F,COLLECT COD,1,Manufacturer#4,5-LOW,4,MACHINERY,FOB,5,0.04,17,Brand#41,11,LG PKG,42,2184,40576.104
F,F,NONE,2,Manufacturer#5,5-LOW,4,MACHINERY,MAIL,3,0.05,8,Brand#53,11,SM CASE,36,2184,29303.2592
F,F,COLLECT COD,3,Manufacturer#1,2-HIGH,3,BUILDING,TRUCK,2,0.07,7,Brand#15,19,MED PACK,22,2185,55286.4384
F,F,TAKE BACK RETURN,4,Manufacturer#4,5-LOW,3,FURNITURE,FOB,5,0.06,11,Brand#45,19,MED PACK,2,290,31993.32
F,F,COLLECT COD,4,Manufacturer#5,5-LOW,3,FURNITURE,SHIP,2,0.04,13,Brand#55,19,LG BAG,1,290,18162.5756
F,F,NONE,0,Manufacturer#3,1-URGENT,2,BUILDING,MAIL,5,0,15,Brand#34,18,JUMBO BOX,32,2186,36867.1877
F,F,TAKE BACK RETURN,1,Manufacturer#4,1-URGENT,2,BUILDING,SHIP,3,0.06,24,Brand#45,18,JUMBO CAN,6,2186,20732.7888
F,F,COLLECT COD,2,Manufacturer#5,1-URGENT,2,BUILDING,AIR,4,0.02,18,Brand#55,18,SM CAN,22,2186,41958.592
F,F,DELIVER IN PERSON,4,Manufacturer#5,1-URGENT,2,BUILDING,FOB,6,0.07,4,Brand#55,18,SM BAG,36,2186,62257.0212
F,F,TAKE BACK RETURN,1,Manufacturer#1,2-HIGH,2,BUILDING,RAIL,3,0.06,3,Brand#15,8,WRAP JAR,16,2187,23918.076
F,F,TAKE BACK RETURN,2,Manufacturer#4,4-NOT SPECIFIED,1,BUILDING,TRUCK,1,0.06,12,Brand#43,2,MED CASE,27,2188,43604.0172
F,F,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,1,BUILDING,REG AIR,7,0.02,21,Brand#45,2,SM PACK,30,2188,11261.4444
F,F,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,1,BUILDING,REG AIR,6,0.01,9,Brand#43,2,JUMBO CASE,35,2188,82198.8076
F,F,DELIVER IN PERSON,0,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,TRUCK,6,0.03,5,Brand#11,9,JUMBO CASE,45,2189,15799.8015
F,F,TAKE BACK RETURN,3,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,TRUCK,2,0.05,6,Brand#15,9,JUMBO PKG,31,2189,35945.613
F,F,TAKE BACK RETURN,1,Manufacturer#2,3-MEDIUM,2,AUTOMOBILE,REG AIR,4,0.06,1,Brand#21,9,MED CASE,40,2189,23748.48
F,F,TAKE BACK RETURN,2,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,RAIL,5,0.01,12,Brand#14,9,LG BAG,11,2189,82334.48
F,F,DELIVER IN PERSON,2,Manufacturer#5,2-HIGH,2,FURNITURE,SHIP,1,0.02,9,Brand#53,18,JUMBO CASE,12,2190,47772.5194
F,F,DELIVER IN PERSON,1,Manufacturer#3,5-LOW,1,BUILDING,MAIL,2,0.05,24,Brand#34,17,SM BAG,8,2191,43369.587
F,F,COLLECT COD,1,Manufacturer#5,3-MEDIUM,0,FURNITURE,RAIL,4,0,24,Brand#52,5,LG BOX,35,2192,47609.954
F,F,NONE,3,Manufacturer#5,3-MEDIUM,0,FURNITURE,MAIL,3,0.05,22,Brand#55,5,MED BAG,26,2192,17638.7211
F,F,COLLECT COD,0,Manufacturer#1,5-LOW,2,BUILDING,FOB,3,0,5,Brand#15,8,LG PACK,22,97,3550.3812
F,F,NONE,3,Manufacturer#4,5-LOW,2,BUILDING,MAIL,1,0,19,Brand#44,8,LG PACK,14,97,6245.136
F,F,DELIVER IN PERSON,4,Manufacturer#3,3-MEDIUM,4,MACHINERY,AIR,4,0.07,4,Brand#32,13,WRAP CASE,38,2193,72106.8075
F,F,TAKE BACK RETURN,1,Manufacturer#4,1-URGENT,2,FURNITURE,SHIP,1,0.07,17,Brand#41,12,LG DRUM,27,2194,16877.7312
F,F,COLLECT COD,1,Manufacturer#1,1-URGENT,2,FURNITURE,SHIP,3,0.05,24,Brand#13,12,SM CASE,27,2194,29440.8478
F,F,TAKE BACK RETURN,3,Manufacturer#4,5-LOW,0,AUTOMOBILE,FOB,2,0,22,Brand#41,14,WRAP BOX,29,2195,6174.441
F,F,DELIVER IN PERSON,4,Manufacturer#2,5-LOW,0,AUTOMOBILE,FOB,1,0.06,4,Brand#25,14,WRAP DRUM,19,2195,42052.122
F,F,NONE,2,Manufacturer#1,3-MEDIUM,2,BUILDING,MAIL,1,0.04,9,Brand#15,12,WRAP BOX,15,2196,47496.9133
F,F,TAKE BACK RETURN,1,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,FOB,6,0.05,1,Brand#34,11,WRAP CAN,49,2197,16820.078
F,F,COLLECT COD,0,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,SHIP,7,0.01,5,Brand#31,11,LG BAG,2,2197,17463.4944
F,F,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,0,AUTOMOBILE,RAIL,1,0.07,17,Brand#41,14,SM PKG,8,2198,20127.745
F,F,COLLECT COD,2,Manufacturer#3,1-URGENT,0,FURNITURE,AIR,5,0,9,Brand#34,16,MED DRUM,9,669,51664.718
F,F,NONE,0,Manufacturer#3,1-URGENT,0,FURNITURE,FOB,2,0.06,14,Brand#35,16,MED BAG,23,669,23407.8117
F,F,NONE,4,Manufacturer#5,1-URGENT,0,FURNITURE,RAIL,4,0.06,20,Brand#51,16,SM DRUM,20,669,47358.09
F,F,NONE,3,Manufacturer#5,3-MEDIUM,3,BUILDING,SHIP,4,0.05,19,Brand#51,22,WRAP BAG,40,2199,74257.9518
F,F,DELIVER IN PERSON,3,Manufacturer#1,3-MEDIUM,3,BUILDING,RAIL,1,0.05,22,Brand#15,22,WRAP PKG,29,2199,51686.1636
F,F,NONE,3,Manufacturer#3,3-MEDIUM,1,FURNITURE,TRUCK,5,0.02,22,Brand#31,2,WRAP CASE,8,2200,25566.951
F,F,NONE,2,Manufacturer#4,3-MEDIUM,1,FURNITURE,REG AIR,2,0.06,9,Brand#44,2,MED DRUM,28,2200,3343.2291
F,F,TAKE BACK RETURN,4,Manufacturer#4,4-NOT SPECIFIED,2,HOUSEHOLD,REG AIR,1,0,20,Brand#42,18,MED CASE,1,1935,48652.857
F,F,TAKE BACK RETURN,1,Manufacturer#5,3-MEDIUM,0,MACHINERY,RAIL,3,0.04,3,Brand#52,15,SM BOX,14,2201,46454.5354
F,F,COLLECT COD,1,Manufacturer#4,3-MEDIUM,0,MACHINERY,RAIL,1,0.07,17,Brand#43,15,SM CASE,20,2201,33428.125
F,F,DELIVER IN PERSON,3,Manufacturer#3,3-MEDIUM,0,MACHINERY,TRUCK,6,0.02,19,Brand#33,15,SM CASE,8,2201,77211
F,F,TAKE BACK RETURN,3,Manufacturer#4,3-MEDIUM,0,MACHINERY,REG AIR,5,0.08,19,Brand#44,15,WRAP BOX,40,2201,6606.864
F,F,TAKE BACK RETURN,2,Manufacturer#5,1-URGENT,3,HOUSEHOLD,RAIL,3,0.07,9,Brand#53,7,MED BAG,11,2202,31693.9665
F,F,TAKE BACK RETURN,3,Manufacturer#1,2-HIGH,2,AUTOMOBILE,FOB,1,0.07,7,Brand#13,18,LG CAN,47,610,28579.5792
F,F,TAKE BACK RETURN,0,Manufacturer#5,3-MEDIUM,0,MACHINERY,RAIL,3,0,0,Brand#54,0,SM PKG,7,2203,50801.6964
F,F,TAKE BACK RETURN,2,Manufacturer#4,3-MEDIUM,0,MACHINERY,TRUCK,5,0.02,12,Brand#41,0,JUMBO CASE,4,2203,68219.64
F,F,TAKE BACK RETURN,4,Manufacturer#1,5-LOW,3,MACHINERY,REG AIR,3,0.01,20,Brand#13,22,JUMBO CASE,6,2204,83797.2135
F,F,COLLECT COD,2,Manufacturer#5,5-LOW,3,MACHINERY,REG AIR,2,0.05,12,Brand#53,22,WRAP CAN,3,2204,63571.23
F,F,COLLECT COD,4,Manufacturer#4,5-LOW,3,MACHINERY,FOB,5,0.07,20,Brand#43,22,JUMBO PACK,35,2204,2499.7056
F,F,NONE,2,Manufacturer#5,5-LOW,3,MACHINERY,MAIL,4,0.08,8,Brand#52,22,MED CAN,32,2204,73906.0385
F,F,NONE,3,Manufacturer#4,1-URGENT,4,MACHINERY,REG AIR,1,0.05,19,Brand#44,11,MED JAR,28,1795,16548.4665
F,F,TAKE BACK RETURN,3,Manufacturer#4,1-URGENT,4,MACHINERY,TRUCK,4,0.03,22,Brand#43,11,JUMBO BOX,40,1795,31364.8335
F,F,COLLECT COD,1,Manufacturer#2,1-URGENT,4,MACHINERY,SHIP,6,0.05,24,Brand#24,11,LG BAG,18,1795,24737.202
F,F,COLLECT COD,2,Manufacturer#5,3-MEDIUM,2,HOUSEHOLD,FOB,1,0.05,8,Brand#55,18,SM CASE,50,2205,7362.642
F,F,COLLECT COD,4,Manufacturer#4,1-URGENT,0,FURNITURE,AIR,1,0.05,20,Brand#45,15,WRAP JAR,7,2206,4434.0176
F,F,TAKE BACK RETURN,1,Manufacturer#4,1-URGENT,0,FURNITURE,RAIL,4,0.08,2,Brand#45,15,SM DRUM,15,2206,12103.8831
F,F,COLLECT COD,3,Manufacturer#2,1-URGENT,0,FURNITURE,AIR,2,0.01,22,Brand#21,15,MED BOX,5,2206,11980.2768
F,F,TAKE BACK RETURN,2,Manufacturer#4,1-URGENT,0,FURNITURE,FOB,3,0.01,9,Brand#45,15,SM CASE,12,2206,13489.9776
F,F,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,3,HOUSEHOLD,AIR,6,0.05,24,Brand#55,19,MED JAR,44,2207,35969.28
F,F,NONE,4,Manufacturer#2,2-HIGH,3,HOUSEHOLD,FOB,2,0.08,10,Brand#23,19,SM PACK,4,2207,23574.9
F,F,DELIVER IN PERSON,2,Manufacturer#3,2-HIGH,3,HOUSEHOLD,TRUCK,7,0.07,18,Brand#33,19,MED PKG,8,2207,14967.7066
F,F,TAKE BACK RETURN,1,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,SHIP,7,0.06,24,Brand#42,18,JUMBO CAN,37,2208,14354.3344
F,F,TAKE BACK RETURN,3,Manufacturer#1,3-MEDIUM,2,HOUSEHOLD,MAIL,4,0.08,19,Brand#11,18,SM BOX,9,2208,72346.4518
F,F,TAKE BACK RETURN,2,Manufacturer#2,3-MEDIUM,2,HOUSEHOLD,MAIL,2,0.04,18,Brand#23,18,WRAP PACK,42,2208,61462.6047
F,F,COLLECT COD,3,Manufacturer#2,3-MEDIUM,2,HOUSEHOLD,REG AIR,6,0.03,7,Brand#23,18,MED CASE,46,2208,30429.9
F,F,DELIVER IN PERSON,0,Manufacturer#1,3-MEDIUM,2,HOUSEHOLD,REG AIR,5,0.02,16,Brand#12,18,WRAP JAR,44,2208,44975.88
F,F,COLLECT COD,1,Manufacturer#3,1-URGENT,0,AUTOMOBILE,SHIP,5,0.06,17,Brand#35,0,LG PACK,27,2209,21454.17
F,F,DELIVER IN PERSON,0,Manufacturer#3,1-URGENT,0,AUTOMOBILE,AIR,4,0.03,5,Brand#34,0,JUMBO PACK,17,2209,24260.7864
F,F,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,0,AUTOMOBILE,MAIL,3,0.05,3,Brand#14,0,SM JAR,9,2209,24190.3872
F,F,DELIVER IN PERSON,0,Manufacturer#1,4-NOT SPECIFIED,0,BUILDING,MAIL,6,0.07,15,Brand#15,5,JUMBO BOX,28,1959,17354.8984
F,F,COLLECT COD,4,Manufacturer#5,4-NOT SPECIFIED,0,BUILDING,AIR,4,0.04,20,Brand#55,5,JUMBO CAN,5,1959,21896.6175
F,F,TAKE BACK RETURN,1,Manufacturer#4,4-NOT SPECIFIED,0,BUILDING,TRUCK,5,0.01,1,Brand#43,5,MED BOX,8,1959,12381.8898
F,F,COLLECT COD,2,Manufacturer#4,4-NOT SPECIFIED,0,BUILDING,AIR,3,0.02,21,Brand#45,5,JUMBO BAG,20,1959,28600.605
F,F,DELIVER IN PERSON,0,Manufacturer#1,4-NOT SPECIFIED,0,BUILDING,REG AIR,2,0,5,Brand#11,5,SM JAR,43,1959,31143.9
F,F,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,2,AUTOMOBILE,MAIL,2,0.06,2,Brand#31,8,LG BOX,24,2210,9039.3534
F,F,NONE,2,Manufacturer#4,2-HIGH,1,FURNITURE,AIR,1,0.05,12,Brand#45,2,LG BAG,15,492,33383.4256
F,F,NONE,1,Manufacturer#4,2-HIGH,1,FURNITURE,RAIL,2,0.05,2,Brand#42,2,JUMBO CASE,37,492,30015.1215
F,F,COLLECT COD,1,Manufacturer#3,2-HIGH,1,FURNITURE,RAIL,3,0,17,Brand#34,2,WRAP BOX,3,492,55415.5392
F,F,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,0,FURNITURE,RAIL,3,0.03,22,Brand#24,15,LG DRUM,18,1567,27415.9998
F,F,COLLECT COD,2,Manufacturer#4,1-URGENT,0,HOUSEHOLD,TRUCK,1,0.08,18,Brand#45,16,MED PKG,15,2152,56152.44
F,F,COLLECT COD,4,Manufacturer#4,1-URGENT,0,HOUSEHOLD,MAIL,7,0.06,13,Brand#41,16,JUMBO CASE,39,2152,53934.5492
F,F,NONE,4,Manufacturer#2,1-URGENT,0,HOUSEHOLD,RAIL,6,0.03,4,Brand#23,16,MED JAR,38,2152,16217.619
F,F,NONE,3,Manufacturer#1,1-URGENT,0,HOUSEHOLD,TRUCK,5,0.04,19,Brand#13,16,JUMBO JAR,17,2152,40780.66
F,F,DELIVER IN PERSON,0,Manufacturer#1,1-URGENT,0,FURNITURE,MAIL,5,0.06,14,Brand#14,15,LG BOX,40,1567,24891.264
F,F,COLLECT COD,3,Manufacturer#2,1-URGENT,0,FURNITURE,REG AIR,1,0.06,7,Brand#25,15,MED CASE,2,1567,50928.7528
F,F,NONE,4,Manufacturer#4,1-URGENT,0,FURNITURE,AIR,6,0.08,20,Brand#42,15,WRAP PKG,17,1567,28719.888
F,F,NONE,2,Manufacturer#3,1-URGENT,0,FURNITURE,RAIL,4,0.05,21,Brand#32,15,WRAP PACK,1,1567,36745.3548
F,F,TAKE BACK RETURN,4,Manufacturer#5,1-URGENT,0,FURNITURE,MAIL,2,0.05,20,Brand#51,15,WRAP CASE,22,1567,35040.41
F,F,COLLECT COD,0,Manufacturer#4,5-LOW,0,AUTOMOBILE,RAIL,5,0.02,14,Brand#45,16,JUMBO PACK,26,571,40504.7328
