l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,l_discount,s_nationkey,p_brand,c_nationkey,groupcol,aggcol
F,F,A,NONE,2,Manufacturer#3,1-URGENT,2,BUILDING,MAIL,1,0.06,0.09,8,Brand#33,12,7514,47
F,F,A,COLLECT COD,3,Manufacturer#5,1-URGENT,2,BUILDING,FOB,2,0.01,0.03,7,Brand#53,12,7514,26
F,F,A,NONE,2,Manufacturer#2,1-URGENT,2,BUILDING,REG AIR,4,0,0.1,12,Brand#25,12,7514,4
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,1-URGENT,2,BUILDING,TRUCK,3,0.02,0.01,4,Brand#25,12,7514,7
O,O,N,NONE,4,Manufacturer#4,1-URGENT,4,MACHINERY,FOB,2,0.04,0,20,Brand#41,10,7515,8
O,O,N,NONE,1,Manufacturer#3,1-URGENT,4,MACHINERY,SHIP,3,0.06,0.06,24,Brand#32,10,7515,23
O,O,N,TAKE BACK RETURN,3,Manufacturer#4,1-URGENT,4,MACHINERY,MAIL,1,0,0.09,23,Brand#43,10,7515,34
O,O,N,TAKE BACK RETURN,3,Manufacturer#4,3-MEDIUM,4,AUTOMOBILE,MAIL,3,0.02,0.06,19,Brand#45,20,7516,25
O,O,N,DELIVER IN PERSON,0,Manufacturer#1,3-MEDIUM,4,AUTOMOBILE,TRUCK,1,0.03,0.08,5,Brand#11,20,7516,47
O,O,N,DELIVER IN PERSON,3,Manufacturer#3,3-MEDIUM,4,AUTOMOBILE,AIR,2,0.07,0.06,19,Brand#32,20,7516,4
O,O,N,TAKE BACK RETURN,1,Manufacturer#5,1-URGENT,2,FURNITURE,FOB,1,0.06,0.09,24,Brand#51,9,7517,11
O,O,N,NONE,0,Manufacturer#1,1-URGENT,2,FURNITURE,MAIL,2,0.06,0.01,15,Brand#12,9,7517,44
O,O,N,NONE,3,Manufacturer#1,1-URGENT,2,FURNITURE,RAIL,3,0.06,0.02,22,Brand#11,9,7517,4
O,O,N,COLLECT COD,0,Manufacturer#5,2-HIGH,2,BUILDING,REG AIR,2,0.04,0.09,16,Brand#51,9,7518,24
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,2,BUILDING,SHIP,1,0.04,0.09,24,Brand#44,9,7518,9
O,O,N,TAKE BACK RETURN,0,Manufacturer#2,5-LOW,1,AUTOMOBILE,REG AIR,1,0.05,0.09,16,Brand#23,2,7519,41
F,F,A,COLLECT COD,1,Manufacturer#4,3-MEDIUM,3,FURNITURE,FOB,5,0.02,0.07,24,Brand#43,22,7520,5
F,F,A,DELIVER IN PERSON,2,Manufacturer#2,3-MEDIUM,3,FURNITURE,MAIL,2,0,0.04,8,Brand#24,22,7520,18
F,F,R,COLLECT COD,0,Manufacturer#3,3-MEDIUM,3,FURNITURE,MAIL,1,0,0.07,15,Brand#33,22,7520,16
F,F,R,NONE,1,Manufacturer#2,3-MEDIUM,3,FURNITURE,RAIL,4,0.07,0,24,Brand#23,22,7520,29
F,F,R,COLLECT COD,0,Manufacturer#4,3-MEDIUM,3,FURNITURE,RAIL,3,0.04,0.1,16,Brand#45,22,7520,25
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,3,FURNITURE,TRUCK,6,0.01,0.08,4,Brand#25,22,7520,22
O,O,N,COLLECT COD,3,Manufacturer#5,4-NOT SPECIFIED,1,HOUSEHOLD,MAIL,3,0.07,0,7,Brand#51,2,7521,49
O,O,N,DELIVER IN PERSON,1,Manufacturer#5,4-NOT SPECIFIED,1,HOUSEHOLD,FOB,2,0.08,0,24,Brand#55,2,7521,18
O,O,N,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,1,HOUSEHOLD,AIR,5,0.01,0,19,Brand#51,2,7521,29
O,O,N,DELIVER IN PERSON,4,Manufacturer#2,4-NOT SPECIFIED,1,HOUSEHOLD,REG AIR,4,0.06,0.08,4,Brand#22,2,7521,41
O,O,N,TAKE BACK RETURN,1,Manufacturer#1,4-NOT SPECIFIED,1,HOUSEHOLD,MAIL,1,0,0.1,1,Brand#14,2,7521,35
F,F,R,NONE,4,Manufacturer#1,5-LOW,3,HOUSEHOLD,SHIP,1,0.03,0.04,10,Brand#12,23,7522,9
O,O,N,COLLECT COD,3,Manufacturer#4,5-LOW,4,FURNITURE,FOB,3,0.08,0.07,7,Brand#44,13,7523,32
O,O,N,TAKE BACK RETURN,4,Manufacturer#1,5-LOW,4,FURNITURE,AIR,2,0.03,0.01,10,Brand#12,13,7523,36
O,O,N,NONE,2,Manufacturer#2,5-LOW,4,FURNITURE,FOB,4,0,0.1,21,Brand#24,13,7523,3
O,O,N,NONE,2,Manufacturer#5,5-LOW,4,FURNITURE,MAIL,5,0.01,0.07,18,Brand#52,13,7523,30
O,O,N,COLLECT COD,3,Manufacturer#2,5-LOW,4,FURNITURE,FOB,1,0.06,0.09,22,Brand#25,13,7523,6
F,F,R,TAKE BACK RETURN,2,Manufacturer#5,1-URGENT,3,FURNITURE,MAIL,1,0.06,0.03,18,Brand#51,23,7524,47
F,F,A,TAKE BACK RETURN,0,Manufacturer#2,1-URGENT,3,FURNITURE,RAIL,3,0.04,0.04,16,Brand#23,23,7524,24
F,F,A,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,3,FURNITURE,FOB,2,0.02,0.02,7,Brand#25,23,7524,42
O,O,N,COLLECT COD,4,Manufacturer#5,3-MEDIUM,3,HOUSEHOLD,TRUCK,1,0.08,0,4,Brand#51,7,7525,46
F,F,R,TAKE BACK RETURN,4,Manufacturer#2,4-NOT SPECIFIED,3,AUTOMOBILE,RAIL,1,0.04,0.07,11,Brand#25,7,7526,9
F,F,A,COLLECT COD,1,Manufacturer#3,4-NOT SPECIFIED,3,AUTOMOBILE,FOB,4,0,0.06,24,Brand#33,7,7526,15
F,F,R,COLLECT COD,0,Manufacturer#2,4-NOT SPECIFIED,3,AUTOMOBILE,MAIL,5,0.08,0.03,16,Brand#21,7,7526,37
F,F,A,COLLECT COD,2,Manufacturer#4,4-NOT SPECIFIED,3,AUTOMOBILE,RAIL,3,0.02,0.04,18,Brand#45,7,7526,30
F,F,R,COLLECT COD,3,Manufacturer#5,4-NOT SPECIFIED,3,AUTOMOBILE,AIR,2,0,0.03,22,Brand#53,7,7526,11
F,F,A,NONE,0,Manufacturer#1,4-NOT SPECIFIED,3,AUTOMOBILE,MAIL,6,0.05,0.09,0,Brand#12,7,7526,38
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,1-URGENT,3,HOUSEHOLD,REG AIR,1,0.04,0.08,6,Brand#25,22,7527,43
F,F,A,COLLECT COD,1,Manufacturer#3,1-URGENT,3,HOUSEHOLD,RAIL,2,0.04,0.04,3,Brand#34,22,7527,37
F,F,R,COLLECT COD,0,Manufacturer#1,1-URGENT,3,HOUSEHOLD,MAIL,2,0.08,0.02,14,Brand#12,7,7528,20
F,F,R,NONE,0,Manufacturer#5,1-URGENT,3,HOUSEHOLD,AIR,1,0.04,0.03,16,Brand#53,7,7528,35
O,O,N,NONE,2,Manufacturer#3,3-MEDIUM,1,FURNITURE,FOB,1,0.04,0.02,8,Brand#32,1,7529,45
O,O,N,NONE,4,Manufacturer#4,2-HIGH,1,MACHINERY,RAIL,1,0.06,0.07,13,Brand#41,1,7530,14
O,O,N,COLLECT COD,3,Manufacturer#2,2-HIGH,1,MACHINERY,REG AIR,2,0.04,0,7,Brand#24,1,7530,47
O,O,N,NONE,4,Manufacturer#2,1-URGENT,0,AUTOMOBILE,FOB,2,0.06,0.04,11,Brand#22,15,7531,34
O,O,N,TAKE BACK RETURN,1,Manufacturer#2,1-URGENT,0,AUTOMOBILE,RAIL,1,0.01,0.05,17,Brand#21,15,7531,26
O,O,N,NONE,0,Manufacturer#1,1-URGENT,0,AUTOMOBILE,AIR,3,0.04,0.08,16,Brand#12,15,7531,7
F,F,R,COLLECT COD,0,Manufacturer#1,5-LOW,0,HOUSEHOLD,FOB,1,0,0.06,16,Brand#13,0,7532,15
F,F,R,TAKE BACK RETURN,3,Manufacturer#1,5-LOW,0,HOUSEHOLD,RAIL,3,0.02,0.06,7,Brand#15,0,7532,29
F,F,A,TAKE BACK RETURN,3,Manufacturer#4,5-LOW,0,HOUSEHOLD,REG AIR,2,0,0.05,22,Brand#43,0,7532,26
F,F,R,TAKE BACK RETURN,3,Manufacturer#5,4-NOT SPECIFIED,1,AUTOMOBILE,AIR,4,0.08,0.09,19,Brand#55,3,7533,35
F,F,R,TAKE BACK RETURN,2,Manufacturer#2,4-NOT SPECIFIED,1,AUTOMOBILE,REG AIR,2,0.05,0,8,Brand#24,3,7533,34
F,F,R,DELIVER IN PERSON,3,Manufacturer#1,4-NOT SPECIFIED,1,AUTOMOBILE,MAIL,1,0,0.05,19,Brand#14,3,7533,31
F,F,A,DELIVER IN PERSON,2,Manufacturer#4,4-NOT SPECIFIED,1,AUTOMOBILE,SHIP,3,0.01,0.05,9,Brand#43,3,7533,27
F,F,A,DELIVER IN PERSON,0,Manufacturer#2,2-HIGH,0,AUTOMOBILE,RAIL,3,0.05,0,15,Brand#24,0,7534,7
F,F,A,NONE,4,Manufacturer#4,2-HIGH,0,AUTOMOBILE,TRUCK,4,0.01,0.04,4,Brand#44,0,7534,2
F,F,R,TAKE BACK RETURN,0,Manufacturer#3,2-HIGH,0,AUTOMOBILE,REG AIR,2,0,0.06,0,Brand#31,0,7534,37
F,F,R,NONE,4,Manufacturer#1,2-HIGH,0,AUTOMOBILE,MAIL,1,0.04,0.03,4,Brand#12,0,7534,15
O,O,N,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,4,BUILDING,FOB,4,0.05,0.07,17,Brand#55,20,7535,7
O,O,N,COLLECT COD,1,Manufacturer#3,2-HIGH,4,BUILDING,RAIL,3,0.02,0.07,3,Brand#33,20,7535,1
O,O,N,COLLECT COD,4,Manufacturer#2,2-HIGH,4,BUILDING,MAIL,6,0.03,0.03,10,Brand#23,20,7535,33
O,O,N,COLLECT COD,2,Manufacturer#1,2-HIGH,4,BUILDING,FOB,2,0.01,0.09,18,Brand#15,20,7535,49
O,O,N,COLLECT COD,1,Manufacturer#3,2-HIGH,4,BUILDING,REG AIR,5,0.03,0.1,24,Brand#34,20,7535,24
O,O,N,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,4,BUILDING,RAIL,1,0.06,0.08,4,Brand#13,20,7535,4
O,O,N,COLLECT COD,2,Manufacturer#1,1-URGENT,4,BUILDING,REG AIR,2,0.04,0,9,Brand#14,10,7536,6
O,O,N,NONE,0,Manufacturer#3,1-URGENT,4,BUILDING,RAIL,1,0.05,0.1,14,Brand#32,10,7536,22
O,O,N,NONE,4,Manufacturer#1,3-MEDIUM,3,FURNITURE,FOB,4,0.02,0.08,20,Brand#15,22,7537,26
O,O,N,COLLECT COD,3,Manufacturer#1,3-MEDIUM,3,FURNITURE,TRUCK,6,0.08,0.08,22,Brand#13,22,7537,2
O,O,N,NONE,0,Manufacturer#1,3-MEDIUM,3,FURNITURE,RAIL,3,0,0,5,Brand#12,22,7537,24
O,O,N,NONE,2,Manufacturer#3,3-MEDIUM,3,FURNITURE,MAIL,2,0,0.03,9,Brand#35,22,7537,6
O,O,N,COLLECT COD,2,Manufacturer#2,3-MEDIUM,3,FURNITURE,MAIL,5,0.05,0.07,18,Brand#21,22,7537,29
O,O,N,TAKE BACK RETURN,1,Manufacturer#3,3-MEDIUM,3,FURNITURE,REG AIR,1,0.07,0.02,1,Brand#35,22,7537,47
F,F,A,TAKE BACK RETURN,3,Manufacturer#4,1-URGENT,2,BUILDING,RAIL,1,0.05,0.05,23,Brand#45,12,7538,49
F,F,R,TAKE BACK RETURN,3,Manufacturer#4,2-HIGH,1,FURNITURE,MAIL,2,0.07,0.04,7,Brand#45,17,7539,13
F,F,R,DELIVER IN PERSON,1,Manufacturer#4,2-HIGH,1,FURNITURE,RAIL,4,0.08,0.06,24,Brand#44,17,7539,10
F,F,R,COLLECT COD,1,Manufacturer#4,2-HIGH,1,FURNITURE,RAIL,1,0.02,0.09,24,Brand#43,17,7539,17
F,F,R,COLLECT COD,3,Manufacturer#5,2-HIGH,1,FURNITURE,MAIL,3,0,0.06,22,Brand#51,17,7539,34
O,O,N,TAKE BACK RETURN,0,Manufacturer#1,1-URGENT,1,AUTOMOBILE,MAIL,1,0.05,0,14,Brand#14,2,7540,14
O,O,N,NONE,0,Manufacturer#4,1-URGENT,1,AUTOMOBILE,RAIL,6,0.06,0,16,Brand#43,2,7540,29
O,O,N,DELIVER IN PERSON,1,Manufacturer#5,1-URGENT,1,AUTOMOBILE,RAIL,5,0.07,0.08,3,Brand#54,2,7540,23
O,O,N,NONE,3,Manufacturer#4,1-URGENT,1,AUTOMOBILE,TRUCK,2,0.06,0.02,19,Brand#42,2,7540,43
O,O,N,COLLECT COD,4,Manufacturer#4,1-URGENT,1,AUTOMOBILE,MAIL,3,0.07,0.03,4,Brand#45,2,7540,17
O,O,N,TAKE BACK RETURN,1,Manufacturer#1,1-URGENT,1,AUTOMOBILE,REG AIR,4,0.02,0.01,17,Brand#14,2,7540,46
F,F,R,TAKE BACK RETURN,2,Manufacturer#1,1-URGENT,2,FURNITURE,MAIL,5,0.02,0.01,9,Brand#13,8,7541,23
F,F,A,NONE,4,Manufacturer#4,1-URGENT,2,FURNITURE,REG AIR,4,0.08,0.04,20,Brand#45,8,7541,11
F,F,A,NONE,0,Manufacturer#3,1-URGENT,2,FURNITURE,FOB,1,0.05,0.04,16,Brand#32,8,7541,5
F,F,R,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,2,FURNITURE,TRUCK,3,0.08,0.1,1,Brand#35,8,7541,10
F,F,A,NONE,2,Manufacturer#5,1-URGENT,2,FURNITURE,FOB,2,0.04,0.02,12,Brand#55,8,7541,7
F,F,A,TAKE BACK RETURN,3,Manufacturer#5,1-URGENT,2,FURNITURE,FOB,6,0.05,0.1,7,Brand#51,8,7541,42
O,O,N,TAKE BACK RETURN,2,Manufacturer#2,4-NOT SPECIFIED,2,HOUSEHOLD,SHIP,1,0.06,0.07,8,Brand#24,8,7542,27
O,O,N,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,MAIL,4,0.03,0.03,21,Brand#31,8,7542,5
O,O,N,COLLECT COD,3,Manufacturer#1,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,3,0,0.05,7,Brand#11,8,7542,27
O,O,N,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,SHIP,2,0.06,0.09,17,Brand#32,8,7542,13
O,O,N,DELIVER IN PERSON,4,Manufacturer#5,4-NOT SPECIFIED,2,HOUSEHOLD,AIR,5,0.07,0.09,4,Brand#51,8,7542,16
O,O,N,COLLECT COD,2,Manufacturer#1,2-HIGH,1,MACHINERY,MAIL,2,0.04,0.07,12,Brand#12,1,7543,6
O,O,N,DELIVER IN PERSON,4,Manufacturer#5,2-HIGH,1,MACHINERY,REG AIR,1,0.03,0.04,11,Brand#54,1,7543,20
F,F,R,COLLECT COD,2,Manufacturer#1,4-NOT SPECIFIED,0,MACHINERY,AIR,5,0.03,0.06,18,Brand#11,16,7544,9
F,F,R,NONE,0,Manufacturer#4,4-NOT SPECIFIED,0,MACHINERY,RAIL,2,0.02,0.05,14,Brand#43,16,7544,17
F,F,A,DELIVER IN PERSON,0,Manufacturer#3,4-NOT SPECIFIED,0,MACHINERY,REG AIR,4,0.02,0.05,0,Brand#32,16,7544,16
F,F,R,COLLECT COD,1,Manufacturer#2,4-NOT SPECIFIED,0,MACHINERY,REG AIR,1,0,0,24,Brand#22,16,7544,4
F,F,R,NONE,0,Manufacturer#4,4-NOT SPECIFIED,0,MACHINERY,FOB,3,0.06,0.01,16,Brand#42,16,7544,37
F,F,A,TAKE BACK RETURN,4,Manufacturer#3,4-NOT SPECIFIED,0,MACHINERY,FOB,6,0.06,0.08,10,Brand#32,16,7544,17
O,O,N,TAKE BACK RETURN,4,Manufacturer#3,3-MEDIUM,2,HOUSEHOLD,FOB,3,0.05,0.1,10,Brand#32,8,7545,33
O,O,N,DELIVER IN PERSON,1,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,AIR,1,0.01,0.1,2,Brand#43,8,7545,30
O,O,N,NONE,1,Manufacturer#5,3-MEDIUM,2,HOUSEHOLD,REG AIR,2,0.04,0.03,24,Brand#53,8,7545,8
F,F,A,TAKE BACK RETURN,4,Manufacturer#2,5-LOW,4,HOUSEHOLD,MAIL,3,0.08,0.08,10,Brand#24,10,7546,20
F,F,A,COLLECT COD,3,Manufacturer#4,5-LOW,4,HOUSEHOLD,REG AIR,2,0.05,0.05,19,Brand#44,10,7546,3
F,F,R,DELIVER IN PERSON,2,Manufacturer#1,5-LOW,4,HOUSEHOLD,TRUCK,1,0.06,0.1,12,Brand#12,10,7546,3
F,F,A,COLLECT COD,0,Manufacturer#2,5-LOW,4,HOUSEHOLD,REG AIR,4,0.05,0.05,16,Brand#24,10,7546,12
F,F,R,TAKE BACK RETURN,4,Manufacturer#5,5-LOW,4,HOUSEHOLD,FOB,3,0.03,0.07,11,Brand#55,11,7547,32
F,F,A,NONE,4,Manufacturer#2,5-LOW,4,HOUSEHOLD,SHIP,1,0.02,0.01,4,Brand#25,11,7547,3
F,F,R,NONE,2,Manufacturer#5,5-LOW,4,HOUSEHOLD,REG AIR,2,0,0.1,9,Brand#52,11,7547,7
F,F,R,NONE,2,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,TRUCK,5,0,0.09,18,Brand#14,2,7548,50
F,F,A,COLLECT COD,3,Manufacturer#5,3-MEDIUM,1,AUTOMOBILE,MAIL,2,0.05,0.04,7,Brand#54,2,7548,7
F,F,R,DELIVER IN PERSON,3,Manufacturer#2,3-MEDIUM,1,AUTOMOBILE,FOB,4,0.04,0,7,Brand#21,2,7548,39
F,F,A,DELIVER IN PERSON,3,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,FOB,3,0.05,0.09,19,Brand#31,2,7548,33
F,F,A,DELIVER IN PERSON,3,Manufacturer#4,3-MEDIUM,1,AUTOMOBILE,REG AIR,1,0.03,0.04,23,Brand#43,2,7548,15
F,P,R,DELIVER IN PERSON,2,Manufacturer#2,1-URGENT,0,AUTOMOBILE,SHIP,2,0,0.04,8,Brand#22,0,7549,20
O,P,N,NONE,4,Manufacturer#4,1-URGENT,0,AUTOMOBILE,RAIL,3,0.05,0.1,11,Brand#41,0,7549,11
O,P,N,TAKE BACK RETURN,0,Manufacturer#4,1-URGENT,0,AUTOMOBILE,TRUCK,1,0.06,0.09,15,Brand#41,0,7549,14
F,F,R,COLLECT COD,3,Manufacturer#1,5-LOW,1,BUILDING,AIR,1,0.04,0.02,6,Brand#13,17,7550,49
F,F,R,DELIVER IN PERSON,3,Manufacturer#4,5-LOW,1,BUILDING,SHIP,2,0.01,0,7,Brand#45,17,7550,22
F,F,R,COLLECT COD,0,Manufacturer#2,1-URGENT,3,MACHINERY,REG AIR,1,0.02,0.07,5,Brand#24,6,7551,13
F,F,R,NONE,0,Manufacturer#2,1-URGENT,3,MACHINERY,RAIL,6,0.08,0.06,14,Brand#21,6,7551,4
F,F,R,TAKE BACK RETURN,2,Manufacturer#4,1-URGENT,3,MACHINERY,MAIL,2,0.04,0.1,21,Brand#43,6,7551,18
F,F,A,TAKE BACK RETURN,2,Manufacturer#3,1-URGENT,3,MACHINERY,REG AIR,4,0,0.07,21,Brand#32,6,7551,28
F,F,A,COLLECT COD,4,Manufacturer#4,1-URGENT,3,MACHINERY,TRUCK,7,0.07,0.04,10,Brand#44,6,7551,28
F,F,A,COLLECT COD,1,Manufacturer#5,1-URGENT,3,MACHINERY,AIR,5,0.07,0.08,17,Brand#55,6,7551,17
F,F,A,TAKE BACK RETURN,0,Manufacturer#4,1-URGENT,3,MACHINERY,MAIL,3,0.05,0.09,14,Brand#42,6,7551,25
O,O,N,COLLECT COD,2,Manufacturer#2,3-MEDIUM,2,MACHINERY,TRUCK,4,0,0.05,8,Brand#21,12,7552,15
O,O,N,TAKE BACK RETURN,4,Manufacturer#5,3-MEDIUM,2,MACHINERY,REG AIR,1,0.06,0.05,4,Brand#52,12,7552,30
O,O,N,COLLECT COD,1,Manufacturer#1,3-MEDIUM,2,MACHINERY,TRUCK,3,0.06,0,1,Brand#12,12,7552,43
O,O,N,COLLECT COD,0,Manufacturer#2,3-MEDIUM,2,MACHINERY,RAIL,2,0.05,0.05,0,Brand#21,12,7552,30
O,O,N,TAKE BACK RETURN,1,Manufacturer#2,1-URGENT,4,BUILDING,FOB,4,0,0.1,24,Brand#21,4,7553,33
