l_linestatus,o_orderstatus,l_shipinstruct,sn_regionkey,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,c_nationkey,p_container,p_size,groupcol,aggcol
F,F,COLLECT COD,0,Manufacturer#3,3-MEDIUM,3,FURNITURE,RAIL,4,0.03,14,Brand#35,19,MED CAN,26,18,55095.2766
F,F,NONE,1,Manufacturer#2,2-HIGH,0,FURNITURE,RAIL,1,0.01,17,Brand#21,15,WRAP CAN,10,19,10974.3627
F,F,NONE,1,Manufacturer#5,1-URGENT,0,BUILDING,SHIP,5,0,17,Brand#51,0,LG JAR,48,20,11580.3786
F,F,TAKE BACK RETURN,1,Manufacturer#5,1-URGENT,0,BUILDING,RAIL,4,0.07,17,Brand#51,0,LG CAN,9,20,65381.337
F,F,NONE,3,Manufacturer#2,1-URGENT,0,BUILDING,FOB,1,0.08,22,Brand#22,0,MED BOX,36,20,22327.008
F,F,COLLECT COD,0,Manufacturer#2,1-URGENT,0,BUILDING,MAIL,3,0.07,14,Brand#21,0,WRAP BOX,46,20,15338.1312
F,F,TAKE BACK RETURN,2,Manufacturer#2,1-URGENT,1,MACHINERY,FOB,1,0.06,21,Brand#21,1,LG CASE,2,21,82433.533
F,F,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,1,MACHINERY,RAIL,5,0.05,1,Brand#32,1,JUMBO BOX,36,21,8785.954
F,F,COLLECT COD,4,Manufacturer#1,1-URGENT,1,MACHINERY,AIR,3,0.02,11,Brand#13,1,LG BAG,6,21,44435.3
F,F,DELIVER IN PERSON,1,Manufacturer#3,1-URGENT,1,MACHINERY,TRUCK,2,0.02,2,Brand#34,1,JUMBO BAG,9,21,49503.3721
F,F,TAKE BACK RETURN,4,Manufacturer#2,1-URGENT,1,MACHINERY,FOB,7,0.04,20,Brand#24,1,WRAP JAR,22,21,33990.411
F,F,NONE,3,Manufacturer#3,1-URGENT,1,MACHINERY,REG AIR,6,0.02,19,Brand#33,1,MED CAN,6,21,46430.118
F,F,NONE,0,Manufacturer#3,3-MEDIUM,0,MACHINERY,MAIL,1,0.01,15,Brand#32,0,MED JAR,43,22,7357.92
F,F,DELIVER IN PERSON,2,Manufacturer#4,3-MEDIUM,0,MACHINERY,MAIL,2,0.02,9,Brand#44,0,WRAP DRUM,16,22,60425.37
F,F,TAKE BACK RETURN,3,Manufacturer#2,3-MEDIUM,2,BUILDING,SHIP,2,0,6,Brand#23,8,JUMBO JAR,24,23,55902.7212
F,F,NONE,0,Manufacturer#4,3-MEDIUM,2,BUILDING,SHIP,1,0.02,16,Brand#42,8,JUMBO CASE,45,23,20027.42
F,F,COLLECT COD,3,Manufacturer#5,2-HIGH,0,HOUSEHOLD,MAIL,1,0.04,22,Brand#53,14,LG CASE,21,24,21663.1584
F,F,TAKE BACK RETURN,0,Manufacturer#3,1-URGENT,2,BUILDING,RAIL,3,0.02,15,Brand#35,18,MED BAG,16,25,52938.3855
F,F,TAKE BACK RETURN,4,Manufacturer#4,1-URGENT,2,BUILDING,AIR,1,0.05,4,Brand#42,18,MED DRUM,3,25,8583.95
F,F,NONE,3,Manufacturer#3,2-HIGH,1,MACHINERY,TRUCK,4,0.04,7,Brand#32,17,WRAP CASE,11,26,24011.7072
F,F,NONE,3,Manufacturer#3,2-HIGH,1,MACHINERY,REG AIR,3,0.08,7,Brand#35,17,WRAP DRUM,21,26,21687.939
F,F,COLLECT COD,2,Manufacturer#5,2-HIGH,1,MACHINERY,SHIP,6,0.02,9,Brand#52,17,JUMBO CASE,39,26,59213.709
F,F,NONE,2,Manufacturer#5,3-MEDIUM,0,AUTOMOBILE,AIR,6,0.06,21,Brand#55,5,JUMBO CAN,35,27,63578.51
F,F,TAKE BACK RETURN,4,Manufacturer#2,3-MEDIUM,0,AUTOMOBILE,SHIP,7,0.06,20,Brand#21,5,MED DRUM,8,27,48477.0692
F,F,TAKE BACK RETURN,4,Manufacturer#3,3-MEDIUM,0,AUTOMOBILE,RAIL,2,0,11,Brand#34,5,JUMBO PKG,21,27,1072.5225
F,F,TAKE BACK RETURN,0,Manufacturer#3,3-MEDIUM,0,AUTOMOBILE,RAIL,5,0.04,14,Brand#34,5,WRAP BAG,8,27,15521.142
F,F,COLLECT COD,1,Manufacturer#2,5-LOW,2,HOUSEHOLD,MAIL,1,0,2,Brand#24,9,WRAP BOX,4,28,2429.5396
F,F,TAKE BACK RETURN,0,Manufacturer#3,5-LOW,2,HOUSEHOLD,FOB,6,0.08,0,Brand#32,9,SM BAG,1,28,5637.06
F,F,TAKE BACK RETURN,0,Manufacturer#5,3-MEDIUM,2,AUTOMOBILE,AIR,2,0.04,0,Brand#51,21,MED CASE,11,29,14193.0976
F,F,TAKE BACK RETURN,1,Manufacturer#3,1-URGENT,1,FURNITURE,MAIL,6,0,1,Brand#31,2,SM BOX,1,30,63727.832
F,F,NONE,4,Manufacturer#4,1-URGENT,1,FURNITURE,FOB,4,0.02,10,Brand#41,2,SM JAR,39,30,8831.365
F,F,COLLECT COD,2,Manufacturer#1,5-LOW,1,FURNITURE,FOB,7,0.04,18,Brand#11,1,LG CASE,7,31,14101.893
F,F,TAKE BACK RETURN,4,Manufacturer#5,5-LOW,1,FURNITURE,REG AIR,6,0.01,20,Brand#55,1,WRAP JAR,14,31,42092.352
F,F,COLLECT COD,0,Manufacturer#4,1-URGENT,2,AUTOMOBILE,MAIL,1,0.02,5,Brand#45,8,WRAP BOX,48,32,64639.6872
F,F,NONE,3,Manufacturer#3,1-URGENT,2,AUTOMOBILE,SHIP,2,0.08,23,Brand#34,8,LG PKG,26,32,20298.65
F,F,DELIVER IN PERSON,3,Manufacturer#4,1-URGENT,2,AUTOMOBILE,AIR,4,0.07,22,Brand#44,8,JUMBO BOX,46,32,72537.3312
F,F,COLLECT COD,3,Manufacturer#3,5-LOW,2,MACHINERY,REG AIR,4,0.04,22,Brand#31,18,LG BOX,26,33,50582.896
F,F,DELIVER IN PERSON,2,Manufacturer#5,5-LOW,2,MACHINERY,FOB,1,0.07,21,Brand#53,18,JUMBO CASE,21,33,31009.6
F,F,DELIVER IN PERSON,2,Manufacturer#4,5-LOW,2,MACHINERY,RAIL,2,0.06,12,Brand#45,18,MED BOX,19,33,37472.8536
F,F,DELIVER IN PERSON,3,Manufacturer#4,5-LOW,2,MACHINERY,TRUCK,3,0.08,7,Brand#43,18,LG JAR,19,33,46699.092
F,F,TAKE BACK RETURN,1,Manufacturer#1,2-HIGH,0,FURNITURE,RAIL,1,0.06,17,Brand#13,5,WRAP CAN,36,34,12113.9172
F,F,COLLECT COD,0,Manufacturer#2,2-HIGH,0,FURNITURE,SHIP,5,0.06,14,Brand#21,5,MED JAR,16,34,29472.381
F,F,COLLECT COD,0,Manufacturer#5,5-LOW,1,HOUSEHOLD,AIR,2,0.07,14,Brand#52,3,WRAP PACK,9,35,49726.306
F,F,TAKE BACK RETURN,3,Manufacturer#3,5-LOW,3,BUILDING,MAIL,6,0.02,19,Brand#33,23,SM BAG,21,36,17766.3008
F,F,COLLECT COD,2,Manufacturer#3,5-LOW,3,BUILDING,SHIP,3,0.02,21,Brand#35,23,WRAP CASE,47,36,53218.711
F,F,DELIVER IN PERSON,4,Manufacturer#2,1-URGENT,3,FURNITURE,AIR,1,0.04,10,Brand#25,6,SM DRUM,1,37,53386.68
F,F,COLLECT COD,2,Manufacturer#4,3-MEDIUM,1,BUILDING,FOB,1,0.08,18,Brand#43,24,WRAP BOX,28,38,85661.4374
F,F,NONE,0,Manufacturer#1,2-HIGH,2,AUTOMOBILE,SHIP,5,0.07,0,Brand#13,18,LG BOX,45,39,24493.968
F,F,COLLECT COD,3,Manufacturer#5,2-HIGH,2,AUTOMOBILE,MAIL,4,0.04,19,Brand#51,18,MED PACK,42,39,33073.11
F,F,NONE,2,Manufacturer#3,2-HIGH,2,MACHINERY,TRUCK,1,0.03,12,Brand#35,18,WRAP PKG,24,40,39363.9426
F,F,NONE,3,Manufacturer#1,2-HIGH,2,MACHINERY,AIR,3,0.01,22,Brand#12,18,MED JAR,42,40,48171.6595
F,F,COLLECT COD,4,Manufacturer#4,5-LOW,1,BUILDING,AIR,1,0.02,4,Brand#45,24,SM JAR,42,41,2209.3316
F,F,COLLECT COD,4,Manufacturer#5,4-NOT SPECIFIED,4,AUTOMOBILE,SHIP,5,0.08,10,Brand#52,20,JUMBO PACK,37,42,65348.556
F,F,TAKE BACK RETURN,0,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,MAIL,3,0.05,5,Brand#33,20,WRAP BAG,40,42,76630.7178
F,F,NONE,4,Manufacturer#2,4-NOT SPECIFIED,4,AUTOMOBILE,TRUCK,4,0.06,20,Brand#22,20,LG PACK,10,42,56283.5208
F,F,COLLECT COD,0,Manufacturer#3,4-NOT SPECIFIED,4,AUTOMOBILE,REG AIR,7,0.08,5,Brand#34,20,JUMBO JAR,22,42,54209.61
F,F,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,3,MACHINERY,FOB,1,0.08,9,Brand#33,6,WRAP JAR,5,43,27188.064
F,F,DELIVER IN PERSON,3,Manufacturer#5,4-NOT SPECIFIED,3,MACHINERY,TRUCK,2,0.08,23,Brand#54,6,SM JAR,4,43,30219.7824
F,F,COLLECT COD,4,Manufacturer#3,4-NOT SPECIFIED,3,MACHINERY,REG AIR,3,0.04,20,Brand#31,6,JUMBO CASE,22,43,3768.8685
F,F,DELIVER IN PERSON,3,Manufacturer#3,5-LOW,4,HOUSEHOLD,REG AIR,2,0.01,23,Brand#35,13,SM BAG,18,44,47500.5384
F,F,NONE,1,Manufacturer#2,5-LOW,4,HOUSEHOLD,REG AIR,3,0.03,24,Brand#22,13,JUMBO BAG,29,44,41036.1
F,F,DELIVER IN PERSON,0,Manufacturer#1,5-LOW,4,HOUSEHOLD,TRUCK,6,0.08,5,Brand#12,13,MED JAR,26,44,5874.42
F,F,TAKE BACK RETURN,3,Manufacturer#2,1-URGENT,0,MACHINERY,FOB,3,0.08,7,Brand#25,16,WRAP BAG,27,45,18719.9793
F,F,NONE,0,Manufacturer#4,1-URGENT,0,MACHINERY,RAIL,1,0.05,14,Brand#41,16,WRAP CASE,49,45,41737.0512
F,F,COLLECT COD,2,Manufacturer#2,1-URGENT,0,MACHINERY,TRUCK,4,0.01,18,Brand#24,16,SM JAR,10,45,63314.86
F,F,TAKE BACK RETURN,2,Manufacturer#2,2-HIGH,0,AUTOMOBILE,AIR,1,0.03,9,Brand#21,5,JUMBO JAR,38,46,51229.854
F,F,TAKE BACK RETURN,0,Manufacturer#4,2-HIGH,0,AUTOMOBILE,TRUCK,2,0.08,16,Brand#43,5,SM BOX,34,46,57314.544
F,F,COLLECT COD,2,Manufacturer#4,2-HIGH,0,MACHINERY,TRUCK,2,0.07,9,Brand#41,0,LG CAN,48,47,3177.4224
F,F,NONE,2,Manufacturer#4,2-HIGH,0,MACHINERY,RAIL,5,0.08,21,Brand#42,0,MED BAG,10,47,40844.4096
F,F,NONE,3,Manufacturer#5,2-HIGH,0,MACHINERY,TRUCK,3,0,6,Brand#52,0,WRAP BAG,43,47,6658.4336
F,F,DELIVER IN PERSON,2,Manufacturer#4,1-URGENT,4,MACHINERY,REG AIR,3,0.02,21,Brand#44,11,WRAP BOX,2,48,65735.0784
F,F,DELIVER IN PERSON,2,Manufacturer#4,1-URGENT,4,MACHINERY,TRUCK,1,0.03,9,Brand#45,11,JUMBO JAR,50,48,7165.0176
F,F,COLLECT COD,3,Manufacturer#3,1-URGENT,4,MACHINERY,REG AIR,2,0,7,Brand#35,11,LG PACK,33,48,64507.32
F,F,NONE,1,Manufacturer#5,4-NOT SPECIFIED,1,BUILDING,RAIL,2,0.06,3,Brand#52,1,SM BAG,33,49,49488.9884
F,F,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,1,BUILDING,RAIL,1,0.04,21,Brand#35,1,LG JAR,28,49,32189.9391
F,F,DELIVER IN PERSON,1,Manufacturer#2,3-MEDIUM,1,AUTOMOBILE,RAIL,2,0.02,3,Brand#24,1,WRAP JAR,39,50,8518.8
F,F,NONE,4,Manufacturer#3,3-MEDIUM,1,AUTOMOBILE,FOB,1,0.05,13,Brand#33,1,LG CAN,45,50,34583.6304
F,F,DELIVER IN PERSON,1,Manufacturer#1,5-LOW,2,AUTOMOBILE,REG AIR,2,0.07,3,Brand#12,9,JUMBO JAR,34,51,70867.728
F,F,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,2,AUTOMOBILE,RAIL,3,0.03,21,Brand#34,9,SM PKG,2,51,24376.221
F,F,TAKE BACK RETURN,2,Manufacturer#3,5-LOW,2,AUTOMOBILE,SHIP,1,0.07,18,Brand#35,9,JUMBO CASE,17,51,5067.139
F,F,COLLECT COD,2,Manufacturer#1,5-LOW,2,AUTOMOBILE,FOB,4,0.08,12,Brand#12,9,JUMBO CASE,27,51,25692.0573
F,F,NONE,3,Manufacturer#4,3-MEDIUM,2,BUILDING,TRUCK,1,0.01,19,Brand#43,12,JUMBO PACK,39,52,36049.365
F,F,DELIVER IN PERSON,3,Manufacturer#4,3-MEDIUM,2,BUILDING,RAIL,2,0.02,22,Brand#45,12,SM BAG,43,52,56884.1
F,F,COLLECT COD,0,Manufacturer#5,1-URGENT,2,BUILDING,FOB,5,0.04,15,Brand#53,12,SM PKG,10,53,19508.048
F,F,DELIVER IN PERSON,2,Manufacturer#2,1-URGENT,2,BUILDING,SHIP,3,0.04,21,Brand#22,12,SM JAR,7,53,28059.5952
F,F,COLLECT COD,4,Manufacturer#3,1-URGENT,2,BUILDING,SHIP,6,0.05,10,Brand#35,12,JUMBO CASE,1,53,29580.3495
F,F,NONE,1,Manufacturer#2,1-URGENT,0,AUTOMOBILE,TRUCK,4,0.02,24,Brand#22,0,WRAP PKG,19,54,25723.796
F,F,NONE,1,Manufacturer#3,1-URGENT,0,AUTOMOBILE,FOB,2,0.01,24,Brand#31,0,JUMBO PKG,50,54,53659.6368
F,F,DELIVER IN PERSON,2,Manufacturer#5,1-URGENT,0,AUTOMOBILE,AIR,3,0.03,12,Brand#54,0,WRAP JAR,25,54,54739.7814
F,F,DELIVER IN PERSON,2,Manufacturer#5,1-URGENT,0,AUTOMOBILE,RAIL,6,0.07,8,Brand#52,0,MED PKG,32,54,30043.0755
F,F,COLLECT COD,3,Manufacturer#1,1-URGENT,0,AUTOMOBILE,AIR,1,0.08,23,Brand#15,0,SM BAG,20,54,14443.812
F,F,NONE,4,Manufacturer#3,1-URGENT,4,BUILDING,FOB,2,0.07,13,Brand#34,11,JUMBO JAR,1,55,40313.079
F,F,COLLECT COD,3,Manufacturer#5,1-URGENT,4,BUILDING,MAIL,5,0.03,7,Brand#52,11,SM PACK,41,55,15568.3552
F,F,COLLECT COD,0,Manufacturer#4,5-LOW,2,HOUSEHOLD,TRUCK,7,0.06,0,Brand#42,9,LG PACK,46,56,21626.6544
F,F,TAKE BACK RETURN,1,Manufacturer#4,1-URGENT,2,MACHINERY,FOB,3,0.06,24,Brand#43,9,SM PKG,15,57,6820.264
F,F,COLLECT COD,4,Manufacturer#5,1-URGENT,2,MACHINERY,TRUCK,5,0.07,4,Brand#54,9,JUMBO BOX,44,57,22366.8864
F,F,TAKE BACK RETURN,0,Manufacturer#1,1-URGENT,2,MACHINERY,SHIP,7,0.07,15,Brand#14,9,JUMBO JAR,21,57,12167.874
F,F,TAKE BACK RETURN,0,Manufacturer#5,1-URGENT,2,MACHINERY,REG AIR,2,0.01,14,Brand#53,9,WRAP BOX,25,57,38003.44
F,F,TAKE BACK RETURN,1,Manufacturer#2,4-NOT SPECIFIED,4,HOUSEHOLD,MAIL,1,0.07,17,Brand#22,11,LG DRUM,22,58,24755.661
F,F,NONE,0,Manufacturer#3,4-NOT SPECIFIED,4,HOUSEHOLD,FOB,3,0.08,14,Brand#34,11,WRAP BAG,20,58,15413.398
F,F,COLLECT COD,2,Manufacturer#3,4-NOT SPECIFIED,4,HOUSEHOLD,MAIL,4,0,18,Brand#32,11,SM CASE,32,58,8519.384
F,F,DELIVER IN PERSON,3,Manufacturer#1,4-NOT SPECIFIED,4,HOUSEHOLD,AIR,2,0.01,19,Brand#12,11,WRAP PKG,17,58,51025.868
F,F,DELIVER IN PERSON,0,Manufacturer#4,4-NOT SPECIFIED,4,HOUSEHOLD,TRUCK,1,0.04,14,Brand#45,11,WRAP BOX,27,59,31064.4
F,F,COLLECT COD,1,Manufacturer#4,2-HIGH,2,MACHINERY,REG AIR,4,0.04,2,Brand#41,8,SM DRUM,14,60,20635.1054
F,F,DELIVER IN PERSON,2,Manufacturer#5,1-URGENT,3,MACHINERY,AIR,4,0.06,21,Brand#54,6,SM BOX,6,61,30451.86
F,F,NONE,2,Manufacturer#1,1-URGENT,3,MACHINERY,FOB,7,0.05,21,Brand#15,6,JUMBO BOX,32,61,38554.32
F,F,TAKE BACK RETURN,2,Manufacturer#3,1-URGENT,3,MACHINERY,SHIP,1,0.03,21,Brand#32,6,SM BOX,45,61,22627.689
F,F,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,0,BUILDING,REG AIR,2,0.03,21,Brand#14,16,SM PKG,20,62,92294.53
F,F,NONE,2,Manufacturer#5,1-URGENT,1,BUILDING,FOB,1,0,9,Brand#53,1,LG JAR,46,63,23512.8192
F,F,DELIVER IN PERSON,3,Manufacturer#5,5-LOW,4,FURNITURE,RAIL,1,0.03,6,Brand#51,13,WRAP DRUM,41,64,29869.1848
F,F,TAKE BACK RETURN,4,Manufacturer#5,4-NOT SPECIFIED,1,BUILDING,FOB,5,0.05,11,Brand#54,3,LG JAR,37,65,10084.347
F,F,DELIVER IN PERSON,1,Manufacturer#3,4-NOT SPECIFIED,1,BUILDING,FOB,1,0.05,1,Brand#31,3,MED JAR,47,65,77734.9755
F,F,TAKE BACK RETURN,4,Manufacturer#3,5-LOW,2,MACHINERY,FOB,2,0.05,20,Brand#33,18,MED DRUM,35,66,30686.76
F,F,TAKE BACK RETURN,2,Manufacturer#1,5-LOW,2,MACHINERY,AIR,7,0.01,18,Brand#12,18,MED CASE,9,66,31441.4298
F,F,NONE,3,Manufacturer#3,5-LOW,2,MACHINERY,MAIL,3,0.05,22,Brand#34,18,LG BOX,35,66,9367.2376
F,F,NONE,3,Manufacturer#4,5-LOW,2,MACHINERY,AIR,6,0.08,19,Brand#43,18,MED JAR,49,66,71328.075
F,F,NONE,2,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,SHIP,3,0.01,21,Brand#13,18,WRAP DRUM,16,39,53647.5
F,F,COLLECT COD,2,Manufacturer#1,5-LOW,1,FURNITURE,FOB,2,0,9,Brand#13,2,LG CAN,21,67,25544.217
F,F,NONE,2,Manufacturer#5,5-LOW,1,FURNITURE,TRUCK,1,0.02,9,Brand#53,2,MED DRUM,42,67,44262.2712
F,F,COLLECT COD,4,Manufacturer#1,5-LOW,1,FURNITURE,MAIL,3,0.03,4,Brand#15,2,MED CASE,8,67,40183.668
F,F,DELIVER IN PERSON,4,Manufacturer#2,4-NOT SPECIFIED,3,MACHINERY,REG AIR,4,0.06,11,Brand#24,19,LG JAR,37,68,9062.9525
F,F,COLLECT COD,1,Manufacturer#4,4-NOT SPECIFIED,3,MACHINERY,MAIL,6,0.08,17,Brand#44,19,JUMBO BOX,1,68,6082.5208
F,F,NONE,1,Manufacturer#4,2-HIGH,1,AUTOMOBILE,SHIP,4,0.02,17,Brand#41,24,LG CAN,37,69,10372.941
F,F,DELIVER IN PERSON,1,Manufacturer#5,2-HIGH,1,AUTOMOBILE,RAIL,2,0.02,2,Brand#54,24,WRAP DRUM,43,69,74855.9196
F,F,DELIVER IN PERSON,0,Manufacturer#1,3-MEDIUM,2,AUTOMOBILE,REG AIR,5,0.05,0,Brand#15,18,WRAP PKG,3,39,6450.76
F,F,TAKE BACK RETURN,0,Manufacturer#4,5-LOW,2,MACHINERY,FOB,3,0.01,14,Brand#41,18,WRAP BAG,13,70,22154.418
F,F,TAKE BACK RETURN,2,Manufacturer#3,3-MEDIUM,1,FURNITURE,TRUCK,1,0.01,9,Brand#34,24,LG BOX,13,71,46941.3
F,F,TAKE BACK RETURN,4,Manufacturer#4,3-MEDIUM,1,FURNITURE,SHIP,5,0.02,10,Brand#42,24,MED BOX,37,71,68637.405
F,F,COLLECT COD,0,Manufacturer#3,3-MEDIUM,1,FURNITURE,MAIL,2,0.02,15,Brand#34,24,WRAP BAG,4,71,10804.9074
F,F,COLLECT COD,3,Manufacturer#4,1-URGENT,0,BUILDING,MAIL,2,0.07,22,Brand#44,16,JUMBO CASE,42,72,31559.22
F,F,DELIVER IN PERSON,2,Manufacturer#1,1-URGENT,0,BUILDING,SHIP,3,0,12,Brand#13,16,JUMBO PACK,14,72,49346.0352
F,F,DELIVER IN PERSON,1,Manufacturer#1,1-URGENT,0,BUILDING,AIR,1,0.03,2,Brand#14,16,MED CAN,5,72,4117.8456
F,F,COLLECT COD,3,Manufacturer#4,3-MEDIUM,1,MACHINERY,AIR,2,0.02,6,Brand#45,24,SM CAN,17,73,59274.243
F,F,DELIVER IN PERSON,2,Manufacturer#3,1-URGENT,1,MACHINERY,MAIL,3,0.06,21,Brand#33,17,SM CAN,6,74,59335.938
F,F,TAKE BACK RETURN,1,Manufacturer#4,1-URGENT,1,MACHINERY,AIR,1,0.04,24,Brand#41,17,JUMBO JAR,15,74,51681.28
F,F,DELIVER IN PERSON,2,Manufacturer#2,2-HIGH,4,HOUSEHOLD,AIR,2,0,9,Brand#23,4,WRAP PACK,28,75,22540.441
F,F,DELIVER IN PERSON,4,Manufacturer#1,2-HIGH,4,HOUSEHOLD,MAIL,3,0.06,4,Brand#13,4,SM BOX,31,75,49071.1518
F,F,TAKE BACK RETURN,1,Manufacturer#5,2-HIGH,4,HOUSEHOLD,AIR,4,0.04,3,Brand#53,4,SM PACK,47,75,37885.31
F,F,COLLECT COD,3,Manufacturer#3,1-URGENT,3,FURNITURE,REG AIR,4,0.04,6,Brand#33,7,LG CASE,38,76,4462.6626
F,F,NONE,4,Manufacturer#4,1-URGENT,3,FURNITURE,RAIL,3,0.03,20,Brand#43,7,MED CAN,40,76,1923.4468
