l_linestatus,o_orderstatus,l_returnflag,l_shipinstruct,p_mfgr,o_orderpriority,cn_regionkey,c_mktsegment,l_shipmode,l_linenumber,l_tax,s_nationkey,p_brand,p_container,p_size,l_quantity,groupcol,aggcol
F,F,A,DELIVER IN PERSON,Manufacturer#2,3-MEDIUM,3,FURNITURE,MAIL,2,0,8,Brand#24,WRAP BAG,28,18,3,27919.4688
O,O,N,NONE,Manufacturer#2,5-LOW,4,FURNITURE,FOB,4,0,21,Brand#24,WRAP PACK,40,3,1,3186.729
O,O,N,NONE,Manufacturer#5,5-LOW,4,FURNITURE,MAIL,5,0.01,18,Brand#52,WRAP CASE,10,30,2,46251.225
F,F,R,TAKE BACK RETURN,Manufacturer#5,1-URGENT,3,FURNITURE,MAIL,1,0.06,18,Brand#51,WRAP JAR,35,47,2,50340.478
F,F,A,COLLECT COD,Manufacturer#4,4-NOT SPECIFIED,3,AUTOMOBILE,RAIL,3,0.02,18,Brand#45,JUMBO PACK,34,30,2,27390.24
O,O,N,NONE,Manufacturer#3,3-MEDIUM,1,FURNITURE,FOB,1,0.04,8,Brand#32,LG PKG,14,45,3,61761.609
F,F,R,TAKE BACK RETURN,Manufacturer#2,4-NOT SPECIFIED,1,AUTOMOBILE,REG AIR,2,0.05,8,Brand#24,MED CASE,36,34,3,42137.22
F,F,A,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,1,AUTOMOBILE,SHIP,3,0.01,9,Brand#43,MED DRUM,43,27,4,26037.5715
O,O,N,COLLECT COD,Manufacturer#1,2-HIGH,4,BUILDING,FOB,2,0.01,18,Brand#15,LG CASE,25,49,2,47897.2403
O,O,N,COLLECT COD,Manufacturer#1,1-URGENT,4,BUILDING,REG AIR,2,0.04,9,Brand#14,SM JAR,20,6,4,10565.1
O,O,N,NONE,Manufacturer#3,3-MEDIUM,3,FURNITURE,MAIL,2,0,9,Brand#35,LG CAN,42,6,4,6339.0276
O,O,N,COLLECT COD,Manufacturer#2,3-MEDIUM,3,FURNITURE,MAIL,5,0.05,18,Brand#21,SM PKG,32,29,2,36124.4271
F,F,R,TAKE BACK RETURN,Manufacturer#1,1-URGENT,2,FURNITURE,MAIL,5,0.02,9,Brand#13,LG CAN,35,23,4,39091.7637
F,F,A,NONE,Manufacturer#5,1-URGENT,2,FURNITURE,FOB,2,0.04,12,Brand#55,LG BAG,45,7,0,11063.1906
O,O,N,TAKE BACK RETURN,Manufacturer#2,4-NOT SPECIFIED,2,HOUSEHOLD,SHIP,1,0.06,8,Brand#24,JUMBO BAG,25,27,3,37177.1127
O,O,N,COLLECT COD,Manufacturer#3,4-NOT SPECIFIED,2,HOUSEHOLD,MAIL,4,0.03,21,Brand#31,JUMBO BAG,9,5,1,4500.897
O,O,N,COLLECT COD,Manufacturer#1,2-HIGH,1,MACHINERY,MAIL,2,0.04,12,Brand#12,MED BAG,48,6,0,5133.7116
F,F,R,COLLECT COD,Manufacturer#1,4-NOT SPECIFIED,0,MACHINERY,AIR,5,0.03,18,Brand#11,LG JAR,40,9,2,9062.0982
F,F,R,DELIVER IN PERSON,Manufacturer#1,5-LOW,4,HOUSEHOLD,TRUCK,1,0.06,12,Brand#12,JUMBO PACK,30,3,0,3997.566
F,F,R,NONE,Manufacturer#5,5-LOW,4,HOUSEHOLD,REG AIR,2,0,9,Brand#52,MED CASE,20,7,4,5821.326
F,F,R,NONE,Manufacturer#1,3-MEDIUM,1,AUTOMOBILE,TRUCK,5,0,18,Brand#14,LG JAR,9,50,2,81621.995
F,P,R,DELIVER IN PERSON,Manufacturer#2,1-URGENT,0,AUTOMOBILE,SHIP,2,0,8,Brand#22,WRAP DRUM,26,20,3,32251.584
F,F,R,TAKE BACK RETURN,Manufacturer#4,1-URGENT,3,MACHINERY,MAIL,2,0.04,21,Brand#43,WRAP CASE,44,18,1,24601.482
F,F,A,TAKE BACK RETURN,Manufacturer#3,1-URGENT,3,MACHINERY,REG AIR,4,0,21,Brand#32,JUMBO BOX,23,28,1,34513.9368
O,O,N,COLLECT COD,Manufacturer#2,3-MEDIUM,2,MACHINERY,TRUCK,4,0,8,Brand#21,WRAP DRUM,29,15,3,17959.9875
O,O,N,NONE,Manufacturer#4,1-URGENT,4,BUILDING,TRUCK,2,0.02,21,Brand#45,WRAP CASE,18,2,1,2417.952
O,O,N,NONE,Manufacturer#5,1-URGENT,4,BUILDING,MAIL,5,0,21,Brand#54,WRAP BAG,15,1,1,1459.7456
F,F,R,NONE,Manufacturer#1,4-NOT SPECIFIED,1,BUILDING,SHIP,1,0,8,Brand#13,LG PACK,1,27,3,33894.423
F,F,R,TAKE BACK RETURN,Manufacturer#1,3-MEDIUM,4,HOUSEHOLD,RAIL,3,0.04,8,Brand#14,MED BOX,1,44,3,62978.916
F,F,A,DELIVER IN PERSON,Manufacturer#4,3-MEDIUM,4,HOUSEHOLD,AIR,2,0.04,9,Brand#44,LG BOX,26,30,4,44179.044
O,O,N,DELIVER IN PERSON,Manufacturer#5,5-LOW,0,BUILDING,RAIL,4,0.08,9,Brand#51,JUMBO DRUM,19,39,4,62824.788
O,O,N,NONE,Manufacturer#1,5-LOW,0,BUILDING,MAIL,7,0.08,9,Brand#12,SM BAG,46,48,4,40265.28
O,O,N,COLLECT COD,Manufacturer#1,3-MEDIUM,4,MACHINERY,SHIP,1,0.04,8,Brand#13,JUMBO PACK,15,7,3,11369.0556
F,F,A,TAKE BACK RETURN,Manufacturer#3,2-HIGH,0,FURNITURE,FOB,4,0.03,12,Brand#35,MED JAR,7,41,0,68994.4761
F,F,R,NONE,Manufacturer#1,2-HIGH,0,AUTOMOBILE,AIR,7,0.02,21,Brand#11,MED BAG,20,12,1,12637.8
F,F,R,NONE,Manufacturer#5,2-HIGH,0,AUTOMOBILE,MAIL,1,0.02,21,Brand#51,JUMBO JAR,20,3,1,3074.3076
F,F,R,TAKE BACK RETURN,Manufacturer#1,4-NOT SPECIFIED,1,AUTOMOBILE,RAIL,3,0.03,18,Brand#13,LG DRUM,22,20,2,32290.176
F,F,A,NONE,Manufacturer#1,4-NOT SPECIFIED,1,AUTOMOBILE,SHIP,2,0.07,8,Brand#14,LG PKG,30,19,3,19743.47
F,F,R,COLLECT COD,Manufacturer#4,4-NOT SPECIFIED,1,AUTOMOBILE,FOB,1,0.04,8,Brand#42,JUMBO BAG,1,36,3,58439.9088
F,F,R,DELIVER IN PERSON,Manufacturer#2,1-URGENT,3,AUTOMOBILE,FOB,2,0.08,21,Brand#24,JUMBO PACK,48,48,1,65638.08
F,F,R,NONE,Manufacturer#3,4-NOT SPECIFIED,1,MACHINERY,SHIP,1,0,9,Brand#34,MED BAG,17,10,4,10048.148
O,O,N,DELIVER IN PERSON,Manufacturer#2,4-NOT SPECIFIED,4,FURNITURE,TRUCK,4,0.07,8,Brand#24,JUMBO BAG,25,1,3,1450.9586
O,O,N,DELIVER IN PERSON,Manufacturer#5,4-NOT SPECIFIED,4,FURNITURE,REG AIR,6,0.03,8,Brand#55,JUMBO PACK,1,34,3,30421.4932
O,O,N,NONE,Manufacturer#4,4-NOT SPECIFIED,4,FURNITURE,FOB,3,0.04,8,Brand#44,WRAP BAG,4,24,3,25783.8768
F,F,A,COLLECT COD,Manufacturer#1,1-URGENT,2,AUTOMOBILE,FOB,1,0.06,21,Brand#11,JUMBO PKG,29,34,1,33822.622
F,F,A,TAKE BACK RETURN,Manufacturer#2,5-LOW,0,AUTOMOBILE,REG AIR,7,0.04,21,Brand#25,MED BAG,45,2,1,2129.8914
F,F,A,COLLECT COD,Manufacturer#2,5-LOW,0,AUTOMOBILE,AIR,6,0.04,8,Brand#25,MED DRUM,10,16,3,17118.9792
F,F,R,COLLECT COD,Manufacturer#3,3-MEDIUM,4,FURNITURE,AIR,3,0.08,12,Brand#34,MED CASE,43,50,0,53145.6
F,F,R,TAKE BACK RETURN,Manufacturer#5,3-MEDIUM,4,FURNITURE,SHIP,6,0.05,8,Brand#54,MED JAR,10,20,3,26418.21
F,F,A,TAKE BACK RETURN,Manufacturer#4,5-LOW,3,BUILDING,FOB,3,0.05,21,Brand#44,LG CASE,44,22,1,37726.5504
O,O,N,DELIVER IN PERSON,Manufacturer#1,1-URGENT,3,FURNITURE,AIR,7,0.04,21,Brand#12,JUMBO PACK,21,37,1,44156.1848
O,O,N,TAKE BACK RETURN,Manufacturer#3,1-URGENT,3,FURNITURE,RAIL,5,0.07,18,Brand#32,WRAP DRUM,27,3,2,3703.2615
F,F,A,TAKE BACK RETURN,Manufacturer#5,2-HIGH,0,MACHINERY,FOB,1,0.07,9,Brand#52,SM BOX,9,46,4,59016.528
O,O,N,DELIVER IN PERSON,Manufacturer#4,5-LOW,1,AUTOMOBILE,TRUCK,1,0.04,18,Brand#43,JUMBO PACK,25,21,2,27843.4674
F,F,A,DELIVER IN PERSON,Manufacturer#1,3-MEDIUM,3,BUILDING,TRUCK,1,0.02,18,Brand#12,JUMBO BAG,43,44,2,54432.7916
F,F,R,DELIVER IN PERSON,Manufacturer#2,3-MEDIUM,1,HOUSEHOLD,SHIP,4,0.01,8,Brand#21,JUMBO CAN,1,30,3,28632.582
O,O,N,COLLECT COD,Manufacturer#2,4-NOT SPECIFIED,1,FURNITURE,SHIP,4,0.05,21,Brand#24,WRAP PKG,14,39,1,67108.587
F,F,A,COLLECT COD,Manufacturer#3,4-NOT SPECIFIED,4,BUILDING,REG AIR,6,0,9,Brand#34,JUMBO CASE,49,2,4,1891.8246
O,P,N,DELIVER IN PERSON,Manufacturer#4,5-LOW,0,AUTOMOBILE,RAIL,1,0.05,9,Brand#44,SM JAR,27,29,4,38280.0145
O,P,N,COLLECT COD,Manufacturer#5,5-LOW,0,AUTOMOBILE,TRUCK,6,0,8,Brand#52,WRAP PACK,27,8,3,10077.3792
F,F,R,TAKE BACK RETURN,Manufacturer#4,3-MEDIUM,3,HOUSEHOLD,MAIL,4,0.03,18,Brand#42,MED CASE,29,37,2,44335.9937
F,F,A,NONE,Manufacturer#4,3-MEDIUM,3,HOUSEHOLD,AIR,2,0.02,8,Brand#44,WRAP BAG,38,49,3,85279.2864
O,O,N,TAKE BACK RETURN,Manufacturer#4,3-MEDIUM,2,HOUSEHOLD,REG AIR,5,0.02,8,Brand#43,JUMBO PACK,14,28,3,26180.84
O,O,N,DELIVER IN PERSON,Manufacturer#3,3-MEDIUM,1,FURNITURE,REG AIR,1,0,21,Brand#32,JUMBO BOX,23,41,1,50538.2646
O,O,N,NONE,Manufacturer#3,3-MEDIUM,1,FURNITURE,FOB,3,0.01,8,Brand#31,JUMBO BOX,34,44,3,73606.8168
O,O,N,COLLECT COD,Manufacturer#2,5-LOW,2,HOUSEHOLD,FOB,1,0.06,9,Brand#23,LG BAG,35,16,4,26653.536
F,F,R,DELIVER IN PERSON,Manufacturer#1,5-LOW,4,FURNITURE,TRUCK,5,0.06,12,Brand#15,MED PACK,22,13,0,14336.244
F,F,R,TAKE BACK RETURN,Manufacturer#5,5-LOW,4,FURNITURE,REG AIR,6,0.02,12,Brand#52,MED CAN,41,20,0,28955.528
F,F,A,DELIVER IN PERSON,Manufacturer#2,5-LOW,4,FURNITURE,FOB,4,0.06,18,Brand#23,SM PACK,36,27,2,36230.1849
F,F,R,DELIVER IN PERSON,Manufacturer#4,5-LOW,4,FURNITURE,FOB,3,0.02,21,Brand#45,MED CASE,23,29,1,32305.0662
F,F,A,NONE,Manufacturer#4,5-LOW,4,FURNITURE,REG AIR,1,0.03,12,Brand#41,JUMBO CASE,29,45,0,78968.25
O,O,N,NONE,Manufacturer#3,3-MEDIUM,3,FURNITURE,REG AIR,2,0.01,9,Brand#31,JUMBO BOX,34,38,4,59074.7088
O,O,N,DELIVER IN PERSON,Manufacturer#3,3-MEDIUM,3,FURNITURE,MAIL,1,0.01,21,Brand#34,SM PACK,48,27,1,31468.3488
O,O,N,TAKE BACK RETURN,Manufacturer#5,2-HIGH,2,BUILDING,AIR,2,0.03,18,Brand#51,MED PKG,36,6,2,10252.8
O,O,N,NONE,Manufacturer#4,2-HIGH,2,BUILDING,SHIP,3,0.01,9,Brand#45,MED PKG,15,13,4,17843.9976
F,F,A,TAKE BACK RETURN,Manufacturer#1,1-URGENT,1,AUTOMOBILE,FOB,2,0.02,12,Brand#14,SM PACK,10,26,0,25836.8448
F,F,A,NONE,Manufacturer#4,1-URGENT,1,AUTOMOBILE,TRUCK,6,0.01,21,Brand#43,LG BOX,16,37,1,33590.0763
F,F,R,NONE,Manufacturer#2,1-URGENT,3,HOUSEHOLD,RAIL,5,0.06,18,Brand#23,LG PACK,27,48,2,45850.6368
F,F,R,DELIVER IN PERSON,Manufacturer#5,1-URGENT,0,BUILDING,TRUCK,2,0.04,12,Brand#53,WRAP BAG,23,29,0,31615.51
F,F,R,TAKE BACK RETURN,Manufacturer#1,1-URGENT,0,BUILDING,FOB,3,0.04,21,Brand#14,MED BAG,18,42,1,37343.313
O,O,N,COLLECT COD,Manufacturer#1,5-LOW,4,BUILDING,TRUCK,1,0.05,18,Brand#14,JUMBO PACK,17,29,2,36056.628
O,O,N,NONE,Manufacturer#1,1-URGENT,1,FURNITURE,SHIP,1,0.05,9,Brand#15,MED CASE,8,21,4,21569.541
O,O,N,TAKE BACK RETURN,Manufacturer#1,4-NOT SPECIFIED,2,BUILDING,TRUCK,3,0.07,18,Brand#15,WRAP CASE,47,19,2,24994.8914
O,O,N,TAKE BACK RETURN,Manufacturer#3,4-NOT SPECIFIED,2,BUILDING,MAIL,4,0.06,9,Brand#33,LG DRUM,28,18,4,18685.1682
O,O,N,COLLECT COD,Manufacturer#1,4-NOT SPECIFIED,2,BUILDING,REG AIR,1,0.04,18,Brand#12,MED CAN,7,21,2,23566.536
F,F,A,DELIVER IN PERSON,Manufacturer#4,5-LOW,1,FURNITURE,FOB,5,0.01,21,Brand#41,SM JAR,26,10,1,16900.166
O,O,N,TAKE BACK RETURN,Manufacturer#5,4-NOT SPECIFIED,1,MACHINERY,MAIL,1,0.02,18,Brand#51,WRAP BAG,2,14,2,20503.812
O,O,N,NONE,Manufacturer#2,5-LOW,0,AUTOMOBILE,FOB,5,0.02,21,Brand#22,LG CAN,20,1,1,1012.8158
O,O,N,NONE,Manufacturer#1,4-NOT SPECIFIED,2,AUTOMOBILE,TRUCK,1,0.05,12,Brand#15,MED PACK,22,13,0,15769.8684
O,O,N,DELIVER IN PERSON,Manufacturer#2,3-MEDIUM,3,MACHINERY,TRUCK,1,0.01,9,Brand#25,LG DRUM,13,46,4,73790.325
F,F,A,TAKE BACK RETURN,Manufacturer#1,2-HIGH,1,BUILDING,AIR,2,0.05,21,Brand#13,SM BAG,9,15,1,14312.025
F,F,A,COLLECT COD,Manufacturer#4,5-LOW,4,MACHINERY,SHIP,2,0,21,Brand#42,JUMBO BAG,1,44,1,76920.9056
F,F,R,COLLECT COD,Manufacturer#4,5-LOW,4,MACHINERY,AIR,3,0.01,18,Brand#43,JUMBO PACK,25,13,2,18336.63
F,F,A,TAKE BACK RETURN,Manufacturer#3,5-LOW,4,AUTOMOBILE,AIR,4,0.06,8,Brand#32,LG PKG,43,43,3,46826.3894
O,O,N,DELIVER IN PERSON,Manufacturer#5,2-HIGH,4,MACHINERY,TRUCK,2,0.05,9,Brand#51,SM PKG,28,31,4,43019.2704
O,O,N,NONE,Manufacturer#5,2-HIGH,4,MACHINERY,MAIL,6,0.07,21,Brand#51,MED BAG,15,50,1,66426.18
F,F,A,COLLECT COD,Manufacturer#1,5-LOW,3,MACHINERY,SHIP,2,0,21,Brand#13,MED JAR,19,25,1,34609.485
O,O,N,DELIVER IN PERSON,Manufacturer#4,4-NOT SPECIFIED,1,BUILDING,MAIL,3,0.04,12,Brand#43,WRAP BAG,24,28,0,47731.992
O,O,N,COLLECT COD,Manufacturer#1,4-NOT SPECIFIED,1,BUILDING,FOB,4,0,18,Brand#14,JUMBO PACK,17,23,2,29549.8572
F,F,A,TAKE BACK RETURN,Manufacturer#3,3-MEDIUM,1,BUILDING,FOB,3,0.04,18,Brand#34,JUMBO CASE,19,45,2,78521.5485
F,F,R,TAKE BACK RETURN,Manufacturer#2,2-HIGH,1,FURNITURE,RAIL,5,0.06,8,Brand#21,WRAP DRUM,29,32,3,38717.952
O,O,N,TAKE BACK RETURN,Manufacturer#4,2-HIGH,1,BUILDING,REG AIR,2,0,9,Brand#45,MED PKG,15,33,4,43466.148
O,O,N,DELIVER IN PERSON,Manufacturer#4,2-HIGH,1,BUILDING,MAIL,3,0.02,21,Brand#44,MED DRUM,43,1,1,1419.7566
O,O,N,COLLECT COD,Manufacturer#2,2-HIGH,1,BUILDING,AIR,1,0.08,18,Brand#23,LG JAR,3,11,2,12250.2215
O,O,N,TAKE BACK RETURN,Manufacturer#2,2-HIGH,0,AUTOMOBILE,AIR,2,0.06,9,Brand#23,LG JAR,15,6,4,7605.6192
F,F,R,NONE,Manufacturer#5,4-NOT SPECIFIED,3,MACHINERY,REG AIR,4,0.05,21,Brand#54,MED BAG,31,46,1,76818.045
F,F,R,NONE,Manufacturer#5,5-LOW,4,AUTOMOBILE,REG AIR,1,0.03,18,Brand#54,SM DRUM,19,11,2,20385.7533
F,F,N,DELIVER IN PERSON,Manufacturer#5,4-NOT SPECIFIED,1,FURNITURE,RAIL,1,0.03,21,Brand#52,MED CASE,20,39,1,33514.2054
F,F,R,COLLECT COD,Manufacturer#4,4-NOT SPECIFIED,1,BUILDING,RAIL,4,0.04,18,Brand#45,SM PKG,31,30,2,31483.872
F,F,R,TAKE BACK RETURN,Manufacturer#1,4-NOT SPECIFIED,1,BUILDING,AIR,2,0.08,18,Brand#12,JUMBO DRUM,17,43,2,56390.63
F,F,A,NONE,Manufacturer#5,5-LOW,4,MACHINERY,AIR,4,0.02,21,Brand#51,LG PACK,42,48,1,80739.072
F,F,R,TAKE BACK RETURN,Manufacturer#1,4-NOT SPECIFIED,1,MACHINERY,RAIL,4,0.07,9,Brand#11,MED CASE,13,21,4,22249.1619
O,O,N,TAKE BACK RETURN,Manufacturer#5,3-MEDIUM,3,FURNITURE,RAIL,1,0,18,Brand#54,LG BOX,37,21,2,17620.0332
O,O,N,COLLECT COD,Manufacturer#5,2-HIGH,2,FURNITURE,SHIP,6,0.03,18,Brand#53,MED JAR,12,11,2,15915.2653
F,F,R,DELIVER IN PERSON,Manufacturer#1,3-MEDIUM,3,FURNITURE,FOB,2,0.03,21,Brand#15,MED PACK,22,6,1,6984.324
O,O,N,COLLECT COD,Manufacturer#3,4-NOT SPECIFIED,2,MACHINERY,FOB,1,0,21,Brand#34,WRAP PACK,30,23,1,34874.946
F,F,A,NONE,Manufacturer#4,1-URGENT,1,HOUSEHOLD,REG AIR,6,0.05,18,Brand#43,JUMBO PKG,13,35,2,32156.88
F,F,R,COLLECT COD,Manufacturer#1,1-URGENT,1,HOUSEHOLD,RAIL,3,0,9,Brand#13,JUMBO JAR,26,20,4,23024.84
O,O,N,TAKE BACK RETURN,Manufacturer#1,4-NOT SPECIFIED,3,FURNITURE,TRUCK,3,0,8,Brand#12,WRAP JAR,8,33,3,55404.5712
F,F,A,TAKE BACK RETURN,Manufacturer#2,5-LOW,3,HOUSEHOLD,RAIL,4,0.04,21,Brand#24,WRAP BAG,28,22,1,33768.339
F,F,R,NONE,Manufacturer#5,5-LOW,3,HOUSEHOLD,FOB,2,0.07,8,Brand#53,LG BAG,2,10,3,8631.45
O,O,N,TAKE BACK RETURN,Manufacturer#3,5-LOW,4,HOUSEHOLD,SHIP,1,0.01,18,Brand#35,SM BAG,16,41,2,47695.7633
F,F,R,NONE,Manufacturer#5,4-NOT SPECIFIED,3,BUILDING,MAIL,1,0.06,8,Brand#55,JUMBO DRUM,2,6,3,7087.014
F,F,A,COLLECT COD,Manufacturer#3,1-URGENT,3,BUILDING,REG AIR,2,0,8,Brand#35,WRAP BOX,44,5,3,7593.7775
F,F,A,NONE,Manufacturer#2,1-URGENT,3,BUILDING,RAIL,3,0.07,21,Brand#21,SM BOX,26,19,1,31821.7263
O,O,N,NONE,Manufacturer#3,2-HIGH,4,FURNITURE,REG AIR,1,0.06,9,Brand#33,LG DRUM,28,21,4,20675.6844
F,F,R,TAKE BACK RETURN,Manufacturer#5,5-LOW,4,FURNITURE,MAIL,1,0.03,8,Brand#52,WRAP CAN,4,9,3,14019.6915
F,F,R,COLLECT COD,Manufacturer#1,4-NOT SPECIFIED,1,BUILDING,MAIL,4,0.08,21,Brand#12,JUMBO BOX,20,13,1,18581.654
O,O,N,NONE,Manufacturer#4,5-LOW,4,HOUSEHOLD,AIR,1,0,21,Brand#45,MED CASE,23,11,1,11139.678
F,F,A,COLLECT COD,Manufacturer#3,5-LOW,1,AUTOMOBILE,TRUCK,2,0.05,21,Brand#35,SM PKG,23,24,1,22988.3712
F,F,R,COLLECT COD,Manufacturer#4,5-LOW,1,HOUSEHOLD,TRUCK,2,0.05,12,Brand#42,JUMBO CASE,6,25,0,40322.5125
O,O,N,COLLECT COD,Manufacturer#4,1-URGENT,4,MACHINERY,REG AIR,1,0.08,12,Brand#41,WRAP PKG,26,48,0,57565.92
O,P,N,DELIVER IN PERSON,Manufacturer#1,4-NOT SPECIFIED,1,MACHINERY,FOB,4,0.03,18,Brand#14,LG PKG,30,44,2,44350.0684
O,P,N,COLLECT COD,Manufacturer#2,4-NOT SPECIFIED,1,MACHINERY,FOB,1,0.08,18,Brand#23,MED DRUM,19,24,2,34849.8696
F,P,N,NONE,Manufacturer#1,4-NOT SPECIFIED,1,MACHINERY,REG AIR,2,0.08,18,Brand#13,WRAP JAR,27,14,2,14215.7036
F,F,A,COLLECT COD,Manufacturer#1,2-HIGH,0,HOUSEHOLD,REG AIR,2,0.03,18,Brand#15,MED CAN,19,13,2,13505.4712
F,F,R,NONE,Manufacturer#2,2-HIGH,0,HOUSEHOLD,FOB,5,0.02,18,Brand#24,WRAP PKG,14,1,2,1685.616
F,F,R,DELIVER IN PERSON,Manufacturer#5,2-HIGH,0,HOUSEHOLD,RAIL,3,0.02,8,Brand#54,MED PKG,43,5,3,8145.3475
F,F,A,NONE,Manufacturer#3,1-URGENT,1,BUILDING,FOB,6,0.04,12,Brand#33,WRAP CAN,6,46,0,74171.9088
F,F,R,TAKE BACK RETURN,Manufacturer#1,2-HIGH,1,AUTOMOBILE,RAIL,3,0.01,8,Brand#14,WRAP PKG,40,31,3,39733.785
O,O,N,TAKE BACK RETURN,Manufacturer#3,1-URGENT,4,AUTOMOBILE,TRUCK,4,0.07,8,Brand#34,SM CAN,5,10,3,11944.734
O,O,N,DELIVER IN PERSON,Manufacturer#1,1-URGENT,4,AUTOMOBILE,AIR,1,0.07,21,Brand#14,MED BAG,18,22,1,18929.79
O,O,N,TAKE BACK RETURN,Manufacturer#3,1-URGENT,4,AUTOMOBILE,REG AIR,6,0.02,12,Brand#33,WRAP DRUM,36,31,0,29922.3563
O,O,N,COLLECT COD,Manufacturer#2,5-LOW,2,MACHINERY,FOB,4,0.01,9,Brand#22,LG BOX,3,50,4,77271.84
F,F,R,NONE,Manufacturer#4,3-MEDIUM,4,HOUSEHOLD,MAIL,2,0.08,12,Brand#45,WRAP PKG,15,27,0,26367.7869
F,F,R,TAKE BACK RETURN,Manufacturer#3,3-MEDIUM,4,HOUSEHOLD,RAIL,3,0.02,8,Brand#33,SM PACK,13,28,3,32827.7712
F,F,R,DELIVER IN PERSON,Manufacturer#2,3-MEDIUM,4,HOUSEHOLD,TRUCK,4,0.05,12,Brand#24,LG PACK,50,14,0,13153.6944
O,O,N,COLLECT COD,Manufacturer#1,5-LOW,0,AUTOMOBILE,RAIL,2,0.05,9,Brand#15,SM JAR,25,25,4,34690.11
O,O,N,DELIVER IN PERSON,Manufacturer#4,1-URGENT,3,FURNITURE,FOB,1,0.04,8,Brand#45,MED JAR,35,46,3,75230.2492
O,O,N,NONE,Manufacturer#4,2-HIGH,0,FURNITURE,MAIL,1,0.01,18,Brand#44,LG BOX,26,40,2,60185.944
O,O,N,NONE,Manufacturer#1,2-HIGH,0,FURNITURE,AIR,3,0.02,18,Brand#13,JUMBO JAR,26,13,2,15942.199
F,F,R,COLLECT COD,Manufacturer#2,4-NOT SPECIFIED,1,MACHINERY,RAIL,4,0.06,8,Brand#21,JUMBO DRUM,13,46,3,78696.8
F,F,A,TAKE BACK RETURN,Manufacturer#4,3-MEDIUM,4,MACHINERY,TRUCK,3,0.08,8,Brand#42,WRAP DRUM,28,12,3,15082.182
F,F,A,COLLECT COD,Manufacturer#5,3-MEDIUM,4,MACHINERY,TRUCK,1,0.02,12,Brand#55,JUMBO DRUM,24,26,0,34234.889
O,O,N,COLLECT COD,Manufacturer#3,1-URGENT,3,BUILDING,REG AIR,1,0.05,8,Brand#35,SM PKG,35,25,3,39879.14
O,O,N,NONE,Manufacturer#4,1-URGENT,3,BUILDING,SHIP,5,0.03,21,Brand#41,WRAP BAG,10,36,1,59286.8268
O,O,N,TAKE BACK RETURN,Manufacturer#5,2-HIGH,2,AUTOMOBILE,RAIL,4,0,21,Brand#54,LG CASE,42,50,1,80150.77
O,O,N,NONE,Manufacturer#4,2-HIGH,2,AUTOMOBILE,AIR,1,0.02,18,Brand#43,JUMBO PACK,14,23,2,19570.1779
O,O,N,COLLECT COD,Manufacturer#2,2-HIGH,2,AUTOMOBILE,REG AIR,3,0.01,8,Brand#21,JUMBO CASE,31,4,3,4742.7136
F,F,A,NONE,Manufacturer#1,1-URGENT,0,MACHINERY,RAIL,1,0.02,8,Brand#15,SM JAR,15,23,3,27866.8782
F,F,R,COLLECT COD,Manufacturer#1,5-LOW,3,FURNITURE,MAIL,3,0.06,8,Brand#13,JUMBO PACK,17,48,3,86352.5376
