tableID	time	agg	o_orderstatus	sn_regionkey	p_mfgr	o_orderpriority	o_orderdate	l_shipinstruct	l_commitdate	cn_regionkey	l_shipdate	c_mktsegment	
1	0	37	0	1	4	3	7	3	33	1	36	3	
1	0	2	0	1	2	3	7	2	34	1	37	3	
1	0	39	0	1	1	3	7	0	35	1	38	3	
1	0	43	0	4	3	3	7	3	36	1	39	3	
1	0	30	0	1	3	3	7	0	36	1	39	3	
1	0	49	0	0	0	4	8	2	37	1	40	0	
1	0	44	0	1	1	4	8	0	38	1	41	0	
1	0	3	0	0	4	4	8	1	39	1	42	0	
1	0	2	0	1	3	4	8	3	40	1	43	0	
1	0	34	0	3	1	4	8	1	41	1	44	0	
1	0	8	0	1	1	4	8	1	42	1	45	0	
1	1	9	1	3	4	3	9	3	43	4	46	1	
1	2	1	1	0	4	3	9	1	44	4	47	1	
1	1	38	1	0	3	3	9	1	45	4	48	1	
1	1	7	1	1	0	3	10	2	46	0	49	3	
1	2	37	1	0	0	4	11	0	47	2	50	3	
1	1	15	1	4	0	3	12	0	48	2	51	2	
1	2	29	1	3	1	3	12	3	49	2	52	2	
1	2	40	1	0	1	3	12	0	50	2	53	2	
1	0	25	0	0	1	4	13	1	51	2	54	2	
1	0	25	0	2	2	4	13	2	52	2	55	2	
1	0	36	0	2	1	4	13	3	34	2	56	2	
1	0	3	0	4	4	4	13	1	36	2	34	2	
1	0	36	0	0	3	4	13	1	53	2	57	2	
1	2	26	1	0	1	3	14	3	54	3	58	1	
1	1	12	1	2	4	3	14	3	55	3	59	1	
1	1	12	1	0	3	3	14	3	56	3	60	1	
1	0	27	0	1	0	2	15	3	57	1	61	3	
1	0	13	0	1	3	2	15	1	58	1	62	3	
1	0	26	0	1	1	2	15	2	59	1	63	3	
1	0	19	0	0	2	2	15	0	60	1	64	3	
1	0	11	0	0	0	2	15	1	61	1	65	3	
1	2	38	1	1	2	4	16	3	62	2	66	0	
1	1	2	1	0	1	4	16	3	63	2	67	0	
1	2	43	1	0	4	4	16	2	25	2	68	0	
1	2	4	1	1	2	4	16	0	28	2	69	0	
1	1	37	1	1	4	4	16	0	64	2	70	0	
1	2	33	1	0	1	4	16	0	65	2	71	0	
1	1	13	1	2	1	4	16	2	66	2	72	0	
1	0	26	2	0	2	1	17	1	67	3	73	3	
1	0	34	2	1	4	1	17	1	68	3	74	3	
1	0	36	2	2	0	1	17	2	69	3	75	3	
1	0	35	2	0	0	1	17	3	70	3	76	3	
1	1	7	2	4	2	1	17	3	71	3	77	3	
1	1	49	1	0	3	2	18	0	72	0	78	4	
1	2	31	1	1	0	2	18	1	73	0	79	4	
1	1	37	1	4	1	2	18	1	74	0	80	4	
1	1	14	1	4	3	1	19	2	75	4	81	1	
1	2	19	1	4	0	1	19	0	76	4	82	1	
1	1	8	1	0	3	0	20	1	77	3	83	0	
1	2	34	1	1	0	3	21	1	78	1	84	3	
1	2	12	1	2	3	3	21	1	79	1	85	3	
1	1	42	1	1	2	3	21	2	80	1	86	3	
1	2	42	1	2	3	3	21	0	81	1	87	3	
1	1	35	1	0	1	3	21	2	82	1	88	3	
1	1	34	1	0	0	3	21	3	30	1	89	3	
1	1	6	1	1	1	3	21	1	82	1	90	3	
1	0	8	0	1	0	2	22	3	51	4	91	1	
1	0	24	0	0	0	2	22	2	83	4	92	1	
1	0	50	0	4	0	2	22	0	84	4	93	1	
1	0	3	0	3	1	2	22	1	85	4	94	1	
1	0	36	0	4	3	2	22	0	86	4	36	1	
1	0	27	0	4	0	2	22	0	87	4	95	1	
1	0	11	0	0	1	2	22	2	85	4	96	1	
1	2	11	1	1	2	1	23	3	88	2	97	0	
1	1	5	1	2	4	1	23	3	89	2	98	0	
1	1	30	1	4	2	1	23	2	90	2	99	0	
1	1	16	1	0	4	1	23	1	91	2	100	0	
1	2	17	1	2	4	1	23	3	92	2	101	0	
1	2	7	1	2	0	1	23	2	55	2	102	0	
1	0	23	0	0	0	4	24	3	93	1	64	1	
1	0	34	0	0	4	4	24	3	94	1	103	1	
1	0	36	0	1	3	4	24	3	95	1	104	1	
1	0	37	0	0	4	4	24	2	96	1	105	1	
1	0	3	0	1	4	4	24	2	97	1	106	1	
1	0	47	0	3	2	4	24	2	93	1	107	1	
1	1	7	1	3	0	3	25	1	98	1	108	2	
1	2	31	1	3	4	3	25	3	99	1	109	2	
1	2	38	1	1	0	3	25	0	100	1	110	2	
1	2	2	1	3	0	3	25	3	101	1	47	2	
1	1	23	1	4	4	3	25	2	102	1	111	2	
1	0	13	0	2	0	3	26	0	103	1	112	2	
1	2	46	1	0	1	4	27	0	104	0	113	0	
1	1	34	1	0	2	4	27	3	105	0	69	0	
1	1	20	1	1	3	4	27	0	106	0	114	0	
1	2	31	1	0	0	4	27	2	107	0	115	0	
1	0	24	0	1	2	1	28	1	108	0	116	1	
1	0	27	0	0	3	1	28	3	109	0	117	1	
1	0	19	0	1	3	1	28	2	110	0	118	1	
1	0	43	0	3	3	1	28	2	111	0	119	1	
1	0	3	0	3	4	1	28	3	112	0	120	1	
1	0	36	0	2	2	1	28	2	113	0	121	1	
1	2	12	1	4	0	2	29	3	114	3	122	2	
1	2	22	1	2	1	2	29	3	115	3	82	2	
1	2	10	1	2	3	2	29	2	116	3	123	2	
1	2	47	1	2	0	2	29	1	117	3	124	2	
1	1	18	1	2	3	2	29	2	118	3	125	2	
1	1	18	1	0	0	1	30	0	119	1	126	0	
1	2	23	1	1	0	1	30	2	120	1	127	0	
1	1	25	1	3	4	1	30	3	121	1	128	0	
1	2	3	1	1	3	1	30	3	16	1	129	0	
1	1	40	1	0	1	1	30	0	122	1	130	0	
1	1	3	1	0	1	1	30	3	122	1	131	0	
1	1	25	1	2	0	1	30	0	123	1	132	0	
1	0	15	0	3	4	0	31	1	124	3	133	0	
1	2	4	1	0	0	0	32	3	125	4	134	4	
1	1	2	1	0	2	0	32	3	126	4	71	4	
1	2	31	1	4	2	0	32	3	127	4	135	4	
1	2	38	1	4	0	0	32	3	128	4	136	4	
1	0	47	0	4	1	1	33	1	129	2	137	2	
1	0	30	0	2	4	1	33	1	130	2	138	2	
1	0	11	0	4	3	4	34	3	131	4	139	4	
1	0	37	0	1	3	4	34	2	132	4	140	4	
1	0	32	0	2	4	4	34	0	1	4	141	4	
1	0	21	0	2	2	4	34	1	133	4	142	4	
1	0	33	0	1	3	4	34	2	134	4	143	4	
1	0	39	0	4	0	4	34	0	135	4	144	4	
1	0	22	0	2	2	4	34	2	136	4	145	4	
1	0	10	0	1	3	2	35	3	137	1	146	2	
1	0	20	0	0	0	2	35	2	138	1	147	2	
1	0	50	0	3	0	1	36	0	139	2	148	3	
1	0	1	0	0	1	1	36	2	140	2	149	3	
1	0	3	0	0	1	1	36	1	141	2	150	3	
1	0	9	0	0	1	1	36	2	140	2	151	3	
1	0	20	0	3	1	1	36	3	142	2	152	3	
1	0	33	0	2	3	1	36	2	143	2	153	3	
1	0	29	0	3	0	0	37	3	144	3	154	3	
1	0	30	0	3	0	0	37	0	145	3	155	3	
1	0	42	0	1	3	0	37	2	146	3	156	3	
1	0	19	0	1	3	0	37	1	147	3	157	3	
1	0	31	0	2	0	0	37	2	40	3	158	3	
1	0	30	0	0	0	0	37	3	148	3	44	3	
1	1	45	1	1	1	2	38	0	149	3	159	4	
1	1	29	1	1	1	2	38	2	150	3	160	4	
1	2	46	1	4	4	2	38	3	151	3	161	4	
1	1	8	1	0	1	2	38	2	152	3	162	4	
1	2	50	1	0	3	2	39	1	153	4	163	0	
1	2	21	1	0	1	1	40	1	154	1	164	2	
1	2	38	1	2	4	1	40	2	155	1	165	2	
1	1	4	1	4	0	1	40	2	156	1	166	2	
1	2	29	1	2	0	1	40	1	157	1	167	2	
1	1	40	1	0	0	1	40	2	158	1	168	2	
1	1	41	1	4	4	1	40	2	159	1	169	2	
1	1	22	1	1	2	1	40	3	160	1	170	2	
1	0	23	0	1	0	1	41	1	161	4	171	1	
1	0	41	0	0	3	1	41	1	162	4	172	1	
1	0	33	0	4	3	1	41	1	163	4	173	1	
1	0	47	0	2	0	1	41	0	164	4	174	1	
1	0	42	0	1	2	1	41	3	165	4	175	1	
1	0	16	0	3	2	1	41	3	166	4	176	1	
1	0	16	0	2	2	1	41	2	167	4	177	1	
1	1	8	1	2	3	4	42	2	168	1	178	2	
1	1	34	1	1	0	4	42	3	169	1	179	2	
1	2	18	1	2	3	4	42	2	170	1	180	2	
1	2	44	1	1	1	4	42	2	171	1	181	2	
1	1	8	1	2	3	4	42	0	172	1	182	2	
1	2	36	1	3	3	0	43	1	73	4	183	3	
1	2	30	1	0	3	0	43	3	13	4	184	3	
1	2	28	1	0	2	0	43	3	173	4	185	3	
1	2	14	1	1	3	0	43	2	152	4	186	3	
1	1	36	1	4	2	0	43	3	174	4	162	3	
1	1	48	1	1	2	0	43	2	12	4	187	3	
1	2	15	1	4	3	3	44	2	175	0	188	1	
1	1	22	1	3	0	4	45	2	176	3	189	1	
1	2	46	1	0	1	4	45	1	177	3	190	1	
1	1	40	1	4	0	4	45	1	178	3	191	1	
1	1	22	1	1	4	4	45	3	179	3	192	1	
1	0	50	0	4	1	0	46	0	180	3	193	2	
1	0	45	0	2	2	0	46	2	181	3	194	2	
1	0	16	0	0	2	0	46	1	182	3	195	2	
1	0	14	0	1	3	0	46	0	182	3	196	2	
1	0	23	0	4	2	0	46	2	183	3	197	2	
1	2	44	1	2	2	2	2	3	184	2	160	3	
1	2	23	1	2	2	2	2	3	185	2	198	3	
1	2	42	1	4	4	2	2	2	186	2	199	3	
1	1	6	1	0	4	2	2	1	187	2	200	3	
1	2	25	1	2	4	2	2	0	150	2	201	3	
1	0	19	0	3	3	3	47	2	188	1	202	2	
1	0	19	0	2	2	3	47	2	189	1	203	2	
1	0	9	0	1	4	3	47	0	190	1	204	2	
1	0	31	0	4	2	3	47	2	191	1	205	2	
1	0	20	0	3	4	3	47	1	192	1	206	2	
1	2	2	1	3	2	0	48	3	193	4	135	2	
1	2	41	1	4	0	0	48	3	28	4	50	2	
1	1	5	1	1	4	0	48	2	194	4	207	2	
1	2	32	1	3	4	0	48	0	193	4	208	2	
1	2	50	1	2	0	0	48	1	81	4	209	2	
1	1	15	1	0	4	0	48	1	195	4	71	2	
1	1	23	1	1	2	0	48	1	196	4	210	2	
1	0	16	0	2	1	1	49	3	197	4	211	4	
1	0	24	0	2	0	1	49	2	198	4	212	4	
1	0	20	0	0	4	1	49	3	199	4	213	4	
1	2	11	1	1	2	1	50	0	200	2	30	1	
1	1	7	1	0	0	1	50	3	201	2	214	1	
1	1	33	1	1	0	1	50	0	202	2	215	1	
1	2	13	1	0	4	1	50	2	203	2	69	1	
1	2	40	1	2	4	1	50	3	204	2	216	1	
1	1	21	1	0	4	1	50	3	205	2	217	1	
1	1	45	1	3	3	1	50	2	206	2	218	1	
1	0	7	0	0	2	1	51	2	207	0	219	1	
1	0	7	0	1	2	1	51	0	208	0	220	1	
1	0	30	0	1	3	4	52	3	209	0	221	3	
1	0	34	0	0	0	4	52	2	83	0	222	3	
1	0	29	0	1	3	4	52	2	34	0	223	3	
1	0	40	0	3	2	4	52	1	210	0	224	3	
1	0	10	0	4	3	4	52	1	211	0	225	3	
1	2	24	1	0	2	2	53	3	212	0	226	2	
1	1	28	1	1	3	2	53	2	213	0	227	2	
1	1	15	1	3	3	2	53	1	214	0	228	2	
1	2	21	1	0	4	2	53	0	215	0	229	2	
1	1	28	1	2	1	2	53	2	216	0	182	2	
1	2	13	1	1	1	2	53	1	217	0	230	2	
1	0	39	0	1	3	3	54	0	218	2	231	2	
1	0	18	0	4	1	3	54	2	219	2	232	2	
1	0	19	0	1	4	3	54	1	220	2	233	2	
1	0	26	0	1	0	3	54	2	110	2	234	2	
1	1	9	1	1	0	3	55	1	221	2	81	2	
1	2	46	1	4	0	3	55	1	222	2	235	2	
1	2	47	1	0	0	3	55	0	223	2	236	2	
1	1	23	1	0	0	3	55	3	222	2	237	2	
1	2	39	1	4	4	3	55	0	224	2	238	2	
1	1	20	1	4	4	3	55	1	225	2	239	2	
1	2	44	1	1	1	3	55	3	226	2	240	2	
1	1	41	1	2	4	1	56	2	227	0	241	4	
1	1	5	1	2	2	1	56	3	228	0	242	4	
1	2	32	1	3	3	1	56	2	229	0	243	4	
1	1	15	1	4	3	1	56	2	230	0	244	4	
1	1	23	1	1	4	1	56	1	231	0	245	4	
1	0	12	0	2	1	0	57	3	232	1	246	0	
1	0	3	0	2	0	0	57	0	233	1	247	0	
1	0	32	0	0	0	0	57	1	233	1	248	0	
1	0	46	0	2	1	0	57	2	234	1	249	0	
1	0	15	0	0	1	0	57	2	235	1	250	0	
1	0	24	0	2	1	0	57	2	236	1	251	0	
1	0	9	0	4	1	0	57	0	237	1	252	0	
1	2	50	1	0	1	3	58	0	238	3	253	4	
1	1	32	1	1	3	3	58	3	239	3	254	4	
1	1	50	1	2	3	3	58	3	240	3	255	4	
1	1	22	1	1	1	3	58	1	241	3	226	4	
1	1	3	1	4	0	3	58	1	242	3	256	4	
1	2	39	1	0	2	3	58	1	243	3	257	4	
1	2	3	1	4	1	3	58	1	244	3	255	4	
1	1	10	1	4	1	1	59	1	245	0	258	0	
1	2	3	1	3	2	1	59	3	246	0	259	0	
1	2	21	1	0	3	1	59	2	245	0	47	0	
1	1	37	1	0	4	1	59	0	247	0	260	0	
1	2	50	1	4	1	1	59	0	248	0	261	0	
1	1	29	1	4	2	1	59	3	249	0	262	0	
1	0	5	0	4	0	3	60	0	250	2	36	4	
1	0	30	0	2	0	3	60	3	251	2	263	4	
1	0	5	0	0	1	3	60	1	252	2	264	4	
1	0	45	0	0	4	3	60	2	253	2	250	4	
1	0	28	0	1	0	3	60	2	254	2	265	4	
1	0	26	0	4	3	3	60	0	255	2	266	4	
1	0	41	0	0	0	3	60	1	256	2	267	4	
1	0	47	0	1	3	4	61	2	257	0	268	3	
1	0	48	0	1	0	4	62	0	258	1	269	1	
1	0	15	0	1	2	4	62	3	39	1	270	1	
1	0	3	0	1	0	4	62	1	259	1	271	1	
1	0	40	0	1	2	4	62	0	260	1	272	1	
1	0	3	0	0	4	4	62	1	39	1	273	1	
1	0	9	0	4	3	4	62	2	261	1	274	1	
1	1	7	1	2	3	2	63	3	262	4	14	1	
1	2	10	1	2	4	2	63	3	263	4	275	1	
1	2	42	1	4	4	2	63	2	264	4	276	1	
1	2	15	1	4	1	2	63	2	265	4	277	1	
1	1	20	1	4	2	2	63	3	266	4	278	1	
1	1	35	1	4	0	4	64	1	267	2	279	0	
1	1	3	1	4	4	4	64	3	268	2	280	0	
1	2	21	1	2	4	4	64	1	269	2	281	0	
1	1	50	1	0	3	4	64	1	270	2	282	0	
1	2	31	1	0	2	0	65	1	271	3	283	2	
1	2	23	1	1	2	0	65	2	272	3	284	2	
1	2	14	1	1	1	0	65	2	273	3	285	2	
1	2	16	1	4	2	0	65	2	274	3	286	2	
1	1	40	1	4	0	0	65	1	275	3	287	2	
1	2	22	1	1	3	0	65	2	276	3	288	2	
1	1	28	1	2	2	0	65	2	277	3	289	2	
1	1	19	1	0	0	2	66	1	278	2	290	1	
1	2	27	1	0	4	2	66	2	279	2	291	1	
1	2	3	1	4	2	2	66	0	280	2	292	1	
1	1	21	1	4	2	2	66	2	281	2	293	1	
1	2	15	1	0	1	4	67	1	282	2	294	1	
1	2	16	1	1	0	4	67	3	283	2	295	1	
1	2	1	1	4	4	4	67	2	284	2	296	1	
1	1	31	1	2	4	4	67	3	285	2	297	1	
1	1	9	1	1	1	2	68	1	286	3	298	3	
1	2	37	1	4	1	2	68	2	106	3	299	3	
1	1	42	1	1	1	2	68	0	287	3	300	3	
1	2	6	1	2	1	2	68	3	288	3	301	3	
1	2	36	1	0	3	2	68	3	289	3	210	3	
1	2	8	1	1	1	2	68	0	290	3	302	3	
1	1	14	1	2	3	2	68	0	291	3	303	3	
1	1	26	1	3	1	4	69	0	292	3	304	1	
1	2	8	1	2	0	4	69	2	293	3	305	1	
1	1	18	1	4	0	4	69	3	294	3	306	1	
1	1	43	1	0	2	0	70	2	295	0	307	1	
1	2	33	1	1	1	0	70	0	296	0	308	1	
1	2	39	1	1	0	4	71	1	297	2	10	1	
1	2	18	1	3	0	4	71	1	298	2	10	1	
1	1	46	1	3	2	4	71	1	174	2	309	1	
1	0	13	0	3	3	4	72	1	299	1	310	3	
1	0	17	0	0	0	4	72	1	300	1	311	3	
1	0	29	0	4	1	1	73	3	301	3	312	0	
1	0	37	0	0	0	1	73	0	302	3	266	0	
1	0	15	0	4	1	1	73	3	303	3	313	0	
1	0	49	0	4	2	0	74	0	304	1	314	4	
1	0	10	0	0	3	0	74	1	305	1	315	4	
1	0	44	0	4	2	0	74	0	306	1	316	4	
1	2	23	1	2	3	0	75	2	307	4	317	1	
1	0	2	0	0	3	4	76	1	308	4	318	3	
1	0	9	0	1	1	4	76	2	309	4	4	3	
1	1	34	1	2	1	1	77	1	310	2	319	2	
1	0	35	0	0	3	1	78	2	311	3	320	3	
1	0	27	0	2	0	1	78	2	109	3	321	3	
1	0	46	0	1	3	1	78	1	312	3	322	3	
1	0	42	0	1	2	1	78	1	312	3	323	3	
1	0	2	0	1	3	1	78	3	313	3	324	3	
1	1	4	1	2	1	3	79	2	47	0	325	1	
1	1	22	1	0	4	3	80	0	314	0	167	2	
1	2	23	1	2	2	3	80	0	154	0	326	2	
1	0	9	0	2	0	2	81	2	315	4	327	2	
1	0	16	0	3	1	2	81	1	316	4	41	2	
1	0	35	0	4	2	2	81	2	146	4	328	2	
1	1	18	1	4	0	2	82	0	81	2	69	4	
1	2	23	1	4	2	2	82	1	317	2	329	4	
1	2	8	1	1	0	2	82	2	318	2	330	4	
1	1	13	1	1	2	2	82	3	319	2	331	4	
1	0	39	0	0	4	2	83	1	320	3	332	3	
1	0	25	0	0	3	2	83	1	321	3	333	3	
1	0	6	0	0	0	2	83	2	322	3	334	3	
1	0	36	0	1	3	2	83	2	323	3	335	3	
1	0	18	0	4	3	2	83	1	324	3	336	3	
1	2	34	1	1	2	2	84	2	325	4	337	0	
1	1	39	1	2	2	2	84	2	326	4	32	0	
1	2	43	1	0	2	2	84	1	327	4	210	0	
1	2	23	1	1	4	2	84	1	200	4	338	0	
1	2	45	1	0	1	2	84	1	319	4	68	0	
1	2	27	1	0	2	2	84	1	128	4	339	0	
1	1	32	1	4	0	2	84	0	29	4	337	0	
1	1	9	1	4	3	4	85	3	328	0	340	4	
1	1	22	1	1	3	4	85	1	329	0	341	4	
1	2	45	1	4	2	4	85	3	82	0	340	4	
1	2	20	1	1	3	4	85	2	81	0	342	4	
1	2	19	1	2	4	4	85	1	330	0	343	4	
1	1	33	1	1	4	4	85	2	331	0	208	4	
1	2	14	1	0	4	2	86	0	149	2	344	0	
1	2	15	1	3	4	2	86	1	332	2	187	0	
1	2	49	1	4	1	2	86	3	173	2	201	0	
1	0	48	0	0	3	4	87	0	333	0	345	0	
1	0	11	0	3	0	4	87	3	334	0	346	0	
1	0	6	0	0	0	4	87	1	335	0	347	0	
1	0	10	0	0	3	0	88	3	336	0	348	3	
1	0	44	0	1	2	0	88	2	337	0	349	3	
1	0	12	0	4	0	0	88	2	338	0	350	3	
1	0	17	0	1	4	0	88	1	339	0	351	3	
1	0	26	0	2	3	0	88	3	340	0	352	3	
1	0	23	0	4	3	0	88	3	341	0	353	3	
1	0	10	0	2	4	0	88	1	342	0	354	3	
1	0	48	0	3	0	4	89	3	343	0	355	3	
1	0	15	0	0	4	4	89	1	344	0	356	3	
1	0	21	0	1	3	4	89	1	345	0	357	3	
1	0	14	0	2	0	4	89	2	346	0	358	3	
1	0	2	0	0	1	4	89	1	347	0	359	3	
1	0	28	0	1	0	4	89	3	348	0	360	3	
1	0	35	0	1	4	4	89	2	343	0	361	3	
1	0	38	0	1	0	4	90	0	349	4	362	1	
1	0	6	0	4	3	4	90	3	350	4	315	1	
1	0	23	0	3	3	4	90	0	351	4	363	1	
1	0	10	0	4	2	4	90	0	352	4	364	1	
1	0	37	0	3	4	4	90	1	353	4	363	1	
1	0	22	0	2	3	4	90	2	354	4	365	1	
1	1	8	1	1	3	3	91	0	355	3	169	3	
1	1	9	1	1	0	3	91	1	356	3	282	3	
1	2	37	1	2	3	3	91	1	357	3	366	3	
1	1	31	1	4	3	3	92	2	358	0	367	3	
1	2	36	1	0	2	3	92	1	359	0	368	3	
1	1	37	1	0	0	3	92	3	360	0	123	3	
1	2	36	1	0	2	3	92	1	278	0	369	3	
1	1	11	1	2	0	3	92	2	361	0	370	3	
1	2	2	1	0	1	1	93	1	362	0	371	1	
1	1	19	1	4	2	1	93	1	363	0	372	1	
1	2	15	1	4	4	4	94	0	364	0	373	3	
1	0	25	0	4	4	1	95	2	365	1	374	3	
1	0	28	0	2	1	0	96	3	366	3	375	3	
1	0	4	0	1	0	0	96	0	367	3	177	3	
1	0	13	0	1	0	0	96	1	368	3	376	3	
1	0	47	0	4	4	0	96	1	369	3	377	3	
1	0	42	0	0	2	0	97	0	370	4	378	3	
1	0	13	0	0	0	0	97	3	371	4	379	3	
1	0	5	0	4	0	0	97	0	372	4	93	3	
1	0	4	0	3	2	0	98	0	373	4	37	0	
1	0	26	0	1	4	0	98	2	374	4	380	0	
1	0	8	0	3	3	0	98	1	375	4	381	0	
1	0	27	0	4	2	0	98	3	376	4	382	0	
1	0	12	0	2	0	1	99	2	377	1	383	2	
1	0	25	0	0	3	4	100	0	378	4	384	0	
1	1	10	1	0	3	2	101	3	379	4	168	0	
1	2	26	1	1	3	2	101	1	380	4	385	0	
1	1	15	1	4	0	2	101	1	102	4	386	0	
1	1	20	1	1	3	2	101	1	44	4	259	0	
1	1	2	1	1	3	2	101	0	381	4	258	0	
1	1	38	1	0	2	2	101	2	382	4	366	0	
1	1	7	1	0	1	2	101	3	383	4	387	0	
1	2	49	1	2	1	4	102	1	384	4	276	3	
1	1	6	1	0	2	4	102	3	385	4	78	3	
1	1	36	1	2	4	0	103	3	386	0	388	4	
1	2	18	1	3	1	0	103	2	159	0	164	4	
1	0	24	0	2	1	3	104	3	387	0	389	3	
1	0	31	0	0	0	3	104	1	388	0	390	3	
1	0	7	0	0	0	2	105	1	389	0	391	2	
1	0	35	0	4	4	2	105	0	390	0	392	2	
1	0	32	0	1	2	2	105	1	391	0	393	2	
1	0	34	0	2	3	2	105	0	392	0	394	2	
1	0	42	0	4	1	2	106	1	393	0	91	3	
1	0	31	0	3	3	2	107	0	394	1	395	4	
1	0	3	0	4	2	2	107	1	395	1	396	4	
1	0	47	0	0	0	2	107	0	396	1	397	4	
1	0	47	0	2	4	2	107	0	316	1	398	4	
1	1	26	1	1	0	2	108	3	279	4	399	3	
1	1	12	1	1	1	2	108	3	397	4	192	3	
1	1	30	1	1	0	2	108	2	398	4	400	3	
1	1	19	1	0	3	2	108	0	399	4	401	3	
1	0	4	0	1	3	4	109	0	400	3	402	0	
1	0	48	0	4	4	4	109	2	401	3	403	0	
1	0	42	0	2	3	4	109	2	402	3	404	0	
1	0	38	0	1	0	4	109	2	403	3	405	0	
1	2	5	1	4	3	4	110	2	404	3	406	1	
1	1	10	1	4	1	4	110	0	405	3	407	1	
1	2	47	1	0	3	2	111	0	406	0	408	1	
1	1	31	1	0	2	2	111	0	407	0	409	1	
1	2	18	1	2	4	2	111	0	121	0	410	1	
1	1	48	1	1	1	2	111	0	408	0	411	1	
1	2	36	1	2	3	2	111	0	409	0	412	1	
1	1	3	1	4	2	2	111	1	410	0	413	1	
1	0	49	0	4	3	2	112	0	411	4	414	3	
1	0	36	0	1	1	2	112	2	412	4	415	3	
1	0	50	0	2	3	2	112	0	413	4	416	3	
1	0	27	0	1	2	0	113	2	414	1	417	3	
1	2	5	1	4	1	4	114	1	44	0	418	0	
1	1	30	1	1	4	4	114	3	102	0	419	0	
1	1	2	1	4	2	0	70	2	415	1	226	4	
1	2	44	1	3	0	0	70	0	416	1	420	4	
1	2	48	1	1	4	0	70	2	417	1	307	4	
1	1	13	1	0	1	0	70	1	418	1	421	4	
1	2	46	1	1	2	0	70	1	419	1	422	4	
1	2	2	1	1	1	0	70	0	420	1	277	4	
1	1	29	1	2	3	0	70	3	421	1	423	4	
1	0	20	0	3	3	0	115	2	422	1	424	2	
1	0	10	0	1	4	0	115	1	423	1	425	2	
1	0	42	0	3	3	0	115	1	422	1	426	2	
1	0	13	0	0	3	0	115	3	339	1	157	2	
1	0	21	0	2	0	1	116	3	424	1	427	0	
1	0	29	0	1	2	1	116	2	425	1	428	0	
1	1	10	1	1	1	0	117	2	426	3	429	4	
1	2	45	1	3	0	0	117	2	427	3	430	4	
1	1	40	1	1	2	1	118	2	428	1	261	3	
1	2	48	1	1	0	1	118	1	429	1	410	3	
1	2	37	1	0	3	1	118	2	430	1	431	3	
1	1	4	1	4	1	1	118	3	431	1	432	3	
1	1	39	1	1	4	1	118	2	432	1	433	3	
1	1	11	1	1	4	1	118	3	429	1	434	3	
1	2	35	1	1	0	1	118	0	433	1	411	3	
1	0	42	0	1	2	4	119	2	60	1	435	1	
1	0	7	0	1	1	4	119	0	434	1	436	1	
1	0	35	0	4	2	4	119	1	435	1	437	1	
1	0	32	0	3	2	4	119	3	57	1	104	1	
1	0	1	0	0	2	4	119	3	436	1	438	1	
1	0	7	0	1	3	3	120	2	437	3	439	0	
1	0	24	0	1	0	3	120	3	438	3	265	0	
1	0	34	0	4	0	3	120	2	439	3	440	0	
1	0	39	0	1	3	3	120	0	191	3	441	0	
1	0	47	0	2	3	3	120	0	437	3	442	0	
1	0	44	0	1	4	3	120	1	440	3	443	0	
1	3	36	1	1	1	4	121	2	441	2	444	2	
