tableid,timeline,agg,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,
1,9,1,0,1,0,1,33,0,32,5,0,7,5,2,
1,6,1,0,1,0,1,34,7,33,4,0,0,4,3,
1,7,1,0,1,0,1,35,7,34,4,0,5,4,0,
1,9,1,0,0,0,3,36,0,35,4,0,9,4,1,
1,7,1,0,1,0,1,37,2,36,2,0,0,2,0,
1,7,1,0,0,0,3,38,1,37,1,0,7,1,4,
1,7,1,0,0,0,3,39,1,38,1,0,7,1,4,
1,7,1,0,1,0,1,40,2,39,2,0,6,2,1,
1,9,1,0,4,0,1,10,0,40,4,0,8,4,2,
1,6,1,0,0,0,1,41,3,41,2,0,6,2,1,
1,5,1,0,0,0,5,42,1,42,1,0,7,1,0,
1,8,1,0,1,0,2,43,3,43,0,0,6,0,0,
1,7,1,0,1,0,1,44,3,43,2,0,3,2,1,
1,7,1,0,2,0,1,45,2,44,4,0,6,4,2,
1,6,1,0,0,0,1,46,7,45,4,0,8,4,1,
1,8,1,0,0,0,6,35,0,3,5,0,5,5,5,
1,8,1,0,0,0,6,47,0,46,5,0,5,5,5,
1,9,1,0,0,0,3,48,1,47,1,0,4,1,1,
1,8,1,0,0,0,3,49,1,48,1,0,3,1,2,
1,8,1,0,0,0,3,50,1,49,1,0,3,1,2,
1,9,1,0,1,0,4,51,0,50,6,1,0,6,2,
1,7,1,0,1,0,1,52,2,51,0,0,7,0,1,
1,7,1,0,0,0,6,53,1,52,1,0,4,1,2,
1,9,1,0,0,1,5,54,4,53,1,0,7,1,0,
1,6,1,0,1,0,1,55,3,54,2,1,6,2,0,
1,7,1,0,1,0,7,56,3,41,0,0,2,0,6,
1,8,1,0,1,0,2,57,2,55,2,0,6,2,2,
1,6,1,0,0,0,3,58,1,56,1,0,7,1,1,
1,6,1,0,1,0,3,59,3,57,1,0,0,1,2,
1,8,1,0,1,0,3,60,0,24,4,0,8,4,2,
1,4,1,0,0,0,3,61,7,58,1,0,3,1,1,
1,7,1,0,0,0,3,34,7,59,4,0,2,4,2,
1,7,1,0,4,0,1,62,3,60,2,0,4,2,2,
1,6,1,0,1,0,3,63,7,61,4,0,1,4,5,
1,5,1,0,7,0,3,64,7,62,7,0,1,7,0,
1,7,1,0,7,0,1,65,2,63,0,0,4,0,2,
1,8,1,0,1,4,7,66,7,64,4,0,6,4,0,
1,3,1,0,0,0,6,67,1,65,1,0,7,1,2,
1,7,1,0,0,0,1,68,2,66,0,0,2,0,1,
1,6,1,0,0,0,3,69,1,67,1,0,1,1,3,
1,7,1,0,1,0,3,70,3,23,4,0,6,4,5,
1,9,1,0,4,0,7,71,2,68,0,0,6,0,1,
1,7,1,0,0,0,3,72,1,28,1,0,10,1,2,
1,6,1,0,1,0,1,73,7,69,4,0,8,4,1,
1,7,1,0,0,0,3,74,1,70,1,0,1,1,5,
1,7,1,0,1,0,3,75,3,71,4,0,6,4,1,
1,7,1,0,0,0,6,76,1,72,1,0,3,1,1,
1,7,1,0,0,0,6,77,1,73,1,0,3,1,1,
1,9,1,0,1,0,4,78,0,74,0,0,0,0,2,
1,7,1,0,0,0,3,79,2,75,4,1,0,4,1,
1,7,1,0,0,0,1,80,0,76,5,0,8,5,1,
1,7,1,0,0,0,1,81,0,77,5,0,8,5,1,
1,8,1,0,1,0,4,82,3,78,5,0,3,5,1,
1,8,1,0,1,0,3,83,0,79,4,0,2,4,1,
1,7,1,0,0,0,1,84,1,80,1,0,4,1,2,
1,7,1,0,1,0,3,85,3,81,2,0,2,2,1,
1,7,1,0,0,0,3,8,0,82,4,0,0,4,1,
1,8,1,0,1,2,7,86,1,83,1,1,11,1,1,
1,6,1,0,1,0,2,87,7,23,4,0,8,4,2,
1,6,1,0,0,0,1,88,7,84,1,0,6,1,2,
1,7,1,0,4,0,2,89,3,68,5,0,4,5,5,
1,7,1,0,1,0,3,52,2,50,5,0,4,5,6,
1,9,1,0,1,0,2,90,5,85,2,0,6,2,0,
1,9,1,0,1,5,3,91,2,86,4,0,6,4,1,
1,8,1,0,1,0,2,92,3,87,3,0,1,3,2,
1,9,1,0,1,0,4,45,2,88,0,0,6,0,2,
1,6,1,0,0,0,3,93,1,59,1,0,4,1,2,
1,6,1,0,3,0,3,94,7,88,2,0,6,2,1,
1,6,1,0,3,0,3,95,7,89,2,0,7,2,1,
1,8,1,0,4,0,2,47,2,73,6,0,8,6,2,
1,8,1,0,1,0,1,96,0,84,4,0,8,4,0,
1,9,1,0,5,3,1,97,1,90,1,0,9,1,0,
1,6,1,0,0,0,6,98,7,91,7,0,8,7,2,
1,10,1,0,8,0,2,99,5,92,6,0,7,6,0,
1,8,1,1,1,0,4,100,2,93,6,0,3,6,2,
1,4,1,0,0,0,6,101,1,94,1,0,7,1,2,
1,8,1,0,4,0,1,102,1,73,1,0,0,1,5,
1,7,1,0,1,0,1,103,3,95,5,0,7,5,2,
1,7,1,0,5,0,3,104,0,96,7,0,6,7,0,
1,6,1,0,9,0,6,105,3,94,2,0,6,2,1,
1,2,1,0,0,0,6,106,6,97,7,1,7,7,2,
1,8,1,0,1,0,3,107,0,98,5,1,7,5,1,
1,5,1,0,0,0,3,108,1,37,1,0,0,1,2,
1,8,1,0,0,0,3,109,2,99,2,0,0,2,2,
1,6,1,0,1,2,1,110,7,88,2,0,6,2,1,
1,6,1,0,4,0,1,111,7,100,4,0,0,4,0,
1,7,1,0,3,0,1,112,3,101,4,1,7,4,0,
1,7,1,0,4,0,2,113,3,102,0,0,6,0,1,
1,7,1,0,1,0,3,114,4,103,4,0,0,4,0,
1,8,1,0,1,0,3,115,2,104,2,2,1,2,6,
1,9,1,0,1,0,6,116,1,28,1,1,10,1,2,
1,8,1,0,1,0,2,117,0,105,0,0,11,0,2,
1,8,1,0,1,0,2,118,2,106,0,0,6,0,1,
1,9,1,0,1,0,2,119,2,107,0,0,8,0,2,
1,7,1,0,1,0,4,120,3,108,6,0,6,6,5,
1,7,1,0,1,0,7,121,2,109,4,2,7,4,1,
1,9,1,0,0,0,1,122,1,110,1,0,1,1,0,
1,6,1,0,4,0,3,123,3,111,4,0,6,4,0,
1,7,1,0,0,0,3,124,1,11,1,0,9,1,1,
1,8,1,0,0,0,3,125,5,112,4,0,4,4,2,
1,3,1,0,0,0,6,126,1,113,1,0,7,1,2,
1,5,1,0,0,0,1,39,1,114,1,2,1,1,2,
1,10,1,0,10,0,2,127,8,115,0,2,2,0,1,
1,7,1,0,1,0,2,128,2,116,2,2,0,2,6,
1,7,1,0,3,0,3,129,3,75,7,0,0,7,0,
1,10,1,0,1,0,2,130,4,117,5,0,3,5,4,
1,6,1,0,0,0,3,131,1,72,1,0,3,1,1,
1,7,1,0,0,0,3,132,1,118,1,0,0,1,2,
1,7,1,0,0,0,1,133,1,119,1,0,7,1,1,
1,8,1,0,4,0,7,134,2,120,7,0,8,7,6,
1,5,1,0,0,0,1,135,7,88,4,0,8,4,0,
1,8,1,0,0,0,1,136,2,121,4,0,0,4,5,
1,6,1,0,0,0,2,137,7,66,2,0,6,2,2,
1,7,1,0,1,0,2,138,3,112,2,0,0,2,1,
1,8,1,0,0,0,3,139,2,12,2,2,4,2,1,
1,8,1,0,1,0,2,140,2,122,2,0,6,2,2,
1,6,1,0,1,0,2,141,7,123,2,1,6,2,2,
1,8,1,2,1,0,3,142,2,124,5,0,5,5,3,
1,6,1,0,0,0,3,143,2,125,4,0,7,4,3,
1,6,1,0,0,0,3,144,2,126,4,0,7,4,3,
1,8,1,0,4,0,2,145,2,127,0,2,8,0,1,
1,8,1,0,0,0,6,90,1,128,1,0,0,1,5,
1,6,1,0,5,0,7,146,1,111,1,0,8,1,0,
1,9,1,0,1,0,0,147,2,129,0,0,6,0,2,
1,9,1,0,1,0,2,148,3,130,0,2,11,0,5,
1,6,1,0,0,0,1,149,7,70,4,0,4,4,2,
1,10,1,0,0,0,1,150,0,125,4,0,4,4,1,
1,9,1,0,0,0,8,151,2,131,7,2,1,7,2,
1,8,1,0,4,0,2,152,0,132,4,0,6,4,5,
1,8,1,0,1,0,2,153,0,56,2,2,6,2,2,
1,8,1,0,0,0,3,154,0,11,4,2,7,4,1,
1,7,1,0,4,0,3,155,2,46,7,2,5,7,1,
1,7,1,0,4,0,1,156,3,133,2,2,3,2,1,
1,8,1,0,1,0,2,157,3,59,6,2,4,6,1,
1,6,1,0,0,0,3,158,7,91,4,0,8,4,1,
1,6,1,0,1,0,6,159,7,33,4,2,0,4,2,
1,8,1,3,4,0,2,7,0,134,4,2,4,4,1,
1,7,1,0,0,0,5,160,1,135,1,2,3,1,1,
1,8,1,0,1,0,0,161,2,136,0,2,6,0,0,
1,8,1,0,2,0,3,162,0,65,4,2,1,4,2,
1,8,1,0,1,0,2,68,0,137,0,2,8,0,4,
1,6,1,0,0,1,1,163,1,138,1,2,7,1,0,
1,8,1,0,2,0,3,164,0,139,4,2,8,4,0,
1,7,1,0,0,0,3,165,2,140,4,2,6,4,5,
1,6,1,0,4,0,2,166,7,141,2,2,4,2,1,
1,7,1,0,0,0,3,167,3,142,7,2,1,7,0,
1,7,1,0,0,0,1,168,1,143,1,2,7,1,4,
1,9,1,0,0,0,1,169,5,144,4,2,0,4,4,
1,6,1,0,0,0,3,170,2,145,4,2,5,4,5,
1,6,1,0,0,0,3,171,7,146,4,2,0,4,2,
1,8,1,0,1,0,1,172,2,147,4,2,4,4,4,
1,8,1,2,1,0,3,173,2,148,0,2,3,0,1,
1,6,1,0,0,0,1,174,3,5,2,2,7,2,2,
1,9,1,0,1,0,2,175,0,149,1,2,11,1,1,
1,7,1,0,1,0,2,176,3,150,4,2,6,4,2,
1,7,1,0,0,0,6,177,3,151,7,2,7,7,2,
1,6,1,0,11,0,1,178,2,152,7,2,7,7,2,
1,5,1,0,0,0,3,179,1,113,1,2,0,1,3,
1,7,1,0,4,0,1,131,1,153,1,2,9,1,2,
1,9,1,0,0,0,3,180,1,154,1,2,9,1,2,
1,6,1,0,0,0,3,181,1,87,1,2,7,1,2,
1,6,1,3,0,0,3,182,1,155,1,2,6,1,1,
1,7,1,0,0,0,3,183,1,132,1,2,2,1,0,
1,8,1,0,1,0,0,184,2,156,3,2,0,3,2,
1,6,1,0,0,0,8,185,1,157,1,2,7,1,2,
1,7,1,0,1,3,1,83,3,158,0,0,8,0,6,
1,7,1,2,1,0,2,186,0,159,0,2,6,0,2,
1,9,1,0,1,0,5,187,1,160,1,1,10,1,3,
1,6,1,0,4,0,6,188,7,161,4,2,3,4,0,
1,8,1,1,1,5,2,189,0,162,2,2,3,2,1,
1,7,1,0,0,0,3,59,3,23,4,2,6,4,2,
1,7,1,0,1,0,3,190,3,163,2,1,1,2,1,
1,7,1,0,1,0,3,190,3,164,2,1,1,2,1,
1,8,1,0,4,1,0,191,0,56,5,2,7,5,2,
1,6,1,0,1,0,1,192,3,60,2,2,8,2,0,
1,9,1,0,4,0,1,193,4,165,2,2,6,2,2,
1,6,1,0,4,0,3,194,7,166,1,2,4,1,1,
1,7,1,0,4,0,1,195,2,167,4,2,6,4,1,
1,7,1,0,0,0,6,63,3,168,4,2,8,4,0,
1,8,1,0,1,0,1,196,2,169,2,0,7,2,1,
1,6,1,0,0,5,3,197,7,37,2,0,6,2,2,
1,7,1,0,1,0,3,198,2,170,4,0,2,4,0,
1,7,1,0,4,2,1,199,4,171,0,0,8,0,1,
1,6,1,0,0,0,3,200,5,172,2,0,7,2,1,
1,9,1,2,0,1,5,201,0,173,1,0,0,1,3,
1,7,1,0,7,0,1,181,3,174,5,0,6,5,0,
1,7,1,0,0,0,3,202,2,175,4,0,5,4,1,
1,8,1,0,1,0,4,203,8,176,6,0,7,6,0,
1,6,1,0,1,2,3,204,3,177,2,0,6,2,5,
1,8,1,0,1,0,3,205,1,178,1,0,9,1,2,
1,7,1,0,4,0,5,206,2,179,2,0,8,2,2,
1,6,1,0,1,0,3,207,7,42,4,0,4,4,2,
1,8,1,0,1,0,2,208,2,180,2,0,0,2,1,
1,7,1,0,0,0,6,209,1,181,1,0,0,1,3,
1,9,1,0,3,0,3,210,4,182,4,0,0,4,1,
1,8,1,0,0,0,6,211,1,11,1,0,9,1,1,
1,6,1,0,0,0,3,212,7,183,4,0,0,4,5,
1,7,1,0,3,0,3,213,3,184,4,0,10,4,5,
1,6,1,0,0,0,3,214,3,45,4,0,8,4,2,
1,7,1,0,4,0,7,191,3,185,2,0,8,2,1,
1,7,1,0,1,0,1,215,2,186,0,0,8,0,1,
1,8,1,0,1,0,1,216,5,187,7,0,8,7,2,
1,7,1,0,1,0,3,217,3,188,4,0,6,4,1,
1,8,1,0,0,0,3,218,0,0,4,0,8,4,5,
1,8,1,0,0,0,3,219,2,132,7,0,5,7,1,
1,7,1,2,1,0,1,220,3,189,5,0,7,5,2,
1,8,1,4,1,6,2,84,9,8,0,0,8,0,2,
1,7,1,0,1,0,1,221,2,190,4,0,0,4,0,
1,6,1,0,0,0,6,222,1,179,1,0,7,1,5,
1,8,1,0,1,0,3,223,2,191,2,0,0,2,5,
1,6,1,0,0,0,6,224,7,192,4,0,4,4,1,
1,8,1,0,0,0,3,111,1,193,1,0,0,1,2,
1,8,1,0,0,0,3,225,0,194,7,0,0,7,0,
1,8,1,0,1,2,7,226,0,195,0,0,7,0,2,
1,6,1,0,9,0,2,227,3,196,6,0,0,6,2,
1,7,1,0,5,0,1,228,2,165,4,0,0,4,2,
1,8,1,0,1,6,7,229,5,197,4,0,0,4,4,
1,6,1,0,1,0,8,230,1,198,1,0,9,1,6,
1,8,1,0,1,0,2,231,2,199,6,0,0,6,0,
1,8,1,0,5,0,1,232,1,200,1,0,5,1,5,
1,6,1,0,1,0,7,233,3,201,4,3,3,4,2,
1,9,1,0,1,0,4,234,0,64,6,0,8,6,1,
1,7,1,0,1,0,4,235,2,202,0,0,6,0,2,
1,6,1,0,1,0,1,236,7,203,2,0,6,2,2,
1,7,1,0,1,0,3,237,1,204,1,0,10,1,5,
1,7,1,0,5,0,3,238,1,204,1,0,7,1,0,
1,6,1,0,5,0,7,239,7,205,4,0,6,4,1,
1,6,1,0,1,0,3,240,7,50,4,0,8,4,2,
1,6,1,0,9,0,2,140,2,126,6,0,6,6,2,
1,7,1,0,1,5,3,241,1,76,1,0,3,1,2,
1,7,1,0,1,6,8,242,2,206,8,0,7,8,2,
1,8,1,4,1,0,1,243,5,207,4,0,4,4,2,
1,7,1,0,1,0,1,244,7,208,4,0,8,4,2,
1,7,1,0,1,0,2,133,3,209,0,0,4,0,1,
1,5,1,0,1,0,3,245,7,205,4,0,0,4,6,
1,9,1,0,2,3,3,246,4,210,6,0,0,6,2,
1,6,1,0,1,0,3,247,7,211,2,0,8,2,2,
1,6,1,0,1,0,3,11,7,171,4,0,3,4,2,
1,6,1,0,1,0,3,193,7,132,4,0,6,4,1,
1,7,1,2,1,0,2,248,3,212,6,0,0,6,1,
1,8,1,0,1,2,6,249,3,213,7,0,4,7,0,
1,8,1,0,1,0,3,250,8,38,4,0,6,4,1,
1,6,1,0,1,0,3,251,2,130,4,0,6,4,1,
1,8,1,0,1,0,2,252,1,214,1,0,7,1,2,
1,7,1,0,1,0,3,253,2,81,3,0,6,3,1,
1,8,1,0,5,0,3,254,1,209,1,0,7,1,1,
1,7,1,0,1,0,7,255,3,215,5,0,3,5,2,
1,6,1,0,1,6,8,256,1,216,1,1,10,1,1,
1,8,1,5,1,0,6,57,1,217,1,1,10,1,3,
1,7,1,0,10,0,4,257,3,218,6,0,7,6,0,
1,8,1,0,1,0,3,258,4,219,2,0,0,2,2,
1,10,1,0,5,0,3,259,4,220,4,0,3,4,5,
1,6,1,0,5,0,3,260,1,221,1,0,0,1,2,
1,8,1,0,1,0,2,261,5,15,0,0,6,0,2,
1,8,1,0,1,0,2,262,0,222,0,0,6,0,2,
1,8,1,0,5,0,1,263,2,223,4,0,7,4,4,
1,6,1,0,1,0,7,264,7,224,4,0,6,4,0,
1,7,1,0,5,0,3,265,7,38,4,0,6,4,2,
1,7,1,0,10,0,2,266,5,225,6,0,6,6,2,
1,6,1,0,1,0,3,267,7,119,7,0,4,7,4,
1,3,1,0,1,2,6,268,1,226,1,0,9,1,6,
1,8,1,0,1,0,2,269,0,227,0,0,6,0,6,
1,7,1,0,1,0,1,270,3,228,4,0,4,4,1,
1,6,1,0,1,0,7,271,3,46,2,0,0,2,1,
1,9,1,0,5,0,3,272,0,190,4,0,0,4,2,
1,10,1,0,1,0,3,53,5,229,2,0,7,2,2,
1,10,1,0,1,0,7,273,5,230,4,0,0,4,1,
1,6,1,0,1,2,3,274,7,204,4,1,0,4,0,
1,7,1,0,1,0,2,275,2,231,3,0,6,3,6,
1,6,1,0,1,6,8,276,2,232,8,0,6,8,1,
1,6,1,0,1,6,8,277,2,233,8,0,6,8,1,
1,7,1,0,1,0,2,72,3,234,6,0,7,6,2,
1,6,1,0,1,0,3,278,7,235,4,0,0,4,2,
1,8,1,0,1,0,0,279,2,236,3,0,6,3,2,
1,7,1,0,4,0,1,280,2,103,0,0,0,0,2,
1,7,1,0,1,0,3,281,2,38,4,0,3,4,5,
1,9,1,0,1,0,2,282,0,92,6,0,6,6,1,
1,7,1,0,1,0,0,283,3,237,2,0,6,2,2,
1,7,1,0,1,0,4,284,3,37,6,0,1,6,1,
1,6,1,0,1,0,3,255,3,238,4,0,0,4,2,
1,6,1,0,7,3,3,200,7,239,4,1,10,4,0,
1,6,1,0,1,0,3,285,7,183,4,0,0,4,0,
1,6,1,0,5,0,3,286,7,16,4,0,6,4,2,
1,6,1,0,1,0,1,287,2,240,2,0,0,2,1,
1,7,1,0,1,0,2,178,3,241,0,0,6,0,2,
1,7,1,0,8,0,2,288,3,224,2,0,0,2,2,
1,7,1,0,1,0,3,289,3,130,5,0,6,5,1,
1,4,1,0,5,0,3,206,1,209,1,0,0,1,2,
1,9,1,0,1,0,3,290,0,242,2,0,10,2,2,
1,6,1,0,5,0,7,253,1,243,1,0,8,1,2,
1,10,1,0,2,0,3,291,4,244,4,0,6,4,2,
1,7,1,0,1,0,3,292,3,214,2,0,7,2,6,
1,8,1,0,1,0,1,181,0,245,0,0,11,0,3,
1,6,1,0,5,0,3,169,3,246,4,0,0,4,1,
1,6,1,0,1,5,3,293,7,247,4,0,3,4,2,
1,6,1,0,5,0,3,294,7,248,4,0,6,4,4,
1,8,1,0,1,2,4,295,2,103,6,0,3,6,2,
1,9,1,0,1,0,3,296,1,154,1,1,11,1,2,
1,8,1,0,1,0,3,297,1,249,1,1,6,1,1,
1,8,1,0,5,0,3,298,1,250,1,0,4,1,1,
1,7,1,0,1,0,3,299,0,251,2,0,0,2,1,
1,6,1,0,1,0,2,183,7,84,5,0,6,5,1,
1,8,1,0,1,0,3,300,0,252,4,0,4,4,3,
1,8,1,0,1,0,3,301,0,253,4,0,4,4,2,
1,6,1,0,1,0,3,302,5,254,4,0,0,4,0,
1,6,1,0,5,0,3,303,3,255,4,0,1,4,2,
1,9,1,0,1,0,3,304,0,55,7,0,4,7,0,
1,7,1,0,5,0,1,305,3,31,5,0,8,5,0,
1,7,1,0,5,0,1,306,3,256,4,0,3,4,0,
1,8,1,0,5,0,1,26,1,257,1,0,0,1,5,
1,7,1,0,1,0,3,307,3,54,4,0,6,4,1,
1,6,1,0,1,0,7,120,3,258,4,0,0,4,0,
1,4,1,0,1,6,8,308,7,55,8,0,10,8,3,
1,6,1,0,5,0,3,309,1,259,1,0,9,1,6,
1,9,1,0,1,0,2,310,0,260,0,0,3,0,2,
1,6,1,0,5,0,3,311,7,132,2,0,8,2,2,
1,6,1,0,1,0,1,312,3,261,4,0,4,4,2,
1,6,1,0,1,6,6,313,7,216,4,1,10,4,3,
1,6,1,0,1,6,3,314,6,262,8,0,10,8,2,
1,6,1,0,1,0,3,315,3,263,4,0,4,4,2,
1,10,1,0,1,0,2,316,4,264,0,0,1,0,2,
1,8,1,0,12,0,3,317,2,265,4,0,6,4,2,
1,7,1,0,1,0,4,318,0,121,6,0,7,6,1,
1,8,1,0,1,0,4,319,2,266,0,0,0,0,1,
1,6,1,0,1,0,7,320,7,33,4,0,6,4,2,
1,6,1,0,1,0,2,321,3,267,0,0,6,0,2,
1,6,1,0,1,0,7,322,3,268,0,0,6,0,2,
1,8,1,0,1,0,7,211,2,93,0,0,8,0,4,
1,6,1,0,1,0,7,323,7,269,5,0,6,5,2,
1,7,1,0,1,0,2,324,3,183,0,0,7,0,0,
1,6,1,0,5,0,1,325,7,270,4,0,6,4,2,
1,6,1,0,1,0,3,326,1,143,1,0,6,1,0,
1,7,1,0,1,0,2,327,3,271,0,0,6,0,1,
1,4,1,0,1,0,3,328,1,272,1,0,8,1,1,
1,4,1,0,1,0,3,329,1,273,1,0,8,1,1,
1,6,1,0,1,0,3,330,7,274,4,0,7,4,0,
1,6,1,0,1,0,3,331,7,275,4,0,7,4,0,
1,8,1,0,1,0,1,332,3,276,4,0,7,4,1,
1,6,1,0,1,2,3,333,7,92,4,0,10,4,1,
1,7,1,0,5,0,3,334,3,277,4,0,2,4,0,
1,7,1,0,1,0,6,335,2,278,7,0,6,7,1,
1,7,1,0,5,0,6,336,1,279,1,0,6,1,0,
1,9,1,0,1,0,2,99,2,280,4,0,6,4,5,
1,8,1,0,1,0,7,337,0,281,0,0,8,0,4,
1,8,1,0,1,2,1,338,3,282,2,0,6,2,1,
1,9,1,0,4,0,4,339,0,283,2,0,7,2,2,
1,9,1,0,1,0,3,340,1,284,1,0,9,1,1,
1,7,1,0,1,0,2,341,3,88,4,0,6,4,4,
1,8,1,0,5,0,3,342,2,172,4,0,0,4,5,
1,7,1,0,1,0,7,343,2,172,2,0,6,2,2,
1,9,1,0,1,2,3,344,0,182,8,0,6,8,0,
1,7,1,0,1,0,4,345,2,285,0,0,6,0,2,
1,8,1,0,1,0,1,346,2,286,4,0,8,4,2,
1,9,1,0,1,0,6,347,5,59,7,0,0,7,0,
1,6,1,0,10,0,6,86,3,19,7,0,8,7,2,
1,6,1,0,1,0,3,348,3,287,2,0,6,2,1,
1,8,1,0,5,0,2,291,2,288,4,0,0,4,2,
1,6,1,0,1,0,3,349,7,271,4,0,0,4,2,
1,8,1,0,1,0,4,350,2,289,6,0,6,6,5,
1,7,1,0,1,0,2,351,3,290,0,0,4,0,2,
1,6,1,0,5,0,3,352,7,291,4,0,6,4,6,
1,2,1,0,1,2,8,353,7,247,8,0,3,8,0,
1,5,1,0,5,0,3,354,1,292,1,0,8,1,2,
1,6,1,0,1,6,8,355,3,53,8,1,1,8,2,
1,7,1,0,5,0,1,356,7,93,7,0,8,7,2,
1,6,1,0,1,0,3,357,3,293,4,0,7,4,2,
1,7,1,0,5,0,1,79,7,116,0,0,6,0,1,
1,7,1,0,1,0,7,358,3,30,0,0,3,0,2,
1,6,1,0,1,0,3,359,7,39,4,0,6,4,1,
1,9,1,0,1,0,2,360,0,269,5,0,0,5,1,
1,10,1,0,5,0,1,361,1,57,1,0,6,1,0,
1,7,1,0,1,0,3,206,2,294,0,0,0,0,2,
1,8,1,0,5,0,2,306,2,295,2,0,8,2,2,
1,8,1,0,4,5,2,362,2,296,0,0,6,0,1,
1,6,1,0,1,0,1,363,7,76,4,0,8,4,6,
1,6,1,0,1,0,3,51,3,203,7,0,4,7,2,
1,6,1,0,1,0,1,364,7,192,0,0,6,0,2,
1,5,1,0,5,0,6,93,6,297,7,0,6,7,2,
1,5,1,0,1,0,3,365,7,93,4,0,6,4,2,
1,4,1,0,1,0,6,366,1,298,1,0,7,1,2,
1,7,1,0,1,0,2,367,3,299,0,0,8,0,1,
1,7,1,0,1,0,6,368,7,300,7,0,6,7,0,
1,6,1,0,1,0,1,369,7,301,0,0,7,0,2,
1,6,1,0,7,6,8,370,7,302,8,1,10,8,1,
1,7,1,0,1,0,1,371,2,96,0,0,0,0,2,
1,7,1,0,1,0,4,372,2,260,0,0,8,0,1,
1,9,1,0,1,0,1,291,1,226,1,0,6,1,1,
1,7,1,0,1,0,2,373,3,302,0,0,2,0,4,
1,6,1,0,1,0,7,317,3,303,5,0,6,5,1,
1,7,1,0,5,0,3,374,1,304,1,0,6,1,1,
1,7,1,0,1,2,6,375,5,10,7,0,8,7,1,
1,10,1,0,1,6,8,376,0,179,8,0,7,8,1,
1,4,1,0,1,0,3,377,1,212,1,0,7,1,6,
1,7,1,0,1,0,2,139,3,305,6,0,7,6,4,
1,9,1,0,1,0,2,378,0,306,6,0,6,6,5,
1,6,1,0,1,0,1,379,3,254,0,0,7,0,2,
1,6,1,0,5,0,3,380,1,307,1,0,0,1,1,
1,6,1,0,5,0,3,252,1,114,1,0,0,1,1,
1,10,1,0,0,3,1,381,5,308,4,0,10,4,2,
1,8,1,0,1,0,7,382,2,204,2,0,6,2,0,
1,6,1,0,5,0,3,86,1,309,1,0,6,1,2,
1,6,1,0,5,0,3,381,1,310,1,0,1,1,4,
1,8,1,0,1,0,2,383,2,279,0,0,8,0,1,
1,7,1,0,1,0,2,384,3,311,2,0,0,2,6,
1,8,1,0,1,0,3,385,3,125,4,0,7,4,2,
1,6,1,0,1,0,3,386,7,269,4,0,0,4,2,
1,4,1,0,1,0,3,252,6,312,2,0,0,2,2,
1,8,1,0,1,0,4,387,2,122,0,0,6,0,2,
1,8,1,0,5,0,3,388,1,96,1,0,3,1,1,
1,6,1,0,1,0,7,389,7,313,2,0,0,2,2,
1,8,1,0,5,0,3,390,0,314,4,0,7,4,5,
1,6,1,0,1,0,6,391,7,208,4,0,6,4,1,
1,8,1,0,1,0,2,392,2,315,6,0,9,6,1,
1,7,1,0,1,0,4,391,7,211,6,0,8,6,2,
1,8,1,0,5,0,1,393,2,215,7,0,6,7,2,
